"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","go","ship","ship","passenger","ship","ship","cruise","passenger","ship","ship","ship","sailor","member","member","pledge","canada","ship","crow","lockdown","passenger","airline","mask","airline","airline","bolsonaro","test","test","test","test","adams","hand","bolsonaro","trump","trump","fagan","ka","day","ad","student","heart","test","uk","uk","passenger","johnson","allergic","reaction","reaction","airline","source","guard","guard","guard","adult","wait","researcher","study","study","study","study","child","study","antibody","variant","study","study","variant","variant","variant","study","positive","variant","variant","variant","variant","variant","week","month","case"
"2","many","cruise","passenger","cruise","cruise","cruise","ship","ship","positive","zaandam","crow","navy","crow","nypd","million","canadian","sailor","driver","lockdowns","survey","passenger","airline","mask","bolsonaro","day","passenger","giroir","brazilian","bolsonaro","china","bolsonaro","tweet","president","president","friend","cusimano","die","campaign","patient","damage","protest","nation","navajo","travel","medicine","reaction","vaccine","allergic","reaction","king","national","national","black","black","child","study","positive","age","woman","patient","patient","protection","child","study","variant","variant","immune","researcher","researcher","symptom","study","study","delta","vaccination","delta","delta","case","efficacy","travel"
"3","one","board","cruise","ship","passenger","princess","princess","cruise","officer","sailor","cruise","ship","cruise","ship","member","european","grime","bus","restriction","airline","wear","law","passenger","demand","quest","airline","bolsonaro","bolsonaro","brazil","test","contact","brazilian","mason","rally","hand","mauri","just","trump","shortage","patient","fda","navajo","home","uk","church","receive","allergic","personnel","manzanero","mask","carolina","dc","population","hispanic","poll","child","antibody","child","researcher","researcher","symptom","trial","factor","patient","infection","household","study","study","antibody","patient","contact","immune","concern","rate","spread","case","report","among","region"
"4","people","passenger","princess","board","princess","passenger","passenger","airport","cruise","cruise","passenger","carrier","ship","sailor","billion","member","cruise","canada","air","los","mask","passenger","flight","flight","test","bolsonaro","negative","passenger","brazilian","alert","sanitizer","twitter","reporter","schaffner","die","school","censor","student","flu","hospital","false","christmas","nation","thanksgiving","british","defense","receive","base","employee","medical","effort","hispanic","analysis","age","black","trial","test","infection","mental","symptom","study","dose","show","researcher","breakthrough","positive","researcher","breakthrough","study","variant","among","test","protection","delta","us","risk","increase","six","world"
"5","family","crow","board","diamond","diamond","diamond","grand","dock","passenger","passenger","member","member","costa","defense","promise","eu","canada","check","transport","angeles","macron","ship","federal","company","capacity","pool","brazilian","brazils","positive","modi","potentially","serious","offer","american","member","bannister","love","white","damage","doctor","mink","test","hancock","tsa","air","history","shipment","four","mexican","death","office","coverage","troop","report","conduct","patient","symptom","patient","patient","publish","clinical","six","serum","infection","find","patient","nsaids","evidence","immune","research","researcher","little","study","test","case","become","delta","case","destination"
"6","last","dock","diamond","princess","quarantine","grand","coast","flight","test","navy","princess","positive","positive","cruise","passenger","leader","return","mission","site","apply","fly","wear","airport","quest","result","giroir","turnaround","minister","tv","bolsonaro","son","supporter","wear","cdc","schaffner","die","fresh","school","particle","overwhelm","decision","ahead","johnson","security","migrant","personnel","alaska","receive","allergic","employee","dakota","black","national","group","see","finding","infection","evidence","symptom","find","antibody","antibody","protection","symptom","test","infect","infection","identify","dose","booster","test","infect","antibody","covid","county","high","variant","top","organization"
"7","tell","princess","dock","westerdam","yokohama","san","dock","princess","airport","amazon","navy","roosevelt","zoo","civilian","africa","trudeau","navy","wolf","queen","flight","ship","federal","employee","labcorp","veto","lab","result","result","giroir","hospital","jair","post","speak","barr","battle","gun","sometimes","walter","adams","medical","doctor","result","christmas","expect","navajo","military","hospital","chilean","serious","winter","utilize","population","latino","study","find","black","result","volunteer","find","care","trial","age","researcher","app","moderna","infection","antibody","effectiveness","booster","researcher","associate","researcher","vaccine","researcher","coronavirus","first","passport","leader","greece"
"8","can","quarantine","yokohama","quarantine","japanese","quarantine","california","crow","aircraft","nypd","test","uss","dock","uniform","canada","montreal","union","passenger","ride","screen","precaution","judge","wear","veto","seat","quest","jair","indigenous","brazils","photo","touch","sunday","good","donald","spend","teacher","sick","event","complication","type","accurate","government","church","holiday","letter","pfizerbiontech","adverse","vaccination","confirm","georgia","north","member","cover","old","republican","positive","researcher","little","publish","cause","woman","clinical","result","show","child","phe","response","report","identify","six","team","coronavirus","slavitt","study","first","low","region","china","ireland"
"9","quarantine","hong","westerdam","american","crow","california","crow","board","crow","board","positive","tyson","port","quarantine","marine","union","airport","flight","airport","ship","flight","american","checkpoint","employee","airport","sample","sample","positive","fdc","donate","tracker","false","speech","cant","tell","family","medium","michigan","heart","noncovid","frederiksen","statement","family","million","roll","vaccine","department","worker","composer","military","bidens","cnn","bureau","young","group","year","trial","risk","treatment","positive","researcher","cause","sample","sample","patient","dose","vaccine","vaccine","trial","antibody","antibody","two","alpha","growth","world","vaccine","three","couple","americas"
"10","try","japan","crow","japanese","test","aboard","aboard","disembark","defense","symptom","dock","theodore","onboard","sick","european","pillar","aircraft","worker","strict","airport","enforce","pass","facebook","homeless","unite","wear","demand","hydroxychloroquine","criticize","replace","twitter","describe","campaign","political","medical","virtual","request","fauci","campaign","alternative","bad","johnson","encourage","airport","unite","significant","first","vaccine","author","spokeswoman","source","radio","inmate","ethnicity","daycare","prevalence","age","likely","antibody","brain","age","participant","infect","test","infect","find","dose","dose","breakthrough","immune","research","infection","first","coronavirus","risk","week","numb","two","news"
