"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","case","cdc","test","test","patient","county","case","case","case","case","case","case","case","death","case","case","case","case","case","case","beijing","test","test","melbourne","hong","okinawa","victoria","victoria","zealand","church","south","case","case","police","case","hotel","quarantine","qingdao","australia","victoria","victoria","travel","south","korea","police","jones","korea","case","south","korea","province","province","student","animal","bamlanivimab","zoo","temperature","parton","european","astrazeneca","clot","astrazeneca","astrazeneca","astrazeneca","european","european","job","johnson","lottery","incentive","get","age","harris","get","house","fauci","total","dose","booster"
"2","test","test","cdc","patient","california","case","state","state","state","us","johns","johns","hopkins","case","johns","johns","hopkins","hopkins","hopkins","johns","market","beijing","victoria","victoria","local","military","andrews","andrews","new","zealand","case","south","south","restriction","restriction","victoria","police","quarantine","quarantine","andrews","melbourne","melbourne","australia","lockdown","restriction","korea","south","cluster","korea","north","hebei","china","korea","pet","patient","gorilla","york","cooperation","clot","blood","astrazeneca","vaccine","blood","clot","vaccine","vaccine","economy","ride","draw","win","biden","program","president","vaccinate","say","institute","death","vaccine","vaccine"
"3","patient","patient","center","disease","test","state","county","us","death","state","death","hopkins","johns","johns","hopkins","hopkins","johns","johns","johns","hopkins","case","pool","asymptomatic","andrews","case","base","hong","hong","case","south","korea","church","restriction","victoria","africa","police","south","travel","border","allow","south","traveler","police","will","will","south","case","nsw","close","meet","shijiazhuang","beijing","school","yellow","antibody","pfizer","bodys","agency","vaccine","clot","blood","risk","clot","european","astrazeneca","pregnant","add","july","mccloud","ohio","vaccination","delhi","get","july","white","allergy","cuba","dos","dose"
"4","cdc","lab","lab","cdc","county","presumptive","presumptive","die","less","death","hopkins","death","less","hopkins","us","state","state","us","us","less","outbreak","plant","china","resident","kong","victoria","kong","kong","victoria","seoul","seoul","kcdc","korea","officer","ardern","victorias","korea","commission","return","flight","korea","city","authority","restriction","tree","kong","kdca","south","case","kdca","china","authority","campus","enforcement","etesevimab","degree","tanzania","covax","astrazeneca","european","european","blood","vaccine","vaccine","outweigh","approval","predict","house","prize","lottery","announce","adult","house","president","celebration","company","numb","south","september"
"5","health","center","state","center","cdc","washington","positive","accord","us","tally","less","less","death","us","university","us","less","less","less","us","xinfadi","outbreak","beijing","outbreak","okinawa","case","case","case","ardern","case","new","korea","death","adf","ease","quarantine","son","cruise","travel","hawaii","state","victoria","australian","toronto","social","flight","seoul","wale","transmit","german","brazilian","chinese","province","behravesh","document","celsius","storage","tedros","ema","suspend","committee","clot","european","blood","pregnant","astrazeneca","report","remark","program","program","july","vaccinate","vice","psaki","everyone","make","rate","receive","uk"
"6","disease","prevention","illinois","california","us","cdc","cdc","unite","tally","less","report","tally","tally","tally","death","camp","cyclone","repatriate","territory","state","link","sample","andrews","lockdown","prefecture","baby","record","outbreak","auckland","new","zealand","transmit","hong","case","factor","case","area","korea","city","australias","australian","south","adelaide","allow","korea","airline","cluster","sydney","locally","police","city","outbreak","outbreak","human","treatment","korea","treatment","kurz","thursday","medicine","vaccine","follow","ema","agency","risk","use","claim","game","maryland","employee","shoot","kejriwal","july","american","get","announcement","pandemic","two","population"
"7","us","illinois","prevention","result","center","positive","health","detect","unite","report","tally","report","state","state","tally","less","us","columbia","columbia","territory","cluster","meat","outbreak","authority","victoria","australian","outbreak","fine","locally","ardern","link","victoria","kcdc","south","new","andrews","man","million","enforcement","japan","see","wale","stevens","province","koreas","passenger","beach","korea","link","hold","amazonas","infection","kdca","student","zoo","catch","store","cold","suspend","vaccine","medicine","rare","rare","rare","clot","pfizerbiontech","store","site","win","vaccinate","vaccinate","vaccination","vaccinate","say","even","re","fauci","ministry","dos"
"8","center","state","california","one","lab","test","accord","county","report","total","us","state","us","less","less","refugee","territory","territory","repatriate","report","wholesale","district","jachles","case","infection","andrews","premier","australias","zealands","cluster","restriction","locally","seoul","sunday","seat","mikakos","facility","china","canada","visitor","traveler","indoor","travel","south","area","hong","level","beach","mass","south","commission","city","china","evidence","symptom","company","tedros","sinopharm","use","ema","oxfordastrazeneca","european","medicine","medicine","medicine","safety","work","uber","ohioans","employer","free","shoot","white","goal","re","want","toll","africa","call"
"9","prevention","massachusetts","negative","passenger","community","lab","washington","tally","total","wyoming","state","territory","accord","university","accord","fire","repatriate","total","district","die","johns","food","victorian","premier","military","mother","australian","breach","close","korea","extend","rally","august","hotel","capital","protest","sri","enter","arrival","state","andrews","korea","quarantine","gathering","indoor","activity","wale","seoul","local","import","round","close","city","precaution","version","drug","neighborhood","european","medicine","agency","risk","safe","link","risk","blood","comment","european","germany","release","scholarship","site","will","american","help","think","anthony","want","adult","shot"
"10","confirm","case","kit","unit","illinois","king","release","total","die","accord","territory","columbia","territory","repatriate","territory","total","columbia","good","total","repatriate","hopkins","hopkins","import","australian","andrews","japanese","mitchell","restriction","bloomfield","link","cluster","record","september","ease","official","inquiry","wall","citys","western","melbourne","prime","per","will","limit","close","park","metropolitan","taiwan","beijings","kim","nhc","korea","transmission","mink","infection","treatment","mental","nation","denmark","risk","agency","medicine","regulator","platelet","agency","emergency","medicine","assistance","benefit","million","program","four","community","biden","vaccinate","go","way","age","receive"
