"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","cough","can","redfield","lor","drug","mask","hand","blood","supply","mask","mask","test","test","vaccine","drug","study","drug","patient","vaccine","vaccine","vaccine","drug","vaccine","drug","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","dos","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","johnson","johnson","johnson","johnson","johnson","million","dos","dos","vaccine","vaccine","dos","vaccine","share","smith","dos","will","dos","respiratory","test","test","hospital"
"2","symptom","cough","can","can","hand","hand","blood","mask","mask","wear","wear","mask","antibody","test","vaccine","patient","study","study","trial","trial","trial","vaccine","drug","remdesivir","antibody","company","trial","trial","trial","trial","trial","trial","trial","trial","trial","trial","authorization","trial","trial","trial","phase","trial","pfizer","fda","pfizer","authorization","authorization","use","dos","dos","vaccine","dos","astrazeneca","johnson","pfizer","dos","dos","johnson","vaccine","dos","dos","vaccine","dos","johnson","production","vaccine","dos","supply","vaccine","johnson","vaccine","million","million","vaccine","see","test","patient","positive","patient"
"3","contact","drug","cough","symptom","level","cdc","mask","drug","amazon","use","drug","drug","swab","drug","patient","drug","trial","drug","study","antibody","drug","trial","trial","study","study","trial","phase","drug","phase","treatment","clinical","dr","election","dos","dos","fda","use","pause","drug","safety","trial","pfizer","trial","authorization","authorization","dos","use","dos","million","million","dose","use","european","authorization","dos","johnson","johnson","dos","dos","vaccine","company","company","vaccine","dos","trudeau","send","company","patent","covax","dos","dos","vaccine","vaccine","region","additional","condition","fast","player","bed"
"4","can","sneeze","virus","cough","fda","use","surface","fda","equipment","drug","test","antibody","study","trial","remdesivir","test","vaccine","vaccine","drug","drug","study","patient","patient","trial","company","phase","speed","antibody","russia","study","study","clinical","astrazeneca","company","participant","drug","emergency","johnson","clinical","treatment","israel","pfizers","company","efficacy","dos","pfizer","drug","authorization","distribute","dose","administration","company","eu","european","use","european","company","pfizer","glenn","canada","vaccine","manufacture","million","pfizer","million","irish","produce","country","johnson","covax","covax","biden","plant","white","bill","symptom","positive","jackson","care"
"5","virus","combination","symptom","nose","recommend","cough","people","hand","patient","face","face","fda","patient","study","study","antibody","patient","test","hydroxychloroquine","study","patient","study","remdesivir","patient","track","develop","clinical","dos","russian","antibody","phase","phase","approval","vaccination","johnson","hahn","trial","clinical","company","antibody","volunteer","dos","moderna","trial","fda","trial","pfizer","drug","trial","distribute","million","sputnik","johnson","use","trial","eu","use","use","trial","biden","million","quality","drug","moderna","manufacture","plan","material","dos","million","government","country","distribute","tuesday","dos","entire","disease","hospital","negative","oneal"
"6","animal","treatment","advise","room","shortage","sanitizer","collapse","website","use","supply","hydroxychloroquine","vaccine","mask","antibody","trial","famotidine","company","trial","datum","use","treat","company","company","treat","drug","study","fda","develop","approve","company","develop","effective","end","november","phase","decision","antibody","safety","johnson","moderna","vaccination","phase","fda","dose","moderna","use","advisory","moderna","administer","administer","operation","trial","dos","trial","production","use","authorization","moderna","us","us","goal","plant","emergent","vaccine","quality","country","send","company","astrazeneca","central","will","dos","distribute","administration","mayor","young","social","husband","medical"
"7","fever","symptom","doctor","hand","mask","can","supply","protective","price","equipment","protective","swab","drug","patient","test","vaccine","hydroxychloroquine","use","fauci","phase","hydroxychloroquine","fda","treatment","vaccine","trial","gate","effective","company","clinical","clinical","approve","us","phase","pfizer","fda","company","fda","authorization","safety","drug","cuomo","effective","effective","pfizer","company","committee","moderna","pfizer","phase","pfizerbiontech","speed","dose","trial","dos","recommend","company","emergency","production","company","million","end","dos","morrison","end","week","covax","bourla","astrazeneca","share","initiative","million","will","johnson","million","subject","low","travel","league","icu"
"8","person","flu","touch","man","advisory","clean","sanitizer","use","drug","fda","use","study","researcher","clinical","treatment","remdesivir","test","treatment","patient","human","use","remdesivir","authorization","phase","treatment","fda","moderna","advance","dos","australian","candidate","distribute","pause","develop","company","commissioner","drug","volunteer","participant","phase","use","drug","drug","committee","trial","fda","committee","administration","pfizer","drug","pfizer","million","union","company","authorize","covax","million","authorize","booster","company","expect","emergent","produce","sputnik","vaccine","astrazeneca","india","waiver","india","request","sullivan","share","land","border","throughout","two","symptom","outbreak","admit"
"9","sneeze","hand","nose","know","product","supply","use","donate","protective","patient","cdc","use","blood","remdesivir","antibody","trial","antibody","hydroxychloroquine","clinical","develop","fda","administration","clinical","hydroxychloroquine","end","pfizer","study","azar","effective","astrazeneca","johnson","october","ready","supply","authorization","us","clinical","drug","study","company","federal","clinical","authorization","use","use","uk","administration","food","warp","use","authorization","pfizer","company","sputnik","company","authorization","authorize","company","develop","mexico","biden","meet","plant","allocation","issue","sii","supply","million","global","company","distribute","us","shipment","biden","accordance","covid","quarantine","game","edwards"
"10","avoid","advise","sneeze","cure","use","wear","touch","researcher","kit","test","covering","patient","fda","company","researcher","company","clinical","antibody","use","research","antibody","treatment","study","antibody","dos","astrazeneca","safe","purchase","moderna","drug","age","develop","clinical","astrazeneca","safety","dr","company","fda","food","clinical","develop","volunteer","candidate","vaccinate","drug","advisory","food","modernas","use","moderna","warp","shoot","supply","astrazeneca","moderna","production","moderna","merck","give","authorize","deliver","drug","allocation","week","inspection","quality","support","right","manufacture","country","official","go","zients","house","start","school","early","year","lake"
