"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","us","flight","flight","iran","iran","iran","flight","flight","flight","flight","flight","travel","china","china","china","china","china","china","indias","chinese","africa","prisoner","tedros","prison","tedros","forecast","tedros","tedros","election","election","hurricane","election","africa","sisolak","china","organization","trump","china","amazon","space","zone","iran","rural","claim","european","giuliani","biden","biden","european","european","china","china","team","respondent","china","market","family","china","travel","travel","dialysis","airline","travel","festival","travel","travel","travel","flight","travel","passenger","travel","travel","travel","travel","consumer","vote","tokyo","house","eviction"
"2","flight","airline","airline","qom","iranian","irans","airline","travel","travel","travel","airline","chinese","travel","airport","chinese","wuhan","chinese","pandemic","cyclone","tedros","organization","stockpile","inmate","quentin","south","death","vote","job","ballot","vote","storm","ballot","threat","sustain","trump","tedros","china","father","immunity","mask","iran","contract","claim","airline","vaccine","trump","penny","european","biden","team","chinese","chinese","chinese","china","wuhan","china","shum","netherlands","airline","air","american","air","cruise","water","traveler","air","flight","sri","cruise","travel","weekend","level","park","air","city","pandemic","athlete","floor","williams"
"3","airline","air","san","flight","iraq","flight","europe","border","enter","foreign","zealand","airline","wuhan","wuhan","originate","chinese","world","chinese","modi","china","tedros","organization","jail","california","marathon","south","election","ballot","mail","mail","laura","voter","buy","ryan","tedros","nation","bright","harris","gelber","know","russian","effort","airline","supply","train","sunday","vaccine","walensky","eu","eu","wuhan","panel","wuhan","moore","team","challenge","china","casino","industry","airport","ago","travel","line","airport","flight","flight","australian","federal","test","security","france","country","visitor","airline","now","datum","will","mask","way"
"4","travel","base","air","wall","flight","ministry","will","country","foreign","traveler","travel","border","chinese","travel","wuhan","foreign","organization","xi","australia","bad","tropical","jail","san","inmate","race","africa","facility","election","absentee","postal","bolt","request","request","trump","unite","widespread","harris","live","herd","wear","country","right","unemployment","desantis","commission","rudy","presidentelect","commission","presidentelect","wuhan","efficacy","world","world","market","chinese","ben","many","police","air","miami","leave","screen","passenger","seat","airport","country","ban","test","build","federal","day","recommend","screen","passenger","indicator","difficult","olympic","republican","meet"
"5","airport","suspend","base","expulsion","irans","iranian","ban","restriction","abroad","airline","mandatory","flight","medium","canada","trump","beijing","assembly","trump","storm","question","china","system","prison","correction","africa","ramaphosa","longterm","june","postal","ballot","account","try","vote","northeast","us","trump","penny","trump","need","force","order","european","pfizerbiontech","vaccine","act","vaccine","trump","presidentelect","wuhan","origin","treatment","global","china","survey","origin","pulse","gigi","take","kind","police","point","flight","certificate","police","mask","italy","quarantine","enter","quarantine","airport","million","severe","traveler","flight","say","doctor","game","wear","provide"
"6","department","us","march","airline","kuwait","airline","iran","suspend","will","trudeau","attendant","china","airline","beijing","pompeo","north","resolution","global","india","mumbai","moeti","fail","cause","san","suppress","ensemble","mortality","world","november","voter","louisiana","street","friend","live","assembly","country","lead","herd","china","transmit","hungarian","east","commission","european","pfizerbiontech","house","white","bloc","white","china","global","independent","investigation","wuhan","embarek","wuhan","chinese","force","focus","beach","house","happen","norwegian","intelligence","enter","traveler","traveler","proof","germany","ice","screen","traveler","level","sunday","board","grow","pregnant","rule","secretary"
"7","passenger","march","route","iranian","qom","agency","travel","ban","traveler","zealand","international","intelligence","outbreak","chinese","intelligence","korean","beijing","tedros","mumbai","wuhan","inmate","imperial","quentin","africa","ramaphosa","projection","excess","million","vote","machine","mail","ongoing","revelation","vulnerable","nation","around","vice","warn","strong","russian","lebanon","supreme","recover","phase","ema","president","house","ema","vaccine","chinese","hispanic","international","origin","team","product","blood","sister","arrest","information","thing","rapid","delta","air","janeiro","transportation","order","citizen","travel","ship","report","restriction","case","unite","day","flight","hospital","woman","rep","team"
"8","china","airport","suspension","sick","news","news","airport","enter","border","australia","transportation","canadian","journalist","hotel","origin","outbreak","investigation","late","antibiotic","december","neglect","prison","organization","system","life","election","africa","mail","dejoy","november","texas","absentee","tape","apply","global","system","sen","need","desantis","prove","restriction","der","contract","von","job","distribution","receive","member","tweet","agree","investigate","response","quarantine","strongly","animal","initial","market","king","busy","trump","travel","million","ardern","birth","zealand","india","australia","quarantine","israel","allow","busy","stockpile","day","venue","improve","complication","ceremony","dhs","member"
"9","american","american","miramar","travel","ministry","suspend","trump","foreign","restriction","canadian","visa","trudeau","freedom","outbreak","eye","epidemic","support","world","maharashtra","indias","world","problem","directorgeneral","die","terminal","believe","six","sector","tedros","poll","quarantine","joe","judge","old","foreign","believe","full","vaccine","strongly","putin","east","leyen","hospital","leyen","vaccination","donald","mike","vaccine","commission","work","woman","emergency","hotel","side","finding","device","contract","plan","chuang","giroir","flight","security","flight","rio","passenger","ban","india","implement","israeli","airline","list","include","report","month","stop","key","travel","attend","assistance"
"10","traveler","san","american","foreign","suspend","prisoner","restriction","will","international","quarantine","passenger","ban","ban","robot","market","central","call","organization","nation","world","woman","tedros","almandhari","rehabilitation","upon","gaynor","mail","adhanom","voter","protest","tropical","vote","lawyer","alternative","system","crisis","people","many","space","russias","website","policy","european","unemployment","million","presidentelect","member","distribution","mountain","illegal","expert","efficacy","investigator","daughter","market","embarek","supply","panel","actually","brostrøm","poll","problem","great","river","test","unite","entry","south","flight","quarantine","protect","park","national","new","survey","democrat","healthcare","physician","expire"
