"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","uk","student","student","australia","israel","cuomo","york","cuomo","york","cuomo","cuomo","cuomo","cuomo","cuomo","cuomo","cuomo","york","gov","cuomo","de","cuomo","state","state","county","state","state","county","florida","cuomo","positivity","county","county","gov","york","project","ihme","release","store","department","covid","state","state","york","positivity","blasio","database","city","city","york","york","york","york","york","york","york","york","york","pope","olympic","region","lockdown","lockdown","case","curfew","oxygen","oxygen","oxygen","case","case","case","variant","variant","death","death","health","guidance","wear","probably","jones"
"2","student","foreign","say","murphy","selfquarantine","york","cuomo","york","cuomo","york","york","york","york","gov","york","york","cuomo","cuomo","york","blasio","gov","new","gov","rate","county","florida","florida","county","positivity","cuomo","gov","state","county","county","real","rate","chief","release","county","county","department","de","city","patient","cuomo","real","york","york","cuomo","cuomo","city","de","cuomo","indoor","governor","cuomo","kurz","vatican","game","prime","easter","measure","curfew","india","india","hospital","case","report","fungus","ministry","uk","uk","uk","health","official","person","reiner","gottlieb","infect"
"3","will","canadian","newcastle","student","ministry","selfquarantine","new","order","gov","new","new","gov","new","york","gov","new","gov","york","gov","city","state","gov","new","state","york","county","hospital","city","york","mayor","rate","task","rate","positivity","death","tooth","georgia","covid","project","real","hospital","positivity","positivity","state","de","york","bed","bed","draw","city","cuomo","city","mayor","new","court","gov","city","york","inslee","europe","france","france","india","lockdown","delhi","supply","india","india","india","india","death","delta","delta","monday","angeles","health","mask","offit","around"
"4","say","entry","uk","entry","hotel","hotel","de","restaurant","new","gov","gov","new","gov","mask","mask","andrew","bill","tweet","blasio","positive","new","florida","case","bed","mayor","bed","miamidade","york","mayor","gov","positivity","positivity","governor","rate","rate","gov","jury","announce","draw","number","patient","city","state","exactly","school","exactly","cuomo","blasio","database","gov","de","blasio","de","site","cuomo","capacity","new","city","grade","wave","restriction","easter","wave","country","hospital","record","delhi","oxygen","black","indian","case","case","phe","will","guidance","say","school","food","baby"
"5","travel","uk","university","russian","positive","andrew","school","andrew","order","de","andrew","andrew","andrew","state","say","gov","new","governor","new","york","york","county","texas","miamidade","new","icu","ahca","cuomo","rate","rate","mayor","iowa","state","new","area","real","court","retail","track","cnns","hospitalize","capacity","hospital","database","hospital","draw","new","line","dashboard","new","new","mayor","new","city","city","andrew","labor","capacity","travel","restriction","region","french","minister","will","indian","ministry","death","nepal","daily","fungus","coronavirus","india","surpass","amid","monday","country","missouri","think","picture"
"6","office","will","european","australian","entry","czech","blasio","gov","andrew","blasio","say","blasio","say","say","andrew","nurse","jersey","state","andrew","cuomo","florida","texas","county","positivity","cuomo","york","york","mayor","florida","state","state","york","york","gov","desantis","reopen","resume","paso","state","hospital","blasio","blasio","new","draw","york","note","positivity","de","city","mayor","turner","dos","city","capacity","worship","new","revenue","ohio","cite","castex","french","curfew","osaka","wave","ministry","death","hospital","ministry","report","black","health","start","variant","level","country","wear","thing","booster","lot"
"7","health","say","british","buy","island","ministry","andrew","new","city","andrew","state","say","state","breen","new","say","de","new","say","new","case","case","reopen","hospital","gov","hospitalization","positivity","icu","city","average","york","rate","cuomo","state","ihme","murray","draw","cancel","exactly","release","city","release","school","city","intensive","number","patient","icu","department","track","county","cuomo","blasio","governor","capacity","curfew","britain","francis","person","lockdown","germany","macron","measure","ministry","indias","india","supply","death","indian","report","infection","government","minister","minister","say","department","say","application","everybody"
"8","school","national","situation","facility","news","new","city","mayor","mayor","say","governor","state","desantis","andrew","city","bill","blasio","andrew","news","mayor","hospitalization","arizona","jersey","gov","rate","hospital","gov","resident","gov","blasio","angeles","gov","release","cnns","jan","rhode","exactly","exactly","number","draw","de","patient","cuomo","number","note","cuomo","murphy","bangkok","exactly","line","site","line","state","stadium","new","court","capacity","trip","will","france","campaign","patient","ministry","restriction","government","indias","wave","indias","numb","death","phe","minister","delay","postpone","prevention","school","variant","right","trauma"
"9","add","deny","school","university","contact","positive","say","de","blasio","order","city","de","mayor","conference","blasio","jersey","andrew","north","hospitalization","governor","andrew","governor","cuomo","florida","florida","gov","care","new","inmate","city","governor","governor","new","project","mask","nevada","database","sale","database","hospitalization","currently","governor","governor","real","case","state","blasio","patient","note","database","positivity","new","gov","de","de","city","patient","scheme","psaki","minister","saturday","new","city","measure","minister","case","medical","figure","infection","high","numb","far","datum","warn","spread","rise","guidance","breakthrough","cnn"
"10","ministry","canada","discrimination","past","tenerife","foreign","will","city","de","state","jersey","governor","blasio","lab","de","murphy","nypd","member","governor","say","mayor","hospitalization","florida","increase","case","desantis","bed","ahca","newsom","list","los","force","andrew","resident","forecast","caution","county","texas","hospitalization","line","dashboard","mayor","capacity","cnns","state","project","rate","draw","murphy","site","mayor","smoker","dos","dine","gov","outbreak","limit","iraq","option","french","area","pm","france","new","case","indian","indias","country","patient","total","rise","wave","england","delta","people","mitigation","idea","put","dr"
