"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","citizen","flight","plane","citizen","daegu","south","south","court","inmate","prison","jail","inmate","inmate","department","release","court","court","bolsonaro","hong","festival","street","gate","air","indigenous","indigenous","billion","republican","stimulus","trump","fund","bill","loan","bill","vote","house","million","benefit","top","airline","passenger","animal","taiwan","tedros","hong","hong","lam","world","uk","england","uk","african","vaccination","misc","covax","ukraine","government","england","brazilian","world","china","export","urge","eu","scotland","party","election","lockdown","pradesh","hate","olympic","biden","game","athlete","enrollment","lockdown","child","misinformation","spread","trump"
"2","flight","plane","foreign","south","south","daegu","daegu","prison","prison","inmate","inmate","release","release","release","taliban","police","police","police","police","cancel","kid","event","force","cancel","community","senate","unemployment","house","executive","senate","meadow","nasdaq","republican","house","benefit","claim","claim","quarter","company","year","maine","island","kid","kong","global","world","billion","kent","chain","crew","pope","israeli","israel","world","million","uk","minister","countrys","rich","world","eu","europe","respondent","senate","congress","bjp","pradesh","tokyo","tokyo","tokyo","game","tokyo","version","people","confirm","disease","murthy","misinformation","believe"
"3","evacuate","citizen","citizen","flight","group","shincheonji","korea","inmate","justice","russia","detainee","prison","prison","prison","prisoner","inmate","correction","letter","kong","fair","gupta","gupta","pride","police","justice","republican","senate","senate","action","postal","pelosi","republican","vote","senate","basis","week","million","claim","cathay","airport","british","despite","olympic","bubble","world","keenan","global","france","uk","minister","expectancy","south","african","vaccine","sagasti","johnson","uk","ministry","country","focus","commission","yemen","poll","summer","rally","party","court","lockdown","crime","game","goal","athlete","card","also","enter","vaccination","share","james","former"
"4","south","evacuation","south","charter","shincheonji","korean","case","justice","putin","russian","prison","chicago","facility","court","police","tribe","bukele","crowd","protest","music","family","live","resolution","personnel","fair","money","house","meadow","benefit","stimulus","high","senate","stimulus","stimulus","file","test","federal","bank","year","holiday","tell","trudeau","effort","singapore","kong","hong","dos","port","area","nhs","francis","director","association","dos","peru","country","prime","kenya","alliance","act","european","eu","union","body","hold","rally","state","olympic","president","biden","president","emergent","standard","read","link","republican","spread","add","think"
"5","government","will","minister","plane","religious","group","korean","south","russia","court","sheriff","trial","sentence","county","pritzker","bolsonaro","officer","request","floyd","protest","summer","lawmaker","event","houston","law","proposal","stimulus","pelosi","democrat","bill","talk","proposal","senate","trillion","money","garden","small","share","hong","cut","resume","meet","act","summit","city","outside","country","truck","vehicle","shijiazhuang","overdose","camp","world","country","vaccine","minister","british","british","vaccine","whole","india","country","life","travel","west","bengal","case","prime","game","japan","july","ahead","californians","service","recommend","increase","ask","information","daughter"
"6","will","prime","repatriate","board","korea","religious","north","immigration","russian","texas","release","judge","police","ice","agreement","request","theater","beach","law","event","sesame","lack","police","protester","deal","mnuchin","bill","side","unemployment","republican","democrat","federal","mcconnell","pelosi","leader","girl","cruise","economy","worker","murphy","denmark","wed","suffer","launch","trace","pfizerbiontech","organization","driver","part","england","vatican","israel","country","distribution","covax","dose","impose","worker","trip","whether","rule","citizen","european","check","bengal","west","minister","athlete","olympic","president","care","olympic","california","year","perfect","people","child","old","surgeon"
"7","foreign","minister","korean","korea","korean","korea","seoul","daegu","court","lawsuit","cook","detainee","department","police","department","law","release","cabinet","adams","statement","song","see","performance","hiv","re","fund","mcconnell","democrat","schumer","democrat","nasdaq","pay","leader","retail","claim","basis","ship","billion","kong","million","beat","internet","school","world","india","test","half","border","support","hancock","year","israels","covax","million","country","vaccine","roadmap","government","group","trust","diplomat","baker","discrimination","option","tourism","hold","kerala","party","biden","take","japan","japan","will","american","tighten","die","advisory","cluster","giroir"
"8","french","evacuate","ministry","air","military","kim","kcdc","korea","detainee","system","police","cohen","file","arrest","crowd","release","staff","quarantine","arrest","quick","learn","summer","un","community","personnel","stimulus","proposal","negotiation","mnuchin","pelosi","sp","claim","democrat","election","dollar","cruise","nhs","chain","million","airline","league","amish","say","kongs","test","city","vaccine","freight","chicago","pilot","continent","etienne","ramaphosa","global","israels","target","johnson","end","organization","clear","course","covax","explain","notify","gandhi","vote","rule","case","asian","athlete","cost","medium","provide","health","infection","find","back","take","die"
"9","plane","foreign","prime","passenger","member","north","gyeongsang","cluster","judge","fbi","egger","police","arrest","detention","statement","legal","attorney","daytona","mark","bolsonaro","together","bill","festival","contest","ride","gop","benefit","talk","federal","house","fund","investor","proposal","democrat","unemployment","ship","state","choose","passenger","response","predict","ministry","social","leader","address","shakespeare","write","dover","street","letter","life","march","secure","organization","sinopharm","priority","europe","support","export","loss","swaminathan","european","work","vardhan","election","poll","devastate","hold","vote","osaka","call","subject","range","million","wave","prevention","can","medium","trust"
"10","charter","charter","evacuation","base","gyeongsang","member","religious","ice","criminal","manufacturer","facility","county","incident","domestic","vatican","arrest","exchange","video","rally","hong","town","feature","due","turner","turner","house","gop","unemployment","senate","service","stock","democrat","pelosi","benefit","grade","white","department","week","industry","aircraft","closure","member","protect","test","chuang","kong","end","lorry","french","french","latino","cathedral","beyond","ramaphosa","dos","ascension","vaccine","figure","waiver","poll","bloc","must","political","boris","surge","commission","madhya","territory","japanese","expert","ahead","essentially","tokyo","access","increase","rochelle","surgeon","facebook","misinformation"
