"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","airport","cruise","ship","ship","ship","ship","cruise","ship","ship","ship","ship","sailor","member","nypd","passenger","canada","ship","member","air","passenger","airline","airline","airline","melbourne","victoria","bolsonaro","victoria","victoria","victoria","indigenous","lawsuit","loan","remdesivir","billion","umrah","year","industry","year","year","space","danish","mink","mink","population","uk","uk","dos","dos","dos","vaccine","dos","dos","dos","dos","dos","dos","dos","dos","johnson","dos","million","johnson","johnson","johnson","dos","covax","export","patent","dos","vaccine","share","million","harris","vaccine","house","train","travel","national","lockdown"
"2","us","ship","passenger","passenger","cruise","cruise","ship","passenger","cruise","passenger","crow","navy","ship","member","flight","flight","airport","crow","passenger","airline","passenger","federal","victoria","victoria","seat","victoria","andrews","andrews","bolsonaro","highway","indigenous","ppp","service","world","world","girl","year","bank","airline","passenger","frederiksen","farm","farm","korean","vaccine","vaccine","shipment","vaccine","vaccine","dos","vaccine","vaccine","vaccine","pharmacy","vaccine","supply","million","million","dos","biden","johnson","vaccine","dos","vaccine","deliver","dos","agreement","erck","vaccine","dos","vaccine","smith","president","million","worker","approximately","game","ministry","qantas"
"3","student","passenger","cruise","cruise","princess","princess","princess","cruise","officer","navy","cruise","passenger","cruise","passenger","cruise","traveler","flight","nypd","airport","flight","flight","passenger","hernández","andrews","outbreak","andrews","bolsonaro","australias","brazilian","protester","account","government","lafayette","dos","phase","risk","job","china","cathay","year","protocol","denmark","contract","european","european","pfizerbiontech","vaccine","vaccination","vaccination","million","million","administer","administer","vaccine","administer","vaccine","supply","partnership","white","million","goal","quality","million","million","pfizerbiontech","company","covax","astrazeneca","covax","covax","dos","vaccine","administration","administration","get","catch","olympic","game","corp"
"4","passenger","board","princess","board","passenger","passenger","passenger","dock","positive","zaandam","passenger","ship","crow","airline","member","quarantine","sailor","wolf","hand","airport","ship","bolsonaro","federal","airline","studio","australian","negative","brazilian","tv","federal","shortage","participant","inmate","oxfam","perform","sign","oil","quarter","company","loss","kenya","cull","commission","vaccine","vaccination","reaction","receive","million","million","vaccination","vaccination","vaccinate","million","supply","vaccination","million","site","supply","biden","administration","vaccine","dos","vaccine","dos","vaccine","sii","vaccine","vaccine","supply","johnson","covax","will","vice","dos","vaccinate","twentyone","state","review","sound"
"5","flight","crow","diamond","diamond","diamond","diamond","grand","board","department","cruise","navy","aircraft","dock","ship","marine","airport","mask","sick","sanitizer","screen","mask","tracer","flight","premier","andrews","supporter","brazilian","fine","lockdown","village","bolsonaro","court","airline","retail","pilgrim","pressure","bank","takayama","world","million","oppose","human","european","canada","dos","allergic","vaccination","receive","administer","vaccinate","administer","receive","dose","state","supply","state","pharmacy","merck","end","vaccine","dos","manufacture","astrazeneca","us","supply","vial","company","manufacture","country","request","country","biden","biden","house","july","overall","proof","emergency","request"
"6","department","princess","board","westerdam","japan","grand","california","princess","navy","sailor","member","carrier","costa","flight","vatican","montreal","carrier","uniform","temperature","quick","major","victoria","victorian","tower","hospital","premier","jair","bolsonaro","brazils","kayapó","brazilian","group","user","crisis","due","rather","next","tour","hong","force","make","mutation","danish","vaccination","uks","first","first","pfizer","vaccinate","distribute","vaccinate","million","supply","administer","receive","federal","white","company","million","johnson","biden","plant","ship","moderna","commission","vaccine","billion","court","astrazeneca","government","will","production","million","july","office","four","tokyo","team","stand"
"7","screen","dock","yokohama","princess","quarantine","quarantine","crow","navy","passenger","military","princess","uss","port","mask","ship","airline","nypd","check","clean","agency","carrier","australian","andrews","australian","follow","travel","premier","breach","australian","victoria","court","identify","hospital","buy","capacity","eviction","price","economy","kong","next","work","danish","denmark","government","country","vaccination","worker","first","distribute","administer","distribute","dose","vaccination","federal","appointment","site","state","production","administration","house","dialysis","company","production","russian","old","court","expand","company","share","company","sullivan","distribute","dos","goal","celebration","contact","athlete","kenya","event"
"8","arrive","air","crow","american","crow","aboard","coast","crow","test","florida","comfort","roosevelt","nagasaki","wear","airport","canadian","air","ban","airline","safety","fire","ship","test","nsw","affiliate","walk","saturday","minister","station","brazil","participant","bolsonaro","attack","note","pilgrimage","marriage","pandemic","prevent","industry","compare","group","study","supplier","desantis","mhra","become","pfizerbiontech","vaccinate","receive","rollout","old","vaccination","administration","program","site","administer","zients","biden","merck","announce","end","million","emergent","allocation","order","buy","end","ensure","johnson","country","distribute","country","tour","make","biden","need","student","today","game"
"9","california","airport","dock","test","yokohama","san","dock","airport","crow","symptom","dock","police","onboard","airport","airline","trudeau","aircraft","test","vehicle","board","requirement","respondent","decree","lockdown","airline","brazilian","australian","indigenous","australias","kabu","protest","federal","statement","kanem","spa","change","commercial","world","full","cut","healthcare","strain","eu","illa","roll","dos","reaction","administer","worker","pfizerbiontech","receive","age","vial","site","federal","pharmacy","house","johnson","house","state","group","emergent","make","previously","million","manufacture","epidemic","waiver","global","supply","world","dos","vaccine","say","south","accord","law","director","village"
"10","american","test","westerdam","dock","japanese","coast","aboard","quarantine","defense","comfort","aboard","member","passenger","sailor","pope","air","mink","airport","positive","carrier","eu","flight","australian","bolsonaro","premier","treat","daniel","home","jair","demand","give","flag","supply","country","gottlieb","pandemic","gas","air","club","thanksgiving","avoid","volunteer","government","minister","pfizerbiontech","vaccinate","arrive","distribute","pfizerbiontech","first","rollout","people","facility","million","state","distribution","company","house","supply","office","white","batch","johnsons","pfizerbiontech","official","legal","promise","world","manufacture","sisodia","million","administration","country","country","white","people","sign","travel","brazilian"
"11","official","american","test","quarantine","aboard","california","board","disembark","pentagon","board","board","test","board","anzac","nypd","arrive","cruise","mission","travel","transportation","demand","source","delta","flight","regularly","spend","brazils","xingu","death","brazilian","protester","tui","black","poverty","concern","industry","boeing","top","pandemic","job","future","anvisa","infect","uk","western","receive","health","worker","dose","receive","pharmacy","care","vaccinate","administration","vaccinate","will","vaccination","vaccine","vaccine","white","ship","drug","morrison","authorize","moderna","dalai","business","poor","india","shot","biden","global","community","th","event","covid","require","postpone","effort"
"12","school","base","quarantine","disembark","disembark","crow","port","port","onboard","member","usns","crow","personnel","cruise","app","passenger","grime","nypds","cancel","travel","navy","investigation","bolsonaro","photo","sound","jair","melbourne","daniel","brazil","institute","fan","small","impact","vaccine","pandemic","household","poverty","short","job","airport","page","brasil","order","phase","approve","citizen","pfizer","health","first","deliver","people","old","senior","vaccination","million","resident","appointment","federal","staff","will","ready","us","plant","expect","quarter","lama","manufacture","trial","export","initiative","president","able","house","campaign","will","ability","prohibit","source","reduce"
"13","will","quarantine","port","japanese","onboard","japanese","guest","aboard","carrier","canal","onboard","positive","parade","face","flyover","fly","farm","trudeau","universal","check","policy","wear","suburb","police","actor","daniel","shire","record","criticize","block","contact","miss","small","production","saudi","half","recover","share","extend","drop","animal","coronavac","spread","der","commission","western","vial","distribution","facility","dose","care","vulnerable","state","provider","pharmacy","vaccination","vaccine","facility","vaccination","old","day","meet","allocation","week","end","delivery","indias","year","african","nation","official","say","say","biden","say","able","pernell","back","ministry"
