"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","say","say","student","need","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","rally","trump","trump","trump","fauci","trump","trump","trump","trump","trump","world","border","china","netanyahu","israel","plan","quebec","operation","canada","hotez","cuomo","travel","reiner","airline","paige","study","billion","year","year","school","school","school","school","school","school","school","school","school","guidance","foot","school","school","person","student","campus","student","school","school","school","school","city","york","cuomo","black","say","also","mandatory","south","festival"
"2","health","disease","say","think","administration","house","president","president","vote","president","president","president","president","president","china","white","white","president","redfield","president","trump","rally","penny","president","white","white","birx","birx","white","cdc","normal","world","world","lockdown","visa","test","stay","store","federal","professor","hungarian","order","close","transport","job","poll","dos","much","eve","open","rki","merkel","student","mask","mask","teacher","county","guidance","teacher","school","student","student","student","school","student","school","student","student","student","student","de","city","york","build","expect","end","french","however","travel"
"3","add","director","redfield","pandemic","house","penny","house","white","senate","white","house","task","governor","donald","intelligence","house","house","administration","kong","fauci","campaign","president","president","fauci","house","president","white","president","tweet","president","country","story","full","israel","emirate","rapid","home","retail","canadian","unite","minister","city","stock","countrys","open","researcher","bourla","game","outside","merkel","effect","close","mask","teacher","child","child","transmission","county","childcare","distance","learn","service","school","college","school","college","poll","reopen","teacher","district","blasio","school","new","mayor","mass","initial","macron","forecast","forecast"
"4","uk","health","risk","ryan","pandemic","president","white","house","stimulus","penny","white","fund","china","china","president","administration","china","convention","president","redfield","tulsa","white","rally","house","trump","fauci","house","deborah","true","pandemic","story","access","story","swaminathan","lockdown","abbott","local","care","trudeau","light","will","bubble","visitor","january","lopez","pilot","vaccine","market","event","situation","open","mask","reopen","study","teacher","cdc","distance","reopen","nashville","student","fund","staff","learn","puerto","university","enrollment","university","person","ventilation","person","school","cuomo","vaccination","now","vulnerable","track","announce","report","destination"
"5","dr","dr","time","say","president","white","penny","senate","house","house","task","white","house","wuhan","administration","president","administration","us","protester","task","president","campaign","house","white","president","task","fauci","white","secret","jha","global","family","border","will","china","store","gen","chain","osterholm","kudlow","quarantine","flight","point","reopen","positivity","island","publish","find","cdc","will","student","german","child","researcher","student","transmission","cdc","child","update","cdc","reopen","need","fully","investigation","expire","semester","dose","department","bill","virtual","mayor","de","rate","race","let","present","will","aug","gather"
"6","contact","uk","need","lot","white","administration","administration","administration","bill","bill","donald","economy","republican","task","wuhan","vice","president","house","us","house","oklahoma","penny","white","task","mcenany","house","president","dr","us","response","event","travel","fly","decline","foreign","rise","jury","open","safely","distance","federal","deny","market","will","month","compare","write","major","open","german","germany","allow","back","test","classroom","learn","red","social","home","teacher","department","guidance","university","semester","official","undergraduate","receive","district","study","blasio","offer","mayor","positivity","outcome","anything","full","uk","release","aug"
"7","disease","infectious","know","dr","fund","fund","republican","penny","package","stimulus","source","administration","donald","biden","originate","china","cdc","brazil","protest","disease","mask","task","force","event","discredit","brief","task","task","president","across","handle","life","great","sale","minister","million","china","mango","athlete","final","cambodia","traveler","level","traveler","lock","man","country","woman","alcohol","travel","close","lebanon","campus","adult","test","mask","zone","teacher","resident","cardona","education","department","instruction","statement","fall","mitigation","specific","return","researcher","option","york","blasio","base","city","commissioner","plan","restriction","ensemble","attend"
"8","virus","university","tell","moon","request","vice","rep","republican","democrat","think","want","house","us","official","house","secretary","political","american","house","protest","fauci","house","vice","republican","dr","briefing","force","tweet","expert","wuhan","biden","street","life","minister","arab","monday","chief","longterm","michael","halloween","plant","hong","composite","still","labor","trust","japan","walensky","outdoor","restaurant","child","college","dewine","age","cdc","reopen","teacher","care","school","guidance","person","education","teacher","source","end","decline","offer","california","program","campus","positivity","firework","setting","covid","sweep","company","test","carolina","greece"
"9","infectious","secretary","interview","really","azar","senate","vice","test","trillion","donald","organization","donald","task","election","donald","donald","donald","page","hong","dr","attend","tulsa","campaign","force","top","governor","kentucky","coordinator","house","world","us","country","free","restriction","restriction","disperse","court","personal","halloween","far","judge","relate","recovery","thank","nasdaq","spread","high","study","safety","limit","spring","february","teacher","infection","reopen","person","analysis","educator","eligible","six","address","relate","fulltime","andrew","administration","letter","remote","college","test","de","statistic","will","way","early","cant","vaccine","england","track","ireland"
"10","national","thai","newcastle","executive","response","billion","say","vote","president","pelosi","brief","governor","claim","house","us","dr","top","white","white","convention","event","vice","task","penny","interview","anthony","obrien","facebook","administration","water","busy","pandemic","end","world","thursday","distribute","guidance","closely","order","world","information","appeal","sp","word","adjust","delay","world","organize","fan","sturgeon","order","rki","kid","reopen","guidance","high","high","distance","program","update","back","university","attend","intelligence","airline","statement","seattle","cardona","hong","will","age","new","now","receive","income","another","contact","probably","international"
"11","symptom","vaccine","ask","infectious","penny","mike","familiar","brazilian","leader","package","pelosi","organization","white","inject","pompeo","fauci","us","carolina","force","white","white","force","mike","convention","comment","birx","dr","phase","together","read","big","tourism","shut","china","national","deploy","hospital","often","border","risk","doctor","legal","pfizerbiontech","reiner","benefit","find","half","sequence","postpone","lockdown","take","secondary","open","pcr","person","guideline","class","continue","strategy","physical","safely","back","guidance","complete","tsa","community","jha","access","kong","remote","parent","mask","may","accord","mix","apologize","lift","contact","africa"
"12","official","risk","uk","learn","billion","vote","brazilian","leader","senator","vice","administration","leader","administration","sign","chinese","hahn","fauci","donald","task","director","wear","administration","republican","vice","anthony","force","zone","think","comment","story","read","race","country","white","prayer","israel","beijing","facility","world","little","prevention","arrival","will","pfizerbiontech","market","journal","researcher","olympic","teacher","household","remain","disable","can","information","fit","red","guideline","control","physical","agency","cardona","fall","staff","us","commitment","among","department","campus","county","learn","kid","macys","long","vaccine","future","billion","wave","infection","risk"
"13","director","can","virus","director","senate","fauci","source","secretary","pelosi","american","pompeo","china","penny","brief","claim","redfield","american","virus","floyd","campaign","house","mike","birx","claim","administration","expert","governor","force","biden","park","nonessential","sweden","devastate","mark","murray","type","canadian","official","limit","face","agree","will","month","point","government","firefighter","quarter","nasdaq","publish","germany","german","elderly","resource","child","researcher","guidance","practice","practice","reopen","study","staff","guideline","release","news","ensemble","mexico","large","learn","person","bill","will","positivity","site","asian","economic","describe","day","addition","throughout"
"14","risk","institute","game","student","democrat","package","test","say","pass","administration","business","brief","brief","administration","white","mike","chinese","front","george","force","saturday","event","brief","donald","disease","deborah","deborah","false","seem","vaccine","tracker","tourist","travel","serious","netanyahu","however","thomas","plan","scenario","will","infrastructure","screen","kong","carrier","say","mandatory","income","sp","cancel","citizen","lockdown","education","classroom","super","learn","mitigation","mitigation","guideline","website","three","cdc","lift","campus","campus","anticipate","williams","statement","income","instruction","mayor","campus","effect","special","economic","delta","website","end","eligible","wednesday"
"15","need","public","england","fauci","us","meet","meet","bolsonaro","republican","vote","loan","intelligence","virginia","force","task","test","claim","jair","dr","cdc","tell","donald","mask","attend","secretary","convention","resurgence","house","cnn","senior","wave","quarter","january","first","will","shop","trudeau","global","championship","pend","treatment","cuomo","teacher","enter","initial","intensive","much","ceremony","allow","pm","university","forecast","mitigation","spread","study","community","reduce","conference","industry","apart","will","advise","cdc","directly","airport","ensemble","see","high","low","miamidade","bill","plan","shift","run","around","worry","monday","unite","death"
"16","spread","need","phase","risk","need","request","official","donald","deal","aide","american","source","american","army","mike","task","beijing","penny","familiar","administration","administration","slow","tulsa","harmless","statement","dr","anthony","campaign","post","turn","ambassador","full","economy","surge","point","crowd","alone","consider","facility","abbott","exercise","quarantine","blue","quality","slow","vaccine","study","forecast","school","stock","place","shop","ask","student","cloth","strategy","return","release","distance","education","billion","campus","activity","instruction","clear","fulltime","globally","restriction","maskwearing","offer","every","come","dose","de","travel","recovery","government","whether","include"
"17","use","time","dr","agree","american","pass","mike","mnuchin","white","get","package","world","romney","tweet","evidence","us","secretary","sunday","director","carolina","dr","tell","cain","mask","relationship","april","ohio","fauci","cdc","music","dream","economic","europe","case","country","announce","canada","good","night","establish","foreign","kong","direct","rally","low","evaluate","experience","open","due","production","robert","ihme","college","group","wear","county","recommend","statement","agency","recommend","progress","shelterplace","update","origin","affect","university","will","community","department","teacher","re","monday","without","intensive","time","surround","antibody","part","interview"
"18","will","obrien","chief","use","vice","leader","tell","bill","member","democratic","navarro","force","leader","white","official","selfquarantine","leadership","response","top","north","attendee","mask","cuomo","brief","infectious","jacksonville","expert","video","just","full","electronic","read","international","record","present","garden","official","policy","plan","lake","meet","singapore","session","lack","watch","respondent","find","lead","decide","restriction","restriction","experience","general","grassman","education","test","student","five","walensky","mask","update","ethnicity","march","ago","store","heart","target","clinic","policy","city","education","show","andrew","package","vaccine","package","podium","today","multiple"
