"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","patient","case","case","case","patient","county","county","man","positive","test","test","test","test","county","test","care","symptom","care","black","nurse","street","houston","houston","hospital","capacity","patient","vote","telehealth","election","election","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","white","trump","trump","trump","trump","trump","house","receive","biden","leave","guard","oxygen","guard","mask","test","test","transport","mandate","mask","mask","april","april","biden","vaccination","biden","biden","biden","white","biden","intelligence","biden","care","delta","can","swaminathan","need","tennessee","facility","court"
"2","case","patient","patient","yearold","woman","case","case","case","test","health","positive","plant","positive","test","positive","home","care","death","nurse","statistic","family","hotez","level","bed","hospital","hospital","election","ballot","vote","vote","republican","biden","president","president","china","president","president","white","president","president","trump","white","birx","president","ambulance","azar","white","biden","presidentelect","president","brazilian","guard","national","transportation","antigen","zoo","iata","mask","business","miami","old","old","state","state","american","administration","white","house","house","biden","fauci","look","variant","work","world","people","outreach","spokesperson","see"
"3","confirm","confirm","confirm","patient","yearold","patient","patient","die","health","positive","los","employee","nurse","positive","nurse","death","list","spain","death","death","sesame","medicine","barocas","capacity","quest","stop","hydroxychloroquine","husband","mail","mail","tweet","president","woodward","woodward","president","rally","house","house","rally","white","house","president","house","video","white","white","biden","presidentelect","team","office","pope","amazonas","troop","airline","result","gorilla","discussion","texas","mandate","police","eligibility","march","announce","house","house","white","administration","president","white","national","president","get","concern","get","still","vaccinate","fiscus","pay","cardona"
"4","health","woman","yearold","confirm","ministry","man","health","patient","patient","die","slum","positive","facility","death","county","england","death","woman","report","die","tropical","childcare","alert","available","demand","system","longterm","nagy","postal","postal","convention","ballot","harris","comment","us","life","white","president","interview","house","president","house","president","donald","tree","president","penny","joe","registry","place","francis","manaus","defense","federal","transportation","result","association","gov","lift","city","state","eligibility","adult","zients","white","us","american","biden","color","origin","national","investigation","get","see","variant","get","immunization","call","public"
"5","yearold","yearold","ministry","test","case","health","man","county","yearold","los","dharavi","woman","symptom","florida","department","resident","england","mourn","community","cumulative","neglect","gupta","storm","icu","icu","twitter","together","abbott","ballot","ballot","mail","voter","deadly","donald","unite","white","donald","event","adams","administration","comment","economy","white","appear","president","presidentelect","presidentelect","senior","administer","encourage","amazonas","federal","gen","poll","rule","lab","test","lift","city","savannah","carolina","open","eligibility","white","administration","dos","house","adult","unemployment","community","job","fauci","slavitt","secretary","even","community","fire","capital","health"
"6","ministry","man","hospital","woman","hospital","woman","confirm","health","die","county","health","angeles","death","angeles","plant","nurse","smell","simón","covid","report","song","gate","indicator","ahca","patient","lee","file","love","november","service","twitter","election","interview","play","house","house","vice","debate","campaign","science","rt","donald","task","house","service","official","vice","helpful","office","clear","manaus","coari","cox","mandate","traveler","domestic","airline","abbott","face","beach","anyone","anyone","eligible","get","president","house","president","vaccination","american","virus","american","director","say","say","international","can","message","chinese","executive"
"7","test","ministry","woman","ministry","positive","ministry","woman","ministry","case","angeles","covid","tyson","longterm","los","symptom","facility","home","ons","care","cause","africa","harris","sustain","hidalgo","end","longterm","mail","mail","absentee","voter","store","democratic","bob","march","response","donald","life","campaign","azar","meadow","fire","powell","speak","white","fund","house","trump","white","leave","fear","national","court","michigan","order","domestic","cnn","partner","business","gov","johnson","open","state","vaccination","plan","get","plan","us","federal","administration","president","email","dr","community","like","provide","guidance","effort","contain","quarantine"
"8","man","test","th","singapore","confirm","confirm","total","positive","ministry","yearold","patient","symptom","home","report","heart","statistic","loss","die","datum","covid","play","peter","seven","county","surge","perus","storm","obituary","voter","machine","focus","donald","want","bob","assembly","debate","wear","ad","mask","mark","claim","campaign","force","let","house","wear","receive","serious","square","receive","vatican","dc","christian","board","airline","sequence","veteran","governor","texas","require","march","wisconsin","plan","gov","employee","astrazeneca","get","program","federal","virginia","childcare","think","people","past","think","closely","child","residence","team"
"9","hospital","health","man","man","man","new","ministry","death","man","patient","die","lab","desantis","facility","lama","wale","sense","count","population","care","town","home","ohio","judge","already","execution","lee","trump","service","letter","agency","vote","trust","want","nation","wear","penny","biden","white","campaign","post","adviser","brief","student","american","american","joe","just","joe","hold","overdose","holmes","general","park","mask","perform","current","greg","require","mayor","expand","plan","april","announcement","site","share","adult","vaccine","effort","investigation","get","lab","know","people","without","cnns","speak","hoyer","begin"
"10","january","total","two","bring","test","yearold","presumptive","yearold","death","hospitalize","case","case","county","resident","care","office","anosmia","cause","die","bolsonaro","gupta","dr","bed","quest","care","nichols","cast","newspaper","invite","november","company","nominee","know","interview","donald","biden","american","rally","korea","vice","yet","job","forecast","cite","campaign","sign","vaccine","line","vice","biden","air","trujillo","hospital","wear","anna","partner","recovery","mayor","statewide","gov","plan","resident","resident","say","vaccination","vaccine","goal","american","benefit","claim","goal","really","american","american","work","decision","cnn","hall","case"
"11","woman","bring","singapore","total","total","total","new","condition","condition","care","detroit","los","die","department","facility","rate","add","uk","woman","argue","abby","tropical","pretty","labcorp","now","request","strategy","firefighter","lopez","campaign","vote","joe","play","journalist","comment","mask","administration","joe","house","donald","administration","task","morris","metric","th","donald","mike","name","cnn","barrier","pazuello","shortage","member","security","pete","recommend","ongoing","mississippi","governor","business","south","gov","deadline","adult","slavitt","official","vaccine","ride","program","fauci","benefit","important","reason","help","activity","re","psaki","unvaccinated","law"
"12","accord","positive","health","history","two","cuomo","bring","confirm","prince","doctor","county","county","body","examiner","york","worker","die","excess","visit","official","sing","baylor","increase","nirenberg","move","agency","action","protective","dejoy","right","democratic","tweet","mason","early","death","troye","harris","mask","wear","technology","washington","elbayoumi","pandemic","example","without","office","richmond","birx","white","improve","vaccination","capital","shot","airport","cnn","operation","six","move","austin","open","age","expand","open","slavitt","senior","fda","effort","site","slavitt","official","unemployment","just","good","disease","everyone","transmission","highly","increase","last"
"13","isolation","january","condition","hospital","health","condition","positive","woman","accord","case","angeles","age","plant","patient","health","city","spector","toll","journalist","community","disease","malik","infectious","increase","soar","responsible","facility","visit","usps","president","service","push","reporter","know","let","event","mask","donald","fauci","pandemic","message","free","mask","dog","event","biden","azar","briefing","long","take","collapse","send","deploy","announcement","require","genomic","requirement","restriction","wear","issue","may","eligible","slavitt","offer","shot","psaki","shoot","get","community","animal","action","know","social","concern","pandemic","remove","push","decline","implement"
"14","symptom","stable","test","south","bring","positive","department","first","coronavirus","symptom","nurse","food","resident","medical","dalai","excess","vantam","york","longterm","health","hill","tuckson","fear","care","approach","gaynor","question","post","trump","plan","pennsylvania","presidential","election","tell","think","pandemic","sen","reed","presidential","giroir","birx","election","donald","charge","rio","executive","senior","bidens","get","care","carolina","national","dc","defense","travel","michigan","involve","order","employee","arrest","virginia","north","white","senior","eligible","tope","announce","shoot","president","lab","white","scientific","uk","report","time","general","mat","sure","federal"
"15","contact","two","cluster","kcdc","island","hospital","release","accord","confirm","ferrer","levine","diagnostics","retest","california","tyson","cause","staff","figure","high","datum","cadabby","dean","unlikely","zero","rapidly","tennessee","twitter","reduce","census","poll","delay","theater","campaign","wear","address","misinformation","presidential","walter","administration","staff","atla","pandemic","probably","cost","probably","conversation","official","say","transition","production","oxygen","city","amazon","palace","injunction","online","announcement","county","restriction","governor","north","mandate","expand","site","state","will","next","administration","us","institute","month","former","spread","one","vaccine","measure","hear","border","small"
"16","two","condition","three","officer","february","travel","yearold","coronavirus","charles","accord","symptom","contact","inmate","february","immigrant","positive","wale","datum","cdc","train","character","birth","spread","command","supply","enough","complaint","claim","obrador","box","campaign","board","book","virus","life","without","debate","context","leadership","personal","campaign","tackle","give","lift","charge","joe","president","want","television","us","brazil","paulo","brazils","passenger","zoo","life","winter","open","state","officer","vaccination","vaccination","hawaii","expand","pay","president","will","effort","people","effort","july","allergy","former","cdc","people","regardless","license","strong","schedule"
"17","condition","hospital","bring","person","contact","bring","recently","total","statement","hospital","resident","covid","staff","symptom","food","mortality","covid","may","white","main","elmo","severe","party","weekend","buy","carolina","management","vote","presidential","democratic","harris","failure","tell","mask","ambassador","former","disease","american","hear","penny","donald","struggle","notice","contract","way","save","physician","strong","president","die","utilize","brazil","court","rule","department","write","say","wear","requirement","florida","everyone","johnson","senior","appointment","remark","country","july","remark","senior","human","bidens","behavior","encourage","clear","border","ventilation","project","group","hear"
"18","statement","th","total","health","discharge","recently","identify","hospitalize","symptom","intensive","mumbai","iowa","care","mayor","employee","among","among","hospital","arrest","mortality","kid","brookings","hotez","dewine","bed","behavior","biden","voter","letter","presidential","save","statistic","biden","sisolak","right","top","political","response","biden","joe","election","time","wear","reporter","letter","campaign","say","physician","vaccine","cnn","healthcare","brazils","manaus","spokesperson","requirement","official","help","statement","call","spread","dakota","kentucky","get","resource","tout","adviser","reach","will","encourage","emerge","add","goal","alpha","delay","cnns","physical","ensemble","far","mask"
"19","three","return","positive","link","release","isolation","hospital","department","covid","covid","care","pregnant","employee","false","pork","test","taste","worker","find","woman","friend","family","know","clay","repeatedly","gov","promote","absentee","moment","union","election","crisis","question","house","say","lose","full","life","gelber","claim","rally","force","quickly","read","view","aim","want","resource","receive","put","improve","place","discussion","american","delta","eight","take","statewide","houston","crowd","vaccinate","maryland","house","eligible","business","million","shot","slavitt","meet","federal","house","white","vaccinate","doesnt","community","mean","can","recent","fast"
"20","positive","isolation","isolation","recent","say","two","hospitalize","report","spain","confirm","accord","death","sample","staff","angeles","ons","cough","outbreak","april","african","covid","present","something","dress","little","freeze","claim","bankruptcy","president","give","crisis","absentee","job","governor","white","crisis","response","fauci","claim","control","follow","publicly","adviser","restriction","currently","unite","public","regular","decline","month","bolsonaro","state","washington","handle","fake","quickly","announce","decision","greg","mandate","gov","arkansas","today","arkansas","vaccinate","review","appointment","want","shot","month","big","add","senior","due","dr","agency","understand","represent","reason"
"21","four","care","link","condition","fever","statement","two","person","hospital","prince","pennsylvania","nurse","case","plant","shock","mujinga","hospital","patient","child","moscow","cnn","level","enough","harris","trend","simple","save","mandate","meet","cast","box","certificate","mask","hall","march","leave","diagnosis","take","attack","message","russian","society","mike","washington","save","plan","office","executive","mike","life","brasil","defense","military","train","air","fund","currently","announce","issue","state","yet","announce","office","mass","put","yet","official","regard","enter","us","people","evidence","walensky","easily","enough","institute","decision","employee","mayor"
