"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","case","death","death","death","death","death","china","case","case","case","case","case","case","case","case","case","case","death","case","case","case","death","ministry","ministry","ministry","ministry","case","case","case","death","case","case","case","ministry","case","infection","case","case","record","death","record","daily","case","death","death","case","case","case","record","uk","death","uk","uk","lockdown","minister","lockdown","restriction","ministry","uk","prime","lockdown","lockdown","case","measure","oxygen","hospital","case","case","case","case","case","case","death","migrant","report","case","death","white","white"
"2","confirm","case","report","report","mainland","china","case","china","china","china","total","death","death","death","total","total","total","case","death","death","death","ministry","death","death","death","case","death","ministry","death","case","death","ministry","death","case","death","case","daily","record","new","per","patient","death","death","record","infection","infection","infection","death","death","case","uk","record","lockdown","countrys","province","priority","minister","british","country","infection","easter","measure","wave","death","delhi","oxygen","india","death","death","india","death","death","total","case","state","child","cuba","psaki","psaki"
"3","death","total","hubei","hubei","case","case","death","death","death","total","death","numb","total","total","death","death","death","total","ministry","ministry","total","case","report","case","case","total","record","total","numb","ministry","ministry","death","india","total","new","region","increase","country","country","czech","daily","numb","ministry","case","case","numb","tokyo","infection","japan","lockdown","record","lockdown","prime","case","countrys","countrys","lockdown","brazilian","speak","french","measure","minister","minister","lockdown","hospital","record","lockdown","lockdown","india","death","record","datum","surpass","pandemic","represent","covid","total","wen","house"
"4","province","confirm","case","mainland","report","total","report","report","import","death","numb","total","ministry","numb","numb","numb","numb","ministry","total","total","ministry","total","countrys","total","countrys","death","ministry","record","ministry","record","total","brazil","ministry","india","record","ministry","record","countrys","czech","case","new","case","total","ministry","total","death","countrys","lockdown","case","minister","total","england","minister","restriction","ministry","minister","uk","government","wave","wave","minister","restriction","new","curfew","ministry","death","death","indian","fungus","report","uk","uk","late","since","covid","death","case","offit","justice"
"5","china","province","province","province","province","daegu","province","new","total","italy","new","ministry","numb","report","ministry","report","ministry","numb","record","record","report","report","case","record","health","toll","total","death","total","total","numb","total","total","death","numb","death","country","increase","case","daily","numb","country","report","new","new","record","germany","christmas","ministry","record","case","ministry","decline","uk","country","uk","england","spread","public","minister","french","country","india","india","indian","ministry","hospital","india","black","ministry","warn","account","minister","authority","case","condition","wednesday","guideline","program"
"6","mainland","numb","toll","case","china","mainland","hubei","country","new","numb","report","record","report","new","countrys","cluster","brazil","confirm","brazil","report","bring","countrys","total","countrys","toll","report","report","numb","report","mexico","report","numb","brazil","record","country","country","ministry","infection","countrys","republic","case","countrys","countrys","toll","toll","germany","record","japanese","infection","england","germany","minister","death","mcgowan","iran","restriction","prime","lockdown","export","castex","will","easter","curfew","country","india","case","delhi","report","numb","fungus","detect","report","us","spectator","death","report","weekend","issue","way"
"7","numb","hubei","mainland","china","total","province","wuhan","import","province","infection","china","increase","infection","infection","new","confirm","report","report","toll","countrys","confirm","toll","new","report","sunday","countrys","new","infection","countrys","brazil","new","countrys","numb","infection","ministry","india","infection","new","daily","intensive","intensive","record","numb","numb","bring","new","new","welsh","toll","daily","countrys","home","country","minister","restriction","infection","government","measure","coronavirus","region","countrys","france","country","ministry","government","supply","patient","nepal","record","black","coronavirus","daily","case","limitation","child","vaccination","sunday","booster","goal"
"8","hubei","toll","numb","toll","hubei","toll","south","total","italy","record","toll","report","singapore","singapore","report","record","cluster","toll","numb","brazil","new","country","toll","new","brazil","numb","toll","report","record","numb","record","record","world","toll","daily","countrys","countrys","europe","infection","high","hour","france","country","high","countrys","total","fatality","coronavirus","countrys","total","high","death","ministry","prime","tyrol","government","march","uk","figure","government","case","patient","measure","case","minister","delhi","oxygen","indias","patient","state","report","india","canada","hour","weekly","prevention","toll","re","secretary"
"9","region","die","total","numb","toll","report","new","korea","report","toll","record","infection","countrys","confirm","patient","brazil","confirm","new","health","bring","numb","bring","bring","health","total","new","countrys","new","bring","new","brazil","report","toll","new","europe","france","rise","patient","ministry","record","total","toll","record","countrys","ministry","lockdown","japan","rise","total","government","since","daily","countrys","survey","case","germany","incidence","coronavirus","prime","surge","france","french","record","record","indias","patient","indias","wave","countrys","minister","thursday","modi","positive","death","hospitalization","breakthrough","numb","follow","jen"
"10","total","mainland","confirm","total","south","south","mainland","toll","hubei","country","ministry","toll","record","spike","record","seoul","hour","brazil","bring","numb","countrys","new","numb","toll","report","record","high","country","new","countrys","toll","toll","record","numb","total","restriction","patient","report","death","country","country","total","new","report","record","report","death","medical","numb","prime","lockdown","countrys","johnson","australia","lockdown","case","record","countrys","lockdown","measure","ministry","macron","indian","festival","high","indian","record","ministry","report","indian","daily","state","week","public","number","find","ministry","rate","save"
"11","report","baby","commission","number","daegu","hubei","korea","infection","toll","countrys","infection","bring","new","dormitory","infection","patient","south","record","report","health","health","brazil","health","confirm","numb","health","infection","countrys","country","confirm","hour","infection","accord","country","lockdown","merkel","total","daily","hour","ministry","hospital","germany","daily","infection","high","ministry","ministry","toll","daily","tokyo","bring","nhs","london","extend","new","johnson","germany","infection","ongoing","lockdown","shop","april","ministry","wave","wave","india","report","record","indian","infection","mark","country","prime","end","week","among","record","house","put"
