"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hong","hong","kong","kong","kong","school","school","school","school","school","school","election","school","reopen","reopen","reopen","reopen","reopen","reopen","reopen","reopen","reopen","bar","restaurant","restaurant","restaurant","hong","rio","restaurant","restaurant","hurricane","hotel","store","fit","flight","pelosi","stimulus","pelosi","pelosi","election","voter","forecast","giroir","target","treatment","jones","desantis","desantis","pharmacy","european","facility","smell","european","european","vaccine","european","european","pope","production","transplant","india","airline","são","marine","party","election","pradesh","government","rural","poll","college","park","white","zone","board","fauci","happen","transmission","walensky"
"2","kong","kong","hong","hong","hong","employee","district","will","close","employee","vote","vote","student","will","will","will","phase","will","phase","allow","phase","phase","reopen","bar","indoor","police","beach","janeiro","hong","lamp","storm","county","go","athlete","airline","mnuchin","talk","talk","stimulus","stimulus","poll","ensemble","kid","swaminathan","hh","access","florida","european","european","facility","expectancy","memo","eu","vaccine","production","eu","eu","european","review","location","double","cause","brazil","bolsonaro","election","party","party","ivermectin","crow","trust","shop","grand","schedule","must","conference","disease","county","cdc","people"
"3","mask","strike","pipe","resident","fashion","event","student","close","student","will","close","school","reopen","allow","school","school","will","june","will","will","will","park","restaurant","park","outdoor","card","kong","hong","mayor","limit","laura","labor","york","mask","passenger","deal","house","trillion","house","pelosi","vote","human","unemployment","year","gao","agent","container","florida","employee","eu","life","send","astrazeneca","ireland","pfizer","ascension","production","vatican","six","lung","mumbai","player","sputnik","efficacy","congress","rally","kerala","fraud","county","ice","shot","mcmaster","park","part","covid","infectious","see","people","breakthrough"
"4","lam","lam","build","police","resident","march","will","primary","reopen","furlough","election","voter","will","salon","allow","allow","allow","phase","allow","open","indoor","restaurant","indoor","limit","close","order","party","de","city","capacity","restaurant","york","surround","adf","air","house","package","republican","election","stock","supply","city","town","organization","act","system","employee","airline","airline","department","chain","scale","union","eu","company","pfizer","union","leader","update","donor","gavi","major","bolsonaro","covax","west","bengal","court","oli","secretary","county","partnership","month","small","prize","must","director","los","area","disease"
"5","border","border","resident","roll","measure","student","university","election","april","year","court","store","sanchez","restaurant","phase","restaurant","june","allow","june","capacity","park","july","dine","reopen","park","outdoor","gathering","restaurant","kong","event","county","door","texans","quarantine","group","stimulus","money","senate","deal","point","morning","model","berlin","say","economy","fire","company","ema","member","modernas","reduction","medium","commission","astrazeneca","der","production","summit","israel","play","apple","covax","game","pakistan","brostrøm","bengal","bjp","state","executive","take","respondent","provide","due","event","region","datum","allergy","want","walensky","dr"
"6","mainland","union","worker","ukrainian","event","close","march","postpone","will","park","wisconsin","will","allow","restriction","student","outdoor","school","league","resume","limit","retail","business","will","gov","dine","dog","visitor","party","fair","employee","hotel","philharmonic","door","hotel","member","democrat","pelosi","kudlow","mnuchin","deal","north","projection","forecast","smith","organization","gun","tray","employee","degree","vaccine","puurs","halt","standard","commission","von","island","bourla","adult","group","kentucky","reduce","national","bangladesh","medium","gandhi","hold","madhya","party","diagnose","clear","business","state","family","white","two","anthony","really","guidance","director"
"7","face","hospital","lam","quarantine","cancel","festival","close","student","election","april","voter","student","business","school","restriction","phase","restaurant","park","restriction","phase","capacity","disney","park","close","bar","restriction","hate","kong","beach","rural","louisiana","restaurant","right","image","call","airline","still","mnuchin","speaker","talk","attack","gain","parliament","berlin","report","scientist","spin-dry","eu","facility","ema","european","european","supply","french","commission","vaccine","manufacture","production","ceo","worker","cause","season","covax","call","rally","west","west","state","vial","vulnerability","initiative","johnson","local","scholarship","will","say","angeles","high","cdc"
"8","government","kongs","kongs","toilet","city","sport","closure","event","university","student","year","rule","shop","nail","restaurant","spain","distance","distance","open","indoor","restaurant","will","close","dine","order","dine","bar","city","company","pizza","coast","authority","england","flight","vote","speaker","support","stimulus","senate","mnuchin","election","zoom","ensemble","special","access","officer","maintain","furloughed","eu","netanyahu","estimate","temporarily","export","medicine","produce","uk","passport","danish","italy","perform","team","league","criticize","top","leader","commission","andhra","order","lose","people","vaccine","may","part","will","australian","low","get","mask","delta"
"9","kongs","demand","mongolia","border","sport","district","class","closure","closure","disney","beach","court","phase","open","region","region","region","conference","shop","restriction","outdoor","dine","gov","will","allow","indoor","gym","gathering","airport","hut","abbott","macron","precaution","australian","dog","furlough","major","house","bill","still","expect","doesnt","desk","migrant","country","datum","send","der","access","contract","temporarily","withdraw","mask","union","european","commission","produce","francis","european","map","carry","baseball","blame","west","hold","poll","vote","confidence","isolate","little","local","official","capital","bar","sure","need","address","prevention","infection"
"10","resident","staff","building","build","regional","company","event","april","company","company","mail","open","return","business","distance","monday","restriction","ease","service","outdoor","allow","indoor","allow","monument","seat","open","indoor","order","walsh","location","dinner","iata","offer","member","pass","talk","trillion","offer","democrat","dow","monday","individual","monoclonal","model","unemployment","department","trudeau","leyen","spokesman","garcetti","latino","resort","production","supply","eu","ceo","ceo","visit","meet","file","investigate","tier","jair","denmark","energy","guideline","election","loan","basis","strategy","know","drive","lender","enter","term","friday","regardless","wear","unvaccinated"
"11","will","carrie","floor","officer","league","cancel","april","schedule","announce","close","primary","extension","meter","shop","salon","june","remain","open","can","business","can","disneyland","phase","allow","limit","sit","rhode","island","store","dine","tropical","cut","small","sydney","identify","proposal","decision","white","agreement","speaker","action","christmas","demonstration","around","program","florida","ice","von","tell","prison","vaccine","facility","delivery","restrict","ireland","dewine","back","trip","developer","benefit","cell","flight","vulnerable","conversation","public","vote","government","parliament","lopez","ago","term","contract","national","dollar","thing","center","unvaccinated","disease","even"
"12","macao","vote","sevens","public","milan","learn","cancel","gov","ford","exam","will","phase","store","remain","business","open","minister","school","activity","restaurant","dine","allow","plan","gym","center","bar","shut","election","gathering","offer","shelter","yorks","reopen","check","flag","congress","negotiation","relief","nancy","open","run","account","navy","macys","global","send","smith","ursula","commission","release","ema","act","bloc","agency","quarter","company","green","say","kentucky","collins","product","contact","game","gao","pandemic","count","count","program","roll","top","can","let","business","grand","final","like","tedros","substantial","variant"
"13","school","mainland","yuen","supermarket","school","seattle","employee","employee","notice","election","ballot","close","close","measure","minister","remain","train","season","restaurant","resume","seat","outdoor","county","capacity","activity","announcement","restriction","baker","plan","hong","havana","gov","super","cardiac","recommend","trillion","airline","proposal","negotiation","market","know","yet","never","may","model","country","temperature","province","guard","tell","eu","canada","company","spahn","nhs","immunity","zahawi","enough","commerce","economy","struggle","individual","total","reach","emission","bharatiya","investigation","pradesh","brazil","home","us","visitor","university","edwards","labor","start","test","delta","prevention"
