"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","case","less","less","less","case","case","europe","border","russian","russian","jail","european","german","germany","merkel","germany","organization","global","refugee","global","market","beijing","outbreak","outbreak","china","winter","tedros","tedros","zealand","zealand","new","border","food","hong","canadian","bannister","cut","live","capital","asymptomatic","asymptomatic","poll","bell","mask","mcconnell","fund","deal","bill","bill","house","biden","biden","biden","relief","president","house","bill","biden","bill","biden","biden","business","get","access","california","cylinder","passenger","library","hate","employee","even","delhi","card","since","announcement","people","misinformation","take","booster"
"2","confirm","case","case","case","death","death","travel","european","german","german","detainee","europe","merkel","putin","germany","eu","world","china","lockdown","lockdowns","beijing","outbreak","china","transmit","hong","guidance","convention","survey","ardern","new","zealand","minister","bubble","food","whitty","hotel","love","slow","baker","xinjiang","xinjiang","election","county","travel","house","stimulus","leader","stimulus","trump","year","presidentelect","administration","administration","republican","relief","bill","biden","american","president","president","inequity","save","republican","fact","longterm","pmcares","district","restaurant","crime","biden","american","age","benefit","claim","another","biontech","murthy","misinformation","shot"
"3","china","death","korea","death","less","europe","restriction","travel","merkel","russia","county","russia","european","russia","eu","european","resolution","world","cyclone","china","outbreak","plant","beijing","china","team","kelly","milwaukee","antibody","auckland","ardern","zealands","case","hong","program","already","suarez","feel","suffer","situation","china","iran","amid","poll","thanksgiving","leader","republican","aid","package","relief","economic","administration","trump","house","biden","committee","democrat","wage","increase","payment","administration","relief","small","biden","trace","need","festival","voyage","de","biden","employer","people","vaccination","roughly","unemployment","confirm","protect","white","thursday","september"
"4","sars","mainland","kill","unite","korea","country","ban","restriction","russia","flight","european","macron","eu","merkel","european","league","china","xi","indias","sale","cluster","meat","lockdown","locally","ramaphosa","uk","europe","italian","new","auckland","case","extend","kong","government","northam","victoria","result","experience","ibrahim","kashgar","case","leader","breast","security","relief","relief","stimulus","billion","payment","vote","plan","president","trump","democrat","trump","senate","house","woman","stimulus","bill","help","homeless","mcconnell","organization","uc","oxygen","officer","public","stop","office","worker","support","effect","labor","essential","staff","share","james","country"
"5","mainland","country","unite","december","iran","territory","european","country","border","germany","sheriff","eu","germany","chancellor","chancellor","game","assembly","australian","lockdowns","korea","china","test","asymptomatic","hong","kong","season","emergency","political","zealands","case","minister","beijing","six","scharf","resort","victorias","business","tedros","wallonia","test","mass","ballot","democrat","passenger","democrat","bipartisan","relief","relief","check","republican","joe","executive","president","house","house","biden","democrat","harris","house","american","migrant","leader","poll","follow","facility","erdogan","restaurant","store","asian","get","company","kejriwal","increase","news","executive","time","house","spread","call"
"6","thailand","outside","death","philippines","outside","continent","unite","spain","putin","diplomat","cook","putin","chancellor","potato","russia","season","support","organization","global","growth","xinfadi","chinese","case","kong","animal","official","organization","ghaly","transmit","zealands","transmit","wed","chief","phase","canada","die","die","herd","midnight","yearold","china","worker","bill","tsa","proposal","liability","democrat","congress","stimulus","line","bidens","order","white","budget","biden","pass","vote","member","biden","law","billion","thing","likely","encourage","problem","unprecedented","cruise","blasio","vote","american","way","poll","take","department","family","company","biden","facebook","germany"
"7","spread","philippines","territory","mainland","mainland","italy","case","ban","european","plane","flight","county","jail","germanys","angela","german","xi","discuss","modi","mumbai","link","china","nhc","cluster","ryan","senior","mortality","italy","bloomfield","locally","auckland","attend","singapore","facility","foreigner","bell","star","consecutive","office","mass","kashgar","island","wear","holiday","republican","bill","bill","pass","president","trade","reserve","federal","psaki","bill","administration","relief","relief","plan","check","relief","impact","chicago","leader","contact","police","security","business","york","law","urge","tedros","card","employee","detect","host","cell","surgeon","press","less"
"8","people","japan","mainland","detect","south","first","germany","flight","flight","fly","union","germany","europe","belgian","putin","player","call","africa","maharashtra","lockdown","wholesale","market","anxin","chinese","origin","prepare","community","emergency","locally","transmit","bloomfield","venue","case","cynon","trudeau","mikakos","unlikely","side","minister","leader","shufu","selfquarantining","critical","store","senate","billion","package","trump","senate","floor","warp","white","goal","senate","bill","package","minimum","moment","earn","republican","bill","ontario","rio","user","explain","focus","service","fund","american","information","kroger","proof","adjust","investigate","military","failure","important","share","moratorium"
"9","country","confirm","philippines","korea","italy","mainland","uk","eu","germany","commercial","german","german","angela","russian","greece","reproduction","global","tedros","round","supply","food","worker","jewish","import","deal","still","still","visit","facility","prime","locally","restriction","package","rhondda","government","inquiry","story","become","belgian","identify","report","large","large","online","democratic","congress","billion","president","sign","oil","relief","briefing","supply","resolution","package","committee","senate","authority","will","promote","effort","scare","idea","expose","group","development","bring","location","incident","incentive","health","county","friend","insurance","response","hospitalize","president","world","eviction"
"10","numb","infect","country","outside","asia","vietnam","trump","germany","moscow","merkel","airline","sheriff","russia","german","russian","europe","european","australias","restriction","economic","chinese","factory","import","authority","detail","stockpile","re","source","close","jacinda","extend","transmit","source","taf","regulation","shirley","live","indoor","brussels","dangerous","million","county","zealand","checkpoint","bill","senate","congress","payment","mcconnell","rep","immediately","house","joe","vote","white","president","president","business","american","house","child","available","encourage","relate","care","public","ship","new","justice","top","political","period","experience","maryland","secretary","investigation","general","good","world"
