"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","year","year","economy","economy","point","stock","market","airline","stock","business","business","billion","billion","billion","million","billion","vote","economic","claim","economy","billion","billion","unemployment","company","fund","billion","republican","stimulus","trump","fund","meadow","nasdaq","bill","stimulus","tedros","ka","claim","trump","immunity","president","test","test","test","test","quarantine","test","test","uk","variant","flight","passenger","player","travel","quarantine","quarantine","auckland","travel","enter","hogan","tournament","export","russian","olympic","guest","migrant","quality","job","olympic","game","olympic","game","johnson","johnson","medicaid","official","region","report","house","daughter"
"2","lunar","lunar","plant","business","drop","market","stock","billion","market","small","bank","airline","program","quarter","unemployment","job","bill","billion","million","billion","economic","economic","job","million","policy","republican","unemployment","job","executive","senate","house","job","vote","vote","house","mauri","benefit","test","herd","immunity","symptom","passenger","positive","positive","test","giuliani","quarantine","test","test","test","uk","flight","quarantine","test","hotel","lockdown","quarantine","order","yacht","hope","eu","eviction","korea","inquiry","emergent","olympic","economy","japanese","tokyo","tokyo","party","jj","will","will","link","intervention","increase","rule","cnn"
"3","new","holiday","business","million","market","point","airline","stock","business","bank","economy","program","business","demand","pledge","package","job","vote","job","price","stock","fund","billion","fund","cut","senate","senate","senate","unemployment","benefit","unemployment","claim","stimulus","senate","estate","cusimano","million","conley","claim","argue","fda","guest","grassley","campaign","positive","positive","french","flight","ban","variant","test","quarantine","police","hotel","test","zealand","international","israeli","outdoor","club","commission","moratorium","osaka","japan","train","athlete","way","respondent","olympic","game","miami","dos","plant","million","restriction","much","region","floor","kelly"
"4","holiday","gamble","auto","year","dow","cut","trade","flight","billion","stock","billion","fund","million","economy","billion","unemployment","billion","company","labor","stock","open","forecast","million","program","mcconnell","fund","bill","pelosi","benefit","democrat","economy","republican","republican","house","global","gun","recovery","president","president","nov","antigen","wed","quarantine","georgia","contact","airline","positive","travel","passenger","quarantine","airline","test","hotel","australian","government","ski","lockdown","scheme","personal","master","putin","regional","tokyo","south","thousand","tokyo","leather","tokyo","cancel","japan","life","expire","dewine","border","tighten","national","country","mask","house"
"5","cancel","billion","impact","company","index","year","oil","cut","airline","airline","unemployment","claim","package","company","economic","million","economy","hassett","program","point","million","million","fund","job","kudlow","proposal","stimulus","side","action","stimulus","bill","house","senate","pelosi","grant","harrison","thursday","virus","unfortunately","political","korea","ship","korea","loeffler","symptom","passenger","macron","ban","uk","travel","country","australian","traveler","home","travel","quarantine","border","still","friday","limit","kremlin","research","prefecture","tokyo","inspection","air","pandemic","poll","japanese","emergency","goal","game","batch","family","local","covid","european","republican","trump"
"6","chinese","visitor","company","bank","stock","dow","drop","market","loan","unemployment","airline","stock","loan","year","norwegian","money","million","million","loan","fall","economy","price","labor","business","economic","stimulus","mcconnell","democrat","democrat","house","pelosi","package","mcconnell","leader","benefit","claim","stand","immune","trump","september","infection","per","meet","tweet","negative","sample","prime","france","traveler","south","travel","open","hong","player","open","travel","allow","paris","will","safe","russian","safe","south","paralympic","prefecture","japan","plan","question","athlete","athlete","shoot","vaccine","fda","official","africa","ability","healthcare","rep","kid"
"7","beijing","economy","part","outbreak","sp","low","dow","economy","economy","economic","economic","bank","fund","loss","company","tourism","lose","app","employee","million","dow","decline","economic","loan","another","money","house","house","schumer","bill","nasdaq","stimulus","democrat","benefit","leader","income","process","long","infect","cdc","false","south","airline","sen","airline","flight","negative","passenger","negative","uk","france","travel","restriction","south","passenger","pm","weekend","proposal","must","time","peskov","extend","japans","japans","quality","australian","olympic","game","way","osaka","house","tokyo","dos","subject","attend","able","numb","member","television"
"8","outbreak","macao","industry","impact","financial","economy","index","loan","dow","market","program","file","trade","job","business","euro","economic","unemployment","high","market","congress","federal","market","employee","government","gop","benefit","talk","federal","billion","senate","billion","good","democrat","sovereign","help","disease","claim","last","taiwan","south","korea","senate","negative","experience","sunday","president","kent","flight","country","variant","tennis","flight","travel","ban","authority","authority","leave","spend","personal","shipment","serbia","relay","africa","worker","stock","industry","japans","hold","japans","olympic","million","official","increase","chief","abroad","week","wear","giroir"
"9","day","tourism","year","many","fall","index","cut","trade","company","payment","small","market","airline","bank","aid","economic","sector","worker","economy","economic","sp","demand","dow","pandemic","also","house","proposal","negotiation","mnuchin","pelosi","sp","senate","business","talk","crown","record","assistance","evidence","declaration","refuse","negative","walz","republican","guideline","seven","kit","airport","port","require","negative","negative","restriction","negative","australia","uk","ban","will","support","april","weather","diplomat","europe","kdca","due","bus","many","ago","ahead","japan","torch","tax","ohio","basis","coronavirus","wear","access","variant","report","another"
"10","will","operation","hit","billion","bad","investor","industry","economic","package","low","cut","dow","small","fund","demand","economy","democrat","employee","unemployment","drop","euro","claim","program","brother","worker","cut","white","trump","president","postal","legislation","stock","leader","proposal","money","virtual","program","negative","brazilian","pope","prevention","seadream","precaution","flight","reduce","rudy","minister","suspend","arrive","require","flight","positive","ban","traveler","mandatory","test","ban","government","traveler","hybrid","tomorrow","firm","torch","secure","return","another","april","athlete","can","osterholm","renew","set","mexicos","amid","unite","accord","worker","face","mother"
"11","many","drop","factory","china","company","rate","economic","financial","benefit","billion","payment","sp","ma","million","airline","quarter","relief","industry","bill","fund","market","recovery","economy","brook","security","package","gop","white","money","cut","index","proposal","democratic","trillion","file","low","regular","isolation","hold","greet","use","rapid","guideline","delta","day","trump","flight","sunday","travel","fine","allow","passenger","test","man","will","restriction","passenger","will","within","th","spokesperson","russias","hold","record","want","bad","global","go","confident","prefecture","although","work","border","treat","rise","account","measure","passenger","die"
"12","period","million","world","work","global","airline","economy","fall","stimulus","loan","market","unemployment","money","business","employee","sector","decline","union","use","nasdaq","point","stockpile","quarter","file","bill","mnuchin","democrat","benefit","tax","unemployment","furlough","pay","proposal","unemployment","year","bb","liquor","physician","recommendation","round","agency","symptom","sen","penny","person","home","contact","country","quarantine","ministry","arrival","melbourne","zealand","police","australian","victoria","gathering","cope","dream","expectation","will","tenant","due","full","process","take","tokyo","remain","president","life","medical","health","substantial","africa","day","across","case","capitol","williams"
"13","due","business","holiday","tourist","trade","drop","future","business","economic","trade","trade","relief","crisis","employee","job","fund","employee","rate","jobless","month","composite","economy","nasdaq","market","global","white","meadow","meet","kudlow","white","billion","investor","plan","bill","hurt","mauris","behavior","criterion","meet","vladimir","korean","chicago","aide","republican","exposure","hurt","statement","border","country","traveler","board","hotel","country","negative","enter","resort","minister","passenger","instruction","dine","vaccine","kurz","emergency","program","full","spectator","osaka","favor","event","goal","addition","can","athlete","johnson","prevention","act","citizen","ad","potential"
"14","event","industry","event","hit","lose","fall","bad","loss","future","dow","claim","farmer","air","unemployment","bank","loss","american","recession","business","rise","nasdaq","stimulus","sector","open","company","tax","expire","unemployment","order","standalone","administration","euro","pelosi","economic","worker","weapon","file","cdc","previously","ensemble","provider","cruise","expose","jr","expose","attorney","symptom","variant","enter","passenger","result","result","kong","zealand","measure","three","apply","permission","engage","email","full","assistance","north","possibility","government","organization","scientific","improve","respondent","call","childcare","month","say","cuban","concern","action","death","kid","jones"
