"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","city","city","train","lor","lombardy","italy","italy","minister","minister","johnson","minister","prime","uk","uk","uk","johnson","uk","cummings","uk","uk","uk","government","johnson","pub","amnesty","government","spain","government","uk","church","korea","government","case","victoria","restriction","pm","area","government","restriction","lockdown","restriction","bar","restriction","restriction","restriction","california","county","california","california","angeles","county","county","symptom","california","court","standard","temperature","inspection","european","clot","european","astrazeneca","astrazeneca","astrazeneca","astrazeneca","eu","european","johnson","area","merkel","commission","company","condition","quarter","respondent","level","passport","biden","federal"
"2","travel","train","wan","man","italian","italian","lockdown","prime","prime","uk","johnson","uk","prime","johnson","johnson","uk","johnson","johnson","secretary","minister","merkel","uk","uk","police","healthcare","austria","uk","restriction","quarantine","seoul","south","south","restriction","restriction","minister","restriction","will","restriction","will","will","will","restriction","restaurant","lockdown","order","order","california","bed","county","county","los","california","county","angeles","worship","curfew","tourism","store","clot","astrazeneca","clot","clot","european","european","european","european","eu","level","germany","germany","member","flight","patient","hospitalize","business","life","conversation","federal","biden"
"3","million","hotel","taxi","hotel","italy","lombardy","italian","johnson","johnson","minister","prime","johnson","minister","minister","minister","boris","trace","uk","england","levine","government","officer","leicester","minister","confinement","ramaphosa","government","measure","taiwan","government","seoul","ban","rise","sunday","johnson","must","restriction","local","level","restriction","lockdown","restaurant","pm","will","county","region","los","icu","angeles","los","angeles","patient","patient","san","bamlanivimab","court","cost","pay","astrazeneca","blood","vaccine","follow","clot","vaccine","agency","vaccine","commission","dos","curfew","uk","certificate","airline","passenger","year","condition","serious","minor","employee","president"
"4","close","travel","father","employee","region","region","region","french","uk","prime","uk","minister","government","government","british","minister","british","durham","shield","lockdown","plant","protest","prime","london","government","spain","quarantine","rule","border","authority","region","restriction","south","rise","case","will","close","rule","curfew","restaurant","zone","lockdown","will","allow","capacity","county","bed","limit","patient","patient","hospital","hospital","california","kroger","newsom","label","revenue","since","suspend","european","astrazeneca","blood","blood","medicine","eu","astrazeneca","uk","germany","yellow","coverage","spread","july","postcovid","unit","job","please","department","department","employee"
"5","train","million","volunteer","ask","northern","northern","northern","measure","government","hancock","boris","nhs","johnson","canada","uks","address","government","lockdown","london","british","johnson","life","minister","england","measure","november","traveler","traveler","travel","travel","government","korea","korea","death","pm","police","curfew","alert","manchester","business","government","pm","bar","limit","christmas","restriction","angeles","restriction","travel","california","patient","care","hospital","pay","san","astm","storage","immigration","denmark","vaccine","blood","european","vaccine","blood","blood","uk","proposal","minister","italy","area","suspect","employee","fine","household","poll","piece","child","president","worker"
"6","lockdown","enter","driver","diagnosis","veneto","civil","lombardy","government","measure","government","intensive","british","secretary","british","boris","lockdown","hancock","dominic","british","prime","minister","worker","lockdown","prime","minister","measure","travel","spain","government","quarantine","area","greece","measure","record","restaurant","restaurant","pm","indoor","government","local","minister","tier","limit","restaurant","los","southern","san","angeles","hospital","hospital","care","lot","stayhome","prison","etesevimab","newsom","call","childcare","vaccine","suspend","committee","rare","rare","agency","dos","age","dos","european","clinic","cnns","traveler","carnival","diagnosis","wage","level","partisan","tanksley","requirement","bidens"
"7","station","hubei","city","hawaii","civil","czech","measure","boris","boris","boris","british","trudeau","doctor","prime","government","prime","sharma","boris","government","secretary","countrys","saudi","government","saturday","prime","border","country","rise","restriction","south","germany","kcdc","uk","case","measure","limit","restaurant","tier","restaurant","bar","uk","close","business","indoor","will","icu","restriction","los","stay","bed","icu","angeles","indoor","employee","francisco","appeal","hospital","hazard","blood","medicine","medicine","risk","ema","recommend","medicine","union","receive","canadian","post","post","proof","unite","flight","also","rise","batch","adolescent","get","administration"
"8","hubei","allow","average","police","protection","protection","minister","uk","sanchez","trudeau","raab","canadian","hancock","hancock","prime","government","kingdom","prime","johnson","government","khan","letter","hancock","johnson","uk","home","germany","distance","arrive","uk","measure","case","hancock","social","boris","minister","mask","will","lockdown","measure","measure","zone","ban","christmas","angeles","san","pm","capacity","newsom","surge","unit","unit","mild","los","angeles","dutch","alternative","frontline","thursday","agency","agency","medicine","medicine","danish","canada","minister","german","eu","disney","reopen","progress","attendant","faa","currently","confidence","efficacy","application","require","work"
"9","restriction","past","lockdown","indiana","milan","european","prison","lockdown","tube","british","street","hospital","equipment","secretary","secretary","ireland","survey","london","hancock","prosecutor","member","court","yearold","nhs","shop","background","wave","saudi","france","sarangjeil","travel","capital","daily","outdoor","social","curfew","limit","level","measure","macron","johnson","government","gathering","gathering","business","capacity","newsom","gathering","home","transport","california","intensive","lift","store","restriction","requirement","stone","conduct","follow","ema","risk","vaccine","wednesday","ema","vaccine","dos","trudeau","commission","israeli","brazilian","provide","add","violation","many","outside","announcement","chest","will","department"
"10","spread","province","transport","kao","italys","red","italys","london","french","rule","queen","hancock","conte","boris","sturgeon","nation","secretary","wife","sky","ferguson","express","hajj","police","uk","face","barcelona","spokesperson","uk","guest","jun","uk","measure","kcdc","england","bar","gathering","gathering","uk","minister","limit","hungary","reopen","lockdown","shop","gathering","bed","restaurant","hospital","los","care","surge","treatment","angeles","food","zone","industry","expense","add","use","vaccination","union","country","link","wednesday","receive","million","vaccinate","ease","country","traveler","within","keep","agency","patient","right","produce","parental","worker","step"
"11","will","lockdown","resident","couple","borrelli","hotel","trudeau","france","hancock","canadian","gove","boris","meeting","scientific","name","alert","prime","adviser","outside","question","chancellor","act","officer","contest","lockdown","exempt","minister","travel","gathering","gathering","gathering","berlin","seoul","andrews","hospitality","area","require","bar","bar","open","pm","will","close","business","stayhome","restaurant","icu","service","screen","icu","official","los","risk","yellow","order","file","devastate","everyone","effect","risk","use","shoot","risk","clot","benefit","statement","canada","canada","close","province","uk","florida","health","nearly","optimism","soon","consent","vaccinate","member"
"12","province","measure","join","travel","head","eu","prime","macron","lockdown","measure","johnsons","care","british","uks","ferguson","transport","minister","travel","life","member","british","arabia","life","avery","johnson","family","holiday","germany","measure","churchs","authority","region","pm","melbourne","will","manchester","sri","household","gathering","announce","bar","school","measure","outdoor","restaurant","valley","capacity","household","southern","intensive","garcetti","reaction","intensive","yanomami","california","kroger","patient","premier","medicine","denmark","batch","germanys","regulator","risk","statement","irish","plan","lawsuit","reopen","commission","worry","visit","symptom","federal","survey","company","backlog","regular","white"
"13","place","restriction","fever","room","codogno","staff","civil","people","british","lockdown","symptom","thank","protective","conte","scientific","stay","uks","england","minister","early","political","lockdown","boris","rule","home","italy","european","england","mandatory","area","wear","september","curfew","new","numb","metropolitan","scottish","measure","allow","pm","december","limit","service","county","sheriff","joaquin","hospital","restaurant","capacity","ems","overwhelm","nurse","order","hazard","district","law","necessary","labor","side","use","effect","age","decision","rollout","outweigh","nation","june","uk","health","health","carnival","vaccine","federal","white","shortterm","datum","permission","vaccination","announce"
"14","transport","ban","individual","video","hotel","union","suspension","spanish","khan","test","cabinet","khan","boris","equipment","hancock","level","starmer","home","home","group","rule","public","amazon","protester","grow","summer","measure","pub","rise","capital","berlin","church","september","ease","rise","service","police","minister","region","curb","party","gym","home","tier","allow","los","northern","must","icu","oxygen","bed","allergic","illness","violation","together","winter","requirement","complaint","ema","outweigh","link","chancellor","benefit","rare","count","proposal","minister","conference","british","together","urgent","carrier","asymptomatic","american","find","dose","condition","announce","government"
"15","public","huanggang","hotel","stop","red","french","decree","sanchez","street","symptom","care","spokesperson","worker","target","telegraph","message","lockdown","johnsons","feel","note","hancock","robert","couple","drink","mandatory","urge","lockdown","infection","land","list","link","paris","wave","household","england","england","maximum","area","rule","close","restaurant","november","maximum","household","new","angeles","curfew","patient","holiday","ferrer","intensive","capacity","unit","hospital","schumer","product","difficult","correspondent","due","norway","statement","ema","age","decision","ema","hancock","pfizerbiontech","amid","gaza","send","tout","series","airplane","announce","familiar","say","parent","remark","thursday"
"16","capital","closure","time","northern","european","staffer","conte","italian","fine","matt","rule","street","nhs","care","canada","work","app","british","mat","shapps","lawmaker","save","local","advocate","ask","un","announce","citizen","authority","religious","restriction","uk","link","service","address","ban","tuesday","lockdown","business","remain","announce","local","curfew","place","measure","stayhome","household","close","batchlor","survival","oxygen","treat","care","closure","large","necessary","billion","huge","friday","committee","benefit","europe","eu","benefit","french","rollout","say","kingdom","european","meet","variant","representative","common","associate","quarter","ability","cnn","thursday","brief"
"17","stop","stop","without","super","border","borrelli","madrid","region","transport","hungarian","hospital","raab","vaccine","health","care","uks","will","minister","boris","sharma","southern","minister","bad","government","right","drink","store","protest","extend","restriction","ban","holiday","young","police","pub","case","allow","distance","household","home","england","orange","navajo","capacity","open","resident","case","rule","christmas","chance","body","icu","treatment","high","judge","impact","impact","remotely","investigation","pause","suspend","committee","receive","eu","union","commission","within","plan","israel","end","strain","strong","propose","bad","highly","able","process","american","important"
"18","bus","part","government","taxi","angelo","head","giuseppe","countrys","social","nhs","london","government","personal","say","raab","northern","system","aide","sharma","hancock","indigenous","rule","suffer","distance","economic","adopt","rise","quarantine","venue","protest","kcdc","travel","death","numb","nation","seat","rule","mask","service","must","place","include","gym","open","impose","close","navajo","county","limit","southern","medical","service","brain","worker","file","fail","store","hero","iceland","germany","oxfordastrazeneca","statement","uk","receive","age","action","robert","prime","main","vaccination","water","file","hospitalize","bureau","year","abroad","currently","administration","return"
"19","vehicle","foreign","allow","begin","gallera","milan","province","philippe","run","italian","condition","home","care","reach","lockdown","sunday","leader","mile","guidance","introduce","level","healthcare","trudeau","saudi","keep","prominent","rule","venue","country","korean","rki","rule","area","wave","area","northern","force","limit","ireland","public","business","england","local","pm","start","pm","bar","christmas","air","medical","dozen","possible","fog","state","grant","amazon","need","personal","norway","halt","side","people","use","age","continue","parliament","germanys","june","alert","british","cruise","ron","initial","conduct","point","access","opportunity","bidens","get"
"20","suspend","majority","capital","study","zone","france","spain","social","people","french","spokesperson","will","ppe","test","nicholas","london","matt","street","vulnerable","johnson","northern","violence","lockdowns","boris","avoid","judge","return","sturgeon","prime","chinese","metropolitan","authority","increase","capital","impose","return","government","ban","ban","indoor","new","christmas","friday","service","curfew","business","health","newsom","people","holiday","homicide","department","los","californias","protective","holy","giant","cv","suspension","benefit","shoot","tuesday","agency","regulator","official","uks","per","government","build","canadian","vaccine","payroll","five","fund","state","accord","teen","shoot","vaccinate"
"21","shut","hub","organize","car","die","zone","entire","transport","tfl","will","government","moore","health","doctor","nhs","kingdom","scotland","symptom","deliver","advice","lockdown","johnson","decision","scotland","england","rally","restriction","possible","greece","local","german","will","government","bring","contain","continue","case","manchester","place","countrys","decision","move","leave","levine","close","curfew","surge","baker","region","ambulance","ghaly","provider","experience","detainee","person","app","greece","shop","agency","country","affect","group","outweigh","minister","canadian","oxfordastrazeneca","external","continue","german","contract","country","physician","group","relative","case","account","childhood","government","submit"
"22","china","wuhan","mainland","fear","weekend","municipality","country","trudeau","londons","uks","dominic","staff","association","italian","change","lift","say","child","act","scientific","gottlieb","prime","child","lockdown","confine","citizen","saudi","minister","french","ban","province","quarantine","allow","allow","prime","lockdown","ban","cruise","uk","party","close","business","outdoor","angeles","limit","open","order","retail","see","resuscitation","capacity","die","outdoor","system","association","james","reaction","hear","oxfordastrazeneca","italy","denmark","sputnik","possible","health","sanchez","pfizerbiontech","million","robert","orange","europe","caution","regulator","fair","together","aware","across","largely","contractor","search"
"23","include","coast","fashion","policy","agency","accord","event","khan","pedro","conte","worsen","uks","matt","epidemic","advice","encourage","restriction","make","urge","march","scott","health","add","public","surround","close","visit","french","visitor","korea","church","seoul","strict","total","gathering","protest","mandatory","face","announce","retail","home","restrictive","minister","los","activity","gathering","shop","nine","surge","capacity","canadian","bed","business","see","business","rutte","see","mexico","report","rollout","iceland","use","oxfordastrazeneca","canada","france","priority","union","substantial","damage","officer","initial","taipei","enforcement","financial","conduct","act","write","step","care"
"24","tourist","selfquarantine","surveillance","abroad","town","meet","sport","italy","spanish","gove","conte","intensive","gove","protective","leader","british","bbc","resign","review","quarantine","extend","reduce","ticket","court","gove","dashboard","ministry","ministry","minister","great","french","infection","record","reopen","alert","local","town","officer","area","national","region","minister","indoor","include","social","will","new","will","checkpoint","newsom","hospitalization","attention","region","county","red","allow","vial","need","country","follow","outweigh","rollout","minister","outweigh","essential","covaxin","vaccine","infection","level","peak","recovery","industry","attendant","assembly","decline","action","life","agency","aim"
"25","wuhan","suspend","similar","asian","lockdown","lockdown","school","capital","maximum","justin","thomas","kingdom","test","daily","break","scotland","selfisolate","trip","make","action","london","statement","british","senior","street","store","infection","curfew","come","measure","regulation","arrival","saturday","september","level","rule","nonessential","close","country","whether","prime","face","allow","province","pm","must","close","intensive","tsa","minute","system","countys","navis","zone","resume","result","struggle","importance","minister","astrazenecas","regulator","austria","side","oxfordastrazeneca","spokesman","progress","country","increase","italys","accelerate","talk","represent","sample","praise","either","activate","wednesday","announcement","effort"
"26","central","will","first","wear","situation","people","justin","uks","trudeau","mexican","stable","parliament","say","kingdom","newspaper","restriction","nhs","government","sage","people","reduce","charlie","germany","east","feature","step","safe","advise","people","traveler","will","traveler","secretary","hancock","capital","bar","announce","england","indoor","work","country","restrict","announce","part","region","sunday","spread","virus","ration","continue","healthcare","la","among","symptom","funeral","consumer","labor","share","issue","france","sinovac","agency","rollout","link","trudeau","vaccination","statement","admit","door","fahrenheit","japan","sample","volunteer","example","entire","actively","without","veteran","action"
