"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","outbreak","li","li","xi","chinese","government","league","olympic","olympic","tokyo","league","event","olympic","game","park","sport","taiwan","bolsonaro","race","cancel","season","player","player","student","league","school","player","school","school","student","student","student","school","student","school","student","student","school","school","dodger","positive","player","game","hong","game","kong","survey","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","michigan","gupta","outdoor","mask","mask","mask","mask","mask","mask","mask","order","school","school","wear","school","school"
"2","epidemic","medium","xi","chinese","xi","chinese","player","player","game","player","club","cancel","postpone","tokyo","hold","park","dog","disney","organization","fair","league","will","league","league","player","student","school","student","student","school","university","university","student","school","student","school","jenkins","game","student","game","player","taiwan","postpone","kong","team","hong","international","uk","uk","mutation","cdc","study","south","antibody","sequence","identify","case","south","identify","sequence","virus","case","case","surge","surge","mask","vaccinate","wear","wear","wear","wear","wear","wear","health","mask","guidance","school","mask","mask"
"3","xi","xi","chen","medium","medium","uk","game","game","postpone","play","tokyo","zuckerberg","disney","olympic","disney","disney","island","bucheon","community","festival","player","campus","student","player","student","fan","student","district","district","campus","school","school","university","university","football","game","player","team","game","team","team","test","cancel","game","player","lam","game","england","new","virus","find","find","africa","strain","antibody","strain","africa","coronavirus","york","across","hong","walensky","walensky","case","demand","vaccinate","wear","vaccinate","vaccinate","distance","people","guidance","order","ministry","health","mask","mask","wear","student"
"4","chinese","death","medium","praise","wuhan","action","tournament","team","tokyo","game","abe","abe","cancel","july","race","committee","mass","abe","vote","event","play","season","team","team","sport","district","play","plan","learn","positive","campus","campus","positive","positive","conference","teacher","positive","test","football","angeles","game","football","football","bubble","cost","sport","youth","new","strain","strain","virus","antibody","identify","mutation","strain","case","south","case","uk","new","biontech","michigan","dr","vaccinate","spread","fully","fully","guidance","require","sport","fauci","school","rule","erdogan","public","person","age","student","require"
"5","president","anger","chinese","street","january","li","team","nba","committee","club","player","team","park","hold","japanese","kcna","hutchinson","event","world","angeles","game","event","season","season","school","august","game","player","sport","learn","class","college","teacher","person","plan","campus","team","player","team","los","san","positive","tedros","singapore","hong","conference","migrant","world","england","scientist","identify","virus","detect","sequence","south","researcher","find","identify","south","africa","identify","surge","spread","go","likely","wear","think","indoor","fully","rule","continue","outdoor","face","policy","wear","cdc","island","district","district"
"6","report","wenliang","wenliang","expulsion","china","social","nba","season","athlete","abe","play","facebook","year","race","sport","sumo","disney","brazil","advise","music","football","semester","campus","tournament","season","learn","league","decision","football","university","player","player","staff","county","campus","education","notre","student","play","celebrate","football","game","texas","summit","fan","game","young","virus","virus","uk","sample","spread","strain","uk","identify","africa","uk","first","africa","south","da","us","us","us","get","guidance","get","think","guidance","order","go","ask","beasley","june","say","wear","student","require","county"
"7","people","police","doctor","jinping","president","mask","season","tokyo","abe","league","season","japan","faith","cancel","speech","world","exchange","hold","anniversary","beach","nfl","fall","event","online","will","instruction","will","remote","player","district","aug","test","district","class","learn","player","reopen","positive","test","turner","bronco","staff","fan","player","nba","team","bowl","strain","appear","sequence","researcher","researcher","find","protection","africa","sample","state","africa","case","türeci","case","see","contagious","mask","virus","cdc","cdc","fully","fauci","social","order","order","require","july","august","distance","fully","indoor","public"
"8","control","lis","president","response","response","medium","play","event","postponement","japan","game","sport","digital","delay","tokyo","declaration","personal","meet","haiti","race","camp","student","baseball","campus","district","statement","season","learn","person","class","team","class","test","football","team","university","school","oct","series","series","county","allow","player","launch","play","link","rate","mutation","spread","find","disease","africa","first","infect","mutation","find","mutation","find","new","identify","week","rise","director","university","immunity","people","guidance","mandate","indoor","go","school","long","team","midnight","june","say","public","mandate","mandate"
"9","medium","chinese","online","wall","epidemic","plan","basketball","cancel","summer","team","sport","japans","san","tedros","shanghai","parade","olympic","president","hold","july","august","league","semester","school","fall","will","marlin","fall","parent","college","staff","learn","aug","sept","university","team","nfl","football","oct","party","play","team","season","case","nfl","carry","financial","spread","transmissible","identify","cause","new","virus","case","study","sequence","washington","uk","first","uk","unite","identify","disease","expert","now","indoor","walensky","fauci","disease","guidance","cruise","mandate","way","pick","vaccine","age","year","regardless","indoor"
"10","crisis","social","jinping","foreign","effort","police","jazz","league","japanese","koike","golf","player","town","committee","cancel","abe","wild","minister","game","los","ohio","fan","game","fall","return","option","schedule","will","season","person","letter","dashboard","college","campus","sport","person","dame","schedule","seat","positive","general","member","schedule","postpone","kong","cancel","world","denmark","colorado","new","appear","mutation","appear","south","uk","south","contagious","virus","strain","face","sick","rochelle","different","wear","vaccinate","activity","disease","require","control","require","vaccinate","disease","employer","home","age","will","guidance","order","policy"
