"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","go","stock","video","temperature","survey","africa","parade","restaurant","order","order","gov","cuomo","cuomo","cuomo","gov","cuomo","gov","gov","cuomo","positive","cuomo","gov","beach","mayor","mayor","mayor","mask","mask","cuomo","mask","mask","task","mayor","mayor","mayor","city","york","city","york","mayor","city","county","york","mayor","school","york","city","city","league","city","child","york","york","game","york","cuomo","venue","york","olympic","capacity","travel","capacity","allow","capacity","indoor","will","australian","will","restriction","state","release","lift","state","will","high","patient","johnson","vaccine","vaccine"
"2","last","market","food","check","temperature","fee","disney","cuomo","gov","gov","cuomo","gov","york","gov","cuomo","york","york","cuomo","gov","blasio","gov","mayor","mayor","county","york","city","county","york","york","gov","order","indoor","dine","city","city","york","city","york","positivity","positivity","de","positivity","city","city","de","school","york","york","positive","york","york","city","city","restaurant","city","game","shum","michigan","capacity","indoor","northam","city","cruise","outdoor","mask","travel","allow","restriction","lift","will","free","order","lift","start","new","vary","fda","fda","fda"
"3","one","food","want","airport","change","drive","patricks","gov","york","cuomo","order","york","gov","state","york","gov","cuomo","beach","york","city","york","york","county","york","cuomo","mandate","mayor","mandate","mask","order","face","mayor","bar","must","will","mayor","school","mayor","rate","city","blasio","rate","cuomo","newsom","blasio","cuomo","cuomo","de","player","positive","game","de","cuomo","york","de","city","indoor","city","set","restaurant","order","de","capacity","venue","will","certificate","will","lift","capacity","capacity","gov","restriction","restriction","accord","murphy","advance","syndrome","dos","moderna"
"4","people","share","cnn","low","inside","source","audience","order","mayor","stayhome","state","andrew","new","york","state","andrew","county","governor","dc","mayor","mayor","county","gov","cuomo","city","suarez","mandate","face","gov","cuomo","wear","state","cuomo","york","venue","positivity","positivity","state","city","threshold","york","city","school","york","cuomo","city","mayor","school","test","cuomo","test","blasio","mayor","city","game","japan","limit","casino","event","outdoor","de","sport","travel","ceremony","allow","allow","restriction","announce","cuomo","indoor","restriction","health","gov","health","social","frequently","risk","authorization","food"
"5","get","home","take","school","north","country","st","york","cuomo","york","governor","governor","state","order","mask","police","state","decline","blasio","york","county","governor","order","city","gov","mask","governor","mayor","mayor","york","school","county","york","will","ardern","rate","code","blasio","de","rate","mayor","school","mayor","california","york","mayor","de","mask","cuomo","test","city","event","blasio","indoor","capacity","indoor","york","new","center","travel","business","blasio","reopen","indoor","outdoor","outdoor","may","allow","will","gathering","governor","less","will","restriction","official","within","janssen","emergency","approve"
"6","market","go","mask","tell","check","strategy","containment","delivery","blasio","state","andrew","new","mayor","reopen","beach","city","andrew","day","mayor","cuomo","andrew","state","state","state","state","gov","business","city","city","mayor","education","allow","indoor","blasio","order","code","zip","area","mayor","de","death","mayor","rate","sevenday","distribution","de","blasio","blasio","york","mayor","mayor","cuomo","de","tokyo","fan","postpone","city","whitmer","work","will","indoor","order","plan","limit","still","event","ban","statewide","gov","gov","lift","place","indoor","allow","covid","side","vaccine","approval","approval"
"7","food","bad","price","let","danger","roll","court","de","new","new","jersey","say","governor","business","california","new","de","city","andrew","de","say","new","york","order","mandate","york","face","social","dewine","de","will","mask","gov","reopen","place","zip","county","evers","cuomo","gathering","rate","york","de","threshold","mayor","blasio","hospital","student","city","staff","postpone","mayor","event","league","blasio","capacity","contact","capacity","city","angeles","close","travel","indoor","reopen","wear","restriction","australia","gov","business","event","office","state","emergency","release","advise","age","guillainbarré","drug","authorization"
"8","cnn","get","get","cnn","right","murray","new","new","city","governor","york","state","andrew","andrew","order","state","blasio","york","queen","new","governor","city","cuomo","beach","say","governor","issue","distance","blasio","indoor","mayor","capacity","county","space","mask","citys","restaurant","gov","blasio","blasio","school","de","blasio","blasio","hospital","andrew","dybing","mayor","premier","dec","cuomo","postpone","new","prefecture","cuomo","olympic","capacity","entertainment","vaccination","airport","will","angeles","ghaly","seat","individual","june","travel","reopen","announce","restriction","june","gov","require","remain","encourage","recommend","rare","pfizer","mrna"
"9","mask","fear","comment","able","find","containment","large","andrew","de","essential","conference","mayor","city","beach","city","governor","new","weekend","ride","phase","phase","phase","city","gov","gelber","cuomo","sheriff","sheriff","de","issue","mandatory","force","restaurant","indoor","new","new","mayor","de","state","reopen","currently","blasio","positivity","de","city","say","school","office","season","among","league","game","olympic","reopen","new","league","resume","venue","july","venue","sport","bill","norwegian","passenger","ban","lift","negative","capacity","allow","lift","state","governor","governor","italian","three","risk","gbs","use","dos"
"10","stock","worry","eat","see","say","way","disneyland","bar","business","jersey","edwards","order","say","ige","protest","de","jersey","memorial","phase","county","positive","jersey","governor","governor","county","rate","york","positivity","governor","blasio","require","zone","governor","gimenez","de","brooklyn","cluster","emergency","new","york","confirm","capacity","close","school","zone","class","beat","social","game","game","de","child","schedule","capacity","mayor","new","can","grocery","tokyo","los","childcare","next","business","blasio","test","reopen","capacity","event","state","limit","permit","indoor","requirement","lift","moderate","accord","neurological","application","department"
