"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","symptom","cough","pipe","can","hand","hand","hand","study","disease","mask","fauci","dr","virus","study","disease","child","symptom","researcher","study","study","study","risk","researcher","study","disease","study","study","researcher","child","test","symptom","patient","patient","patient","study","study","patient","trump","symptom","antibody","korea","trial","grassley","passenger","guard","immune","black","woman","pharmacy","king","study","community","police","respondent","test","test","symptom","test","test","researcher","test","study","test","variant","variant","study","variant","variant","variant","patient","study","variant","variant","show","study","vaccine","johnson","today","booster"
"2","cough","can","build","cough","level","cdc","illness","symptom","symptom","wear","dr","model","dr","fauci","patient","syndrome","researcher","disease","patient","symptom","transmission","young","child","disease","young","child","young","child","study","symptom","test","test","adult","fit","find","survey","treat","test","blood","heart","doctor","volunteer","senate","thanksgiving","michigan","flag","among","black","registry","study","public","disable","man","adult","antigen","symptom","antibody","get","find","study","patient","test","symptom","study","study","child","study","researcher","researcher","researcher","positive","study","study","report","show","risk","risk","plant","september"
"3","contact","sneeze","mask","symptom","travel","mask","surface","hand","trial","fauci","mask","fauci","disease","disease","symptom","disease","disease","virus","researcher","researcher","researcher","people","spread","child","transmission","disease","disease","study","find","child","patient","researcher","test","find","symptom","researcher","editorial","symptom","damage","patient","south","clinical","senator","travel","sahin","asia","study","among","white","eight","professional","transmission","charge","age","result","patient","test","poll","experience","test","symptom","increase","positive","symptom","infection","variant","immune","breakthrough","study","study","infection","immune","vaccine","researcher","cdc","study","syndrome","south","shot"
"4","animal","symptom","apartment","cure","advisory","cough","can","young","evidence","trump","wear","disease","study","team","team","kerkhove","list","transmission","cdc","infection","find","disease","infect","antibody","adult","adams","risk","cdc","researcher","population","kong","study","care","hospital","researcher","patient","publish","negative","heart","symptom","test","brasil","olympic","korea","force","hair","vaccine","community","spains","researcher","reduce","anderson","arrest","survey","patient","positive","positive","respondent","mental","care","researcher","response","experience","patient","find","positive","infection","study","antibody","variant","test","infection","researcher","sample","protection","group","janssen","england","vaccine"
"5","avoid","hand","system","person","wash","flu","people","may","tedros","disease","birx","social","researcher","drug","child","symptom","child","droplet","find","virus","patient","severe","adams","condition","study","school","symptom","sanitizer","risk","researcher","hong","symptom","publish","study","patient","adult","uk","conley","patient","doctor","korean","coronavac","breast","tsa","korea","genetic","kaiser","provider","access","symptom","appropriate","participant","deploy","strongly","positive","pulse","study","last","symptom","positive","dialysis","majority","infect","find","test","test","researcher","identify","suggest","antibody","staff","little","antibody","study","reduction","disease","fda","law","germany"
"6","sneeze","virus","transmit","hand","advise","clean","adams","disease","dr","face","american","drug","patient","dr","virus","ryan","infect","patient","transmission","asymptomatic","age","age","virus","people","child","adult","child","infect","among","cdc","study","negative","hospital","athlete","assist","find","get","isolation","long","moderate","plant","vaccine","republican","airport","task","job","adams","job","member","risk","find","smoker","officer","agree","publicly","england","infection","conduct","researcher","dnacpr","study","condition","serum","researcher","breakthrough","find","team","evidence","case","breakthrough","antibody","test","alpha","vaccine","serum","include","guillainbarré","public","tedros"
"7","hand","advise","cough","spread","recommend","cold","risk","people","study","infectious","disease","distance","drug","virus","dr","van","syndrome","respiratory","virus","patient","peak","woman","cdc","can","severe","symptom","find","find","publish","likely","rapid","disease","research","researcher","nurse","child","care","president","survivor","lilly","visit","anvisa","sen","summit","secure","link","community","preexist","re","issue","write","consider","use","police","ascorbic","provider","result","age","publish","patient","rapid","symptom","show","test","virus","estimate","test","first","ventilation","immune","researcher","protect","protection","find","vaccine","may","vaccine","drive","will"
"8","can","wash","can","sneeze","cough","wash","sanitizer","vaccine","young","dr","drug","white","write","find","flu","study","patient","kerkhove","visit","spread","finding","study","study","underlie","smoke","transmission","cell","disease","covid","virus","research","pregnant","researcher","symptom","antibody","age","demonstrate","woman","convalescent","test","decline","study","kidney","justice","whitmer","single","sister","advocate","bright","infect","sarscov","among","riot","spread","zinc","carrier","people","year","spend","symptom","remdesivir","journal","resistance","positive","researcher","age","antibody","infection","hancock","find","university","weekly","virus","two","may","die","gbs","help","uk"
"9","fever","contact","infect","wear","avoid","advise","wash","researcher","treatment","drug","white","birx","think","child","infect","kawasaki","cough","surgery","disease","find","risk","contact","disease","symptom","age","infect","transmission","journal","nurse","find","first","write","find","likely","fagan","loss","conduct","long","doctor","mild","change","event","korea","transportation","transportation","world","woman","adams","mountain","source","white","maskwearing","several","help","combination","theodore","risk","little","woman","publish","pregnant","homeless","research","app","positive","transmission","response","classify","immune","look","contact","researcher","infection","write","moderna","show","report","review","risk"
"10","case","flu","building","nose","can","nose","avoid","trial","way","guideline","hydroxychloroquine","institute","sick","immunity","study","inflammatory","likely","lung","child","suggest","publish","likely","symptom","adult","risk","ryan","virus","many","cdc","disease","virus","woman","study","test","likely","antibody","nhs","memo","develop","september","person","brazils","expose","security","chamber","south","american","trial","disparity","approximately","symptom","study","product","park","vary","uss","researcher","report","positive","report","positive","publish","covid","coronavirus","pregnant","health","protection","effectiveness","breakthrough","identify","health","team","delta","vaccination","high","ema","rare","eligible","age"
