"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hong","hong","ship","ship","ship","ship","ship","ship","ship","ship","ship","sailor","cruise","ship","cruise","mask","cyclone","crow","refugee","mumbai","market","test","china","victoria","hong","baker","victoria","victoria","victoria","australian","hurricane","vote","trump","trump","trump","life","american","trump","trump","white","trump","house","house","campaign","house","bill","leader","bill","trump","house","biden","biden","biden","biden","biden","biden","white","biden","house","biden","biden","business","biden","federal","gupta","court","nsaids","fraud","cruise","passenger","weekend","travel","travel","day","travel","respiratory","booster","indoor","indoor"
"2","kong","ship","passenger","passenger","passenger","cruise","cruise","cruise","cruise","cruise","crow","ship","crow","sailor","bolsonaro","travel","ship","attend","cyclone","deadly","beijing","beijing","victoria","melbourne","kong","murphy","andrews","andrews","australia","europe","forecast","board","woodward","woodward","china","trump","harris","campaign","campaign","trump","white","trump","trump","trump","mcconnell","fund","house","relief","bill","put","administration","administration","administration","administration","white","white","biden","white","biden","american","administration","house","get","speak","indoor","european","feel","childhood","line","weekend","travel","country","treatment","travel","passenger","disease","pfizer","louis","court"
"3","government","kong","cruise","cruise","cruise","princess","princess","passenger","personnel","zaandam","cruise","navy","ship","defense","name","cruise","sailor","security","kong","indias","cluster","outbreak","beijing","andrews","victoria","andrews","cain","survey","hong","australia","storm","participant","deadly","president","unite","unite","fatigue","ad","rally","science","house","white","white","house","relief","republican","deal","stimulus","relief","job","presidentelect","joe","house","white","house","house","house","administration","payment","house","help","white","shot","white","get","action","safe","catch","alaska","tsa","list","level","case","air","board","exhibit","official","city","county"
"4","lam","cruise","diamond","princess","princess","passenger","passenger","dock","navy","sailor","passenger","carrier","dock","cruise","johnson","ship","storm","mission","hong","india","outbreak","pool","test","lockdown","outbreak","kelly","hong","hong","outbreak","victoria","laura","cuba","know","want","foreign","madrid","trump","rally","attack","president","william","president","birx","president","republican","stimulus","relief","package","payment","help","plan","trump","white","house","trump","president","president","official","white","administration","white","small","administration","disparity","hill","astrazeneca","line","point","ship","travel","busy","recommend","recommend","airline","unite","condition","need","st","mask"
"5","border","board","princess","westerdam","diamond","diamond","grand","crow","defense","passenger","princess","uss","costa","anzac","beshear","brazil","amphan","isolation","maharashtra","capital","xinfadi","sample","lockdown","outbreak","case","jersey","da","people","new","lindell","september","cuban","bob","bob","nation","people","life","event","president","house","prince","election","brief","positive","leader","relief","aid","billion","check","demand","bidens","executive","president","plan","president","administration","administration","house","stimulus","president","fund","psaki","remark","mean","americas","legal","consider","routine","kill","set","screen","traveler","screen","passenger","find","us","datum","mandate","louis"
"6","mainland","strike","board","diamond","quarantine","grand","coast","princess","crow","navy","navy","roosevelt","member","australian","nicholas","america","bangladesh","page","floyd","virus","link","plant","victorian","resident","home","victoria","kong","kong","australian","level","death","kongs","book","play","president","pandemic","presidential","life","disaster","pandemic","april","lose","president","loeffler","bill","bipartisan","stimulus","congress","senate","vote","joe","president","trump","zients","administration","psaki","psaki","trump","president","white","house","many","white","vaccination","mean","delivery","immediate","fight","small","make","day","cdcs","traveler","flight","american","emerge","meet","missouri","st"
"7","will","passenger","dock","board","japan","california","california","board","military","florida","aboard","cruise","board","australia","ship","officer","cruise","bolsonaro","rohingya","delhi","wholesale","chinese","andrews","case","spread","premier","vietnam","antibody","australias","hong","model","havana","president","journalist","death","january","people","context","hold","staff","break","free","defense","white","senate","liability","congress","pass","stimulus","republican","guard","team","goal","defense","document","send","zients","partnership","check","help","effort","sign","president","arkansas","afternoon","line","gounder","one","elderly","memorial","million","transportation","friday","sunday","action","influenza","us","lucas","city"
"8","measure","crow","westerdam","disembark","japanese","aboard","dock","aboard","pentagon","board","board","aircraft","port","quarantine","brazil","lebanese","india","near","storm","adams","city","contain","case","premier","lam","pay","nang","case","restriction","bolivia","louisiana","worker","play","know","let","way","sen","crowd","even","campaign","claim","donald","family","pilot","democratic","house","package","president","president","charge","vaccination","bidens","supply","effort","psaki","trump","mark","president","earn","relief","secretary","help","house","urge","just","term","one","safe","different","department","people","severe","selfquarantine","new","air","mostly","brief","monday","missouri"
"9","stop","dock","crow","dock","yokohama","quarantine","crow","port","princess","symptom","dock","theodore","onboard","board","laborer","bubble","bengal","economy","protester","african","case","meat","nhc","australian","andrews","phil","case","restriction","case","plus","coast","attendee","interview","indoor","address","us","kluge","walter","policy","american","video","campaign","cuomo","union","proposal","billion","bill","trump","sign","take","relief","guard","bidens","provide","slavitt","celsius","temperature","senior","bill","trump","bill","biden","help","situation","help","mean","message","regard","system","act","france","per","security","labor","airline","separate","company","general","announce"
"10","suspend","border","yokohama","cambodia","test","san","aboard","disembark","aboard","canal","onboard","positive","nagasaki","crow","marine","tourism","navy","assistant","adams","kong","china","market","province","locally","measure","stockpile","record","fine","link","gathering","shelter","hong","five","rally","policy","understand","china","fox","biden","meadow","sunday","april","pentagon","penny","stimulus","congress","democrat","payment","pass","american","release","mask","guard","american","former","slavitt","press","help","expect","get","available","bill","american","governor","small","effort","sick","cancel","numerous","holiday","holiday","day","fully","cite","aviation","sure","federal","schmitt","lawsuit"
