"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","xi","li","li","xi","chinese","mask","hotel","london","amazon","amazon","homeless","amazon","protest","child","family","watch","hall","town","worker","nurse","family","hand","hand","go","get","mother","critical","telehealth","letter","postal","harris","border","remdesivir","victoria","murray","positivity","york","city","city","city","city","city","school","york","school","school","york","york","york","north","mayor","york","mask","york","school","school","school","school","school","school","school","school","school","student","campus","student","student","school","school","school","city","city","park","distance","now","instruction","state","school","school"
"2","control","xi","xi","jinping","xi","li","mask","website","tube","nhs","community","relief","muslim","kid","home","town","watch","watch","family","wuhan","kid","sanitizer","go","different","see","baby","social","health","health","letter","twitter","next","service","andrews","series","rate","city","qingdao","york","mayor","blasio","mayor","york","mayor","blasio","york","city","city","cuomo","york","city","de","cuomo","mask","city","learn","transmission","inspection","april","foot","student","student","person","school","student","school","family","student","hate","student","de","york","visitor","concert","optimism","plan","student","mask","mask"
"3","government","medium","party","medium","wuhan","drive","china","google","chicago","small","app","nhs","police","town","many","hall","town","family","community","professor","parent","childcare","can","gallego","take","happen","local","doctor","postal","mail","survey","canada","app","melbourne","pretty","york","positivity","york","new","threshold","de","de","city","city","de","cuomo","cuomo","de","airline","cuomo","york","blasio","york","city","student","transmission","county","pope","teacher","distance","learn","staff","student","bolsonaro","member","fund","restaurant","fund","student","district","blasio","blasio","thank","fan","fine","come","county","student","student"
"4","epidemic","wenliang","wenliang","praise","medium","chinese","people","street","khan","fire","feel","protest","community","street","police","yearold","cnns","american","nurse","family","friend","ndc","power","bolsonaro","report","able","gelber","press","supply","service","mail","canadian","west","sustain","live","brooklyn","county","mayor","de","soccer","york","york","positivity","newsom","cuomo","city","school","blasio","employee","city","event","city","standard","blasio","york","cdc","learn","vatican","learn","reopen","reopen","sport","learn","college","university","staff","ward","return","bill","blasio","mayor","firework","rate","new","violation","will","passport","county","district"
"5","report","social","police","chinese","president","face","collapse","li","hancock","protest","lujan","raise","black","black","life","father","kid","hall","hand","job","sesame","child","face","always","bottom","outcome","see","change","doctor","commission","travel","mile","note","police","officer","zip","zip","area","mayor","public","average","blasio","cuomo","threshold","york","zone","blasio","airline","school","korea","dollar","mayor","blasio","de","return","high","red","effort","plan","student","education","back","child","person","likely","lama","business","family","crime","person","york","park","site","crowd","federal","dr","angeles","require","county"
"6","president","police","chen","president","crisis","doctor","census","tool","lockdown","hancock","crowd","walk","read","cnn","dalai","bright","child","cnns","pangolins","mask","keep","keep","wrong","cooper","shut","florida","cant","worker","service","machine","enter","long","doctor","arrest","statement","county","hospital","citys","blasio","chicago","mayor","positivity","rate","sevenday","city","de","de","school","new","police","de","deploy","city","cuomo","reopen","county","cdc","child","person","six","fund","person","attend","puerto","tedros","ward","gupta","person","biden","option","statistic","de","immediately","decision","south","federal","law","district","require"
"7","virus","whistleblower","chinese","control","social","wuhan","code","mask","run","philippine","meal","moore","job","family","victim","thunberg","parent","quammen","journalist","personal","street","almojera","open","hand","tell","compare","miamidade","office","dejoy","send","immigration","american","next","live","show","code","code","de","state","exactly","citys","rate","de","california","mayor","blasio","mayor","student","bill","meet","blasio","cuomo","draft","new","learn","rate","zone","county","disability","cardona","back","race","fulltime","inquiry","uc","enrollment","hotel","district","asian","virtual","school","mayor","adjust","game","mask","resume","vaccination","wear","mandate"
"8","wuhan","epidemic","doctor","xinhua","effort","government","search","uber","london","london","camp","town","front","parent","clinic","life","gupta","know","prince","chinese","town","pandemic","keep","like","country","osterholm","write","choice","usps","ship","macron","australia","drug","protest","life","cluster","new","test","citys","new","cause","forecast","blasio","hospital","zone","mayor","child","furloughed","mayor","mask","cuomo","holmes","de","gov","cuomo","reopen","class","red","reopen","three","person","contact","staff","protection","school","continue","school","college","american","de","offer","macys","university","park","since","form","coronavirus","gov","wear"
"9","outbreak","lis","online","speech","government","containment","driver","verily","homeless","service","service","black","video","daughter","old","person","air","henson","provide","worker","song","gupta","program","safe","able","ask","lack","college","author","box","comment","victoria","hospital","ryan","australian","city","cluster","hospital","cuomo","cnns","people","model","mayor","average","will","governor","student","app","letlow","rule","bill","trujillo","new","site","district","child","dunkirk","francis","tuesday","teacher","department","education","teacher","tweet","family","try","staff","elementary","vote","campus","will","will","distance","garden","enter","twoweek","los","governor","covering"
"10","central","target","president","police","policy","china","wuhan","site","user","rural","london","buy","song","hall","yearold","cooper","way","help","black","duke","play","mother","able","street","husband","even","policy","critical","san","european","delay","service","read","lockdown","tourism","governor","state","cluster","rate","admit","new","school","rural","de","student","say","citys","cnngo","student","wear","building","new","mayor","andrew","mayor","live","high","trip","condition","physical","inequity","parent","instruction","high","pandemic","member","wait","cardona","woman","learn","kid","new","et","sept","force","pharmaceutical","college","recommend","staff"
"11","news","anger","speech","wuhan","jinping","response","build","khan","tfl","koike","road","read","money","eat","queen","greta","share","live","live","work","schleien","bear","observe","homeless","daughter","difference","distance","difficult","hidalgo","voter","document","thousand","canadian","regional","teach","neighborhood","weekly","mass","resident","citys","agency","say","forecast","new","hospital","class","change","mayor","furlough","new","religious","defense","filtration","positivity","teacher","student","rate","tuesday","eligible","apple","address","development","march","vaccinate","memo","pmcares","personnel","business","pass","concern","campus","show","worker","summer","link","simple","status","regardless","parent"
"12","official","death","whistleblower","january","epidemic","truth","shanghai","claim","website","worker","widespread","service","delivery","war","street","always","abuse","love","british","plant","challenge","stop","toward","phoenix","go","turn","aamc","write","sign","donate","pub","australias","justice","old","victoria","cuomo","enforcement","blasio","positivity","database","roll","chicago","close","school","new","rate","capacity","via","andrew","believe","family","appointment","specific","citys","blasio","person","disability","continue","return","apart","cardona","rise","contact","camp","nfl","oxygen","pay","high","teacher","remote","bill","school","positivity","york","market","covering","prohibit","texas","classroom"
