"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","case","less","less","less","case","case","case","french","merkel","germany","german","chinese","china","china","china","china","china","china","tedros","tedros","gottlieb","hotez","tedros","world","tedros","china","korea","tedros","taiwan","china","police","product","black","billion","tedros","rapid","lilly","member","cathay","french","frederiksen","system","contract","prime","european","uk","vaccine","pfizerbiontech","vaccine","vaccine","vaccine","vaccine","astrazeneca","vaccine","vaccine","vaccine","dos","vaccine","vaccine","dos","johnson","johnson","johnson","million","order","order","court","consent","goa","poll","access","johnson","dewine","canada","paper","breakthrough","delta","adult","quarantine"
"2","confirm","case","case","case","less","death","germany","france","german","german","germany","china","wuhan","chinese","chinese","chinese","chinese","pandemic","world","china","tedros","medicine","organization","droplet","south","region","north","south","azar","cuban","social","hair","personal","dos","withdraw","test","mink","care","hong","cost","bed","worker","member","uk","rollout","vaccination","pfizerbiontech","european","dos","vaccination","receive","vaccination","european","dos","dos","dos","vaccine","dos","world","million","dos","dos","dos","dos","dos","twitter","voyage","ivermectin","storm","dog","improve","jj","canada","monday","modernas","sick","test","team","adult"
"3","mainland","mainland","unite","death","death","europe","netherlands","germany","french","french","french","intelligence","chinese","wuhan","intelligence","world","world","trump","modi","world","tropical","prisoner","leader","frieden","amnesty","country","tedros","korea","criticize","victim","national","access","police","world","million","country","appear","lead","kong","even","system","risk","bell","minister","ema","pfizerbiontech","dos","vaccination","pfizerbiontech","dos","dos","india","eu","covax","pfizer","european","country","covax","johnson","vaccine","million","company","astrazeneca","vaccine","deliver","post","cruise","etienne","ban","top","frieden","expire","resident","bar","vaccine","status","uk","test","list"
"4","china","outside","korea","unite","italy","italy","belgium","german","germany","merkel","south","african","outbreak","beijing","wuhan","beijing","organization","chinese","global","organization","court","wen","von","airborne","healthcare","area","kcna","north","tv","infrastructure","lima","moria","exemption","vaccine","actually","million","cure","organizer","newsom","delfraissy","cambodia","election","reiner","tier","stage","first","european","million","vaccination","european","million","vaccinate","vaccine","country","million","receive","european","production","company","china","vaccine","quality","vaccine","johnson","million","deliver","security","parent","department","life","chance","dos","mexicos","olympic","change","transmission","infection","since","return"
"5","thailand","korea","country","outside","korea","africa","italy","macron","france","germanys","basic","citizen","journalist","outbreak","originate","wuhan","pandemic","tedros","organization","pandemic","neglect","right","flatten","right","china","everything","korean","world","tedros","largely","partygoer","stem","organize","oxfam","together","low","regeneron","takayama","employee","plan","officer","officer","committee","government","uk","vaccine","start","desantis","european","million","delivery","worker","union","european","production","country","company","million","production","loan","company","plant","johnsons","allocation","commission","rate","park","parental","release","college","total","ohio","us","spectator","currently","remove","england","positive","two"
"6","korea","country","australia","mainland","iran","country","south","switzerland","chancellor","france","implement","ban","wang","world","pompeo","foreign","assembly","global","antibiotic","social","impact","health","directorgeneral","nirenberg","bad","crisis","un","korean","lopez","national","stampede","salon","access","already","world","gavi","eli","commission","amazon","pay","ward","schaffner","spokesperson","european","vaccine","become","vaccination","vaccinate","first","india","first","minister","delivery","astrazeneca","manufacture","eu","union","merck","global","approve","meet","manufacture","korea","us","pfizer","notify","force","provider","may","philippines","time","unused","long","venue","inform","school","fast","coronavirus","team"
"7","spread","death","emirate","philippines","first","first","country","immigration","angela","military","merkel","guangzhou","lawsuit","tedros","claim","response","resolution","world","health","add","system","prison","schumer","africa","world","outbreak","kim","firefighter","station","initiative","perus","internet","lack","production","global","plan","already","restriction","pacific","scientific","hungarian","whitmer","prime","restriction","commission","citizen","receive","vaccine","million","pfizerbiontech","country","vulnerable","commission","canada","country","covax","production","sinopharm","organization","end","produce","vaccine","million","end","additional","remove","order","health","oregon","sector","must","use","still","amid","lab","community","woman","wednesday","case"
"8","outside","philippines","japan","december","outside","america","france","spain","robert","african","lewinger","travel","merkel","hubei","laboratory","trump","xi","organization","agreement","protest","relationship","country","life","organization","advance","behavior","south","mask","palace","depend","party","big","people","buy","power","rather","ongoing","eu","capacity","federation","danish","ohio","life","italian","country","administer","desantis","first","commission","vaccinate","african","frontline","export","ireland","company","pfizerbiontech","delivery","program","merck","astrazeneca","production","emergent","australia","pfizer","fan","request","seattle","age","cyclone","list","address","state","canadian","canadian","instance","vaccine","study","china","survey"
"9","country","japan","thailand","egypt","south","continent","east","austria","thank","reserve","france","subject","missouri","intelligence","eye","north","global","xi","indias","precaution","scott","problem","leyen","fail","worker","metro","report","houston","china","country","user","participant","gathering","supply","hurt","income","beijing","vardhan","prioritize","bed","decision","angeles","street","gottlieb","minister","dos","uk","dos","vaccinate","oxford","nhs","ministry","delay","eu","receive","world","million","receive","russian","use","deliver","drug","production","moderna","production","sell","information","requirement","cecc","able","ship","set","north","follow","phase","base","variant","dose","traveler"
"10","japan","singapore","germany","taiwan","europe","brazil","sweden","italy","koch","mexican","violence","origin","freedom","lockdown","outbreak","organization","call","military","country","adhanom","member","become","china","global","suppress","flight","world","political","church","strengthen","attend","cell","numb","develop","parade","distribute","international","hahn","company","hospitalization","several","conference","worker","christmas","france","nhs","florida","country","approve","approve","vaccinate","million","bloc","world","european","approve","manufacture","global","approve","country","end","batch","emergent","previously","company","information","ship","defense","child","rate","director","can","ohio","organizer","fda","define","positive","outbreak","confident"
