"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","year","year","economy","economy","dow","market","market","stock","stock","stock","economy","program","billion","quarter","million","billion","job","billion","million","economic","billion","billion","unemployment","fund","year","billion","quarter","job","quarter","quarter","abe","job","claim","sale","estate","victoria","claim","bank","club","stock","mink","mink","mink","mask","mask","reaction","reaction","reaction","reaction","crisis","brazilian","oxygen","black","black","wait","child","shum","parton","rapidly","foreign","lab","origin","global","efficacy","china","send","aid","support","china","intelligence","email","look","go","national","city","county","ice","offit","los"
"2","cancel","company","plant","year","point","stock","stock","billion","billion","bank","bank","billion","program","billion","pledge","million","economy","economic","billion","economy","economy","economic","job","job","pelosi","nurse","economy","million","june","nurse","bolt","nasdaq","economic","china","grant","hotel","job","store","benefit","open","hold","farm","farm","surgical","april","allergic","allergic","allergic","illegal","houston","amazonas","amazonas","analysis","report","poll","ascension","american","song","call","seoul","origin","report","source","leader","facility","foreign","oxygen","aid","excess","origin","fauci","investigation","plant","city","address","rate","hotez","dose","receive"
"3","school","store","company","business","drop","point","trade","market","business","unemployment","business","fund","money","job","billion","unemployment","bill","unemployment","job","billion","economic","economy","million","million","fund","service","economic","fall","economy","job","index","quarter","job","retail","many","claim","benefit","open","open","dow","large","denmark","danish","offer","suggest","history","alaska","common","allergic","set","expectancy","manaus","white","poll","black","black","actually","life","enough","worker","theory","animal","fast","international","longterm","air","india","equipment","taiwans","community","origin","far","think","package","implement","republican","detention","order","public"
"4","lunar","close","business","million","market","dow","drop","economy","package","business","program","stock","business","economy","unemployment","job","relief","hassett","claim","stock","stock","forecast","billion","market","million","congress","gdp","index","datum","port","job","investor","store","child","crown","victorias","oil","year","stock","million","california","cull","denmark","farm","significant","significant","adverse","report","warn","production","life","government","latino","american","family","trial","storage","local","employee","canada","china","organization","virus","animal","concern","india","foreign","international","taiwan","virus","lab","dr","facility","restaurant","limit","vote","facility","booster","angeles"
"5","will","extend","impact","company","index","low","oil","economic","dow","market","economic","file","trade","demand","economic","package","vote","economy","labor","price","dow","decline","fund","brother","go","worker","industry","june","impact","lebanon","handle","sp","program","mccancekatz","million","girl","year","pollution","industry","bell","farm","human","infect","infect","save","compare","clinical","public","china","sport","bolsonaro","shortage","population","hispanic","see","year","sister","call","wear","embassy","redfield","virus","extremely","chinese","washington","oxygen","send","pledge","beijing","china","institute","infectious","chief","johnson","mayor","facility","dhs","go","memo"
"6","holiday","lunar","auto","airline","stock","index","dow","trade","market","million","billion","bank","loan","economic","global","money","billion","financial","economy","year","sp","job","economy","brook","worker","cut","location","sector","dog","mental","business","hotel","pandemic","serious","factor","andrews","around","loss","unemployment","market","mutate","strain","kill","wale","march","vaccine","survey","edwards","adverse","throughout","year","coari","high","analysis","republican","young","store","business","disease","claim","dr","source","investigation","paralympic","emergent","support","supply","statement","chinese","investigation","national","assessment","johnson","blasio","online","unvaccinated","lag","paul","space"
"7","student","holiday","part","bank","bad","rate","bad","bank","economy","payment","unemployment","unemployment","fund","fund","norwegian","euro","emission","recession","unemployment","fall","market","fund","sector","eviction","television","home","impact","economy","million","high","nasdaq","stimulus","million","point","another","mikakos","worker","quarter","pandemic","point","court","mutation","cull","mink","atlanta","pfizerbiontech","trial","miller","crisis","employee","overdose","court","cover","race","trust","researcher","die","control","direction","south","opinion","world","call","putin","chinese","assistance","ventilator","trust","already","biden","virus","fauci","damage","food","vary","increase","month","else","accommodation"
"8","university","business","industry","outbreak","sp","cut","index","loss","economic","trade","payment","money","small","bank","business","economic","lose","million","market","million","open","recovery","dow","month","threaten","job","costco","july","rise","recovery","sp","hit","file","worker","continent","inquiry","extreme","sale","million","loss","north","danish","animal","swaminathan","beyond","poll","history","serious","though","old","manaus","federal","federal","access","find","color","announcement","get","throughout","korean","friday","china","china","call","accident","provide","concentrator","help","request","national","anthony","national","lose","mayor","percentage","april","republican","basis","dose"
"9","beijing","billion","year","billion","company","economy","point","financial","trade","small","trade","sp","job","business","bank","tourism","bank","year","point","market","industry","million","economic","loan","congress","budget","measure","month","price","market","store","dow","australian","benefit","restriction","biden","gas","claim","low","pandemic","right","pass","strain","face","model","severe","health","room","guideline","write","world","brazils","disparity","people","get","island","previously","weekly","understand","test","world","wuhan","claim","intelligence","affect","aid","uk","save","confident","director","faucis","disease","clear","address","representative","effect","national","effect","send"
"10","new","will","event","impact","fall","investor","future","cut","future","economic","stock","claim","package","oil","loan","economy","million","company","year","drop","unemployment","global","market","worker","bill","staff","county","year","mean","claim","finish","worker","china","employee","government","resign","poverty","retail","economic","economy","party","population","human","virus","unite","advise","vaccine","severe","ensemble","nebraska","increase","city","american","disparity","fund","damage","collins","message","case","government","wuhan","study","access","country","april","flight","equipment","humanitarian","tweet","institute","shipment","drug","substantial","citizen","accordance","information","difficult","thursday","threat"
