"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","mask","mask","student","empty","olympic","school","school","school","school","school","school","school","school","school","school","school","school","school","dc","survey","student","student","school","school","school","school","school","school","school","school","school","student","school","student","school","school","student","school","student","child","child","child","native","black","job","sport","oklahoma","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","identify","variant","variant","michigan","virus","italy","job","unemployment","delhi","government","job","delhi","claim","region","consumer","guidance","tennessee","resident","average"
"2","face","empty","video","student","wear","event","student","will","close","employee","year","cuomo","student","vaccine","student","student","student","washington","student","positive","class","school","student","student","student","student","student","student","student","student","student","school","student","school","student","student","school","student","school","school","aap","visit","child","store","unemployment","organize","putin","uk","uk","mutation","cdc","study","africa","strain","south","identify","africa","uk","identify","infect","variant","case","case","variant","claim","bubble","ban","loan","india","claim","benefit","drop","full","maryland","business","prevention","immunization","half","datum"
"3","supply","red","get","home","tokyo","game","will","event","election","furlough","baker","gov","reopen","app","sturgeon","canada","model","dc","queen","student","school","campus","fall","fall","district","district","district","district","district","learn","class","campus","university","university","university","teacher","jenkins","child","church","student","beshear","mental","alaska","claim","sputnik","sputnik","kindergarten","new","england","uk","identify","virus","south","mutation","sequence","strain","case","find","uk","uk","test","michigan","michigan","area","spread","live","flight","travel","government","sisodia","unemployment","kejriwal","wisconsin","start","economic","adams","fiscus","average","florida"
"4","store","gamble","mask","worker","committee","student","cancel","close","student","disney","louisiana","reopen","learn","reopen","app","canadian","education","model","washington","result","fall","fall","campus","online","reopen","education","learn","learn","learn","district","campus","university","teacher","positive","person","ka","university","person","child","kid","release","emergency","american","child","benefit","establish","giant","england","strain","strain","sample","find","identify","protection","africa","sequence","south","case","researcher","find","virus","identify","expert","contact","estimate","ban","australian","year","drive","ice","enhance","government","capital","monday","survey","need","conversation","per","population"
"5","public","street","food","mask","event","festival","close","student","april","election","closure","student","education","phase","class","class","class","education","ride","sleep","education","semester","class","campus","class","instruction","person","reopen","parent","class","staff","person","staff","person","staff","campus","learn","university","outbreak","judge","charge","particularly","rate","benefit","francisco","public","russian","strain","virus","scientist","virus","africa","detect","antibody","strain","south","find","identify","find","sequence","infect","circulate","coronavirus","identify","now","observe","india","flight","sisodia","india","big","will","four","business","confident","away","fire","rate","resident"
"6","shop","wear","newcastle","supermarket","online","tokyo","district","postpone","will","education","close","closure","will","hatchett","reopen","reopen","university","reopen","college","post","learn","class","college","safely","fall","learn","vote","teacher","teacher","reopen","education","college","class","quarantine","positive","cusimano","new","lee","county","detainee","andy","force","black","retailer","russian","clinic","mayor","identify","appear","south","spread","antibody","strain","sequence","uk","africa","concern","first","study","state","saliva","uk","strain","case","expert","expert","australia","recent","worker","delhi","keep","ward","lift","prescription","level","decide","tanksley","datum","state"
"7","go","cross","friend","study","month","olympic","university","primary","date","exam","reopen","say","new","gate","puerto","murray","forecast","south","sunday","school","campus","tracer","teacher","reopen","education","open","reopen","class","person","teacher","reopen","reopen","aug","class","learn","mauri","campus","michigan","person","everyone","kentucky","childrens","compare","shopper","ski","russian","maintain","virus","new","sequence","africa","researcher","first","case","identify","mutation","mutation","coronavirus","case","contagious","infection","like","director","account","full","case","citizen","india","unemployment","provide","labor","september","business","claim","spend","force","recommendation","behavior","new"
"8","video","stay","volunteer","toilet","behind","march","closure","election","cherry","baker","edwards","new","plan","student","will","trudeau","small","decline","school","percentage","ceremony","will","semester","district","will","person","election","child","county","remote","person","learn","start","member","member","learn","directly","year","provide","among","press","support","population","unemployment","child","involve","announcement","world","identify","virus","mutation","identify","uk","uk","mutation","brazil","detect","concern","first","case","child","africa","surge","virus","person","india","enter","nepal","supply","low","market","erck","week","zone","point","speak","go","among","adult"
"9","food","hotel","driver","read","game","cancel","march","closure","event","company","gov","conference","gov","cepi","kindergarten","border","distance","canada","pony","tanzania","like","college","tracer","learn","person","cdc","option","remote","reopen","person","child","class","campus","county","class","york","test","department","community","release","business","prison","unemployment","online","economy","activity","age","scientist","scientist","africa","uk","new","find","sample","virus","case","washington","south","york","appear","find","game","identify","surge","outstrip","bad","travel","around","shortage","central","miss","keep","direct","may","claim","trace","re","little","washington"
"10","outside","food","airbnb","food","student","close","class","ohio","extend","april","state","exam","shop","australia","allow","mobility","canadian","department","sit","datum","projection","plan","learn","county","kudlow","document","plan","person","plan","staff","instruction","theater","teach","adf","campus","person","person","county","public","match","office","paso","among","home","biden","old","update","southeast","spread","identify","sequence","appear","spot","identify","find","first","brazil","mutation","africa","spread","mouth","test","team","trace","official","governor","anyone","service","covishield","worker","make","cover","fund","release","strengthen","perform","state","state","vaccinate"
