"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","flight","flight","base","passenger","passenger","school","school","cuomo","order","order","gov","cuomo","cuomo","gov","cuomo","cuomo","gov","gov","cuomo","county","gov","gov","beach","reopen","york","city","bar","city","restaurant","church","korea","indoor","dine","will","restaurant","restaurant","restaurant","restriction","restriction","victoria","will","restaurant","restriction","lockdown","restriction","restriction","restriction","uk","uk","uk","uk","uk","uk","uk","uk","uk","england","poll","uk","europe","export","uk","cruise","ceremony","indoor","air","cuomo","broadway","cuomo","indoor","change","sununu","athlete","travel","point","outbreak","travel","positive","festival"
"2","passenger","air","air","diamond","ship","cuomo","district","gov","gov","gov","order","gov","school","reopen","gov","gov","county","cuomo","gov","city","york","governor","county","mayor","city","restaurant","restaurant","de","mayor","seoul","seoul","reopen","restriction","restriction","restriction","bar","will","tier","restaurant","restriction","zone","bar","pm","restriction","will","restaurant","restaurant","kent","restriction","minister","measure","school","johnson","respondent","england","lockdown","uk","likely","spread","kluge","commission","sign","uk","venue","surface","outdoor","city","york","korea","china","negative","seattle","official","new","hear","group","ice","team","gather"
"3","citizen","plane","south","american","flight","student","cuomo","york","york","stayhome","state","school","gov","business","state","york","cuomo","mayor","york","york","cuomo","mayor","gov","restaurant","state","county","order","bar","cuomo","south","south","allow","allow","gathering","bar","restriction","close","rule","will","lockdown","restriction","restriction","will","will","restaurant","must","travel","restriction","british","johnson","lockdown","lockdown","british","survey","poll","england","lockdown","british","rate","conference","leader","regional","go","outdoor","limit","quality","reopen","cuomo","visitor","source","birth","ceo","tokyo","cite","consumer","member","committee","player","attend"
"4","south","base","miramar","charter","cruise","york","york","school","mayor","cuomo","cuomo","governor","student","state","mask","state","state","beach","dc","mayor","mayor","county","mayor","gov","mayor","york","gym","mayor","york","mayor","police","outdoor","restaurant","victoria","allow","capacity","restriction","will","level","andrews","close","lockdown","restaurant","allow","open","will","will","port","england","school","french","border","london","strongly","british","johnson","government","england","set","lack","eu","treaty","sunday","capacity","transmission","body","york","gov","york","home","pregnancy","medium","celebrate","fan","large","vote","team","like","symptom"
"5","will","evacuation","plane","us","diamond","district","gov","restaurant","city","governor","school","york","governor","cuomo","order","mask","york","reopen","county","gov","county","state","order","bar","order","indoor","gathering","york","city","city","mayor","south","south","business","venue","reopen","business","indoor","allow","will","bar","will","bar","indoor","region","pm","close","france","move","measure","curfew","college","prime","whitty","border","group","dose","community","gym","work","european","england","norwegian","indoor","individual","bad","gov","show","disney","dine","list","travel","deadline","mark","event","case","detention","ad","traveler"
"6","charter","passenger","flight","evacuate","princess","university","student","order","new","york","governor","order","york","order","reopen","andrew","say","state","phase","reopen","phase","city","bar","beach","gov","mayor","mayor","rio","bill","sarangjeil","link","mayor","indoor","south","city","county","gathering","limit","rule","restaurant","leave","pm","measure","restaurant","business","order","christmas","truck","tourist","add","place","hancock","minister","handle","uks","british","prime","mayor","poll","uk","union","europe","friday","limit","outdoor","enrollment","workforce","release","open","restaurant","team","expect","paper","flight","small","three","traveler","spokesperson","cross"
"7","plane","california","korean","ship","evacuate","andrew","new","close","blasio","new","say","andrew","state","school","california","say","gym","county","andrew","phase","governor","york","indoor","county","cuomo","order","county","restaurant","de","korea","measure","facility","mayor","bar","capacity","gathering","court","household","region","remain","ban","zone","lockdown","gathering","stayhome","activity","pm","border","stay","level","situation","johnson","lockdown","france","nhs","target","minister","vaccination","around","infrastructure","europe","past","requirement","sunday","capacity","reopen","kit","open","park","visit","travel","begin","lift","million","indicator","release","party","list","quarantine"
"8","arrive","charter","san","flight","base","close","closure","new","issue","issue","andrew","state","conference","wear","protest","county","governor","department","state","new","reopen","phase","restaurant","york","indoor","travel","party","janeiro","new","jun","city","korea","city","outdoor","limit","indoor","allow","capacity","government","allow","minister","per","close","open","pm","close","gathering","close","french","pm","school","level","close","country","high","government","will","conference","contact","certificate","apply","leader","zahawi","inquiry","lamont","shut","event","reopen","kong","guideline","return","model","positive","sunday","somewhat","facility","pandemic","order","home"
"9","evacuate","land","arrive","princess","plane","family","county","andrew","de","essential","close","say","desantis","face","governor","reopen","reopen","weekend","say","cuomo","andrew","order","reopen","cuomo","new","state","governor","order","business","korean","gathering","city","distance","restaurant","distance","limit","indoor","high","manchester","close","home","gathering","ban","shop","christmas","region","government","driver","square","lockdown","will","england","england","germany","involve","priority","restriction","low","government","like","member","around","morning","uk","disinfect","york","area","theater","andrew","limit","model","spokesperson","expect","airport","across","effort","indoor","administration","july"
"10","quarantine","carry","evacuee","base","indian","attend","close","bar","close","close","april","reopen","order","salon","county","new","andrew","governor","outdoor","blasio","city","business","city","order","reopen","governor","reopen","restriction","blasio","local","ban","kcdc","september","indoor","social","must","state","alert","impose","pm","limit","indoor","limit","business","social","measure","measure","christmas","gathering","prime","castex","secretary","hotel","agree","wale","reopen","vaccination","uk","stay","several","rule","everyone","industry","lockdown","foot","surgery","air","political","distance","return","michigan","doctor","house","cancel","stop","report","advisory","national","accord"
"11","two","san","repatriate","plane","quarantine","new","say","city","stayhome","de","issue","new","andrew","county","wear","murphy","beach","say","reopen","today","new","new","governor","state","bar","business","area","sheriff","gov","indoor","church","limit","capacity","ease","continue","suarez","new","government","measure","open","restaurant","orange","gathering","household","allow","curfew","shop","french","secretary","will","allow","nhs","decline","british","government","uks","british","spread","early","good","outside","eu","british","will","hill","hospitality","animal","guideline","south","contain","record","england","administrative","exceed","shortterm","get","facility","something","team"
"12","korean","military","citizen","citizen","force","say","andrew","mayor","cuomo","state","angeles","business","reopen","phase","school","governor","mask","city","order","de","state","reopen","phase","city","governor","outdoor","business","indoor","reopen","churchs","kcdc","venue","strict","police","indoor","allow","open","local","close","people","prime","allow","outdoor","outdoor","measure","indoor","allow","dover","personnel","restriction","remain","measure","boris","hancock","end","february","ease","say","accord","poll","ago","rule","get","people","clean","undergraduate","serve","accord","reopen","table","resident","novavax","medium","figure","new","rate","address","commissioner","park"
"13","board","citizen","diego","cruise","air","clean","court","closure","governor","blasio","louisiana","mayor","require","york","andrew","jersey","mental","decline","release","governor","statewide","abbott","state","phase","restaurant","require","island","governor","angeles","de","indoor","dine","pm","sunday","space","seat","maximum","gathering","lockdown","premier","gathering","red","business","christmas","capacity","bar","singapore","lorry","will","restaurant","minister","home","school","england","currently","end","impose","people","focus","previously","around","life","improve","end","venue","expand","purpose","shop","ease","large","bar","impact","special","industry","still","april","due","re","michigan"
"14","wuhan","us","brazilian","quarantine","arrive","westchester","rochelle","blasio","school","jersey","edwards","conference","new","mask","york","must","care","york","city","say","hospitalization","jersey","cuomo","governor","outdoor","mandate","sheriff","fine","walsh","order","metropolitan","new","korea","case","will","outdoor","limit","mayor","limit","two","measure","limit","gym","tier","close","gathering","household","freight","impact","place","jan","wave","uks","johnson","prime","boris","roadmap","age","order","try","force","work","rio","attendee","maintain","cuomo","park","costco","low","airport","contain","hope","technology","screen","good","cdcs","case","get","nba"
"15","american","travis","quarantine","will","repatriate","selfquarantine","de","delivery","store","florida","conference","murphy","learn","conference","distance","conference","jersey","andrew","new","state","blasio","texas","dine","indoor","statewide","individual","indoor","party","bogota","gathering","distance","malatras","bar","arrest","seat","tier","outdoor","restaurant","bar","australias","victoria","melbourne","indoor","measure","tree","sport","business","strand","little","sturgeon","pm","peak","refuse","november","much","prevalence","april","vaccinate","british","government","meet","apply","cdc","scotland","real","flight","line","governor","full","bar","link","limit","sanction","attend","travel","trump","news","public","horse"
