"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","xi","li","li","xi","chinese","wuhan","collapse","court","police","prison","jail","inmate","inmate","nypd","release","inmate","member","member","test","county","zealand","tracer","victoria","victoria","marine","military","victoria","victoria","victoria","blast","berlin","berlin","australian","scharf","foreign","world","world","cruise","mexico","force","safe","taiwan","contract","european","european","uk","vaccine","million","vaccine","vaccine","vaccine","vaccine","vaccination","covax","receive","vaccine","country","covax","vaccine","astrazeneca","clot","astrazeneca","astrazeneca","astrazeneca","astrazeneca","astrazeneca","dos","astrazeneca","dos","dos","share","smith","dos","million","improve","missouri","income","behavior","estimate"
"2","meet","xi","xi","president","wuhan","chinese","hotel","prison","inmate","police","inmate","release","department","member","member","facility","nypd","test","antibiotic","symptom","new","prison","inmate","melbourne","air","okinawa","andrews","andrews","australia","quarantine","german","police","universal","board","policy","country","organization","store","indian","test","process","ireland","tedros","summit","uk","vaccine","country","european","vaccination","vaccination","receive","vaccinate","worker","vaccine","country","country","vaccine","vaccine","country","european","astrazeneca","clot","european","vaccine","european","dos","uk","vaccine","vaccine","vaccine","country","million","vaccine","dos","highly","level","household","adult","active"
"3","government","medium","chen","chinese","xi","police","rescue","justice","prison","department","detainee","prison","member","department","positive","positive","staff","sick","strategy","quick","woman","contact","jail","san","corp","base","cain","fine","australian","theater","germany","regulation","university","project","europe","doctor","scale","cancel","visa","protester","confirm","castex","eu","world","world","pfizerbiontech","dos","vaccine","dos","european","dos","vaccination","country","organization","vaccine","covax","sputnik","receive","use","clot","blood","blood","clot","european","vaccine","vaccine","vaccine","support","covax","covax","vaccine","vaccine","million","share","say","spot","definitely","get","importance"
"4","president","wenliang","doctor","response","medium","li","build","inmate","officer","inmate","police","police","release","prison","taliban","tribe","positive","page","journalist","say","symptom","symptom","san","andrews","victoria","victoria","facility","australias","greece","lebanese","french","statement","response","world","china","tooth","list","september","infect","visitor","test","island","merkel","leader","vantam","dos","billion","vaccination","european","million","african","minister","million","country","sagasti","receive","tanzania","country","astrazeneca","blood","european","follow","vaccine","agency","pregnant","plan","biden","patent","million","world","dos","biden","distribute","vaccine","expect","expect","probably","one","hutchinson"
"5","control","anger","wenliang","doctor","news","uk","quanzhou","police","justice","officer","department","member","positive","police","department","release","space","nypd","inmate","approval","ardern","system","andrews","prison","saturday","andrews","care","camp","outbreak","last","rise","tui","rate","leader","aim","sand","much","speak","union","giroir","healthcare","system","commission","country","billion","citizen","million","sputnik","pfizerbiontech","minister","million","vulnerable","rollout","dos","dos","global","covax","sinopharm","world","vaccine","committee","european","blood","medicine","medicine","send","send","dos","johnson","country","million","dos","administration","official","outbreak","new","million","situation","challenge"
"6","report","whistleblower","police","whistleblower","president","zaghariratcliffe","people","immigration","positive","law","sheriff","chicago","sentence","death","prisoner","test","attorney","current","beijing","california","auckland","jail","air","quentin","base","australian","state","restriction","authority","maine","regulation","google","incidence","german","visa","low","healthcare","carnival","ibrahim","already","news","number","act","prime","global","vaccination","world","pfizerbiontech","receive","vaccinate","delivery","dose","vaccine","world","peru","sinopharm","rdif","dos","medicine","suspend","vaccine","medicine","rare","clot","benefit","european","work","world","share","initiative","covax","administration","biden","yet","plan","state","survey","ask","grant"
"7","crisis","crisis","chinese","ukrainian","survey","epidemic","die","officer","test","nypd","prison","department","prison","florida","statement","court","sick","positive","lebanese","wear","isolation","curve","quarantine","marine","personnel","japanese","premier","breach","case","australia","event","owner","impact","woman","introduce","gavi","fortune","remember","minute","abroad","abroad","trudeau","european","uk","treatment","receive","minister","country","first","first","statement","frontline","citizen","global","million","dos","world","organization","rich","medicine","medicine","vaccine","ema","blood","outweigh","irish","million","waiver","astrazeneca","pfizer","will","go","plant","distribute","reason","similar","vaccine","late","response"
"8","virus","social","online","jinping","virus","family","search","hotel","jail","enforcement","cook","positive","county","positive","test","employee","department","uniform","positive","effectiveness","facility","trace","prison","california","andrews","premier","military","police","male","potential","authority","european","german","broward","past","little","gate","shut","speak","door","alongside","world","billion","global","country","nhs","uk","first","spain","countrys","program","uk","dos","million","covax","foreign","fund","program","clot","agency","risk","rare","decision","review","eu","million","trudeau","supply","supply","share","distribute","country","batch","go","thing","highly","people","business","change"
"9","jinping","police","medium","control","official","jail","trap","security","hotel","church","member","detainee","police","report","arrest","member","release","front","antimicrobial","time","member","test","police","inmate","officer","personnel","longterm","home","australias","deal","participant","wave","past","detainee","chinese","income","demand","head","governor","news","scheme","celebrate","worker","minister","sputnik","western","european","agreement","delivery","dos","country","february","ministry","participate","zahawi","ash","india","nigeria","european","use","statement","age","medicine","eu","clot","covax","agreement","country","world","company","official","global","us","say","eligible","improve","know","prevention","cdc"
"10","state","lis","president","medium","jinping","truth","prison","faa","court","positive","county","cohen","jail","release","golf","frazier","police","police","social","encourage","two","zealand","test","australian","case","cause","australian","australia","capital","suffer","contact","response","failure","vaccination","happen","study","one","six","embassy","victoria","rapid","reopen","economy","italian","minister","nation","ministry","dos","commission","receive","dose","group","vaccinate","worker","sinopharm","world","statement","million","organization","ema","suspend","germanys","eu","regulator","spain","delivery","say","global","african","global","world","distribute","safe","administration","sweep","move","get","vaccine","abroad"
