"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","flight","airline","travel","lor","iran","iran","ban","country","lockdown","lockdown","lockdown","lockdown","lockdown","will","will","will","will","reopen","phase","restriction","will","will","travel","will","okinawa","airline","travel","travel","zealand","zealand","minister","travel","passenger","lockdown","johnson","england","stay","minister","burnham","national","australian","australia","committee","north","longterm","south","south","case","south","korea","province","case","chinese","animal","wuhan","market","china","origin","russian","fund","putin","thursday","event","contact","travel","travel","travel","travel","travel","passenger","weekend","delhi","business","zone","business","symptom","school","school","school"
"2","travel","flight","airline","travel","level","irans","iran","border","ban","measure","minister","measure","restriction","restriction","allow","reopen","allow","will","reopen","reopen","reopen","visitor","eu","border","travel","passenger","spain","germany","travel","ardern","travel","restriction","travel","israel","minister","minister","uk","uk","uk","lockdown","infection","liverpool","meet","korea","nurse","korea","korea","cluster","korea","north","hebei","province","team","china","china","china","question","arm","france","funeral","russian","play","bar","guest","traveler","eu","australian","flight","european","travel","travel","kejriwal","capacity","region","find","exhibit","state","mask","mask"
"3","airline","suspend","suspend","qom","kuwait","ministry","travel","ban","country","flight","restriction","minister","measure","lockdown","restriction","lockdown","phase","phase","will","open","border","july","list","travel","us","plane","uk","flight","restriction","new","new","government","rise","household","expect","northern","fatigue","prime","national","fight","victoria","employee","military","meet","north","korean","case","nsw","case","case","shijiazhuang","beijing","wuhan","pet","animal","wuhan","kurz","casino","depression","fenton","peskov","offer","restaurant","restaurant","test","certificate","quarantine","test","enter","ema","holiday","transportation","will","white","accord","walensky","student","student","district"
"4","china","travel","flight","man","iraq","country","country","travel","india","minister","extend","ban","will","allow","reopen","allow","lockdown","allow","june","will","allow","allow","traveler","list","will","require","traveler","restriction","uk","auckland","zealand","border","airport","airport","prime","accommodation","young","conference","prime","strategy","see","officer","cdc","korean","cv","north","kdca","south","transmit","prisoner","case","outbreak","china","market","chinese","ben","chinese","china","always","fema","kremlin","turn","contact","step","announce","european","citizen","warn","eu","security","million","ward","screen","remain","region","cause","passport","wear","student"
"5","suspend","china","airbnb","hotel","iranian","citizen","europe","enter","travel","modi","government","extend","nationwide","ease","lockdown","restriction","reopen","june","restriction","allow","restriction","restriction","will","restriction","block","card","quarantine","quarantine","ardern","minister","prime","flight","uk","netanyahu","israel","eviction","kluge","england","boris","approach","register","twitter","metropolitan","military","ambulance","kim","seoul","sydney","close","kdca","outbreak","district","outbreak","evidence","team","embarek","market","work","adverse","pazuello","coronavirus","baseball","club","paralympic","worker","flight","enter","quarantine","test","will","busy","screen","hogan","will","secretary","country","college","district","require"
"6","traveler","february","cancellation","advise","irans","iranian","suspend","flight","restriction","country","measure","prime","extend","shop","minister","measure","restriction","restriction","allow","border","travel","travel","country","strict","effect","travel","government","uk","auckland","prime","restriction","world","england","china","boris","manchester","jury","boris","vallance","ice","restriction","country","child","member","prevention","agency","cluster","seoul","locally","meet","china","china","investigation","behravesh","market","chinese","research","mexican","add","china","meanwhile","club","sport","part","flight","commission","flight","department","district","allow","eu","announcement","dos","bar","term","may","require","require","wear"
"7","statement","march","reduce","flight","qom","travel","apply","restriction","minister","prime","country","country","strict","prime","ease","ease","minister","start","resume","travel","phase","eu","allow","quarantine","movement","airport","europe","curfew","quarantine","flight","uk","tourist","bubble","uk","uk","pm","take","johnson","johnson","ezike","minister","egyptian","accord","control","service","minister","alert","korea","local","cluster","south","daxing","origin","wuhan","embarek","dec","supply","kurz","possible","covidrelated","way","hogan","part","trace","allow","quarantine","ban","government","certificate","airline","screen","demand","open","business","former","cough","gov","teacher","mandate"
"8","hubei","entry","student","employee","country","agency","restriction","spain","flight","citizen","nationwide","restriction","minister","reopen","prime","minister","lift","measure","open","lift","june","reopen","border","country","prefecture","rule","country","england","minister","restriction","border","minister","government","england","pm","local","alone","evers","financial","measure","now","secret","member","committee","facility","foreign","beach","beach","visa","south","commission","infection","quarantine","human","origin","laboratory","seafood","danish","thursday","general","process","per","minister","statewide","game","game","traveler","ahead","restriction","flight","monday","weekend","expect","italian","strong","upper","sign","texas","university"
"9","country","air","extend","enter","travel","visa","border","will","measure","will","will","nationwide","india","minister","school","phase","open","park","shop","phase","capacity","indoor","european","arrive","government","unite","germany","traveler","prime","travel","case","ban","hancock","effect","lockdown","game","home","emergency","minister","know","epidemic","noncovid","defense","migrant","redfield","koreas","wale","total","mass","report","locally","surround","korea","team","human","examine","origin","cnns","across","letter","early","foundation","set","tokyo","tourism","june","australia","start","ban","test","commission","will","restriction","ministry","commissioner","midapril","proof","governor","staff"
"10","british","company","february","airline","ministry","qom","minister","suspend","will","delhi","spanish","border","ban","may","lift","start","remain","announce","government","resume","open","order","island","resident","quarantine","ban","wave","passenger","locally","case","country","passenger","screening","minister","rise","tuesday","understand","short","strategy","stay","lockdown","sure","pentagon","acip","disease","jong","area","wale","report","prevention","asymptomatic","korea","city","outbreak","finding","december","swiss","world","canadian","brazil","vaccination","sport","close","tuesday","train","will","eu","nepal","nepali","federal","european","million","emergency","hour","winter","status","prohibit","public","ask"
"11","warn","restriction","april","hawaii","flight","ali","spain","entry","cuban","curfew","india","travel","indian","india","remain","outdoor","start","minister","service","june","lift","border","restriction","zealand","include","spain","announce","infection","close","country","zealands","country","quarantine","numb","tuesday","lockdown","effort","economy","press","europe","twitter","link","maintain","defense","vote","covax","total","link","beijings","china","test","camp","virus","bat","expert","scientist","huanan","add","discussion","vaccinate","three","contact","additional","athlete","zealand","olympic","will","past","border","carry","certificate","busy","security","must","barbara","now","pernell","status","start"
"12","province","british","taiwan","iranian","ban","news","will","citizen","enter","india","ban","government","delhi","measure","shop","open","restaurant","ease","capacity","capacity","european","restaurant","criterion","spain","country","flight","restriction","country","government","zealands","link","china","case","government","general","japan","citizen","alert","desantis","system","melbourne","office","korea","seoul","un","seoul","level","outbreak","outbreak","kim","round","hebei","province","mink","product","virus","panel","point","italian","right","tell","tell","report","exit","twin","traveler","entry","italy","flight","regulator","movement","implement","host","million","measure","experience","bill","abbott","gov"
"13","advise","route","route","reduce","suspend","middle","trump","traveler","prime","quarantine","indias","ministry","allow","relax","restaurant","plan","announce","lift","restaurant","country","indoor","phase","citizen","international","mandatory","hire","holiday","advisory","transmit","lockdown","locally","thailand","traveler","record","england","stop","trudeau","number","controversial","accuse","month","cnn","agency","agency","gao","firefighter","metropolitan","locallytransmitted","district","detention","transmit","shijiazhuang","complete","central","outbreak","explain","chain","plan","biological","call","dark","process","per","hairdresser","open","allow","pakistan","exclude","allow","germany","memorial","friday","friday","open","conference","morning","care","pediatrics","bus"
