"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","year","year","economy","million","point","stock","market","airline","market","airline","airline","airline","air","airline","airline","job","job","economic","claim","economy","airline","forecast","unemployment","airline","worker","forecast","vote","job","election","election","mail","biden","trump","mandate","birx","trump","trump","trump","trump","white","white","trump","trump","trump","birx","house","biden","biden","biden","team","china","china","eu","european","canada","european","european","european","olympic","canada","country","country","korea","africa","breakthrough","hancock","committee","olympic","tokyo","olympic","wen","sure","team","family","lockdown","committee","delta","dose","booster"
"2","new","lunar","plant","economy","drop","market","stock","stock","stock","stock","cut","stock","trade","quarter","flight","airline","flight","flight","labor","airline","open","airline","flight","flight","year","nurse","election","telehealth","mail","vote","safety","trump","harris","white","atla","president","white","white","president","trump","house","white","house","president","task","jones","penny","bangkok","presidentelect","china","gounder","panel","european","canada","european","eu","eu","fully","peskov","mexico","covax","shipment","south","support","china","sii","model","tokyo","game","tokyo","now","contract","beasley","acip","combat","pick","test","show","dose"
"3","will","holiday","business","business","dow","point","trade","billion","airline","market","flight","billion","airline","demand","unemployment","flight","emission","hassett","million","economic","passenger","passenger","airline","file","million","pay","mortality","visit","ballot","mail","express","ballot","president","mask","task","task","president","president","rally","president","trump","house","task","house","white","trump","presidentelect","sakhon","cnn","work","global","global","astrazeneca","astrazeneca","der","roosevelt","summit","broad","spokesperson","share","mexico","austria","kdca","already","vaccine","produce","uk","japanese","uk","game","memorial","incident","individual","schedule","complete","conclude","infection","efficacy","uk"
"4","lunar","market","year","year","index","rate","oil","cut","dow","unemployment","market","trade","million","flight","passenger","quarter","decline","expect","job","year","flight","travel","job","brother","estimate","mother","poll","survey","vote","postal","plan","voter","mask","president","white","white","house","house","campaign","house","president","president","white","white","president","white","house","samut","manzanero","arrangement","wuhan","world","union","ireland","von","commission","union","give","tokyo","apple","astrazeneca","billion","covax","vaccine","resident","british","british","johnson","olympic","japan","know","hancock","develop","amid","instance","review","uk","month","september"
"5","cancel","close","company","company","stock","cut","bad","market","pay","cut","economy","claim","oil","passenger","worker","unemployment","migrant","passenger","nearly","stock","economic","loss","million","record","airport","baby","mail","forecast","absentee","passenger","business","joe","election","trump","mask","atla","american","donald","question","science","rt","election","president","slaoui","force","american","white","trump","man","agree","chinese","independent","vaccine","eu","eu","carrier","future","official","kdca","loan","vaccine","vaccine","research","facebook","rise","factory","osaka","uk","hancock","osaka","someone","really","comparison","wage","phase","among","variant","test","germany"
"6","school","gamble","auto","impact","market","dow","drop","flight","trade","low","trade","sp","pollution","plant","industry","economy","lose","unemployment","unemployment","fall","stock","economy","market","stock","global","letter","excess","election","november","plan","country","election","question","justice","house","hick","vice","conley","claim","pandemic","election","donald","slaoui","donald","paige","ask","trump","market","team","international","origin","international","commission","commission","leyen","theodore","commission","home","italy","location","moon","international","korean","purchase","home","facility","raab","shoot","cancel","athlete","country","health","rather","poverty","dangerous","vaccination","england","confirm","call"
"7","holiday","billion","part","outbreak","bad","low","dow","trade","cut","trade","employee","drop","plane","worker","company","loss","unemployment","company","airline","month","economy","market","passenger","million","terminal","rise","lose","murray","voter","ballot","poll","president","mason","mcenany","force","force","positive","test","donald","american","sequence","task","birx","positive","house","president","mike","official","mexican","mexican","expert","expert","supply","vaccine","canadian","uss","philippines","public","event","zients","latin","research","koreas","gottlieb","receive","surplus","patient","athlete","japanese","emergency","die","remember","strict","cut","africa","germany","fast","source","age"
"8","student","cancel","week","tourist","sp","index","fall","loss","billion","dow","stock","dow","level","job","economic","year","passenger","recession","air","price","point","flight","airport","carrier","kudlow","election","economy","ballot","postal","voter","document","survey","biden","reporter","desantis","mask","staff","immune","event","vice","fire","administration","force","month","obama","message","vaccine","white","composer","investigate","share","shanghai","vial","agreement","biontech","year","practice","smoke","disney","us","gavi","yemen","butantan","mkhize","infection","arrive","government","game","athlete","prefecture","like","time","league","statement","paper","institution","case","level","group"
"9","university","extend","factory","china","year","drop","index","economy","point","job","close","bad","american","company","plant","million","worker","worker","economy","point","dow","company","dow","brook","security","ensemble","cast","ihme","economy","machine","presidential","vote","wear","press","brown","rally","penny","rally","house","administration","post","story","brief","force","trump","speak","receive","house","gawande","origin","team","criticize","production","union","cruise","aircraft","scenario","nurse","serve","vaccination","india","covax","biotech","africas","chinese","international","ioc","due","secretary","doctor","life","know","reschedule","make","variant","involve","rise","negative","vaccine"
"10","chinese","tourism","impact","bank","fall","economy","future","fall","future","claim","plane","quarter","disney","oil","job","lose","year","pandemic","lockdown","close","sp","economic","stock","win","lockdown","worker","november","service","dejoy","allow","election","get","campaign","election","tell","house","gen","negative","white","technology","washington","campaign","speak","family","congress","plan","vice","administration","bright","wuhan","scientist","resort","export","warn","ireland","navy","vaccine","israel","russias","process","delivery","safe","china","connect","nurse","oxygen","prefecture","committee","call","risk","weekend","since","nfl","allow","ability","medical","study","positive","start"
