"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","symptom","can","hospital","can","hand","town","hand","study","disease","wear","mask","antibody","antibody","study","drug","study","study","patient","study","study","drug","patient","study","study","study","study","study","researcher","child","symptom","child","researcher","patient","patient","study","child","quarantine","symptom","study","researcher","woman","researcher","researcher","study","child","study","child","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","migrant","brazil","death","four","region","etienne","france","case","travel","canada","aviation","offer","booster","house","house"
"2","contact","cough","can","cough","recommend","hall","dr","dr","dr","mask","wear","drug","study","drug","patient","syndrome","drug","study","drug","use","patient","drug","researcher","patient","antibody","cdc","young","study","study","population","patient","study","adult","child","child","study","symptom","death","patient","study","among","find","study","antibody","prior","defense","sister","uk","uk","mutation","cdc","study","africa","strain","africa","identify","case","case","identify","sequence","identify","case","different","increase","gupta","death","ihme","etienne","death","region","america","country","recommend","quarantine","post","physical","official","mask","white"
"3","can","sneeze","appear","symptom","can","hand","town","trial","fauci","disease","dr","study","patient","patient","remdesivir","disease","disease","drug","patient","drug","study","study","patient","antibody","child","transmission","disease","child","author","child","symptom","patient","study","study","find","researcher","south","woman","researcher","find","pregnant","among","among","among","medical","personnel","among","england","appear","uk","find","find","south","south","south","sequence","africa","find","case","virus","mutation","county","michigan","model","longterm","brazils","estimate","region","etienne","full","country","level","cruise","nonessential","warn","will","pfizer","white","psaki"
"4","cough","symptom","cough","cure","flu","like","hall","symptom","adams","drug","study","wear","researcher","antibody","child","patient","researcher","researcher","hydroxychloroquine","patient","hydroxychloroquine","risk","symptom","child","young","adult","symptom","immune","symptom","age","study","symptom","find","find","patient","find","korea","mortality","find","research","age","crowd","patient","researcher","estimate","military","study","virus","strain","scientist","virus","virus","identify","sample","strain","strain","south","south","new","identify","swaminathan","uk","case","identify","california","estimate","brazils","kerkhove","level","torch","south","travel","traveler","incentive","potential","provide","meet","rule","williams"
"5","virus","virus","many","sneeze","sick","correspondent","can","young","trial","face","hydroxychloroquine","patient","disease","remdesivir","study","child","child","test","use","researcher","trial","researcher","antibody","drug","find","symptom","researcher","find","researcher","hospitalization","kong","negative","researcher","researcher","black","survey","patient","rate","black","patient","study","disease","find","collection","cdc","mask","school","strain","new","strain","study","africa","virus","sequence","sequence","sample","new","identify","uk","study","average","michigan","uk","seven","tedros","school","institute","canadian","caribbean","level","will","recommend","case","traveler","now","remove","brief","floor","rule"
"6","disease","advise","mean","flu","mask","cough","people","cnns","town","recommend","disease","dr","virus","fauci","virus","antibody","patient","hydroxychloroquine","trial","infection","treat","woman","infect","disease","adult","child","reduce","age","publish","likely","age","pregnant","care","hospital","likely","age","man","researcher","publish","antibody","likely","visit","remdesivir","aug","college","senior","three","researcher","virus","virus","sample","disease","strain","mutation","african","africa","mutation","infection","virus","uk","uk","rate","flower","virus","spread","lead","model","malaysia","latin","next","etienne","traveler","selfquarantine","package","new","california","datum","member","administration"
"7","person","hand","infection","nose","cough","cnns","researcher","virus","treatment","use","drug","hydroxychloroquine","test","trial","team","drug","symptom","treatment","journal","transplant","researcher","severe","child","symptom","severe","adams","risk","infect","among","researcher","hong","disease","research","hospitalization","age","among","editorial","find","risk","may","august","learn","illness","prevalence","transmit","man","woman","scientist","transmissible","sequence","africa","antibody","first","identify","virus","south","detect","concern","find","south","high","low","us","michigan","increase","swaminathan","thursday","see","americas","analysis","director","unvaccinated","mississippi","people","ability","student","administration","psaki","believe"
"8","health","flu","birth","spread","wash","flu","wash","may","chloroquine","sick","letter","trial","drug","treatment","blood","heart","treat","use","treatment","treatment","use","review","find","condition","smoke","condition","school","antibody","suggest","people","research","write","hospital","age","young","adult","son","recommendation","shortage","hospitalize","risk","study","old","child","write","researcher","dame","child","colorado","study","mutation","new","detect","africa","uk","case","us","virus","first","sample","sequence","identify","estimate","predict","care","increase","analysis","level","america","traveler","numb","severe","ship","back","able","health","need","wear","press"
"9","spread","person","study","patient","symptom","can","adams","vaccine","patient","adams","adams","mask","blood","disease","disease","test","hydroxychloroquine","trial","researcher","antibody","treatment","remdesivir","drug","woman","group","risk","severe","cdc","aap","group","man","woman","young","likely","researcher","patient","facility","may","symptom","rate","illness","mental","severe","appear","infection","receive","notre","new","know","african","identify","identify","us","uk","identify","find","find","mutation","york","scale","report","resident","numb","wear","rate","often","holiday","death","curfew","project","arrive","risk","level","travel","abroad","fully","company","portion","way"
"10","sneeze","contact","patient","large","nose","question","surface","disease","symptom","dr","cdc","disease","immunity","test","researcher","symptom","test","transmission","find","research","fda","treatment","treatment","journal","risk","guideline","child","adult","young","cdc","forecast","risk","write","research","antibody","loss","due","cdc","journal","disease","compare","research","native","sept","study","datum","inequality","world","unite","find","us","mutation","fauci","case","spot","first","team","brazil","study","prepare","work","high","young","sequence","variant","four","washington","june","yellow","instead","red","aap","sept","country","access","presidential","shot","go","lockdown"
