"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hong","hong","hong","kong","kong","kong","university","order","home","migrant","easter","home","beach","kid","park","hall","school","hall","student","mask","mask","mask","mask","mask","wear","mask","mask","mask","mask","mask","mask","greek","wear","gimenez","vallance","spa","bank","christie","damage","hospital","hospital","trial","rural","store","mcconnell","fund","leader","bill","bill","stock","biden","biden","biden","biden","house","house","bill","biden","bill","biden","relief","nurse","blinken","laboratory","process","line","lift","erck","american","stadium","program","stockpile","visitor","bill","confident","school","mask","resident","case"
"2","kong","kong","kong","hong","hong","hong","class","county","order","home","island","easter","police","street","beach","town","student","watch","shield","go","school","hand","wear","wear","mask","wear","wear","wear","wear","wear","school","region","september","qantas","umrah","stay","fall","year","blood","birx","military","vaccine","point","gottlieb","house","bill","deal","package","trump","vote","guard","trump","trump","republican","biden","bill","vote","bidens","payment","president","government","business","many","development","travel","legal","right","fraud","taiwan","scott","assistance","bill","park","olympic","high","guidance","wear","average","report"
"3","lam","strike","pipe","resident","israel","class","will","airport","beach","trudeau","beach","police","muslim","beach","home","live","town","family","protest","sleep","hand","school","distance","face","face","face","face","distance","distance","lamp","face","greece","train","kurz","phase","app","contact","employee","city","damage","personnel","anvisa","close","black","leader","republican","stimulus","relief","relief","open","relief","executive","administration","relief","president","senate","house","president","stimulus","american","package","small","soon","offer","emergent","move","line","quarter","union","month","north","supply","good","concert","say","person","woman","death","state"
"4","border","border","build","police","selfquarantine","school","student","san","stay","resident","shop","community","city","child","police","park","watch","town","modi","distance","stay","wear","face","distance","covering","mandate","distance","social","face","outdoor","reopen","september","face","austria","whitty","positivity","army","hospital","help","doctor","also","brasil","stock","supply","relief","relief","package","stimulus","payment","face","presidentelect","administration","mask","democrat","committee","democrat","wage","increase","house","bill","help","federal","buy","animal","abroad","cylinder","late","loan","announce","operate","governor","company","service","home","bill","vaccination","school","rate","death"
"5","government","lam","resident","quarantine","tour","selfquarantine","airport","essential","population","student","people","driver","town","police","family","ceremony","hall","know","distance","hand","wear","distance","social","go","bottom","covering","member","face","policy","keep","wear","measure","metro","province","sport","will","service","mask","mask","staff","icu","coronavac","dow","mask","republican","bipartisan","aid","billion","check","house","national","president","standard","budget","relief","relief","democrat","small","biden","help","biden","program","quarter","mexican","substance","situation","restriction","service","relief","goal","go","carnival","protocol","return","limit","prevention","effective","population","increase"
"6","mainland","macao","kongs","roll","visit","learn","spring","shelter","resident","canada","stay","abortion","home","town","crowd","social","family","pandemic","wear","risk","go","sanitizer","covering","can","people","cover","social","mandate","warren","avoid","will","school","distance","die","october","sept","fund","trace","capacity","judge","patient","volunteer","nasdaq","retailer","democratic","liability","relief","congress","stimulus","trade","fund","guard","president","house","bill","biden","biden","relief","president","claim","additional","home","ensure","investment","send","gautam","lockdown","murray","task","life","carolina","strategic","advisory","tweet","sure","test","place","datum","new"
"7","city","union","lam","casino","return","student","school","school","trudeau","canadian","home","restaurant","fear","family","try","cnns","venice","quammen","george","see","keep","covering","kemp","social","atlanta","distance","require","use","physical","medicine","region","reopen","measure","across","pilgrim","king","last","pollution","judge","detainee","medical","adverse","morris","surgical","proposal","stimulus","congress","payment","president","floor","effort","federal","guard","pass","white","president","president","joe","check","promote","state","many","remark","adult","close","travel","build","secret","basis","reopen","hope","border","canada","curb","protocol","distance","highly","half","week"
"8","kongs","kongs","building","toilet","south","remote","campus","resident","essential","enforce","meal","family","protest","home","train","watch","get","school","able","get","student","face","adams","use","policy","suarez","gohmert","event","cdc","chicago","age","mandatory","announce","september","conference","ticket","los","clear","heart","back","arkansas","study","sp","shopper","democrat","billion","democrat","pass","sign","balance","package","joe","national","resolution","family","committee","minimum","psaki","earn","law","program","biden","union","information","biden","interest","allow","paycheck","public","phil","fund","july","leave","emergency","guideline","fall","pregnant","week","population"
"9","will","close","macao","announce","resident","measure","online","home","student","worker","bury","resident","message","park","one","hour","kid","distance","college","way","tropical","social","school","mandate","add","layer","mandate","covering","urge","mandate","covering","wear","mask","movie","capacity","hotspot","ticket","fear","especially","noncovid","order","brazils","volunteer","indicate","bill","senate","bill","benefit","senate","net","vaccination","mask","us","senate","child","pass","relief","woman","will","house","american","assistance","war","top","department","neighbor","consider","police","reason","dimon","million","good","travel","seasonal","lee","need","guidance","state","datum"
"10","macao","employee","evacuation","supermarket","korea","screen","break","student","leave","wen","hart","distance","street","hall","city","thunberg","class","cnns","school","stay","home","possible","go","people","limit","requirement","rep","cdc","hampshire","limit","education","holiday","covering","news","will","fan","jet","tour","patient","atla","effective","butantan","composite","gimenez","stimulus","congress","senate","trump","pass","dow","american","order","house","vote","package","package","package","act","relief","benefit","provide","hh","respect","dose","tass","spokesperson","vidyasagar","boris","force","singledose","state","final","national","organizer","physical","covid","already","low","average"
