"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","citizen","canadian","minister","foreign","north","cancel","league","event","olympic","player","vote","election","hong","game","hong","sport","sailor","crow","hong","fair","rally","trump","trump","trump","white","north","convention","year","invite","lindell","hurricane","billion","personal","woman","factor","paris","issue","enter","child","child","child","mink","mink","farm","zone","whitty","shipment","vaccine","dos","dos","dos","dos","dos","dos","dos","dos","dos","dos","johnson","million","johnson","johnson","johnson","johnson","dos","dos","passenger","library","hate","top","cruise","vaccination","claim","black","week","say","misinformation","james","fauci"
"2","country","citizen","foreign","wall","cancel","march","game","olympic","game","tokyo","wisconsin","vote","kong","hong","kong","hong","ship","emergency","kong","cancel","campaign","rally","president","event","trump","event","zone","tourist","fair","stone","storm","pay","impact","adf","level","girl","bright","share","office","candy","prince","farm","farm","hospital","post","likely","vaccine","dos","vaccine","million","vaccine","vaccine","vaccine","pharmacy","vaccine","supply","million","production","dos","biden","million","vaccine","dos","vaccine","federal","city","french","business","crime","poll","shop","adolescent","lose","child","include","company","murthy","misinformation","get"
"3","minister","foreign","canadian","journal","event","event","player","player","postpone","postpone","election","voter","olympic","tokyo","merkel","kong","japan","abe","tokyo","hong","tulsa","president","penny","president","house","carolina","decision","french","year","location","laura","delus","community","hotel","movement","region","lead","takayama","enter","kid","aap","cull","danish","target","now","stage","dos","receive","administer","distribute","administration","azar","administration","state","administer","vaccine","vaccine","johnson","administration","johnson","dos","manufacture","vaccine","jj","johnson","vial","oxygen","blasio","cruise","province","law","normal","normal","medicaid","coronavirus","booster","share","facebook","dr"
"4","french","minister","citizen","street","korea","flight","event","postpone","tokyo","cancel","league","court","postpone","olympic","german","game","japans","japan","japan","july","trump","campaign","rally","republican","discredit","trump","will","teacher","presidential","victim","louisiana","jeanpierre","brown","worker","low","rate","oust","facebook","canada","adult","april","denmark","denmark","ryan","across","buy","receive","desantis","distribute","administer","million","reserve","million","federal","supply","site","company","merck","biden","dos","goal","plant","million","dos","million","de","generator","de","asian","tsa","ship","lag","pandemic","white","crucial","develop","medium","president","national"
"5","foreign","plane","affair","low","march","game","cancel","cancel","athlete","club","court","event","cancel","court","league","league","navy","tokyo","queen","festival","oklahoma","tulsa","event","convention","press","jacksonville","milwaukee","decision","just","pizza","abbott","euro","home","member","dr","marriage","role","world","amazon","young","positive","human","human","mink","austin","poll","pfizer","care","million","vaccine","distribute","supply","biden","vaccine","vaccination","million","supply","vaccine","end","administration","biden","dos","production","pfizer","company","dose","relief","store","biden","move","barber","among","adjust","likely","student","week","advisory","social","director"
"6","say","zealand","say","expulsion","committee","schedule","postpone","game","committee","event","schedule","postpone","japan","hold","angela","prefecture","carrier","ban","ride","kong","president","event","campaign","white","fauci","convention","economic","fall","company","hut","tropical","family","yesterday","female","continent","year","ignore","arrive","worker","yearold","frederiksen","strain","animal","night","mental","present","first","worker","vaccination","state","pharmacy","administer","administer","administer","site","administer","zients","million","million","state","dialysis","quality","emergent","moderna","deliver","blasio","ship","restaurant","justice","issue","education","child","almost","say","system","center","spread","spread","institute"
"7","australian","prime","european","journalist","april","tokyo","tournament","season","event","japan","postpone","abe","year","july","event","yearold","sport","japans","event","event","event","white","republican","house","event","official","cancel","tourism","run","chain","shelter","eviction","help","quarantine","africa","increase","authority","traveler","world","halloween","sun","mutation","giroir","prepare","video","vaccine","state","administer","facility","federal","speed","administration","supply","supply","pfizer","company","johnson","partnership","merck","vaccine","administration","company","johnsons","federal","pennsylvania","york","business","fund","vote","federal","great","ship","reopen","unemployment","version","august","platform","user","anthony"
"8","government","australian","prime","russian","tokyo","festival","season","team","team","game","club","cancel","san","season","football","test","hong","lift","uk","mark","attend","penny","white","donald","familiar","race","hotel","june","moment","way","havana","rend","sign","kanem","rate","normal","paris","post","canadian","watch","william","danish","cull","test","red","early","perna","frontline","state","speed","reserve","state","goal","biden","pharmacy","state","pharmacy","end","vaccine","next","company","emergent","produce","zients","channel","sii","voyage","york","support","incident","sail","warn","rise","see","shoot","just","ask","platform","go"
"9","evacuate","russian","olympic","minister","source","airline","sport","organizer","postponement","olympic","voter","trial","next","kong","germanys","tokyo","prefecture","japanese","local","visitor","saturday","house","tulsa","attend","statement","canadian","limit","site","carrier","duke","marco","multiple","logistic","adams","worker","many","nih","lead","trudeau","tricktreating","mutate","child","distribute","just","stage","treatment","longterm","pfizer","worker","administration","state","distribution","state","white","federal","federal","emergency","federal","white","goal","announce","meet","plant","million","focus","india","france","france","legislation","tell","business","pandemic","follow","american","modernas","death","vivek","latino","trump"
"10","wuhan","ministry","government","geng","game","olympic","march","tokyo","cancel","stadium","mail","cast","election","race","champion","spectator","aircraft","mission","pony","korea","mask","saturday","mask","task","thing","jay","gdp","billion","columbia","chicago","zapata","access","racial","australian","potential","bed","coronavirus","delta","inequality","among","mink","mutate","thanksgiving","indias","early","facility","monday","state","operation","us","operation","million","vaccinate","site","state","pharmacy","deliver","supply","house","office","day","supply","batch","allocation","additional","serum","york","passenger","incident","hospitalization","health","follow","guard","hogan","must","include","surgeon","murthy","former"
