"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","health","health","student","stay","trump","penny","trump","trump","trump","trump","trump","trump","trump","trump","trump","white","trump","trump","trump","disease","fauci","fauci","fauci","school","fauci","trump","trump","fauci","fauci","fauci","cdc","fauci","fauci","dr","fauci","fauci","flu","fauci","fauci","fauci","fauci","mask","fauci","fauci","fauci","fauci","get","fauci","fauci","fauci","fauci","fauci","fauci","fauci","fauci","fauci","fauci","vaccinate","cdc","walensky","lab","report","south","johnson","clot","fda","vaccine","vaccine","vaccine","child","vaccine","child","child","child","child","child","child","order","mandate"
"2","say","secretary","say","secretary","azar","trump","president","president","president","president","fauci","president","president","president","house","trump","white","president","redfield","fauci","dr","dr","dr","fauci","get","fauci","fauci","dr","say","say","fauci","immunity","institute","redfield","dr","dr","fauci","dr","collins","dr","dr","fauci","dr","dr","mask","dr","fauci","dr","get","adams","go","get","walensky","get","walensky","dr","go","us","vaccinate","cdc","origin","origin","bangladesh","blood","johnson","johnson","pfizer","age","age","age","age","vaccine","trial","migrant","test","covid","tennessee","mandate","missouri"
"3","will","house","azar","offer","president","administration","white","white","penny","white","president","white","donald","white","president","house","house","white","president","trump","disease","disease","message","trump","school","get","birx","birx","re","get","guideline","herd","disease","fauci","cdc","disease","director","frieden","dr","mask","expert","say","say","family","get","anthony","say","anthony","travel","get","can","dr","dr","dr","dr","director","dr","get","fauci","fauci","walensky","animal","north","clot","blood","cdc","bourla","use","fda","use","child","authorize","vaccine","border","covid","prevention","minor","mask","indoor"
"4","uk","pentagon","situation","beijing","administration","president","penny","test","house","biden","white","fauci","governor","house","white","administration","president","house","white","cdc","director","young","think","reopen","disease","president","anthony","anthony","go","really","task","disease","dr","disease","disease","cdc","dr","director","infectious","anthony","mask","dr","infectious","get","really","get","dr","mask","wear","holiday","vaccinate","us","anthony","anthony","get","walensky","director","center","people","control","theory","virus","world","rare","rare","clot","fda","recommend","young","vaccine","follow","trial","company","need","positive","agree","immunization","city","business"
"5","medical","security","england","individual","house","vice","house","house","white","house","model","reopen","reopen","donald","administration","president","cdc","convention","director","dr","white","think","wear","president","infectious","anthony","back","get","dr","anthony","dr","dr","director","say","spread","director","cdc","disease","really","national","think","response","tell","holiday","think","say","mask","get","anthony","people","director","thing","us","director","director","get","surge","people","fully","prevention","fauci","source","olympic","pause","vaccine","blood","authorization","teen","child","look","moderna","yearolds","symptomatic","outcome","appear","influenza","state","georgia","college"
"6","keep","risk","health","make","white","house","rep","brazilian","test","fauci","house","task","house","disinfectant","donald","dr","fauci","administration","house","director","task","say","get","dr","dr","task","dr","trump","get","american","say","anthony","say","immunity","guidance","redfield","need","think","institute","infectious","scott","wear","get","thanksgiving","dr","infectious","anthony","watch","really","anthony","dr","biden","get","infectious","vaccinate","disease","just","fauci","travel","director","china","study","statement","us","recommend","recommend","food","committee","walensky","young","trial","authorization","placebo","call","couple","mostly","adolescent","louis","louis"
"7","ask","ask","secretary","prevent","penny","mike","meet","positive","vice","penny","task","house","white","task","task","donald","disease","north","task","redfield","infectious","white","disease","say","anthony","force","say","say","lot","dr","change","task","national","gate","say","infectious","disease","cdc","director","mandate","get","get","anthony","say","say","christmas","american","institute","thing","say","get","infectious","allergy","walensky","cdc","anthony","collins","walensky","disease","vaccinate","dr","china","come","center","pause","vaccine","blood","child","use","receive","old","food","efficacy","receive","zero","numb","department","individual","st"
"8","official","say","university","say","official","white","brazilian","bolsonaro","positive","think","birx","model","penny","birx","birx","fauci","administration","carolina","us","task","say","go","american","get","interview","infectious","get","thing","know","need","force","force","cdc","cdc","get","anthony","say","die","us","allergy","estimate","people","mask","make","travel","tell","watch","director","mask","us","people","put","infectious","go","go","rochelle","center","dr","guidance","guidance","cdc","world","country","recommend","us","drug","johnson","fda","recommend","old","approval","adviser","address","test","academy","president","fire","st","mask"
"9","public","add","individual","six","service","american","vice","brief","task","american","think","dr","task","think","us","secretary","meet","memorial","robert","president","go","mask","say","open","trump","brief","task","think","just","think","disease","director","symptom","center","transmission","official","us","can","disease","winter","holiday","besser","disease","can","re","really","azar","cnns","think","want","say","walensky","say","allergy","right","want","us","disease","prevention","disease","redfield","organization","source","drug","committee","rare","pause","practice","committee","authorize","authorize","age","novavax","since","pediatrics","commissioner","consent","issue","georgia"
"10","secretary","service","offer","hold","vice","secretary","republican","donald","easter","task","dr","economy","us","fauci","vaccine","vice","donald","us","response","think","anthony","get","birx","think","reopen","white","see","president","president","evidence","need","say","white","prevention","infectious","say","prevention","hall","expert","institute","infectious","guidance","really","mask","walke","mask","wear","collins","dr","surge","holiday","yet","rochelle","disease","really","allergy","see","wait","walensky","can","prevention","wuhan","organization","vaccine","meet","pause","use","cdc","group","symptom","use","consider","among","foreign","work","pattern","parental","everyone","order"
