"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","outbreak","pandemic","pipe","qom","iran","iran","italy","prison","curfew","lockdown","india","lockdown","lockdown","lockdown","lockdown","indian","spanish","spain","spain","delhi","app","eu","resolution","fail","worker","office","office","build","postal","task","convention","biden","trump","mask","mask","biden","harris","debate","wear","mask","mask","capacity","rural","county","county","california","county","california","california","patient","county","county","county","lockdown","york","york","restriction","mask","mask","city","easter","easter","capacity","capacity","indoor","restriction","lockdown","restriction","will","will","release","gov","state","zone","age","vaccine","woman","since","child"
"2","spread","study","north","iran","lombardy","irans","lockdown","iranian","lockdown","india","indian","india","india","india","india","ministry","spain","phase","sao","spain","commission","delhi","protect","avery","month","baker","gelber","worker","dejoy","senior","biden","loan","harris","trump","face","mask","dame","christie","mask","wear","face","hospitalization","nurse","resident","newsom","region","california","hospital","patient","county","hospital","patient","cuomo","restaurant","restriction","restriction","outdoor","mandate","mandate","capacity","germany","ease","allow","place","outdoor","will","restriction","lift","capacity","capacity","gov","order","will","enter","august","disease","pregnant","return","test"
"3","people","transmission","build","iranian","region","iranian","iran","minister","india","modi","slum","extend","police","minister","region","spain","emergency","simón","government","ventilator","eu","duda","movement","interim","shield","employee","court","press","texas","fernandez","berlin","trump","president","president","story","message","notre","mask","distance","distance","distance","model","angeles","angeles","order","icu","angeles","patient","county","hospital","angeles","nurse","york","york","court","cuomo","york","texas","business","indoor","governor","outdoor","will","will","reopen","event","restaurant","indoor","restriction","indoor","will","state","gov","win","begin","risk","study","june","justice"
"4","estimate","estimate","resident","build","italy","ministry","italian","inmate","sanchez","migrant","lockdown","modi","minister","indian","spain","lockdown","minister","spanish","phase","government","user","poland","un","consistent","healthcare","need","employee","program","hidalgo","cdc","life","ppp","mask","fit","administration","import","presidential","joe","campaign","face","wear","san","capacity","los","los","county","hospital","bed","care","california","los","angeles","california","mcgowan","resident","curfew","public","gov","city","will","will","allow","positivity","indoor","restriction","outdoor","capacity","gov","lift","reopen","office","july","lift","region","say","group","group","accord","young"
"5","epidemic","publish","transmit","resident","northern","region","region","prime","iran","prime","extend","indian","indian","spains","indian","railway","region","will","spanish","chief","macron","shield","pride","global","protect","protective","reopen","equipment","staff","machine","presidential","presidential","mason","wear","campaign","bourla","treat","wear","harris","physical","event","francisco","resident","mask","surge","san","san","icu","hospital","angeles","california","los","order","indoor","nurse","resident","indoor","lift","lift","restaurant","merkel","public","california","outdoor","lift","capacity","business","positivity","gov","incentive","restriction","governor","july","health","student","may","may","child","virginia"
"6","infect","infect","kong","hong","kuwait","lombardy","country","iran","service","indian","dharavi","ministry","muslim","home","spains","passenger","lockdown","spains","spains","epidemic","information","pride","security","operation","nfl","enough","program","protective","security","staff","dinner","president","trust","national","award","wear","jenkins","harris","hand","event","guideline","spring","hospital","newsom","angeles","bed","los","angeles","angeles","los","icu","hospital","indoor","region","governor","city","limit","governor","gov","venue","northam","city","californians","festival","capacity","lift","allow","governor","cuomo","state","governor","will","return","july","system","study","risk","eight","teen"
"7","city","drone","hong","conduct","irans","agency","minister","essential","countrys","indias","minister","nationwide","nationwide","nationwide","will","spanish","madrid","france","kingdom","saudi","mexico","diplomat","plasma","lack","face","equipment","memo","abbott","effort","police","harris","joe","campaign","political","force","distance","wear","presidential","judge","hand","social","hospital","hospitalization","california","gov","southern","bed","los","los","care","surge","care","region","capacity","facility","pm","start","restriction","require","york","business","blasio","indoor","restriction","will","restaurant","may","order","announce","gathering","news","allow","announce","start","amount","heart","among","young","start"
"8","can","put","study","transmission","iraq","italy","lombardy","sanchez","minister","minister","ministry","minister","sanchez","allow","phase","india","italys","lockdown","mosque","june","mexican","francisco","month","trace","repeat","shortage","milwaukee","security","equipment","safely","ghaly","berlin","word","donald","include","recommend","vice","white","member","social","designate","social","california","surge","capacity","capacity","patient","capacity","region","surge","care","icu","lift","state","home","home","shop","order","texas","reopen","mayor","capacity","easter","ceremony","step","organizer","will","announce","june","restaurant","state","emergency","governor","will","violation","case","condition","report","program"
"9","expert","likely","live","travel","ministry","qom","measure","spanish","indian","food","prime","police","strict","prime","migrant","spains","phase","philippe","paulo","moscow","family","visit","fail","month","request","supply","pandemic","grow","francisco","protest","plan","response","biden","mandate","president","activity","failure","crowd","crow","eat","require","staff","county","hospital","nurse","angeles","capacity","newsom","southern","bed","unit","intensive","risk","governor","cuomo","new","venue","greg","resident","mask","de","indoor","mayor","venue","rhode","city","lift","may","governor","release","accord","less","resident","remain","must","condition","vaccine","represent","respond"
"10","symptom","epidemic","transmission","pipe","italian","protection","saudi","lockdown","essential","curfew","indias","turkey","ramadan","will","government","region","eid","sanchez","confinement","country","producer","san","area","report","security","worker","equipment","serve","harris","cnn","attendance","police","speak","put","ceremony","north","kamala","biden","presidential","precaution","fine","chief","patient","wear","hospitalization","los","region","stanford","intensive","transport","patient","increase","care","restriction","capacity","conference","switzerland","mayor","april","police","shop","mayor","york","limit","greece","may","york","rate","lottery","increase","lift","requirement","office","restriction","open","report","general","adult","first"
