"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","say","canadian","ghebreyesus","tedros","pandemic","pandemic","hank","zealand","world","trudeau","organization","china","china","china","china","china","china","china","hong","tedros","market","beijing","china","china","tedros","republican","republican","senate","trump","fund","house","house","republican","gate","leader","election","claim","open","open","stock","william","call","republican","campaign","unemployment","support","company","rend","airline","stock","adult","player","quarantine","game","game","game","crowd","casino","hong","since","year","letter","year","johnson","clot","johnson","vaccine","vaccine","vaccine","vaccine","age","child","vaccine","child","child","school","school","school","school"
"2","uk","uk","adhanom","expert","tedros","organization","world","tedros","australia","canadian","european","organization","world","world","intelligence","chinese","organization","trump","kong","chinese","beijing","outbreak","beijing","cluster","china","billion","unemployment","stimulus","executive","house","bill","senate","bill","bill","bill","claim","struggle","sale","stock","point","prince","home","senate","georgia","job","firefighter","employee","furloughed","employee","march","woman","quarantine","australia","player","fan","victoria","return","free","kong","pandemic","countrys","treaty","pandemic","clot","johnson","fda","fda","age","age","age","vaccine","age","child","need","test","guidance","student","student","student"
"3","will","national","minister","ghebreyesus","world","world","country","refugee","tedros","country","queen","fund","chinese","organization","chinese","trump","chinese","africa","world","world","china","plant","tedros","locally","hong","senate","house","pelosi","action","senate","republican","fund","vote","stimulus","gate","schedule","industry","loss","election","dow","sun","schaffner","grassley","loeffler","student","poll","market","base","open","award","hispanic","open","olympic","league","quarantine","hong","originally","smoke","gym","beshear","contain","pandemic","flower","blood","blood","cdc","authorize","use","young","blood","child","vaccine","company","race","concern","test","state","mask","district"
"4","national","australian","team","adhanom","organization","tedros","pandemic","world","harris","justin","tedros","world","wuhan","chinese","wuhan","camp","resolution","global","organization","hong","link","chinese","import","outbreak","kong","proposal","senate","house","benefit","postal","meadow","republican","stimulus","house","money","week","economic","stock","dow","market","april","stock","close","claim","college","unemployment","job","chilean","manzanero","research","doctor","australian","event","quarantine","player","kong","serve","remain","fitness","claim","campaign","sign","early","rare","vaccine","recommend","food","recommend","fda","walensky","offit","company","novavax","outcome","somewhat","strategy","college","district","mask"
"5","australian","will","tedros","organization","director","epidemic","dr","pacific","australian","zealand","eu","chinese","leader","wuhan","originate","beijing","world","organization","organizer","china","xinfadi","meat","case","transmit","scientist","mnuchin","stimulus","side","democrat","democrat","pelosi","letter","democrat","vote","house","worker","job","top","benefit","open","call","worry","stock","unemployment","benefit","job","work","airline","march","open","man","tennis","charge","australia","event","secure","rugby","include","list","kentucky","battle","protect","zahawi","us","recommend","clot","age","child","dr","authorize","young","authorization","placebo","risk","represent","covid","require","require","require"
"6","hubei","canada","say","pandemic","ghebreyesus","ghebreyesus","organization","ardern","morrison","nation","ii","african","organization","tedros","pompeo","refugee","trump","xi","beijing","organization","outbreak","test","outbreak","import","suppress","white","bill","democrat","unemployment","white","trump","proposal","senate","senate","benefit","house","trade","bank","rise","election","british","miami","call","republican","open","uniform","federal","support","mexican","job","analysis","flight","hong","australian","melbourne","league","soriot","worker","edwards","florida","last","big","happen","vaccine","pause","vaccine","administration","committee","use","young","trial","trial","trial","minimum","company","person","proof","staff","staff"
"7","minister","prime","directorgeneral","health","adhanom","adhanom","tedros","australia","directorgeneral","australian","yemen","intelligence","eu","intelligence","evidence","world","assembly","chinese","chinese","situation","wholesale","market","nhc","hong","follow","stimulus","benefit","meadow","house","federal","democrat","rend","pelosi","benefit","business","benefit","million","retail","hope","economy","video","previous","senator","sen","million","vaccine","mandate","army","composer","mexican","expert","melbourne","woman","event","athlete","postpone","thousand","even","close","economy","will","represent","threat","pause","rare","blood","drug","teen","food","old","use","authorize","plant","childrens","include","child","law","wear","county"
"8","news","hubei","organization","vaccine","risk","directorgeneral","tom","country","zealand","australia","ghebreyesus","trudeau","outbreak","european","trump","bangladeshi","call","pandemic","tedros","war","food","china","asymptomatic","kong","transmission","house","mcconnell","talk","federal","trump","unemployment","democratic","leader","democrat","file","hope","benefit","claim","low","fall","palace","ever","sp","program","guard","list","round","employee","year","point","still","positive","game","club","celebrate","andrews","firm","walk","facility","gov","let","future","decline","recommend","woman","use","use","yearolds","administration","use","authorize","use","group","consider","around","regardless","vaccination","governor","mandate"
"9","health","minister","canadian","need","say","africa","trudeau","trudeau","ghebreyesus","world","conte","macron","wang","europe","laboratory","global","beijing","tedros","eight","kong","cluster","guetersloh","locally","case","center","gop","proposal","negotiation","mnuchin","benefit","talk","federal","mcconnell","pelosi","show","market","small","thing","composite","monday","williams","separate","attend","jobless","concern","azar","effort","research","furlough","employee","group","hotel","sport","olympic","open","sport","remove","talk","case","face","word","among","faith","center","committee","rare","pfizer","young","drug","dr","safe","fda","lose","turn","since","walensky","gov","gov","year"
"10","province","island","will","world","transmission","global","infectious","von","canadian","brazil","call","trump","bleach","pandemic","origin","response","xi","world","international","pandemic","chinese","commission","leyen","chuang","world","money","build","white","schumer","bill","relief","pay","proposal","proposal","drive","industry","worker","week","earnings","next","newspaper","chief","point","benefit","michigan","market","feed","march","rend","note","people","ahead","day","home","sport","australian","player","environment","add","hope","childcare","river","last","administration","cdc","risk","johnson","administration","give","get","moderna","compare","drug","hospitalize","covid","respiratory","prohibit","indoor","wear"
