"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","xi","xi","xi","xi","north","uk","census","minister","johnson","uk","johnson","uk","uk","uk","uk","johnson","uk","cummings","uk","uk","worker","court","uk","pub","minister","gate","tedros","tedros","zealand","zealand","zealand","border","restriction","will","allow","allow","quebec","quarter","student","flight","flight","tier","travel","travel","hong","reaction","reaction","reaction","reaction","king","quarter","korea","covax","kroger","angeles","school","struggle","pope","outdoor","cqc","trial","fauci","fauci","fauci","fauci","brazil","fauci","fauci","taiwan","intelligence","fauci","jj","still","work","risk","datum","misinformation","information","single"
"2","president","crisis","party","china","xi","action","uk","johnson","minister","johnson","minister","nhs","minister","johnson","johnson","uk","symptom","johnson","shield","minister","uk","gate","minister","minister","prime","bill","gate","country","locally","new","new","restriction","case","lockdown","restriction","restriction","stay","hospital","particle","hawaii","traveler","travel","chicago","hong","air","allergic","allergic","allergic","allergic","source","court","israeli","secure","pay","los","personnel","increase","vatican","limit","dnacpr","datum","six","national","marine","national","brazils","ihme","national","island","origin","email","johnson","johnson","schedule","say","expect","murthy","misinformation","hidalgo"
"3","government","medium","president","president","chinese","north","code","uk","uk","prime","prime","johnson","johnson","british","government","prime","list","dominic","secretary","lockdown","school","rule","johnson","pneumonia","uk","spain","wave","philippines","auckland","ardern","abe","victoria","curfew","restriction","umrah","gathering","home","billion","travel","japan","commission","move","airline","passenger","travel","hong","airport","monitor","moderna","francis","turner","israel","nih","store","billion","ceo","ahead","francis","sturgeon","decision","astrazeneca","trial","anthony","anthony","america","fauci","institute","member","taipei","fauci","national","expire","work","help","time","say","share","james","murthy"
"4","report","president","provincial","chinese","level","pope","foreign","french","prime","minister","uk","prime","prime","hancock","secretary","boris","smell","prime","minister","question","johnson","minister","leicester","london","street","prime","france","adhanom","ardern","auckland","restriction","see","average","police","capacity","andrews","court","bubble","small","traveler","remain","positivity","state","kong","kong","kong","travel","closely","vaccine","netanyahu","march","palestinian","israel","worker","israels","dewine","business","trip","sport","restrictive","efficacy","anthony","dr","institute","anthony","irish","death","allergy","fauci","institute","director","think","disease","say","world","time","say","facebook","misinformation"
"5","meet","countrys","replace","journal","china","level","uks","government","british","hancock","boris","minister","government","prime","british","lockdown","johnson","boris","guidance","prime","member","government","government","prime","story","vaccine","bar","ghebreyesus","zealands","cluster","transmit","wave","gathering","victoria","will","report","canada","travel","warn","airport","travel","bubble","seat","airline","tree","airline","alaska","airline","letlow","israel","citizen","etienne","man","work","closure","return","effect","population","much","newsom","dsmb","vaccine","director","trial","institute","research","model","institute","china","virus","allergy","drug","astrazeneca","approximately","swaminathan","within","surgeon","share","fight"
"6","state","front","jinping","jinping","source","government","pope","measure","government","boris","intensive","british","merkel","government","lockdown","minister","british","lockdown","lockdown","conte","london","law","prime","clinic","grow","committee","johnson","world","new","case","link","strict","allow","sunday","phase","hogan","jury","friend","trudeau","passenger","quarantine","red","museum","bubble","chuang","history","adverse","levine","cdc","effort","netanyahu","man","police","government","loss","governor","everything","ahead","group","recall","disease","institute","institute","national","currently","brazilian","estimate","infectious","cecc","community","cruise","look","scientific","youth","high","drug","know","user","guidance"
"7","epidemic","censorship","agency","praise","foreign","peak","dorries","london","boris","government","british","hospital","hancock","minister","telegraph","government","sense","durham","vulnerable","home","minister","england","lockdown","england","read","outbreak","minister","every","prime","prime","locally","transmit","september","gathering","saudi","myers","week","zealand","baker","travel","air","restrictive","reopen","transportation","airline","flight","flight","treat","guidance","fine","minister","prime","israels","hazard","education","learn","hospital","even","announce","november","release","allergy","trial","allergy","trial","age","brazils","anthony","central","director","institute","fauci","fauci","think","protection","definitive","vivek","platform","work"
"8","china","party","staterun","information","battle","significant","border","prime","hancock","measure","street","hancock","secretary","putin","boris","address","loss","minister","government","advice","khan","hall","hancock","uk","around","rend","europe","fight","close","zealands","prime","hope","spread","outdoor","perform","state","allow","australia","air","international","cell","county","flight","flight","trace","lam","trial","change","issue","receive","end","resignation","ramaphosa","yanomami","help","commitment","caution","patient","meet","loan","concern","efficacy","allergy","infectious","director","institute","projection","wear","transmit","investigation","infectious","unused","ask","food","distance","regulatory","advisory","latino","possible"
"9","virus","communist","communist","expulsion","korea","thousand","level","boris","tube","nhs","raab","uks","british","secretary","test","message","add","london","hancock","prosecutor","court","form","england","embassy","statement","french","country","stay","transmit","outbreak","case","import","six","limit","pilgrim","emergency","alone","economy","reduce","arrive","wuhan","must","tier","singapore","thanksgiving","passenger","passenger","serious","tedros","guidance","saturday","paho","nurse","israel","apply","march","population","meet","friday","year","tuesday","national","infectious","clinical","caribbean","death","brazil","disease","taiwans","taiwan","anthony","food","think","whether","wear","evidence","general","murthy","beijing"
"10","control","jinping","chief","wall","emergency","culver","obrien","german","merkel","rule","johnsons","boris","meeting","boris","prime","transport","prime","wife","sky","ferguson","rule","supreme","life","johnson","british","threshold","hancock","prime","restriction","link","zealands","australias","melbourne","prime","ministry","middle","past","minister","workforce","allow","bromage","flight","traveler","airport","atlanta","pfizerbiontech","pregnancy","flight","usfk","larry","little","israels","million","palestinian","pandemic","michigan","conference","ambassador","common","tapper","vaccine","disease","go","dr","americas","among","infectious","center","epidemic","national","origin","need","get","campaign","even","dos","spread","want","uks"
