"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","us","us","us","really","trump","house","trump","trump","vote","trump","trump","trump","trump","trump","trump","white","trump","trump","redfield","fauci","rally","trump","trump","trump","fauci","trump","trump","fauci","trump","fauci","cdc","fauci","fauci","redfield","fauci","fauci","fauci","dr","fauci","fauci","get","fauci","fauci","fauci","fauci","fauci","get","fauci","fauci","fauci","get","fauci","fauci","fauci","fauci","fauci","fauci","vaccinate","vaccinate","cdc","virus","origin","source","pain","china","school","student","school","school","school","city","city","leave","migrant","mayor","increase","house","plan","re"
"2","state","department","department","us","president","trump","president","president","trump","president","president","president","president","president","president","trump","house","president","trump","disease","tulsa","rally","penny","fauci","house","fauci","fauci","trump","fauci","say","guideline","dr","get","say","dr","dr","american","fauci","anthony","dr","fauci","mask","dr","thanksgiving","get","dr","black","dr","get","get","fauci","get","get","get","get","director","director","people","cdc","walensky","lab","report","team","contact","chinese","student","school","student","student","student","blasio","york","team","black","course","target","white","really","think"
"3","department","official","trump","airport","administration","penny","house","house","bill","biden","house","economy","governor","house","house","house","white","house","house","dr","trump","president","president","president","trump","white","birx","dr","go","get","fauci","immunity","say","fauci","cdc","director","dr","frieden","infectious","national","dr","cdc","infectious","dr","mask","anthony","american","adams","anthony","adams","go","dr","walensky","dr","buttigieg","dr","disease","disease","fully","fauci","theory","animal","investigation","breath","facility","likely","number","reopen","teacher","district","de","school","student","policy","public","vaccination","administration","find","daughter"
"4","official","house","tell","screen","house","president","white","white","senate","house","white","reopen","task","donald","white","president","cdc","white","us","say","campaign","white","fauci","white","white","president","president","birx","white","dr","task","herd","institute","dr","disease","disease","cdc","former","dr","get","mask","say","anthony","holiday","say","american","fauci","get","mask","say","dr","infectious","dr","director","dr","get","dr","get","people","dr","dr","virus","world","leg","nfl","team","republican","person","policy","fall","school","mayor","public","also","ability","give","psaki","final","get"
"5","county","trump","redfield","department","azar","white","penny","senate","house","white","donald","task","reopen","task","donald","administration","president","convention","task","redfield","fauci","penny","wear","house","disease","house","house","think","house","giroir","force","birx","infection","disease","say","cdc","say","vaccine","disease","anthony","bad","wear","thanksgiving","family","travel","say","vaccine","watch","think","tell","family","go","director","anthony","vaccinate","walensky","vaccinate","fauci","travel","director","walensky","source","surface","shortness","receive","measure","fall","return","incidence","virtual","mayor","blasio","visitor","family","able","biontech","rodrigo","can","williams"
"6","health","secretary","cnn","ryan","fund","administration","administration","penny","stimulus","vice","task","governor","donald","white","administration","dr","fauci","north","force","task","oklahoma","fauci","mask","task","dr","anthony","get","anthony","president","thing","change","disease","can","get","guidance","redfield","get","infectious","director","mandate","disease","get","institute","american","re","infectious","feel","anthony","infectious","anthony","director","walensky","anthony","infectious","walensky","disease","mask","us","fauci","vaccinate","origin","china","carry","statement","investigation","source","statement","cardona","instruction","de","york","firework","positivity","since","abroad","dose","important","private","qantas"
"7","monitor","pentagon","say","temperature","white","fund","vice","administration","package","penny","brief","white","house","bill","task","fauci","administration","think","dr","cdc","president","house","white","republican","president","infectious","white","deborah","think","american","dr","anthony","disease","immunity","spread","anthony","tell","cdc","expert","mask","think","help","holiday","can","dr","get","dr","vaccine","say","want","good","anthony","allergy","disease","wait","anthony","us","mask","disease","get","fauci","wuhan","china","abdominal","section","mitigation","employee","college","website","will","rate","de","feel","cnn","access","authority","young","important","shoot"
"8","unite","security","azar","check","request","vaccine","economic","american","member","think","pelosi","house","penny","tweet","tweet","positive","test","administration","cdc","director","mask","campaign","house","convention","infectious","task","dr","president","get","expert","test","infectious","dr","vaccine","anthony","mask","infect","disease","really","institute","fire","stay","birx","get","holiday","disease","adams","cnns","dr","dr","infectious","really","us","allergy","director","continue","know","walensky","walensky","people","china","organization","dos","within","sit","play","policy","district","person","blasio","new","new","social","bank","accord","life","medium","give","believe"
"9","will","state","state","think","us","mike","say","mnuchin","trillion","bill","go","brief","white","force","force","test","democratic","republican","source","trump","saturday","task","vice","wear","anthony","brief","anthony","get","feel","need","disease","allergy","thing","center","infectious","prevention","anthony","say","get","gottlieb","us","disease","american","want","american","expert","say","say","re","re","really","re","say","institute","go","infectious","surge","cdc","prevention","mask","redfield","world","virus","develop","player","test","travel","fall","implement","campus","fall","macys","take","remain","account","ministry","press","concert","american"
"10","california","defense","individual","need","vaccine","senate","mike","vice","deal","joe","economy","business","force","biden","congress","hahn","disease","carolina","director","infectious","event","tulsa","rally","force","expert","briefing","thing","say","secret","evidence","need","spread","go","think","director","atla","redfield","cnns","watch","allergy","wear","guidance","director","risk","people","christmas","safe","director","director","us","kemp","need","infectious","walensky","want","allergy","go","american","center","us","pandemic","likely","report","city","survey","swaminathan","university","back","learn","learn","offer","rate","outside","authority","across","stress","come","ahead","stand"
