"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","city","city","train","south","south","south","south","south","inmate","prison","jail","inmate","inmate","prison","release","inmate","court","plasma","agreement","health","app","ryan","tracer","county","patient","county","county","hospital","nurse","chicago","forecast","quebec","police","israel","israel","pelosi","talk","house","pelosi","pelosi","vote","mink","mink","gottlieb","mhra","genetic","european","uk","french","uk","uk","uk","uk","uk","uk","uk","prime","israel","european","astrazeneca","clot","astrazeneca","astrazeneca","astrazeneca","astrazeneca","astrazeneca","passenger","johnson","rural","county","life","normal","rate","psaki","south","rate","report","house","psaki"
"2","million","gamble","macao","korea","group","daegu","daegu","immigration","prison","inmate","inmate","release","prison","court","taliban","memo","bukele","denmark","potentially","provider","ryan","level","trace","bed","county","bed","florida","florida","resident","reeve","police","hit","virus","netanyahu","canadian","deal","house","pelosi","stimulus","deal","election","farm","farm","population","access","australia","dybing","france","france","england","nhs","england","lockdown","england","england","auckland","uk","england","astrazeneca","clot","blood","blood","clot","european","european","european","receive","mix","yellow","transmission","high","coverage","follow","adult","delta","israel","week","mask","house"
"3","lockdown","million","capital","daegu","daegu","shincheonji","korea","daegu","release","amazon","detainee","prison","lawsuit","ice","prisoner","court","gym","tobacco","ban","relevant","cluster","enough","contact","hospital","bed","hospital","ahca","care","patient","jackson","death","ban","see","oxfam","already","mnuchin","stimulus","senate","mnuchin","talk","voter","denmark","danish","romero","european","hiv","pain","kent","uk","nhs","lockdown","hancock","johnson","moore","nhs","lockdown","england","critical","vaccine","blood","european","clot","blood","medicine","risk","vaccine","norway","level","pollard","life","county","nearly","live","numb","address","fully","increase","floor","ask"
"4","wuhan","hubei","city","korean","korea","group","case","cluster","justice","justice","sheriff","amazon","sentence","detention","protest","lompoc","inmate","convalescent","sanitizer","guarantee","peak","system","level","positivity","florida","florida","hospital","visit","home","maine","ban","protect","china","billion","official","house","pelosi","kudlow","deal","mnuchin","rt","cull","olympic","illa","grant","develop","ecumen","port","move","minister","warn","home","prime","whitty","british","johnson","lockdown","european","clot","european","vaccine","european","vaccine","agency","medicine","court","hotel","allow","county","high","coverage","life","delay","variant","australian","need","last","wear","sign"
"5","transport","lockdown","father","today","shincheonji","korea","korean","korea","south","fbi","prison","cohen","missouri","detainee","supreme","release","supreme","stadium","disease","hand","red","protest","alert","miamidade","hospitalize","icu","miamidade","facility","hospital","difficult","curfew","sign","resume","dos","foreign","stimulus","still","republican","house","speaker","frederiksen","population","denmark","tapper","france","medicine","survey","truck","chain","johnson","hancock","nhs","minister","government","minister","government","vaccination","mexican","ema","vaccine","astrazeneca","risk","european","risk","agency","pfizerbiontech","allow","routine","area","ebola","wen","adult","low","people","combat","kingdom","death","republican","court"
"6","station","province","lockdown","prison","religious","korean","religious","case","korea","charge","police","judge","correction","prosecutor","court","arrest","correction","court","nsw","department","apple","wave","county","patient","hospital","available","datum","icu","doctor","hospital","party","case","just","china","contain","democrat","major","trillion","election","house","poll","mutation","animal","th","information","risk","experience","border","europe","whitty","whitty","lockdown","high","hancock","johnson","february","boris","austrian","medicine","suspend","agency","follow","rare","vaccine","outweigh","phe","part","staff","condition","host","live","live","coverage","coverage","countrys","twice","case","rule","meet"
"7","restriction","macao","catch","kcdc","korean","religious","kcdc","hearing","enforcement","violence","island","detainee","arrest","mafia","vatican","complex","bank","product","venezuelan","answer","trace","tracer","facebook","available","icu","datum","capacity","doctor","covid","resident","model","double","growth","buy","visa","speaker","president","offer","senate","stimulus","mutate","danish","bach","happen","child","mhra","care","driver","government","boris","england","secretary","london","johnson","come","group","government","kurz","blood","medicine","committee","vaccine","ema","rollout","benefit","turkey","protect","protect","foot","vulnerability","transmission","group","pandemic","rise","coverage","unite","region","rep","ban"
"8","province","casino","stick","infection","member","member","gyeongsang","southern","test","court","release","court","institution","inmate","arrest","supreme","hand","release","sign","mental","build","like","dengue","rate","see","patient","icu","available","receive","commissioner","lima","enter","towards","peep","spike","agreement","package","trump","speaker","election","mink","human","cull","roll","union","infect","user","freight","arm","lockdown","daily","london","decline","prime","hancock","prime","disability","danish","follow","agency","suspend","rare","regulator","clot","develop","contract","public","medium","climb","dog","ago","less","significantly","warn","end","little","new","member","story"
"9","travel","train","million","case","case","kim","seoul","enforcement","court","release","facility","federal","correctional","arrest","pope","federal","order","justice","hand","resign","avoid","trace","spread","icu","per","capacity","desantis","ahca","staff","international","partygoer","coronavirus","ensemble","poonawalla","ensemble","reach","trillion","mnuchin","bill","democratic","danish","mutate","science","protective","find","version","cancer","transport","situation","prime","castex","high","government","lockdown","numb","dose","kurz","british","use","ema","medicine","medicine","age","blood","vaccine","delivery","van","vaccine","wind","coverage","memorial","however","rise","maximum","enough","fact","compare","many","find"
"10","hubei","huanggang","return","new","total","kcdc","shincheonji","ice","judge","police","cook","jail","file","judge","man","prison","arrest","require","court","resident","wave","build","like","capacity","mayor","miamidade","broward","telehealth","indias","available","stampede","almost","caution","benjamin","capital","trillion","money","white","democrat","agreement","spokesperson","authority","kill","farm","medicine","lead","misinformation","dover","carry","hancock","risk","johnson","hong","daughter","now","priority","roadmap","school","suspend","use","hong","europe","link","wednesday","can","tope","tool","agency","protect","yet","uk","among","think","cap","fight","may","variant","science","florida"
