"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","case","case","less","less","case","case","europe","travel","flight","flight","flight","travel","hong","airline","border","border","airport","travel","quarantine","travel","airline","travel","travel","airline","okinawa","passenger","spain","travel","border","flight","travel","travel","airport","test","minister","bar","will","government","restriction","lockdown","restriction","restriction","restaurant","lockdown","restriction","restriction","restriction","restriction","christmas","north","school","mask","mask","mask","mask","school","school","cdc","teacher","school","school","school","person","child","campus","eu","travel","european","european","ema","france","travel","travel","canada","travel","missouri","close","today","hospital"
"2","confirm","less","case","case","less","republic","restriction","border","traveler","travel","travel","airline","kong","airport","travel","quarantine","travel","traveler","travel","passenger","travel","airline","traveler","flight","travel","military","travel","traveler","travel","passenger","government","greece","passenger","flight","uk","merkel","restaurant","uk","minister","measure","will","restaurant","restriction","restriction","will","restaurant","restaurant","christmas","restriction","meet","measure","teacher","standard","wear","school","cdc","county","county","school","foreign","student","student","school","student","student","european","european","eu","eu","european","letter","level","recommend","bar","international","company","de","passenger","patient"
"3","thailand","confirm","unite","death","death","death","ban","restriction","travel","traveler","airline","border","travel","flight","passenger","travel","flight","flight","passenger","border","passenger","passenger","eu","travel","marine","okinawa","government","flight","uk","travel","mask","flight","screen","authority","johnson","infection","uk","minister","government","will","minister","bar","pm","allow","pm","close","christmas","measure","event","measure","remain","remain","school","bowl","person","transmission","transmission","child","return","seoul","learn","person","student","school","claim","travel","eu","business","union","employer","list","country","cruise","quarantine","recognize","improve","effective","emergency","bed"
"4","south","singapore","malaysia","unite","unite","brazil","travel","country","enter","foreign","passenger","passenger","ban","passenger","flight","flight","quarantine","tourist","air","airline","flight","traveler","list","marine","quarantine","airline","quarantine","restriction","restriction","restriction","uk","french","uk","scharf","rise","restaurant","close","restriction","curfew","restriction","lockdown","pm","will","will","christmas","gathering","pm","service","stay","school","close","merkel","wear","law","reopen","teacher","cdc","continue","person","worker","education","staff","child","college","benefit","certificate","leather","lawsuit","certificate","south","eu","recommend","traveler","travel","everyone","area","impact","effect","admit"
"5","japan","korea","korea","philippines","iran","germany","germany","suspend","foreign","quarantine","wuhan","ban","air","wear","holiday","traveler","temperature","border","app","quarantine","quarantine","flight","flight","quarantine","base","unite","uk","passenger","quarantine","airline","germany","authority","french","uk","expect","region","pm","england","lockdown","minister","measure","lockdown","bar","tier","region","must","minister","restaurant","england","limit","restriction","shop","murphy","american","wear","mask","red","arrest","learn","teacher","reopen","education","learn","worker","uc","commission","industry","sputnik","travel","eu","south","traveler","murphy","park","still","state","north","oregon","edwards"
"6","singapore","unite","macao","taiwan","korea","dominican","unite","flight","border","hong","plane","flight","flight","hong","quarantine","airline","passenger","ban","airport","will","border","quarantine","border","border","air","forecast","traveler","germany","france","uk","french","france","bed","airport","test","paris","government","lockdown","level","announce","hungary","zone","lockdown","gathering","dec","pm","will","household","eve","will","level","german","draft","face","guidance","guidance","analysis","respondent","continue","embassy","summit","parent","respondent","puerto","emission","student","certificate","basis","agree","beshear","member","severe","mississippi","traveler","variant","clear","health","brown","oneal"
"7","korea","malaysia","taiwan","thailand","egypt","unite","apply","ban","passenger","restriction","mandatory","traffic","immigration","kong","hong","european","traveler","will","foreign","airport","zealand","air","country","international","us","base","minister","advisory","government","government","age","traveler","travel","government","government","england","area","local","prime","close","prime","will","limit","indoor","capacity","remain","close","limit","attend","travel","child","restriction","resource","super","return","reopen","zone","risk","state","reopen","person","child","staff","learn","university","member","commission","commission","lopez","detention","travel","unvaccinated","level","yellow","plane","emergency","million","mask","care"
"8","mainland","south","singapore","italy","taiwan","iceland","spain","enter","will","international","citizen","cargo","suspend","military","airport","airport","tourism","quarantine","border","flight","tourism","airport","airline","island","lawsuit","require","germany","airline","minister","will","region","greek","traveler","local","french","minister","effect","alert","restaurant","macron","announce","impose","ban","restaurant","open","lockdown","northern","johnson","cancel","restriction","place","allow","filtration","party","fit","high","mask","guideline","dc","request","address","date","instruction","offer","fan","state","proposal","regard","visitor","information","within","case","roughly","nonessential","threat","north","home","case","louisiana"
"9","taiwan","taiwan","thailand","kong","vietnam","croatia","country","traveler","abroad","airport","airport","restriction","parade","beijing","kong","passenger","mandatory","tourism","flight","arrival","international","restriction","passenger","traveler","government","flight","list","quarantine","european","tourist","france","uk","rise","eligible","vallance","pm","restriction","tier","will","local","expect","rule","close","limit","bar","bar","lockdown","lockdown","outdoor","event","lockdown","wear","open","guidance","student","guideline","learn","practice","washington","korean","department","fall","campus","statement","energy","union","order","long","million","letter","european","cdc","park","hour","mandate","thing","analysis","review","medical"
"10","macao","outside","japan","egypt","mainland","macao","france","entry","quarantine","measure","visa","airport","halt","travel","refugee","arrive","minister","airline","will","air","restriction","country","island","country","rule","us","restriction","rise","europe","international","will","paris","country","symptom","measure","france","minister","household","measure","open","country","region","gym","christmas","restaurant","activity","shop","close","year","place","allow","extend","require","distance","teacher","recommend","resident","hold","rhode","cardona","inequity","essential","worker","person","travel","enrollment","passport","restaurant","korea","obtain","country","cdcs","still","advisory","mix","administration","go","get","nurse"
