"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hospital","patient","hospital","hospital","drug","mask","blood","drug","mask","supply","mask","test","test","test","million","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","drug","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","johnson","vaccine","johnson","johnson","johnson","johnson","dos","covax","bourla","world","vaccine","dos","share","smith","dos","million","work","member","arkansas","already","fauci"
"2","medical","hospital","patient","patient","fda","question","hall","blood","supply","equipment","equipment","ventilator","swab","vaccine","vaccine","company","trial","company","trial","trial","trial","trial","trial","remdesivir","team","company","trial","drug","trial","trial","plasma","trial","trial","trial","trial","trial","use","trial","trial","trial","trial","trial","pfizer","fda","dos","authorization","authorization","authorization","trial","dose","dose","use","trial","johnson","johnson","trial","dos","johnson","vaccine","johnson","company","manufacture","dos","pfizer","supply","vaccine","vaccine","patent","dos","vaccine","will","million","million","dos","additional","multiple","passport","first","anthony"
"3","worker","supply","medical","worker","product","supply","tonight","fda","equipment","mask","supply","fda","supply","trial","pledge","fda","company","trial","fauci","antibody","hydroxychloroquine","drug","drug","trial","antibody","trial","phase","trial","phase","treatment","fda","plasma","dr","dos","dos","fda","authorization","pause","drug","safety","israel","pfizer","trial","trial","authorization","pfizer","use","drug","phase","use","trial","sputnik","astrazeneca","trial","dos","johnson","johnson","pfizer","trial","dos","vaccine","quality","vaccine","moderna","vaccine","sii","company","support","million","government","vaccine","dos","biden","health","approach","shutdown","end","record","trump"
"4","patient","treat","worker","nebraska","shortage","correspondent","show","dr","production","protective","ventilator","company","kit","supply","trial","trial","clinical","available","dos","phase","fda","fda","remdesivir","vaccine","company","develop","speed","company","russia","antibody","trial","dr","drug","develop","fda","drug","emergency","johnson","clinical","treatment","phase","pfizers","company","dose","pfizer","dos","drug","use","company","drug","authorization","trial","european","use","trial","dos","company","trial","company","company","million","plant","drug","vaccine","drug","dos","ceo","vaccine","covax","covax","covax","supply","vaccine","country","atlanta","catch","medical","pay","former"
"5","staff","medical","supply","nurse","ingredient","town","question","equipment","protective","drug","protective","mask","mask","kit","fda","supply","participant","bukele","company","develop","drug","fund","company","company","treatment","phase","clinical","dos","russian","company","drug","treatment","company","company","participant","company","trial","clinical","johnson","moderna","will","clinical","moderna","efficacy","moderna","committee","committee","modernas","use","trial","dos","emergency","eu","european","astrazeneca","company","use","moderna","glenn","canada","trial","vaccine","million","dos","johnson","eua","produce","supply","astrazeneca","initiative","country","biden","thursday","share","quickly","expose","missouri","currently","may"
"6","nurse","help","big","center","supply","hall","audience","product","amazon","production","company","drug","equipment","lab","billion","test","result","result","research","candidate","company","develop","authorization","study","food","pfizer","moderna","antibody","approve","fauci","convalescent","clinical","astrazeneca","will","authorization","hahn","antibody","drug","participant","company","volunteer","dos","authorization","authorization","fda","administration","advisory","pfizer","moderna","dos","drug","shoot","johnson","dos","pfizer","eu","pfizer","company","moderna","million","end","company","production","make","company","fund","dos","company","johnson","country","dos","distribute","distribute","biden","restriction","household","application","citizen","infectious"
"7","supply","treatment","million","staff","agency","use","town","supply","act","fda","personal","swab","donate","mask","donation","clinical","human","safety","develop","astrazeneca","use","administration","gilead","patient","end","astrazeneca","develop","develop","clinical","clinical","use","drug","phase","supply","johnson","food","drug","safety","fda","drug","vaccination","effective","fda","dos","company","uk","food","moderna","immune","india","use","efficacy","company","sputnik","authorize","pfizer","trial","dose","pfizer","pfizer","ship","drug","emergent","million","administer","vial","treatment","waiver","supply","sisodia","distribute","vaccine","mexico","nation","protocol","twoweek","attribute","frieden","institute"
"8","treat","drug","infection","treat","pharmaceutical","shortage","campaign","mask","use","use","production","equipment","fda","manufacture","ppe","ceo","phase","adjuvant","collins","company","administration","product","treatment","phase","manufacture","safe","hahn","development","dos","study","treatment","fda","pause","pfizer","company","decision","company","authorization","safety","lilly","cuomo","phase","effective","meet","drug","emergency","administration","administration","administration","moderna","pfizer","approve","efficacy","authorization","use","pfizerbiontech","emergency","production","dos","trial","produce","dos","astrazeneca","jj","kit","program","process","country","global","pfizer","sullivan","first","response","organization","experiment","live","pandemic","attribute","booster"
"9","work","worker","nosocomial","russian","manufacturer","cnns","supply","donate","personal","trump","medical","supply","plasma","company","equipment","sanofi","fund","share","institute","development","candidate","food","clinical","treat","advance","dos","effective","speed","effective","plasma","hahn","convalescent","standard","say","phase","dr","fda","use","food","phase","administer","company","datum","pfizer","use","drug","us","us","authorization","modernas","moderna","company","phase","astrazeneca","company","european","authorization","authorize","novavax","approve","authorize","emergent","plant","federal","produce","ask","manufacture","poor","world","available","work","production","today","monday","accordance","prevent","louisiana","include","immunocompromise"
"10","protective","combination","treat","result","food","fda","cnns","shortage","price","personal","gown","shortage","gown","clinical","mask","production","statement","covid","clinical","scientist","authorization","sanitizer","administration","treatment","trial","fda","slaoui","purchase","development","astrazeneca","trump","use","clinical","distribution","give","phase","clinical","fda","authorization","administration","dos","authorization","candidate","use","trial","fda","fda","phase","safety","authorize","efficacy","dos","union","company","effective","develop","moderna","prevent","booster","announce","deliver","meet","batch","end","official","access","pfizer","quarter","india","central","million","share","land","plan","myers","pfizerbiontech","ensure","get","host"
