"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","symptom","can","cough","can","hand","hand","hand","study","disease","mask","fauci","antibody","disease","study","drug","study","study","patient","study","study","study","young","researcher","study","young","study","study","researcher","child","symptom","symptom","patient","patient","patient","study","study","flu","death","study","researcher","woman","researcher","researcher","antibody","suggest","mask","flu","mask","positive","test","game","test","symptom","test","test","test","test","test","test","study","test","study","positive","trial","test","air","flight","flight","test","passenger","million","travel","screen","million","mask","county","spread","dose","dose"
"2","cough","cough","can","surface","can","cough","people","disease","fauci","wear","dr","fauci","antibody","drug","patient","syndrome","researcher","study","patient","drug","patient","study","study","patient","study","adult","risk","study","study","population","kong","researcher","adult","researcher","find","researcher","influenza","woman","patient","patient","among","symptom","study","study","model","study","study","woman","league","positive","test","school","patient","positive","antigen","symptom","antibody","study","study","child","child","condition","symptom","baseball","etienne","flight","australian","travel","travel","travel","weekend","screen","lender","travel","passenger","dominant","ahead","offit","age"
"3","contact","symptom","symptom","symptom","recommend","flu","surface","young","dr","fauci","model","dr","researcher","fauci","vaccine","patient","disease","drug","drug","use","researcher","patient","patient","child","adult","cdc","disease","child","publish","child","study","study","study","athlete","people","patient","kill","symptom","researcher","study","pregnant","find","remdesivir","collection","justice","researcher","rate","ema","test","staff","postpone","contact","test","researcher","result","zoo","positive","inspection","researcher","positive","researcher","low","test","look","quarantine","italy","australia","sri","flight","federal","screen","weekend","friday","air","city","death","shorten","efficacy","san"
"4","person","sneeze","advise","researcher","wash","respiratory","respiratory","symptom","trial","dr","birx","model","dr","disease","disease","disease","drug","researcher","hydroxychloroquine","researcher","drug","drug","symptom","disease","age","disease","young","find","researcher","researcher","hong","negative","find","study","researcher","age","hospital","mortality","death","antibody","age","study","patient","aug","drop","can","patient","union","player","game","league","positive","school","participant","positive","child","infection","infection","mental","test","symptom","symptom","bar","texas","flight","bad","quarantine","transportation","ban","test","monday","air","business","airline","county","three","transmissible","world","mrna"
"5","animal","flu","person","cough","clean","illness","researcher","may","infectious","disease","mask","distance","study","dr","infect","child","symptom","use","researcher","infection","find","risk","find","antibody","child","child","reduce","journal","among","study","child","symptom","researcher","find","symptom","drink","patient","researcher","symptom","research","risk","risk","risk","treatment","care","metal","protect","commission","premier","season","washington","rapid","student","study","child","gorilla","symptom","hydroxychloroquine","child","find","patient","increase","event","match","uae","india","citizen","india","hong","tsa","busy","news","area","medicaid","flight","republican","june","program","health"
"6","sneeze","virus","illness","respiratory","cough","can","risk","surface","treatment","trump","disease","disease","virus","antibody","virus","drug","patient","hydroxychloroquine","use","patient","treat","researcher","infect","research","smoke","symptom","cell","immune","ryan","prevention","researcher","pregnant","test","hospitalization","die","among","pneumonia","rate","lose","hospitalize","likely","patient","find","prevalence","often","datum","model","regular","game","league","staff","antigen","positive","symptom","symptom","result","study","base","symptom","researcher","rapid","compare","close","nine","allow","quality","ban","declare","stay","enter","day","year","see","flight","de","vote","china","dos","francisco"
"7","can","large","someone","hand","use","cold","study","vaccine","chloroquine","face","wear","white","house","remdesivir","remdesivir","van","journal","disease","treatment","symptom","dexamethasone","woman","antibody","virus","covid","transmit","control","hand","can","cdc","age","virus","research","research","patient","find","people","study","blood","find","aap","home","treatment","write","survey","pilot","participant","test","season","club","safety","college","hospital","group","staff","patient","report","report","care","care","remdesivir","forecast","secondary","examine","measure","quarantine","india","department","quarantine","flight","holiday","employee","travel","record","blasio","rise","early","highly","group"
"8","less","advise","season","cash","symptom","nose","estimate","people","adams","infectious","anthony","drug","infectious","team","child","antibody","hydroxychloroquine","treatment","find","asymptomatic","blood","disease","child","woman","disease","transmission","severe","infect","community","hospitalization","research","test","hospital","likely","population","symptom","may","black","journal","may","find","student","disease","researcher","gao","compare","stay","medicine","team","player","contact","holmes","mild","age","study","positive","researcher","little","worker","accord","find","list","black","caput","protocol","interest","traveler","test","enter","full","program","program","security","sunday","see","effort","key","israel","receive"
"9","avoid","avoid","sneeze","flu","sick","wash","flu","infection","birx","sick","study","social","drug","treatment","team","kerkhove","syndrome","droplet","journal","virus","trial","severe","population","condition","severe","low","researcher","sanitizer","suggest","virus","man","disease","severe","symptom","likely","time","eight","may","find","rate","study","disease","symptom","sept","rapid","protect","difference","remote","eu","statement","positive","trujillo","berlin","pcr","publicly","write","among","remote","high","patient","among","risk","february","test","bill","ban","pakistan","arrival","crow","spain","north","federal","pass","passenger","issue","will","high","antibody","request"
"10","fever","contact","touch","nose","effective","wear","touch","researcher","anthony","distance","white","institute","spread","trial","study","dr","treat","transmission","trial","lung","infection","remdesivir","care","underlie","group","young","suggest","cdc","risk","black","virus","woman","care","compare","high","child","estimate","publish","publish","heart","show","crowd","drug","estimate","appear","man","tony","der","club","miss","announce","staff","experience","infection","antibody","among","find","go","research","symptom","mouth","among","ioc","currently","exception","account","anyone","enforce","side","faa","assistance","million","accord","new","report","say","include","rate","supplemental"
