"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","emergency","ship","ship","ship","ship","ship","ship","ship","ship","ship","ship","sailor","ship","ship","name","cruise","baby","bolsonaro","queen","security","friend","gupta","victoria","victoria","capacity","prison","bolsonaro","victoria","bolsonaro","indigenous","government","family","describe","board","hand","misinformation","fatigue","world","church","france","spread","court","giroir","leader","rural","trump","biden","biden","giroir","letter","administration","administration","biden","biden","biden","biden","biden","biden","biden","biden","biden","biden","biden","house","american","biden","biden","white","white","biden","biden","get","harris","get","say","american","johnson","dos","booster"
"2","health","cruise","cruise","passenger","passenger","cruise","cruise","cruise","cruise","cruise","cruise","ship","cruise","sailor","cruise","attempt","decade","brazil","modi","president","sesame","birth","andrews","melbourne","victoria","inmate","andrews","andrews","victoria","brazil","indigenous","fight","receive","court","detrimental","gavi","airport","year","policy","french","west","cause","food","desantis","billion","billion","penny","walensky","biden","gov","biden","biden","administration","administration","trump","white","white","house","white","administration","house","house","get","white","biden","white","american","house","biden","virginia","president","point","get","july","vaccinate","fauci","vaccine","vaccine","country"
"3","international","board","passenger","cruise","princess","princess","princess","passenger","cuban","zaandam","passenger","navy","crow","defense","johnson","name","stage","page","lockdown","re","street","victoria","force","andrews","take","bolsonaro","north","fine","brazilian","highway","brazilian","delus","travel","kurz","ski","store","price","pollution","canada","paris","green","county","hh","summit","document","sign","house","sputnik","presidentelect","azar","plan","trump","trump","house","white","administration","house","white","house","president","goal","psaki","house","senior","house","administration","house","president","slavitt","make","goal","goal","president","goal","hear","pandemic","risk","million","dos"
"4","public","passenger","princess","westerdam","cruise","passenger","passenger","dock","prince","sailor","crow","cruise","costa","cruise","nicholas","hong","hutchinson","president","ride","award","song","event","air","lockdown","home","bureau","victoria","brazilian","tv","government","bolsonaro","jeanpierre","shape","air","brown","alliance","kluge","air","situation","scientific","put","justice","sale","document","community","mask","white","via","brett","mask","azar","executive","house","zients","house","house","administration","president","psaki","house","white","white","shot","slavitt","get","house","administration","american","house","remark","get","american","american","biden","poll","southwest","fda","africa","september"
"5","world","dock","board","princess","diamond","california","grand","board","island","passenger","princess","roosevelt","dock","crow","marine","initiative","britofernandez","sao","pony","tanzania","family","postpone","australian","premier","diagnostic","federal","korea","minister","brazil","wuhan","johnson","johnson","rehabilitation","indoor","warn","mention","year","europe","bad","even","rate","keep","county","address","provider","american","vaccine","app","gawande","request","presidentelect","federal","president","defense","administration","president","president","administration","administration","trump","putin","president","senior","impact","white","us","white","biden","site","president","american","less","white","president","worker","july","syndrome","effort","shot"
"6","organization","crow","diamond","diamond","quarantine","diamond","coast","google","queen","florida","navy","uss","member","roosevelt","ship","address","general","front","address","farm","together","troop","victorian","australian","andrews","police","positive","bolsonaro","criticize","protester","president","marie","pretty","argument","spend","january","oil","kluge","limit","judge","governor","zoom","car","coverage","malaria","azar","receive","presidentelect","assistant","allow","reserve","azar","white","white","document","psaki","zients","partnership","merck","white","day","goal","white","community","president","get","effort","fund","program","benefit","july","event","vice","make","social","get","janssen","south","world"
"7","response","princess","dock","japanese","japanese","grand","crow","website","charles","board","board","carrier","board","theodore","son","ship","theater","jair","indias","quick","play","fire","suburb","personnel","state","andrews","gohmert","officer","australia","water","son","member","friday","qantas","austria","world","level","bed","world","council","morrison","murphy","church","virtual","investment","aim","trump","cnn","bright","alex","joe","order","supply","plan","psaki","trump","psaki","merck","direct","psaki","administration","shot","president","black","employee","share","vaccine","provide","benefit","get","national","make","house","say","house","one","report","wen","germany"
"8","concern","quarantine","test","test","crow","aboard","dock","princess","website","canal","aboard","aircraft","onboard","isolation","wilfred","professional","video","party","migrant","interview","watch","lay","blitz","australia","demand","detect","negative","north","brazils","federal","chief","tourist","tell","call","austrian","poor","europe","action","burn","address","virginia","reporter","travel","vaccination","economic","wear","president","joe","expect","biden","bidens","secretary","goal","federal","fund","slavitt","million","official","million","get","kremlin","will","administration","russian","shot","dos","president","administration","color","community","house","adult","tour","vaccinate","large","prevention","guillainbarré","johnson","global"
"9","outbreak","japan","japan","disembark","yokohama","coast","california","crow","passenger","navy","member","theodore","port","aboard","secure","accord","private","brazilian","president","closely","kid","metro","breach","tower","quest","positive","test","breach","station","brazilian","uk","march","fly","preparedness","resort","hospital","type","share","brussels","probably","justice","uk","cause","video","estimate","president","vice","plan","transition","whitmer","dos","president","bidens","bidens","american","mat","question","effort","president","office","psaki","jen","slavitt","biden","business","enough","federal","site","community","american","childcare","shoot","biden","discuss","american","say","rare","kenya","vaccine"
"10","meet","hong","yokohama","quarantine","test","newsom","port","test","crow","holland","onboard","crow","nagasaki","negative","norwegian","aircraft","project","entry","radio","supply","abby","tool","doubledigit","nsw","lockdown","victoria","kcna","australias","jair","kayapó","protest","fly","california","barr","whitty","feel","country","demand","wallonia","people","december","wage","lose","federal","vaccine","office","mike","special","admiral","barrier","release","joe","psaki","president","president","increase","remark","call","jen","official","president","across","american","vaccination","administration","plan","announce","effort","response","job","action","receive","host","hit","organization","apply","gbs","astrazeneca","tedros"
