"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","travel","airline","airline","lor","travel","flight","league","olympic","olympic","tokyo","vote","election","olympic","game","merkel","league","league","league","loan","festival","player","player","player","test","test","team","player","player","football","game","player","player","player","football","football","game","quarantine","game","oct","dodger","team","player","game","game","team","sport","world","canada","access","council","relief","oxygen","slim","republican","bill","bill","bill","business","bill","relief","fund","program","cruise","passenger","canada","canada","ward","fraud","hate","ice","potentially","support","shot","white","white","booster","booster","fda","fda"
"2","flight","suspend","flight","flight","level","airline","player","event","game","player","election","vote","romney","olympic","league","sport","train","season","bill","fair","season","positive","league","positive","positive","game","season","team","sport","team","team","iowa","game","league","game","player","player","positive","game","game","player","navajo","postpone","schedule","game","canada","billion","write","world","french","brazilian","amazonas","address","democrat","relief","house","wage","proposal","payment","american","relief","bill","passenger","middle","tedros","body","body","canadian","cruise","poll","case","delhi","day","cut","ask","company","official","vaccine","drug"
"3","traveler","flight","airbnb","hotel","south","game","game","postpone","postpone","committee","league","voter","vote","tokyo","dalai","game","club","team","season","season","league","season","test","player","league","fan","play","season","player","play","hurricane","league","play","game","conference","titan","facility","test","football","team","positive","football","cancel","player","player","navajo","global","game","expand","world","oxygen","manaus","carlos","relief","package","senate","vote","small","stimulus","fund","biden","business","norwegian","seat","canadas","try","global","canada","crime","top","official","stockpile","million","th","every","develop","need","drug","vaccine"
"4","airline","airport","travel","airline","advisory","cancel","tournament","player","tokyo","team","wisconsin","event","postpone","hold","lama","season","player","premier","business","cancel","football","test","positive","league","player","play","game","sport","season","season","storm","game","football","season","team","team","team","schedule","club","angeles","game","community","football","personnel","nfl","wyoming","vaccine","country","community","citizen","fund","brazilian","crisis","budget","committee","democrat","democrat","relief","check","bill","bill","small","industry","much","trudeau","line","canada","eligible","bill","concern","white","poll","meet","tout","get","cnn","administration","approval","food"
"5","china","travel","cancellation","man","flight","tokyo","season","schedule","committee","cancel","court","postpone","cancel","july","japanese","baseball","premier","sport","program","july","positive","statement","team","team","sport","season","team","league","postpone","player","laura","task","schedule","conference","sport","kelly","positive","oct","positive","turner","test","game","schedule","team","play","game","dos","population","grocery","brisbane","brazil","brazil","government","pass","family","pass","relief","support","earn","billion","sign","provide","ship","summer","north","global","six","front","asian","issue","factor","kejriwal","president","poverty","another","statement","meet","authorization","approval"
"6","airport","china","february","employee","airline","travel","postpone","game","athlete","game","mail","player","year","summer","leader","vote","sport","player","vote","program","play","member","season","tournament","season","stadium","schedule","game","team","football","league","zone","tennis","sport","fall","league","south","football","test","los","football","team","navajo","cancel","nba","miami","organization","vaccine","journal","question","sinovac","federal","amazon","bill","wage","relief","minimum","meet","house","program","process","protect","line","model","substance","ward","tedros","murray","stop","walensky","come","ward","schedule","cause","enter","efficacy","pfizer","month","administration"
"7","level","february","april","enter","march","schedule","nba","cancel","postponement","league","postpone","cancel","election","season","race","player","hold","club","use","league","game","league","orlando","season","team","canada","marlin","schedule","fall","fan","cancel","force","positive","play","season","positive","nfl","player","player","series","collins","nation","arizona","canada","return","player","end","world","observe","concern","amazonas","court","sanitizer","vote","president","package","senate","include","relief","focus","travel","multiple","company","mask","apply","ensure","public","secret","vote","call","soon","respondent","give","instead","race","high","datum","emergency","month"
"8","us","march","suspend","ask","korea","march","team","team","team","abe","player","mail","las","race","japan","seat","race","abe","pass","music","statement","staff","hernández","orlando","ortiz","sport","league","positive","play","league","positive","season","open","ten","player","meal","son","team","play","positive","bronco","family","texas","play","test","test","lee","agreement","disparity","illegal","american","government","court","resolution","minimum","committee","package","final","vote","funeral","legislation","prime","want","control","travel","lot","help","paycheck","pass","review","able","national","pm","build","thousand","tell","federal","use","authorization"
"9","warn","air","route","indiana","traveler","due","play","flight","cancel","olympic","voter","booth","vega","schedule","angela","major","postpone","association","team","player","studentathletes","cancel","baseball","ml","july","jay","sport","football","college","home","football","athletic","zone","big","play","test","due","florida","team","tuesday","county","statement","team","texas","fan","stop","japan","group","vaccine","police","manaus","shortage","manaus","house","democrat","week","republican","package","american","will","rule","die","prime","reopen","many","move","province","virus","biden","coronavirus","secretary","strategic","resource","people","vulnerable","five","company","company","use"
"10","suspend","unite","suspension","kao","suspend","postpone","airline","suspend","abe","play","play","june","event","committee","play","commissioner","stake","match","small","team","nfl","site","site","game","orlando","blue","philadelphia","studentathletes","conference","nba","practice","test","team","nfl","test","football","test","fan","allow","celebrate","protocol","test","player","tournament","list","canadian","canada","bernama","country","restriction","expand","coari","import","senate","legislation","next","manchin","minority","household","president","part","behind","sail","news","write","wait","medical","recover","law","report","end","bill","poor","even","eligible","publish","brief","probably","full"
