"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","sars","infect","sars","surface","clean","list","estimate","study","court","mask","mask","mask","mask","mask","mask","mask","mask","mask","mask","mask","mask","mask","mask","mask","mask","mask","mask","mask","mask","mask","mask","mask","wear","restriction","restriction","restaurant","restaurant","restriction","restriction","restriction","restriction","lockdown","restriction","restriction","restriction","restriction","restriction","restriction","restriction","lockdown","measure","school","school","school","school","school","school","school","school","foot","school","school","school","student","indoor","outdoor","allow","face","will","will","release","mask","state","health","spread","company","booster","city","city"
"2","outbreak","sars","hospital","sars","human","disinfectant","census","justice","homeless","wear","wear","wear","wear","wear","wear","wear","wear","wear","wear","wear","wear","wear","wear","wear","wear","wear","wear","wear","wear","face","face","wear","mask","scharf","johnson","bar","restriction","government","lockdown","lockdown","will","restriction","restaurant","lockdown","will","restaurant","christmas","christmas","england","restriction","situation","uk","student","restriction","reopen","teacher","county","include","facility","school","student","reopen","person","indoor","campus","will","may","will","restriction","capacity","mask","state","mask","state","begin","breakthrough","official","monday","indoor"
"3","infect","baby","infect","may","respiratory","respiratory","researcher","court","injury","face","face","public","face","face","face","flight","flight","droplet","distance","face","face","hand","face","face","face","face","face","mandate","distance","order","wear","region","sport","wear","pm","restriction","will","uk","restaurant","will","minister","bar","limit","will","open","pm","restaurant","measure","stay","prime","french","close","reopen","teacher","student","transmission","reopen","educator","allow","distance","learn","student","student","capacity","student","allow","will","restriction","mask","mask","governor","order","will","resident","health","department","need","mask","blasio"
"4","respiratory","virus","appear","cash","disinfection","sars","study","animal","justice","recommend","cloth","covering","bleach","airline","flight","face","airport","foot","face","passenger","covering","covering","mandate","distance","shop","mandate","mandate","face","face","wear","school","minister","allow","allow","level","must","close","local","curfew","measure","lockdown","restaurant","pm","christmas","lockdown","activity","limit","minister","spread","england","lockdown","measure","place","reopen","restriction","reopen","outdoor","governor","return","student","education","home","open","venue","outdoor","lift","lockdown","allow","gov","order","lift","wear","require","enter","august","disease","pfizer","mayor","mandate"
"5","virus","mother","severe","find","effective","coronavirus","animal","symptom","cardiac","sick","covering","face","cover","require","require","airline","require","air","passenger","distance","child","school","distance","mandate","order","cover","distance","distance","positivity","outdoor","region","extend","keep","reopen","bar","merkel","open","england","government","restaurant","prime","zone","lockdown","tier","reopen","must","shop","tier","year","minister","uk","home","child","restaurant","teacher","learn","person","reopen","reopen","reopen","reopen","extend","learn","will","may","restriction","restriction","lift","announce","indoor","will","require","gov","restriction","school","will","meet","louis","angeles"
"6","people","acute","respiratory","study","international","effective","use","researcher","study","recommendation","redfield","guideline","disinfectant","passenger","passenger","employee","passenger","crow","airline","covering","social","face","cover","social","measure","covering","gohmert","effect","email","local","order","rule","gathering","distance","close","service","limit","rule","level","announce","england","government","bar","outdoor","restaurant","limit","minister","household","limit","uk","place","lockdown","campus","area","open","cdc","zone","transmission","hogan","indoor","department","sport","attend","outdoor","reopen","may","distance","indoor","cuomo","state","gov","governor","order","will","will","august","administration","st","mask"
"7","rate","syndrome","much","researcher","product","human","may","product","turnaround","cdc","recommend","cover","public","covering","hand","passenger","temperature","aerosol","air","hand","passenger","distance","order","order","deal","distance","rep","murray","full","mandatory","age","will","governor","authority","nation","pm","pm","prime","allow","french","hungary","minister","measure","limit","pm","gathering","curfew","limit","alcohol","boris","minister","level","back","student","allow","ski","cdc","teacher","friday","outdoor","northam","open","contact","ceremony","gupta","measure","capacity","gov","lift","vaccinate","require","lift","lift","monday","age","statement","datum","mandate","missouri"
"8","case","respiratory","infection","publish","research","cold","husband","chinese","wynn","organization","homemade","driver","disease","cover","employee","require","space","reduce","transmission","social","class","sanitizer","social","covering","fine","cloth","require","ihme","rule","birx","rule","mandatory","pm","visitor","expect","infection","gathering","will","rule","business","measure","measure","will","restaurant","christmas","indoor","northern","restaurant","eve","johnson","prime","johnson","feb","open","classroom","open","distance","person","change","capacity","back","outdoor","staff","school","test","curfew","cuomo","announce","capacity","restaurant","office","indoor","cuomo","less","issue","emergency","shot","blasio","court"
"9","scientist","kill","result","mers","zhong","animal","wild","air","among","guidance","guidance","redfield","room","ice","airline","ministry","will","resume","transport","physical","foot","social","covering","hand","covering","layer","social","use","spread","enforce","must","ban","restriction","new","minister","england","oct","tier","will","minister","government","pm","ban","allow","measure","bar","pm","spread","christmas","measure","pm","allow","teacher","park","return","red","red","red","get","teacher","indoor","will","activity","limit","university","singapore","curfew","governor","mccloud","allow","resident","activity","remain","july","must","work","company","lucas","york"
"10","syndrome","young","baby","survive","animal","truth","china","surface","criminal","use","cdc","facial","uv","flight","church","security","face","transmission","hand","foot","distance","mandatory","public","cover","mandate","customer","cover","air","duke","area","education","distance","new","bar","boris","seat","bar","lockdown","prime","merkel","zone","will","government","toronto","england","measure","gathering","gathering","gather","level","become","test","staff","close","worship","child","mask","limit","person","cardona","outdoor","eviction","reopen","restaurant","will","capacity","york","reopen","order","gov","june","will","restriction","scholarship","faa","drug","federal","schmitt","de"
