"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","travel","travel","travel","foreign","level","travel","airport","travel","travel","flight","flight","travel","singapore","singapore","border","border","tourism","border","travel","travel","airline","passenger","travel","travel","travel","travel","travel","travel","taiwan","flight","travel","travel","airport","airport","flight","airline","penny","travel","airline","flight","governor","travel","native","levine","economy","economy","company","furloughed","travel","stock","doctor","travel","young","yanomami","acid","zoo","outbreak","merck","merck","trump","free","travel","travel","birth","claim","court","passenger","poll","americas","trust","american","look","mutation","million","part","variant","committee","fda","fda"
"2","level","canadian","canadian","travel","travel","korea","minister","country","foreign","foreign","zealand","border","dormitory","dormitory","travel","tourism","travel","travel","border","border","travel","airline","eu","flight","quarantine","passenger","traveler","traveler","travel","travel","germany","government","passenger","flight","air","furlough","job","tour","company","hawaii","office","iran","black","benefit","ambulance","business","job","airline","airline","open","warn","lift","pet","child","ascorbic","gorilla","hospital","michigan","collaboration","former","border","airline","cruise","airport","order","order","voyage","respondent","etienne","american","say","just","look","nearly","may","need","harris","vaccine","vaccine"
"3","hubei","entry","ban","expulsion","advisory","country","international","enter","enter","travel","travel","canadian","travel","worker","tourism","travel","border","quarantine","will","quarantine","border","travel","traveler","airline","airport","airline","minister","flight","azar","passenger","quarantine","flight","travel","fly","airline","congress","airport","enter","year","passenger","statement","chicago","per","jobless","job","month","high","american","american","point","houston","restriction","christian","member","zinc","pulse","learn","enough","adult","promote","additional","air","sunday","restriction","mask","shah","cruise","transportation","america","etienne","april","life","travel","johns","time","vulnerable","young","emergency","food"
"4","traveler","hubei","canada","iran","foreign","restriction","hank","traveler","australia","traveler","singapore","trudeau","ban","migrant","tourist","traveler","venice","june","foreign","country","zealand","flight","country","quarantine","country","require","social","passenger","quarantine","hotel","transport","greece","traveler","border","airport","employee","industry","takayama","travel","airline","iran","quarantine","alaska","point","american","job","work","job","screen","tsa","turner","unite","restriction","cnns","water","carrier","disability","defense","disability","service","director","screen","traveler","janeiro","transportation","gujarat","requirement","etienne","caribbean","outside","north","air","american","university","travel","just","less","approval","approval"
"5","province","foreign","citizen","street","south","south","country","citizen","border","airport","airport","ban","air","border","france","european","tourist","tourist","tourism","restriction","european","eu","list","country","effect","canada","require","airline","france","march","infection","tourist","screen","passenger","passenger","test","air","win","passenger","japan","test","bubble","hospitalization","nov","hh","cancel","cut","open","employee","american","go","incoming","never","village","cruise","theodore","send","announce","vaccine","president","already","flight","zealand","seat","etienne","june","kind","california","latin","poll","country","scientific","file","cut","people","health","meet","review","moderna"
"6","china","advisory","mainland","advise","traveler","modi","traveler","foreign","country","minister","visa","foreign","migrant","tourist","holiday","quarantine","country","tourism","france","will","flight","european","flight","border","flight","flight","ministry","tourist","announce","quarantine","berlin","international","screening","company","test","american","oil","traveler","cathay","traveler","lebanon","vermont","point","ezike","service","economic","business","christmas","open","election","due","osterholm","ramaphosa","storage","former","uss","billion","production","address","cnn","supply","sunday","norwegian","rio","recovery","require","agreement","proof","paho","respondent","life","behavior","region","per","variant","community","city","food","use"
"7","warn","china","spain","journal","korea","gathering","travel","restriction","quarantine","quarantine","transportation","traffic","pollution","indonesia","eu","paris","quarantine","traveler","government","european","restriction","traveler","airline","restriction","tourist","ban","restriction","quarantine","flight","tourist","ban","restriction","reduce","qantas","contact","flight","cut","loss","hong","pay","staffer","flight","american","unemployment","gao","officer","feed","employee","security","airport","subject","coronavirusrelated","form","touch","speech","roosevelt","contract","supply","disney","available","domestic","delta","industry","river","requirement","city","ship","last","california","friend","find","sequence","million","release","say","friday","variant","authorization","full"
"8","high","deny","enter","wall","nonessential","iran","prime","zealand","cuban","canadian","quarantine","airport","foreign","tourism","european","zone","restriction","will","country","june","tourism","airport","border","unite","block","plane","flight","advisory","corridor","airline","rki","border","france","china","hand","deal","airline","airline","kong","unite","negative","day","among","claim","month","hope","market","market","air","employee","boost","go","travel","cold","cleveland","aircraft","significant","deal","scotland","certainly","carissa","fly","rise","travel","expire","precaution","federal","status","region","ago","memorial","make","far","people","family","act","encourage","use","drug"
"9","outbreak","level","australia","qom","avoid","visa","foreign","border","traveler","trudeau","code","canada","worker","travel","foreign","iceland","june","country","european","traveler","will","country","european","international","cuomo","unite","announcement","airport","international","sit","german","holiday","international","quarantine","international","airport","scottish","quarantine","space","million","east","per","chicago","stock","open","open","example","pandemic","administration","end","trust","step","worry","appointment","oxygen","navy","noncovid","invoke","work","support","pan","security","seat","middle","apply","set","guideline","vaccination","ghaly","region","family","assessment","resident","adult","mass","curb","conversation","drug","emergency"
"10","area","canada","traveler","iranian","advise","foreign","tom","ban","australian","will","traveler","china","restriction","foreign","ministry","arrive","conte","philippe","june","lift","merkel","quarantine","passenger","traveler","will","china","enter","tourism","mandatory","traveler","rise","quarantine","cdc","australian","expose","industry","back","flight","employee","travel","hong","hong","white","fall","unemployment","low","economy","worker","day","send","long","international","chair","condition","hh","outbreak","soon","act","context","cite","detect","border","ardern","passenger","americas","every","get","ask","offer","home","way","say","adult","time","let","however","continue","company","approve"
"11","advise","restriction","foreign","traveler","practice","level","restriction","quarantine","citizen","australia","citizen","european","reside","lockdown","visitor","austria","traveler","mandatory","quarantine","french","quarantine","foreign","quarantine","arrive","two","requirement","country","index","airport","arrive","restriction","year","singapore","set","board","tomorrow","plane","employee","worker","allow","middle","arrival","stock","healthcare","benefit","oil","city","stock","christmas","travel","quickly","patel","mean","ban","adverse","limitation","ship","adult","contract","say","chile","million","bangladesh","decline","capacity","will","airline","federal","june","clear","someone","security","virus","poverty","provide","record","party","trial","review"
"12","advisory","province","level","reporter","alert","india","indian","passenger","zealand","enter","wuhan","singapore","transportation","asia","quarantine","june","prime","announce","traveler","airport","air","minister","airport","zealand","york","canadian","mandatory","foreign","arrive","tweet","list","next","airline","wear","dog","job","commercial","demand","club","cost","capitol","avoid","rate","american","claim","venezuelan","lose","meanwhile","checkpoint","holiday","holiday","prevent","measure","territory","policy","member","distribution","facility","four","press","sunday","late","conference","month","like","florida","workplace","since","social","large","beach","national","airline","disease","recognize","senior","lot","administration","tyson"
"13","alert","day","permanent","low","israel","holi","india","entry","will","international","australia","citizen","permit","cluster","dormitory","tourist","decree","enter","minister","arrive","macron","cruise","union","list","chinese","blue","eu","york","visitor","international","government","berlin","enhance","way","identify","pilot","boeing","air","enter","year","nevada","city","asian","economy","low","green","employee","like","tsa","lockdown","khan","will","life","back","source","investigation","early","world","biden","staff","affect","seat","flight","economic","rule","desantis","tier","favor","respondent","week","expectation","take","special","national","know","turn","vaccinate","johnson","authorization"
"14","raise","ban","alert","geng","ban","screen","european","will","ban","zealand","international","europe","will","permanent","appear","green","extension","ban","tourist","tourist","international","restriction","zealand","passenger","lam","jay","convention","international","unite","announce","france","race","line","travel","quarantine","naidu","demand","year","next","negative","sisolak","kong","dow","monday","care","wed","news","rise","number","screen","spirit","guest","go","show","trump","recent","committee","vaccine","announce","communicate","authority","will","passenger","summer","benefit","tell","bring","van","vaccinate","country","etienne","american","launch","pandemic","scientist","urban","international","grant","mark"
