"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","state","cdc","test","test","patient","county","case","case","case","case","case","case","case","case","case","case","case","brazil","johns","case","case","case","case","case","case","death","case","case","death","death","state","state","case","case","death","death","case","case","case","case","case","case","case","case","case","case","case","case","hospitalization","case","case","case","case","death","death","case","death","death","death","datum","dos","dos","million","million","dos","million","dos","report","dos","million","dos","dos","new","new","fully","vaccinate","fully","full","fauci"
"2","center","test","cdc","cdc","california","case","county","state","state","us","hopkins","johns","johns","death","hopkins","johns","hopkins","case","case","hopkins","state","state","state","report","new","total","death","death","case","case","death","case","state","death","case","case","less","hopkins","report","johns","johns","report","state","report","death","report","hospitalization","hospitalization","case","death","report","us","death","datum","case","dos","dos","state","report","dos","million","million","dos","dos","million","dos","average","less","dose","dos","administer","administer","fully","vaccinate","new","new","vaccinate","allow","institute"
"3","case","center","center","patient","test","cdc","state","us","less","state","death","hopkins","hopkins","johns","johns","hopkins","johns","indigenous","hopkins","johns","johns","hopkins","new","state","total","case","total","total","total","hopkins","total","total","hopkins","johns","state","johns","report","johns","johns","hopkins","state","state","report","death","hopkins","johns","datum","report","death","us","death","death","hopkins","case","report","report","case","dos","datum","administer","administer","datum","administer","less","administer","administer","million","million","less","population","million","datum","resident","state","vaccinate","fully","average","israel","anthony"
"4","test","lab","state","disease","county","state","presumptive","county","death","death","johns","less","less","hopkins","less","death","less","us","us","us","hopkins","johns","johns","positivity","johns","state","johns","johns","johns","johns","case","hopkins","johns","hopkins","johns","hopkins","hopkins","report","hopkins","report","hopkins","hopkins","total","state","johns","total","hospitalize","hopkins","johns","johns","university","johns","total","report","state","death","hopkins","datum","state","less","datum","administer","datum","total","datum","average","administer","dos","datum","dose","nearly","population","vaccinate","washington","day","virginia","age","forecast","national"
"5","control","patient","patient","confirm","us","presumptive","positive","tally","tally","tally","less","death","death","tally","us","less","columbia","johns","less","state","average","new","hopkins","hopkins","report","hopkins","department","hopkins","hopkins","report","johns","death","total","state","university","state","state","university","less","death","hospitalization","johns","hopkins","total","university","record","hopkins","johns","hopkins","state","johns","hopkins","johns","hopkins","total","state","million","accord","case","day","fully","publish","population","administer","population","report","datum","administer","report","administer","population","million","million","fully","washington","average","datum","unite","likely"
"6","disease","disease","disease","one","state","washington","cdc","unite","us","less","tally","tally","tally","us","death","us","total","hopkins","repatriate","less","florida","report","report","total","hopkins","department","hopkins","report","report","state","hopkins","report","release","report","hopkins","report","johns","us","total","new","track","us","new","johns","report","hopkins","death","death","less","hospitalization","datum","total","report","less","million","less","university","average","dos","million","report","us","cdc","us","shot","datum","since","datum","million","datum","dose","report","adult","us","state","death","resident","employee","infectious"
"7","prevention","illinois","kit","state","disease","positive","health","cdc","unite","report","report","us","state","state","university","state","state","less","report","texas","report","california","less","new","sunday","johns","state","department","department","total","university","johns","death","total","less","less","total","less","state","university","us","record","johns","hopkins","hospitalization","death","johns","us","report","total","less","university","university","johns","us","average","us","million","less","case","day","nearly","fully","dose","fully","dose","report","dose","receive","report","cdc","nearly","per","per","us","state","state","security","allergy"
"8","cdc","california","lab","california","cdc","king","accord","repatriate","die","total","state","report","us","university","state","university","repatriate","total","columbia","new","us","datum","total","johns","county","report","report","state","new","university","florida","less","less","new","us","university","us","new","new","less","new","new","death","new","total","day","project","less","datum","track","us","less","us","total","hopkins","administer","report","brazil","million","report","center","report","publish","population","dose","center","dose","adult","one","us","datum","dose","island","less","adult","million","week","oregon","discussion"
"9","confirm","control","control","case","case","patient","total","detect","total","coronavirus","us","territory","territory","less","tally","total","us","death","district","death","less","record","florida","datum","florida","new","less","florida","florida","department","report","florida","track","less","report","new","death","death","death","total","day","death","hospitalization","us","high","hospitalization","ctp","datum","total","hopkins","new","datum","datum","state","datum","hopkins","administer","case","administer","state","sevenday","dose","day","fully","report","january","per","day","may","vaccinate","average","publish","vermont","adult","half","week","new","phe","response"
"10","health","prevention","prevention","department","lab","us","department","total","report","wyoming","total","state","accord","include","columbia","tally","death","university","total","trend","datum","high","death","florida","high","less","project","project","state","cnns","department","department","positive","university","total","accord","new","total","track","high","high","total","track","hit","state","track","report","accord","accord","accord","hopkins","report","less","university","test","day","less","johns","day","since","control","death","average","datum","publish","sevenday","death","population","nurse","fully","since","fully","state","day","york","us","become","path","may"
"11","us","massachusetts","illinois","center","center","health","patient","accord","healths","accord","territory","columbia","university","count","repatriate","district","unite","bolsonaro","territory","territory","accord","florida","department","rate","rate","number","new","track","number","draw","project","columbia","record","york","forecast","total","university","russia","university","daily","project","high","less","million","project","project","new","state","dec","less","total","state","unite","administer","antigen","johns","johns","report","publish","dose","average","cdc","per","publish","less","cdc","adult","total","resident","total","report","cdc","less","dc","hawaii","less","day","kenya","disease"
"12","contact","case","california","prevention","illinois","lab","washington","healths","columbia","territory","coronavirus","repatriate","universitys","territory","territory","repatriate","university","brazils","death","track","new","total","california","county","state","track","track","university","track","track","covid","accord","report","us","accord","us","high","million","daily","state","university","since","accord","university","new","number","track","university","us","report","accord","million","accord","unite","california","total","since","day","accord","total","less","disease","accord","accord","average","publish","day","publish","administer","county","one","vaccinate","washington","massachusetts","reach","washington","last","effective","protection"
"13","patient","unite","messonnier","positive","prevention","california","pend","disease","repatriate","die","wyoming","universitys","die","columbia","accord","record","territory","die","tally","average","day","less","record","record","patient","exactly","university","number","rate","project","track","university","new","columbia","model","jersey","previous","daily","wisconsin","accord","average","hospitalization","us","day","hospitalize","us","university","high","record","datum","state","covid","million","us","johns","us","total","administer","brazil","nearly","total","day","vaccinate","report","day","vaccinate","total","death","new","publish","less","less","datum","hawaii","less","day","per","protection","dr"
"14","county","one","confirm","among","one","public","lab","prevention","territory","healths","universitys","district","report","jhu","district","accord","district","repatriate","universitys","university","high","death","accord","accord","datum","project","database","less","less","exactly","number","new","rate","datum","unite","jhu","wisconsin","state","us","record","statewide","less","covid","record","numb","state","record","day","state","number","covid","accord","forecast","cdc","unite","accord","datum","covid","nearly","may","one","fully","hopkins","allocation","cdc","population","less","fully","day","less","per","total","dos","hampshire","pace","datum","pace","prevent","forecast"
"15","investigation","negative","one","two","davis","test","us","washington","district","repatriate","accord","total","unite","accord","track","columbia","accord","columbia","state","report","arizona","arizona","texas","texas","numb","covid","draw","database","project","number","exactly","district","infection","track","rate","datum","department","record","project","previous","last","daily","university","project","track","high","high","number","project","project","numb","record","project","average","accord","prevention","publish","now","hopkins","note","cdc","average","nearly","day","per","day","publish","cdc","vaccinate","prevention","center","receive","rhode","rhode","dose","daily","rhode","protect","immunocompromise"
"16","washington","us","case","control","exposure","repatriate","confirmation","die","detect","columbia","columbia","coronavirus","district","district","unite","territory","tally","territory","university","die","total","accord","us","numb","accord","database","line","new","exactly","database","database","repatriate","territory","district","district","wisconsin","track","average","department","us","accord","numb","project","number","unite","new","covid","project","number","university","record","high","covid","dos","less","datum","project","publish","total","number","case","center","week","week","us","may","population","receive","adult","per","rate","one","dose","connecticut","dos","goal","little","dose","host"
"17","department","novel","negative","result","repatriate","resident","release","columbia","novel","cnn","district","university","repatriate","repatriate","include","datum","report","good","die","accord","per","coronavirus","die","university","covid","datum","exactly","resident","cnns","covid","rate","rate","number","bring","project","district","unite","project","previous","track","dashboard","accord","record","track","accord","covid","us","track","university","ctp","high","unite","state","accord","university","control","cdc","total","us","population","publish","population","us","per","prevention","per","cdc","one","nearly","average","prevention","day","average","vermont","people","reach","island","state","study"
"18","agency","state","us","illinois","re","unite","repatriate","test","system","detect","repatriate","accord","total","total","total","die","universitys","district","accord","include","sevenday","department","arizona","track","death","cnns","accord","draw","database","real","real","territory","florida","repatriate","new","model","record","numb","columbia","average","department","covid","high","accord","ctp","university","accord","ctp","hospitalize","covid","day","administer","tally","since","dos","center","accord","hopkins","record","office","per","control","may","average","delay","since","us","vaccinate","week","cdc","publish","may","massachusetts","northam","one","population","washington","create","drug"
"19","unite","investigation","result","contact","kit","pend","bring","health","accord","district","new","include","columbia","record","universitys","coronavirus","latin","tally","include","total","die","us","tally","department","day","hospitalization","real","exactly","real","note","draw","covid","us","territory","late","daily","repatriate","brazil","high","die","patient","track","datum","since","record","less","dec","covid","ctp","high","hospitalization","track","toll","covid","week","tally","unite","may","hour","cdc","nearly","less","allocation","cdc","accord","death","sevenday","new","total","adult","new","average","jersey","maine","two","vaccination","case","management","immune"
"20","accord","department","investigation","us","uc","accord","resident","district","cnn","unite","university","die","coronavirus","track","coronavirus","fatality","coronavirus","state","brazil","repatriate","see","day","university","daily","hospitalize","record","cnns","note","positivity","line","new","positivity","repatriate","number","virusrelated","since","territory","infection","accord","datum","death","day","additional","covid","covid","since","since","jhu","die","current","die","toll","hit","jan","fatality","since","average","number","nashville","control","hopkins","per","shot","nearly","control","age","show","per","publish","resident","day","new","reach","average","vaccination","one","california","instruction","infection"
"21","coronavirus","personperson","arizona","woman","screening","result","princess","center","coronavirus","count","unite","probable","count","universitys","good","good","include","brazilian","good","columbia","texas","previous","datum","increase","ventilator","real","note","real","university","new","county","california","columbia","positivity","florida","show","columbia","day","datum","hospitalization","since","illinois","unite","department","less","accord","state","current","track","record","tally","die","die","nearly","average","cdc","may","per","cdc","covid","may","one","johns","hopkins","center","among","receive","release","home","among","total","people","population","sevenday","little","covid","past","fairly","tuesday"
"22","official","washington","washington","screen","messonnier","center","detect","agency","test","hawaii","die","unite","include","unite","prison","universitys","america","numb","new","utah","university","university","columbia","death","age","line","york","datum","draw","release","line","us","district","florida","drop","columbia","numb","coronavirus","average","russia","covid","department","numb","hospitalize","datum","datum","day","record","high","unite","track","new","track","tally","since","million","decline","university","rate","new","university","total","people","johns","may","less","january","rate","average","control","covid","prevention","hampshire","island","accord","accord","group","steady","across"
"23","california","confirm","pend","prevent","solano","hospitalize","unite","territory","county","johns","disaster","wyoming","track","coronavirus","record","jhu","good","universitys","bolsonaro","datum","carolina","county","coronavirus","patient","die","draw","number","health","columbia","health","cnns","dakota","university","resident","york","forecast","district","datum","tally","project","total","unite","saturday","less","us","database","number","since","dos","day","unite","day","new","million","administer","distribute","number","show","disease","prevention","dose","johns","disease","unite","vaccinate","nearly","fully","sevenday","per","disease","reach","us","connecticut","number","dc","dc","half","economic","strategic"
"24","recently","arizona","massachusetts","coronavirus","result","confirmation","test","coronavirus","department","include","include","confirm","jhu","prison","veteran","cnn","europe","new","unite","district","previous","june","track","cnns","average","statewide","california","cnns","line","rate","less","aug","gov","rate","die","ihme","accord","late","coronavirus","cnns","hospitalize","hit","department","november","number","carolina","total","numb","remain","since","project","dos","average","prevention","day","university","prevention","since","johns","hopkins","migrant","sevenday","sevenday","adult","total","fully","nearly","may","outbreak","state","us","delay","maine","current","island","island","daily","labor","whether"
"25","arizona","transmission","texas","massachusetts","unite","condition","public","death","health","compile","levine","new","surge","map","beshear","track","texas","accord","far","probable","analysis","week","repatriate","less","less","university","release","line","york","datum","california","cnns","database","line","ensemble","die","project","accord","release","agency","week","ctp","day","late","patient","currently","numb","pandemic","current","new","disease","confirm","day","project","count","publish","state","brazilian","high","johns","pace","half","prevention","disease","april","university","vaccine","us","state","receive","adult","sevenday","half","mexico","per","york","center","recent","evolve"
"26","illinois","health","unite","chuang","passenger","oregon","tally","virginia","washington","map","declaration","declaration","map","veteran","military","include","new","yet","globally","florida","increase","carolina","district","covid","single","note","covid","county","datum","positivity","resident","gov","department","covid","columbia","repatriate","jersey","die","health","sevenday","report","die","hospitalize","hospitalization","hit","real","begin","new","note","department","publish","numb","ihme","ihme","tally","november","control","project","university","time","johns","hopkins","report","receive","deliver","hopkins","vaccinate","average","death","death","accord","vaccine","maryland","gov","massachusetts","jersey","eligible","reason","additional"
"27","symptom","county","protection","specialist","control","florida","death","system","new","refresh","count","good","fatality","report","cnn","report","die","rate","russia","universitys","trend","increase","carolina","average","office","health","florida","release","public","less","georgia","tally","accord","project","repatriate","project","universitys","cnns","cnns","include","less","identify","since","unite","day","million","murphy","unite","covid","hospitalize","coronavirus","surpass","fatality","hospitalization","covid","unite","sevenday","less","since","fully","prevention","prevention","give","state","nearly","estimate","one","accord","since","nearly","fully","adult","vaccine","prevention","hampshire","massachusetts","vermont","estimate","give"
