"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","case","less","less","less","case","case","italy","johnson","johnson","uk","minister","uk","prime","uk","uk","johnson","uk","cummings","uk","uk","app","government","uk","pub","confinement","spain","spain","uk","uk","uk","uk","government","people","increase","uk","test","uk","global","shortage","ezike","rt","ask","uk","uk","giroir","poll","spin-dry","stanford","manzanero","production","pope","delhi","murphy","canada","child","child","tanzania","plan","olympic","grant","germany","merkel","flower","germany","party","election","court","lockdown","fungus","fungus","governor","park","park","medicaid","now","along","happen","employee","hospital"
"2","confirm","case","case","case","italy","italy","lockdown","french","minister","minister","johnson","minister","uk","minister","government","uk","list","johnson","shield","government","uk","court","johnson","prime","marathon","enough","uk","england","border","ireland","school","greek","uk","household","vallance","rapid","test","bank","policy","mask","protest","rdif","berlin","canada","team","trump","far","nurse","crisis","mexican","francis","etienne","defender","stadium","poll","ascension","economic","population","care","list","merkel","germany","man","step","germanys","party","pradesh","pradesh","black","black","discuss","delhi","visitor","enrollment","fine","federal","access","facility","patient"
"3","mainland","outside","unite","death","lombardy","region","europe","european","uk","johnson","prime","johnson","minister","prime","prime","prime","england","uk","england","secretary","government","rule","leicester","london","uk","supply","government","government","hh","martin","prime","europe","remdesivir","people","whitty","every","nhs","billion","quarter","longterm","government","russian","olympic","call","immunize","gun","unit","vast","mexican","vargascortes","quarter","resort","cox","nfl","canada","island","yellen","zhong","population","john","koch","germanys","current","merkel","election","rally","minister","court","indian","maharashtra","model","event","national","health","federal","investigation","use","one","care"
"4","thailand","mainland","korea","unite","region","northern","region","border","prime","prime","boris","prime","government","johnson","minister","boris","add","lockdown","secretary","lockdown","johnson","consider","lockdown","minister","race","uk","wave","italian","authority","swab","abe","sweden","rise","test","chief","million","government","policy","world","able","russian","optimistic","demonstration","berlin","justice","treat","explain","worker","composer","risk","vatican","association","legal","dentist","credit","kroger","cost","hand","worker","merkel","german","chancellor","progress","lockdown","rally","hold","weekend","uttar","state","minister","rend","proof","increase","park","action","short","crisis","re","bed"
"5","china","philippines","philippines","december","less","germany","apply","france","boris","hancock","uk","nhs","johnson","british","johnson","minister","johnson","durham","lockdown","introduce","user","lockdown","minister","england","enforcement","chain","quarantine","pub","prime","home","return","tui","england","uk","measure","tooth","issue","government","impact","world","appear","uk","hancock","migrant","sahin","professional","katz","emergency","letlow","life","overdose","director","per","club","canadian","mile","expense","employee","tokyo","pace","chancellor","uk","wife","rise","minister","bjp","kerala","minister","patient","state","state","last","whitmer","africa","plane","surface","challenge","lead","oneal"
"6","outside","death","death","philippines","northern","lombardy","lombardy","measure","tube","boris","intensive","hospital","european","government","boris","address","symptom","boris","government","minister","apple","uk","government","uk","government","government","england","extend","australia","avoid","government","spokesperson","hancock","health","hancock","country","poverty","response","london","government","fund","hancock","year","minister","west","immunize","container","resource","family","job","year","teacher","represent","league","dentist","walz","pandemic","midnight","event","rapid","robert","long","faith","germanys","law","bengal","election","case","gujarat","patient","outside","west","et","service","record","twentyone","decide","close","admit"
"7","taiwan","korea","taiwan","russia","italian","brazil","restriction","uk","french","government","british","british","merkel","secretary","telegraph","home","smell","dominic","johnson","british","rule","law","england","saturday","johnson","flu","country","italy","johnson","keep","irish","eu","government","young","prime","plan","period","prevent","gelber","chinese","plant","hope","vaccine","change","nurse","social","effect","fellow","week","pope","risk","next","state","trudeau","daycare","staff","can","venezuelan","anxiety","test","covax","angela","german","shop","west","commission","case","party","drug","disease","end","requirement","office","incentive","th","athlete","tedros","healthcare","icu"
"8","japan","confirm","country","taiwan","veneto","death","italian","restriction","merkel","rule","raab","hancock","parliament","will","secretary","message","government","wife","london","ferguson","british","british","hancock","spain","prime","prepare","johnson","northern","quarantine","uks","visit","break","kingdom","world","england","abbott","million","year","immunity","taiwan","news","instead","city","access","quite","datum","experience","process","author","francis","datum","conference","familiar","association","nfl","slow","plan","maduro","july","june","easter","group","short","chancellor","bengal","west","state","lawsuit","telangana","case","labor","guidance","decision","past","commercial","four","adhanom","pay","medical"
"9","korea","japan","thailand","outside","death","milan","ban","ban","measure","germany","street","boris","secretary","philippe","uks","england","secretary","prime","minister","question","information","use","prime","johnson","economic","broward","european","curfew","jordan","increasingly","minister","google","young","pandemic","brief","distribute","technical","chain","major","china","overwhelm","ranney","recent","chancellor","pfizer","outside","death","receive","singer","year","visit","reporter","aid","switzerland","job","officer","emergency","blast","test","action","fiveday","statement","easter","angela","hold","vote","indias","gujarat","goa","find","something","visitor","put","national","enact","initial","directorgeneral","office","kid"
"10","australia","taiwan","emirate","world","milan","republic","civil","eu","run","measure","gove","raab","german","measure","ferguson","sunday","minister","london","hancock","virus","make","europe","local","emergency","ago","learn","europe","wave","measure","british","chief","statement","bring","england","bad","announce","extreme","longterm","mask","public","twitter","flight","ask","whether","adm","scientist","relative","holiday","away","press","surveillance","region","association","earn","massachusetts","nevada","supply","less","conflict","die","pass","every","doctor","break","parliament","guideline","republican","order","less","accord","individual","vacation","record","program","around","morning","investigation","state","lake"
