"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","symptom","cough","cough","can","hand","hall","hand","hand","adams","biden","get","get","cnns","child","get","town","get","know","get","turn","people","get","fauci","school","school","school","school","fauci","fauci","say","cdc","fauci","fauci","fauci","fauci","fauci","fauci","fauci","fauci","fauci","fauci","fauci","fauci","fauci","fauci","fauci","get","fauci","fauci","fauci","get","fauci","fauci","fauci","fauci","fauci","fauci","vaccinate","vaccinate","walensky","lab","origin","source","johnson","clot","johnson","johnson","vaccine","child","child","child","child","child","child","child","child","increase","resident","case"
"2","cough","can","symptom","cough","can","sick","can","town","think","adams","say","town","get","kid","life","live","hall","watch","back","sick","lot","people","think","reopen","fauci","fauci","fauci","say","say","fauci","guideline","dr","giroir","redfield","dr","dr","disease","cdc","get","dr","american","say","dr","get","get","anthony","fauci","dr","get","get","fauci","get","get","get","get","dr","disease","cdc","cdc","cdc","virus","report","team","clot","johnson","blood","likely","age","group","symptom","age","authorization","version","need","report","death","missouri","average","report"
"3","animal","sneeze","animal","symptom","recommend","town","cnns","young","town","get","way","go","think","town","cnns","watch","town","hall","mother","stay","sick","fauci","get","fauci","get","get","dr","dr","need","need","fauci","immunity","test","dr","disease","disease","say","dr","dr","gottlieb","bad","model","anthony","say","re","dr","vaccinate","anthony","dr","adams","infectious","walensky","walensky","anthony","dr","walensky","dr","fauci","fully","travel","dr","virus","ioc","pause","blood","cdc","pause","child","vaccine","look","offit","vaccine","provide","likely","death","california","medical","transmission","increase"
"4","contact","symptom","can","nose","wash","cough","hall","dr","dr","watch","mother","really","hall","dr","thing","tribe","watch","town","family","risk","little","really","go","get","reopen","disease","say","get","thing","really","dr","herd","dr","disease","say","redfield","need","director","expert","mandate","dr","american","say","director","go","get","azar","director","go","want","dr","thing","anthony","dr","cdc","anthony","collins","disease","travel","center","origin","animal","global","blood","rare","clot","clot","young","us","age","fda","committee","meet","receive","covid","pandemic","reiner","high","state"
"5","avoid","person","virus","flu","flu","hand","surface","gupta","away","away","go","way","town","hall","friend","cnns","kid","quammen","try","sleep","know","young","message","go","say","dr","thing","anthony","can","anthony","test","birx","white","control","guidance","say","director","can","director","anthony","us","dr","infectious","people","people","infectious","dr","get","think","say","director","director","dr","director","disease","director","go","center","disease","fauci","cdc","source","world","rare","vaccine","pause","vaccine","recommend","dr","institute","young","age","claim","meet","test","due","week","accord","death"
"6","can","advise","cold","throat","symptom","correspondent","town","cnns","distance","say","adams","biden","former","get","virtual","hall","family","get","work","symptom","many","go","disease","open","disease","anthony","disease","school","dr","can","say","giroir","say","immunity","anthony","know","dr","hall","collins","national","expert","month","go","dr","think","allergy","anthony","collins","say","us","still","infectious","rochelle","infectious","go","get","surge","walensky","people","air","theory","world","response","us","recommend","recommend","blood","committee","use","vaccine","group","consider","advisory","schedule","state","year","case","rate","million"
"7","sneeze","contact","contact","person","sick","can","disease","people","hand","go","see","thing","go","family","pandemic","thunberg","child","cnns","pandemic","story","go","say","spread","say","infectious","child","get","back","back","american","disease","infectious","institute","center","get","member","fatigue","frieden","disease","infectious","institute","right","institute","want","want","know","say","infectious","anthony","anthony","think","re","allergy","say","director","want","prevention","fully","fauci","vaccinate","walensky","china","transparent","recommend","pause","fda","jj","dr","administration","study","vaccine","yearolds","test","amid","represent","member","go","death","datum"
"8","fever","hand","fever","wear","nose","wear","adams","can","way","distance","like","facebook","message","street","home","ceremony","gupta","way","floyd","find","virus","gate","say","disease","child","gate","can","child","much","giroir","change","test","get","get","know","anthony","infect","disease","anthony","go","collins","presidentelect","allergy","infectious","know","people","think","institute","cnns","tell","people","dr","director","allergy","vaccinate","infectious","expert","guidance","guidance","airport","china","organization","china","food","cdc","rare","meet","use","age","collins","hospitalization","mark","reschedule","approach","number","implement","follow","half","week"
"9","hand","flu","nose","spread","away","cnns","dr","hall","hall","thing","worry","dr","song","gupta","empty","try","go","want","pangolins","spread","get","risk","re","expert","anthony","reopen","ryan","reopen","ryan","get","force","anthony","national","say","cdc","infectious","cdc","thing","allergy","spread","get","potential","get","anthony","say","institute","american","say","thing","ask","want","like","infectious","walensky","really","disease","director","protect","walensky","disease","redfield","wuhan","access","case","committee","prevention","norway","group","authorize","director","follow","can","adjust","asian","weekly","chronic","five","datum","total"
"10","infect","evidence","sneeze","couple","dr","flu","cough","feel","people","hand","thing","think","key","breen","hall","like","back","american","let","job","friend","think","can","fall","good","say","gate","thing","really","thing","task","white","disease","think","spread","spread","anthony","former","institute","institute","wear","get","way","much","infectious","want","still","watch","really","good","vaccinate","can","think","disease","possible","prevention","walensky","official","prevention","director","director","release","virus","center","us","disease","unvaccinated","teen","fda","health","authorization","advisory","holiday","combine","hospitalization","prevent","day","population","new"
