"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","patient","ship","ship","ship","ship","case","case","death","patient","health","test","care","patient","study","patient","syndrome","symptom","patient","study","study","patient","patient","study","study","young","study","young","researcher","child","symptom","symptom","patient","patient","patient","study","study","england","island","child","child","child","child","child","thanksgiving","travel","jones","black","adams","celebration","german","public","guard","hong","hispanic","wait","prevalence","london","respondent","focus","hospital","double","letter","sinovac","cdcs","surface","oxygen","oxygen","support","germany","ema","variant","variant","variant","variant","variant","case","delta","test","test"
"2","case","cruise","passenger","princess","princess","ministry","ministry","man","die","die","health","patient","nurse","patient","child","patient","patient","study","patient","researcher","study","study","researcher","patient","adult","adult","study","study","study","child","child","researcher","adult","researcher","find","researcher","hospitalize","father","student","mask","aap","navajo","family","child","walke","home","american","jerome","live","merkel","woman","national","guard","black","black","pregnant","black","school","without","miami","mutation","gram","zahawi","maree","transmission","send","aid","aid","committee","team","name","delta","delta","unite","vaccine","variant","variant","outbreak","outbreak"
"3","health","board","princess","ministry","diamond","yearold","confirm","ministry","ministry","positive","age","hospital","symptom","disease","doctor","child","study","drug","drug","patient","drug","drug","patient","antibody","study","adams","risk","find","researcher","population","kong","study","research","find","patient","child","may","superspreader","able","young","mask","nation","navajo","household","quarantine","wash","adams","surgeon","avoid","social","azar","dc","black","analysis","family","black","imperial","many","past","beach","stress","treaty","news","yearold","travel","foreign","send","india","israel","return","label","identify","identify","vaccination","company","vaccine","report","player","justice"
"4","yearold","passenger","cruise","diamond","passenger","man","patient","patient","health","hospital","positive","nurse","care","find","hospital","study","researcher","researcher","hydroxychloroquine","drug","trial","researcher","infect","child","antibody","risk","researcher","child","nurse","hospitalization","hong","negative","study","study","researcher","age","one","one","party","wear","wear","community","nation","holiday","holiday","navajo","get","general","get","nurse","adult","member","area","kong","fund","study","college","december","american","police","president","world","right","jjs","team","support","india","production","israeli","dog","phe","novavax","india","delta","first","israel","fast","china","list"
"5","confirm","test","board","passenger","cruise","confirm","total","case","yearold","angeles","angeles","woman","study","hospital","team","disease","disease","hydroxychloroquine","trial","lung","hydroxychloroquine","risk","find","drug","group","symptom","disease","antibody","publish","researcher","first","symptom","researcher","hospital","child","find","doctor","party","need","adult","adult","advisory","holiday","celebrate","mask","mask","community","get","cdc","emergency","supreme","azar","kong","white","group","yearolds","throughout","likely","respondent","thing","distribution","serbia","research","vote","home","uk","supply","tweet","gaza","monitor","staff","uk","vaccine","consider","show","datum","week","local","week"
"6","man","dock","diamond","cruise","ministry","total","yearold","die","death","ministry","covid","symptom","positive","woman","blood","hospital","infect","use","datum","medicine","researcher","woman","child","disease","research","child","find","survey","among","county","study","pregnant","care","athlete","age","among","journal","report","without","kid","court","department","american","family","risk","message","vaccine","hall","guidance","live","tell","coverage","troop","disparity","member","color","impact","cope","throughout","shortage","medium","pandemic","surface","trial","tedros","ventilator","ventilator","temporary","ministry","clot","uk","protect","alpha","fast","identify","efficacy","case","authority","alpha"
"7","hospital","crow","japanese","quarantine","case","health","man","yearold","positive","intensive","die","study","covid","kawasaki","treat","heart","child","treatment","researcher","use","treat","severe","symptom","condition","find","cdc","symptom","population","symptom","cdc","age","test","young","child","likely","survey","vaccinate","emergency","newsom","candy","large","local","thanksgiving","american","spread","phone","feel","community","mask","police","information","screen","saturday","datum","get","woman","american","behind","criticism","night","focus","even","affiliate","mexican","person","india","foreign","rich","target","european","scientific","phase","uk","identify","delta","become","compare","national","fund"
"8","ministry","hong","yokohama","japanese","woman","new","health","confirm","man","doctor","detroit","test","home","die","find","famotidine","drug","find","journal","write","find","remdesivir","team","journal","severe","disease","school","age","author","age","man","write","find","age","research","drink","recover","ice","adult","back","county","amish","home","home","american","florida","survey","via","guest","raise","survey","survey","cover","racial","republican","likely","life","hopeful","always","focus","foreign","safe","class","study","prevention","concentrator","concentrator","waiver","build","young","local","first","concern","case","emerge","develop","numb","positive","include"
"9","test","princess","test","case","yearold","patient","woman","health","case","patient","child","health","virus","care","publish","inflammatory","syndrome","plasma","find","different","age","age","sample","symptom","vulnerability","infect","severe","mental","young","black","patient","woman","among","research","produce","adult","publish","physical","young","among","datum","resident","safe","hand","cdc","access","kaiser","dr","celebrate","zero","hispanic","cnn","latino","report","ocasiocortez","lose","asian","highly","numb","good","distribute","religious","reporter","adviser","disinfect","supply","uk","supply","warn","late","statement","company","protection","analyze","activity","dose","increase","statement","similar"
"10","january","patient","crow","japan","man","woman","bring","condition","hospital","case","patient","age","test","team","write","kawasaki","hydroxychloroquine","trial","publish","food","publish","trial","mutation","underlie","risk","young","cell","journal","aap","proportion","publish","obesity","hospital","likely","condition","patient","people","young","learn","use","make","thanksgiving","celebrate","wash","thanksgiving","cdc","study","shoot","system","garcetti","hh","individual","white","troop","trump","life","highly","describe","cnns","paris","package","festival","brown","prevention","hill","aid","medical","uk","clinic","know","delta","plan","study","result","reduction","first","three","bad","concern"
