"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","case","death","death","death","death","china","china","case","case","case","case","case","case","case","case","case","case","case","case","death","case","ministry","ministry","ministry","ministry","ministry","case","case","case","death","case","death","case","case","case","death","case","case","record","new","record","record","case","record","death","case","case","case","death","case","germany","total","ministry","ministry","countrys","curfew","case","pope","ministry","infection","death","death","case","death","oxygen","death","case","case","case","case","uk","case","death","case","essential","respiratory","johnson","test","zients"
"2","province","toll","report","hubei","case","death","case","china","china","china","total","death","death","death","numb","total","death","total","death","case","death","death","death","case","case","case","ministry","total","death","case","death","case","death","ministry","record","case","record","record","new","case","case","daily","death","death","case","death","infection","death","case","death","total","ministry","countrys","countrys","ministry","case","countrys","vatican","country","coronavirus","case","ministry","ministry","case","india","case","death","india","report","report","case","government","case","death","person","give","syndrome","dhs","support"
"3","confirm","case","hubei","report","mainland","mainland","death","death","death","death","death","total","numb","new","death","death","total","death","ministry","total","report","case","total","death","death","death","death","ministry","total","record","total","ministry","india","record","new","country","ministry","death","case","per","hospital","death","total","case","infection","infection","new","toll","record","record","case","case","case","germany","minister","ministry","minister","country","africa","ministry","ministry","case","death","country","ministry","oxygen","india","death","death","death","death","uk","uk","coronavirus","response","region","fda","exposure","see"
"4","death","total","case","mainland","report","case","hubei","report","italy","italy","new","numb","report","total","total","numb","numb","new","total","ministry","ministry","total","countrys","total","sunday","countrys","record","record","numb","numb","ministry","total","ministry","total","death","infection","death","infection","countrys","death","daily","numb","numb","new","total","record","record","ministry","ministry","total","numb","record","germany","german","death","germany","lockdown","meet","case","wave","country","patient","new","new","hospital","record","hospital","report","new","india","infection","week","delay","turn","indicate","intensive","risk","white","income"
"5","total","numb","mainland","province","china","report","wuhan","new","total","numb","numb","record","total","numb","report","report","ministry","report","record","record","total","report","case","record","brazil","record","new","death","ministry","ministry","numb","brazil","total","india","total","countrys","numb","countrys","czech","daily","intensive","case","ministry","ministry","countrys","total","countrys","total","infection","daily","countrys","countrys","france","country","country","countrys","incidence","lockdown","toll","country","record","total","pandemic","measure","delhi","hospital","delhi","oxygen","india","ministry","new","hancock","warn","official","official","great","vaccine","setting","increase"
"6","hubei","hubei","toll","case","hubei","hubei","report","mainland","new","total","china","ministry","accord","confirm","countrys","record","record","record","numb","report","bring","countrys","report","countrys","countrys","toll","total","country","bring","total","new","record","record","new","ministry","record","less","new","country","record","death","toll","countrys","daily","new","numb","death","record","toll","government","new","toll","death","minister","restriction","minister","spread","countrys","government","measure","since","numb","total","ministry","death","india","wave","total","total","new","coronavirus","india","government","minister","increase","symptom","janssen","de","high"
"7","numb","province","province","china","toll","outside","province","italy","import","report","record","infection","infection","infection","new","patient","brazil","numb","toll","countrys","new","toll","new","new","minister","report","toll","numb","record","countrys","record","numb","brazil","death","daily","ministry","infection","total","daily","czech","patient","france","record","numb","toll","report","ministry","report","japan","countrys","toll","daily","country","death","iran","restriction","ministry","case","wave","countrys","daily","since","india","india","accord","indian","patient","numb","record","total","record","report","see","turkey","half","cause","report","risk","test"
"8","mainland","confirm","numb","toll","outside","total","mainland","country","hubei","country","rise","increase","confirm","countrys","record","new","report","ministry","brazil","brazil","health","bring","toll","bring","bring","total","countrys","infection","country","brazil","report","countrys","country","infection","lockdown","million","coronavirus","increase","ministry","total","total","countrys","daily","high","ministry","new","rise","infection","total","bring","rki","death","total","france","total","coronavirus","german","trip","sao","restriction","minister","country","record","record","case","report","oxygen","record","numb","infection","variant","state","past","italian","tuesday","die","guillainbarré","previously","two"
"9","china","mainland","total","numb","total","global","collapse","total","province","infection","report","report","new","report","confirm","brazil","countrys","confirm","new","bring","numb","new","bring","confirm","toll","new","high","new","countrys","report","brazil","report","toll","bring","minister","france","india","ministry","infection","country","past","report","france","report","bring","germany","total","indias","report","tokyo","high","since","germanys","coronavirus","region","german","germany","ministry","countrys","region","pandemic","record","minister","curfew","government","ministry","indias","lockdown","since","indian","rise","accord","total","organization","wear","increase","gbs","say","response"
"10","health","commission","confirm","commission","confirm","toll","daily","toll","report","countrys","toll","new","ministry","past","infection","ministry","hour","bring","report","hour","confirm","record","numb","brazil","health","bring","numb","countrys","new","mexico","toll","toll","hopkins","daily","toll","region","daily","report","republic","intensive","new","country","hospital","infection","record","ministry","tokyo","japan","countrys","numb","record","lockdown","berlin","yellow","france","country","curfew","accord","death","minister","brazil","new","high","restriction","country","supply","numb","indias","countrys","accord","increase","daily","restriction","positivity","case","cnn","rare","someone","supply"
