"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hong","hong","hong","hong","hong","kong","league","faa","prince","russia","queen","raise","donate","putin","pledge","european","macron","french","modi","race","commission","childcare","island","event","okinawa","okinawa","tedros","rio","around","indigenous","indigenous","theater","beach","charge","black","officer","quarantine","woman","patient","antibody","symptom","mink","mink","hong","kong","kong","airport","uk","variant","test","passenger","travel","travel","airline","travel","travel","travel","enter","detroit","program","travel","country","province","water","russia","brazil","city","library","hate","intelligence","origin","donation","pm","inequity","cautious","county","angeles","school","school"
"2","kong","strike","kong","kong","kong","hong","premier","vatican","charles","russian","list","moore","world","war","million","fund","european","bukele","indias","chiu","worker","pride","ticket","park","us","base","military","janeiro","energy","cluster","email","border","weekend","host","mask","police","south","symptom","symptom","symptom","antigen","farm","farm","kong","hong","hong","flight","variant","test","flight","test","border","uk","airport","traveler","quarantine","will","israeli","challenge","claim","draft","homeless","experience","trace","lose","brazils","brazils","mayor","crime","origin","lab","drop","visit","home","world","get","county","mask","student"
"3","mask","kong","build","resident","resident","flight","club","airport","russian","player","russia","team","ma","anzac","leader","leader","merkel","tobacco","world","fair","dashboard","malik","event","island","marine","military","okinawa","telehealth","summer","highway","brazilian","reopen","labor","stadium","costume","gather","man","korea","experience","long","use","cull","danish","travel","trace","airline","travel","ban","uk","variant","flight","flight","country","flight","buttigieg","airport","international","passenger","site","year","watch","die","investigation","disparity","north","city","york","de","american","virus","release","moeti","eat","pandemic","jersey","vaccination","woman","require","mask"
"4","lam","border","pipe","quarantine","island","resident","arsenal","traffic","queen","prince","meal","russia","zoo","eat","promise","union","french","leader","venezuelan","north","member","rover","guest","rhode","air","us","us","de","crowd","carolina","demand","movie","gather","saturday","host","island","korea","park","publish","lilly","mink","human","job","thanksgiving","thanksgiving","flight","passenger","flight","ban","uk","airline","uk","quarantine","quarantine","quarantine","flight","government","quarantine","kong","funeral","delivery","see","philippines","investigation","accident","turkey","brazil","blasio","asian","biden","china","investigation","schedule","save","pandemic","covid","los","student","require"
"5","face","lam","resident","roll","government","charter","pope","via","putin","charles","opportunity","putin","raise","russian","billion","global","fund","assembly","current","crisis","red","website","mount","nirenberg","base","japanese","case","tedros","society","fraternity","penny","vote","san","hokkaido","network","hogan","son","experience","journal","mild","utah","strain","kill","passenger","airline","positive","faa","travel","travel","passenger","travel","negative","traveler","ireland","passenger","test","quarantine","march","administer","fenton","country","travel","stay","expose","substance","blasio","raise","york","biden","investigation","idea","nation","facility","sept","coronavirus","agency","patient","county","district"
"6","border","union","worker","department","statement","pope","english","peter","scotland","jazz","cat","garden","queen","raise","fund","eu","global","president","leader","world","interest","carnival","pride","rushmore","corp","officer","emergency","okinawa","increase","north","highway","milwaukee","party","series","audience","distance","local","south","long","moderate","result","denmark","animal","airline","carrier","fly","traveler","traveler","passenger","travel","variant","variant","ban","traveler","test","require","apply","near","price","recall","tuesday","able","arrest","federal","diagnosis","mayor","contract","reopen","bill","china","hypothesis","visit","state","compare","covid","may","pregnant","regardless","county"
"7","mainland","hospital","border","build","canary","citys","player","puerto","player","moscow","hardship","suffer","donor","birthday","international","pillar","background","concern","amid","un","eu","vehicle","raimondo","guest","prefecture","personnel","base","visit","food","hall","facebook","victoria","people","texas","group","maryland","facility","news","inform","monoclonal","example","mutation","pack","bubble","pakistan","passenger","carry","kingdom","traveler","ministry","negative","republic","restriction","order","negative","traveler","tourism","special","short","question","family","beyond","variant","experience","manufacture","reopen","office","lee","vote","president","leak","release","pandemic","still","new","european","hospital","district","status"
"8","government","government","kongs","kongs","citys","arrive","will","tower","cornwall","putin","tiger","together","royal","moore","marine","europe","union","putin","migrant","ii","website","car","rushmore","ticket","military","employee","police","hall","file","protester","august","shut","expert","major","include","gov","wall","one","app","england","antibody","danish","denmark","airport","travel","emirate","priority","passenger","flight","traveler","uk","passenger","hotel","passenger","uk","arrive","take","leave","shapps","assistance","far","america","home","emergency","appropriate","death","de","limit","incident","report","online","thursday","context","coronavirus","ability","information","care","order","staff"
"9","kongs","employee","lam","two","lagos","will","quarantine","club","test","statement","help","foundation","walk","mishustin","effort","recovery","german","world","especially","scott","africa","francisco","cuban","command","island","marine","personnel","police","etienne","proximity","information","phase","many","league","encourage","protester","interact","find","find","study","mutate","mutate","infect","singapore","expect","sinovac","aviation","suspend","arrive","negative","require","arrival","flight","hotel","hotel","uk","ban","will","speed","among","lawmaker","recently","man","company","tass","de","blasio","pandemic","congress","animal","human","numb","nine","american","able","occur","infection","wear","mandate"
"10","resident","mainland","building","spark","department","department","peter","flight","positive","prine","atlanta","period","alibaba","soldier","vaccine","world","chancellor","abe","formula","korea","producer","watch","will","antonio","personnel","man","accelerate","protest","pandemic","identify","federal","park","hit","stand","leader","comply","justice","gov","develop","result","get","powell","cull","tsa","stay","december","airline","minister","detect","africa","country","secretary","entry","announcement","arrive","negative","passenger","watch","trace","file","necessary","increase","violate","full","fire","koca","morgue","new","law","source","order","chinese","finish","conduct","abroad","presidential","davis","status","wear"
