"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","citizen","citizen","minister","south","south","south","south","south","amazon","amazon","korea","intelligence","chinese","chinese","china","china","china","letter","organization","tedros","street","wen","tedros","teich","tedros","agency","korea","sanitizer","post","church","korea","nurse","south","south","phase","extend","influenza","cruise","transmission","emergency","governor","taiwan","church","system","campaign","azar","dybing","uk","uk","nhs","uk","uk","london","study","study","vaccine","dose","study","vaccine","astrazeneca","clot","astrazeneca","astrazeneca","astrazeneca","vaccine","vaccine","age","erck","antibody","vaccine","vaccine","johnson","vaccine","risk","risk","risk","misinformation","misinformation","trump"
"2","flight","plane","prime","korean","group","daegu","korea","korea","south","south","south","south","china","wuhan","intelligence","chinese","world","china","world","world","together","gupta","storm","scotland","china","hydroxychloroquine","korean","korea","dog","south","south","south","kcdc","korea","facility","order","pneumonia","ban","canada","hospital","beshear","home","tedros","nothing","model","allocation","lockdown","france","hancock","uk","nhs","hancock","decline","researcher","oxfordastrazeneca","researcher","study","vaccine","astrazeneca","clot","astrazeneca","blood","clot","vaccine","astrazeneca","astrazeneca","vaccine","ivermectin","vaccine","company","trial","vaccine","plant","vaccine","june","unvaccinated","murthy","booster","life"
"3","government","flight","national","korea","daegu","shincheonji","daegu","daegu","price","marine","korean","korea","missouri","china","chinese","beijing","assembly","xi","tedros","organization","play","ryan","barocas","world","advance","green","north","south","sanitizer","seoul","seoul","march","seoul","suicide","capacity","ship","jury","wrong","canadian","protester","currently","nurse","full","smith","rural","life","post","kent","minus","letter","hancock","nhs","people","uk","vaccine","study","age","age","pregnant","european","blood","clot","blood","european","european","european","child","trial","trial","trial","moderna","jj","trial","prioritize","hear","republican","share","information","daughter"
"4","wuhan","will","south","daegu","shincheonji","korean","korean","cluster","hospitalization","korea","north","chinese","wuhan","camera","wuhan","outbreak","chinese","trump","agreement","way","sesame","emanuel","alert","cooper","team","longterm","da","false","power","korea","link","korea","korea","facility","assist","movie","court","reduce","trudeau","protest","kentucky","order","pressure","officer","education","save","richmond","port","french","hancock","staff","england","england","antibody","south","south","protection","show","safety","blood","vaccine","risk","european","agency","risk","irish","trial","dos","approve","johnson","company","expire","use","outcome","around","staff","spread","james","former"
"5","south","foreign","korean","kcdc","religious","group","seoul","case","gouge","small","security","turkey","freedom","intelligence","originate","response","pandemic","tedros","antimicrobial","brief","hall","world","weekend","downplay","animal","reduce","nang","methanol","twitter","korean","kcdc","delus","link","weerasinghe","nurse","eviction","hospital","full","treat","raise","despite","member","el","pressure","lopez","campaign","ecumen","truck","education","british","offer","vulnerable","hancock","infect","variant","johnson","vaccine","people","european","vaccine","agency","follow","rare","clot","benefit","pfizerbiontech","pfizerbiontech","novavax","strong","use","booster","dos","site","monday","time","low","surgeon","president","goal"
"6","evacuate","evacuate","ministry","minister","korea","korea","case","religious","korea","recruit","asian","un","lawsuit","statement","trump","foreign","organization","chinese","antibiotic","country","tedros","brookings","organization","battle","world","armstrong","kcna","north","south","sarangjeil","cluster","jeanpierre","social","mental","allow","cruise","due","director","office","forecast","prime","paso","paso","approach","ad","dr","investigation","freight","forecast","secretary","russia","elderly","uk","participant","protection","finding","result","dose","clot","suspend","european","rare","vaccine","medicine","outweigh","booster","booster","different","company","age","use","use","can","research","familiar","center","know","prevent","help"
"7","will","zealand","citizen","seoul","korean","religious","north","korean","fort","fire","venezuelan","statement","information","abuse","claim","trump","resolution","world","health","adhanom","song","tedros","prepare","broadway","know","area","vietnam","contact","cbs","jun","church","kcdc","measure","ice","umrah","october","cruise","influenza","church","noncovid","cambodia","executive","suffer","incredible","prevention","join","forecast","driver","england","rollout","officer","people","high","infection","african","effective","efficacy","parton","follow","medicine","committee","european","ema","risk","clot","age","authorize","vaccine","schedule","antibody","dose","can","conduct","remain","somewhat","april","general","facebook","save"
"8","foreign","minister","school","infection","member","north","group","north","laredo","corp","uk","resignation","journalist","victim","pompeo","criticize","call","us","transmission","directorgeneral","gupta","director","world","sturgeon","expert","put","south","tweet","alcohol","authority","area","center","seouls","social","resident","green","allow","port","order","professional","virginia","despite","need","tapper","small","camera","oklahoma","border","france","officer","chief","london","british","oxford","mild","african","oxfordastrazeneca","important","suspend","use","risk","medicine","age","age","guidance","program","young","astrazeneca","elderly","agency","brand","ohio","efficacy","able","social","care","vivek","yet","think"
"9","minister","prime","repatriate","koreas","link","kim","kcdc","southern","venezuelan","worker","infrastructure","origin","consequence","domestic","lab","korean","letter","australian","haiti","ghebreyesus","world","medium","china","little","reflect","great","contact","facebook","cluster","military","gathering","family","distance","black","live","center","ship","premier","grace","transmission","justice","court","medicine","rest","public","defend","tray","dover","deliver","oxford","chris","minister","prime","transmission","oxford","suggest","evidence","evidence","blood","ema","medicine","age","regulator","danish","group","agency","information","mix","delay","authorize","will","unused","fda","johnson","accord","monitor","ask","general","president"
"10","french","australian","plane","russian","gyeongsang","kcdc","gyeongsang","seoul","state","train","bulletin","domestic","file","emerge","eye","handle","xi","pandemic","global","china","organization","relationship","say","fire","origin","india","quarter","twitter","product","churchs","metropolitan","church","cluster","community","proportion","tenant","ons","background","brazilian","concern","west","disability","crowd","express","national","label","georgia","lorry","support","french","london","prevalence","boris","preprint","severe","protection","reduce","oxfordastrazeneca","agency","risk","use","vaccine","link","ema","age","safety","old","european","dose","pfizerbiontech","either","company","facility","blasio","people","trump","advisory","re","giroir"
