"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","airport","flight","base","passenger","flight","ship","cruise","ship","ship","ship","ship","sailor","ship","airport","cruise","refugee","cyclone","driver","forecast","forecast","model","forecast","forecast","model","worker","nurse","saudi","job","economy","year","police","contain","restriction","victoria","restriction","bannister","mink","wave","uptick","council","group","stay","tennessee","leader","world","world","world","game","pharmacy","north","brazilian","panel","mask","mask","mask","mask","shum","feel","old","ensure","ago","mask","variant","virus","virus","vaccinate","mask","mask","mask","mask","fauci","dr","slavitt","county","variant","guidance","wear","return","return"
"2","us","air","air","us","princess","cruise","ship","passenger","cruise","passenger","cruise","ship","cruise","ship","flu","camp","refugee","bus","sao","model","projection","october","force","photo","amnesty","home","association","service","price","economy","year","large","australian","sunday","sunday","bell","accord","ranney","statement","stage","sweden","cancel","period","summit","global","global","country","green","access","korea","manaus","independent","standard","transportation","cdc","ash","family","shoot","pandemic","brostrøm","numb","walensky","walensky","fauci","get","outdoor","wear","wear","vaccinate","fauci","mask","disease","go","rate","county","school","mask","can","back"
"3","passenger","airport","evacuee","board","ship","princess","princess","cruise","passenger","cruise","crow","navy","crow","hotel","hong","airport","bangladesh","bankruptcy","kong","death","forecast","american","air","aid","international","relief","hajj","million","june","global","party","job","melbourne","police","ease","spa","feel","cancel","mason","scientific","base","christmas","donate","global","act","hiv","billion","malaysia","mile","mask","oxygen","world","draft","wear","fit","label","store","little","poll","thing","biontech","right","go","seriously","just","mask","get","guidance","wear","vaccinate","email","fauci","think","low","official","fauci","school","school","officer"
"4","flight","us","san","ship","passenger","passenger","passenger","dock","navy","zaandam","passenger","aircraft","dock","passenger","ship","hotel","sailor","disney","refugee","hong","death","death","death","nabarro","lawsuit","worker","cost","june","job","violence","lima","virus","tricktreating","outdoor","factor","shirley","identify","carnival","vallance","federation","true","diwali","usually","virtual","crisis","lead","global","olympic","chinese","hold","amazonas","economy","filtration","security","document","astm","gigi","get","program","worry","american","virus","good","go","spread","cdc","cdc","vaccinate","fauci","get","director","think","cdc","vaccination","guidance","person","dr","like","important"
"5","department","base","flight","american","diamond","san","grand","board","crow","sailor","princess","cruise","costa","sailor","kong","bangladeshi","amphan","london","hong","murray","project","aaa","dengue","group","healthcare","fund","union","sector","quarter","quarter","partygoer","spread","city","lockdown","low","die","contact","vardhan","success","diagnose","russia","support","nyc","world","billion","constant","access","kelly","chicago","meet","brazils","bank","international","public","cloth","standard","little","poll","everyone","giroir","leave","american","dr","director","really","fully","fauci","fauci","require","wear","disease","director","get","growth","world","cdc","fauci","fall","official"
"6","official","plane","miramar","charter","cruise","grand","coast","princess","carrier","navy","navy","passenger","hong","cruise","hotel","hong","storm","file","state","project","october","hajj","projection","china","death","provider","thousand","economy","crime","trade","stampede","police","curfew","will","african","daughter","animal","guest","observe","south","able","schaffner","pandemic","government","tedros","result","migrant","population","preparedness","without","pazuello","global","wear","international","procedure","church","temperature","small","even","florida","much","governor","us","think","infection","guidance","disease","mandate","fully","think","infectious","get","people","good","even","mask","prevention","hope","situation"
"7","california","california","wuhan","flight","evacuate","california","california","crow","princess","board","board","carrier","body","ige","refugee","travel","india","submit","death","decrease","hong","travel","ensemble","rash","attorney","receive","home","july","month","china","slow","already","business","andrews","movement","series","investigation","hospitalization","significant","holiday","surpass","internet","military","tedros","economic","interim","population","february","chain","kim","bolsonaro","response","world","document","particle","little","storage","pandemic","business","pandemic","kong","mandate","american","institute","vaccinate","people","vaccinate","indoor","guidance","need","dr","ask","still","april","mask","prevention","want","private","mask"
"8","state","citizen","arrive","diamond","air","aboard","crow","port","onboard","panama","aboard","uss","board","robot","passenger","quarantine","ship","professional","paulo","october","july","illinois","uptick","demand","impact","send","valley","loss","fall","june","social","strict","stage","melbourne","protest","except","transfer","sick","recent","without","gather","trudeau","year","belgian","michigan","adult","write","australian","wuhan","event","offer","major","propose","american","medical","degree","kurz","way","dream","degree","hong","biden","spread","disease","demand","wear","guidance","think","disease","walensky","get","need","good","go","disease","vaccinate","cdc","back","can"
"9","arrive","department","station","princess","base","quarantine","dock","navy","aboard","florida","dock","roosevelt","member","defense","norwegian","kong","camp","foreign","rio","kong","predict","poll","die","lead","country","protective","worker","worker","year","national","ban","loss","average","restriction","africa","agree","love","physician","fair","wednesday","italy","canadian","extend","pandemic","guard","australia","organization","secure","community","wear","minister","israels","review","face","improve","celsius","actually","business","spend","board","get","surge","director","wear","go","prevention","fully","fully","mandate","distance","allergy","infectious","outbreak","disease","identify","say","center","mask","school"
"10","american","san","california","cruise","airport","diamond","aboard","disembark","roosevelt","guest","onboard","crow","port","traveler","symptom","symptom","relief","rental","ensemble","sao","kong","saudi","year","international","buy","additional","protect","fall","sharp","middle","perus","industry","five","arrest","police","stay","utah","jan","unfortunately","group","russian","comply","billion","saudi","chamber","say","dos","bernama","population","believe","healthcare","former","tedros","poll","knot","quality","kind","highlight","likely","build","da","rise","disease","surge","disease","still","dr","control","prevention","prevention","anthony","school","now","fully","base","fall","officer","beshear","keep"
