"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","year","year","economy","economy","business","airline","league","airline","olympic","tokyo","airline","airline","employee","plant","merkel","league","league","league","team","festival","player","student","student","student","league","school","player","school","school","student","student","student","school","student","school","student","test","game","test","dodger","player","player","game","game","game","giuliani","test","positive","positive","positive","game","test","symptom","animal","patient","patient","positive","test","patient","study","test","protection","test","variant","variant","study","variant","variant","variant","researcher","test","study","researcher","researcher","india","disease","test","probably","edwards"
"2","new","market","impact","million","economy","flight","tournament","olympic","game","airline","flight","employee","airline","game","plant","game","player","season","season","cancel","league","player","player","player","player","plan","school","student","student","school","university","university","student","school","student","school","student","positive","positive","team","positive","test","test","test","team","test","quarantine","test","test","test","positive","antigen","patient","moore","test","auckland","test","child","test","researcher","patient","study","symptom","study","infection","variant","study","study","researcher","patient","positive","immune","study","positive","case","people","symptom","infection","far"
"3","spread","economy","business","business","year","march","cancel","schedule","tokyo","furlough","league","event","cancel","app","league","canada","train","team","student","season","season","campus","league","test","student","student","schedule","district","district","campus","school","school","positive","positive","football","teacher","positive","team","team","game","team","football","positive","positive","test","positive","positive","quarantine","league","game","result","rapid","illness","pet","symptom","test","symptom","inspection","researcher","patient","symptom","test","antibody","patient","study","test","immune","report","study","variant","researcher","test","first","may","los","case","antibody","really","surge"
"4","lunar","gamble","million","outbreak","impact","cancel","schedule","cancel","postpone","cut","company","union","olympic","canada","pork","sport","club","player","board","july","football","will","test","league","sport","fan","play","player","learn","positive","campus","campus","university","university","test","ka","player","test","game","angeles","game","positive","postpone","campaign","positive","trump","office","office","player","statement","postpone","holmes","test","test","antibody","positive","antibody","risk","study","positive","researcher","among","show","find","find","positive","death","researcher","case","study","among","infection","vaccine","test","first","group","hotez","test","dr"
"5","world","read","hit","year","economic","festival","march","event","committee","salary","employee","postpone","park","olympic","tyson","season","premier","premier","game","league","play","statement","team","positive","school","district","season","learn","sport","learn","test","college","test","person","positive","game","member","player","contact","los","test","game","football","georgia","player","attorney","negative","chilean","game","league","among","trujillo","experience","whitty","treatment","zealand","study","report","woman","transplant","child","antibody","infect","researcher","breakthrough","find","infection","first","datum","case","case","report","antibody","find","serum","include","study","symptom","go"
"6","read","trade","year","impact","china","schedule","play","flight","athlete","company","cut","cancel","company","airline","resume","canadian","return","association","arrest","team","team","positive","campus","team","positive","instruction","game","decision","football","district","player","player","staff","class","campus","university","staff","football","football","celebrate","football","team","team","player","statement","rudy","president","member","premier","player","league","among","misc","human","positive","symptom","infection","research","mental","infect","study","month","child","identify","test","datum","team","identify","breakthrough","hospitalize","study","first","coronavirus","respiratory","study","test","get","point","look"
"7","outbreak","lunar","tourism","bank","company","event","game","postpone","postponement","park","will","company","disney","tokyo","football","player","canada","military","race","music","positive","season","season","campus","season","person","will","positive","person","college","positive","positive","player","test","plan","test","team","schedule","student","turner","bronco","staff","cancel","loeffler","nfl","sunday","symptom","statement","team","staff","member","positive","mild","treatment","result","lockdown","research","institute","treatment","donor","infection","long","serum","test","people","infect","researcher","breakthrough","identify","publish","contact","researcher","infection","write","note","condition","people","vulnerable","percentage"
"8","china","drop","sars","lose","industry","suspend","postpone","game","event","employee","sport","amazon","year","summer","fuertes","trudeau","event","match","college","player","game","fall","positive","tournament","test","team","student","plan","teacher","teacher","aug","test","play","staff","university","cusimano","school","fan","result","series","president","basketball","season","schedule","contact","ohio","statement","negative","season","announce","conduct","defense","brain","daughter","zoo","hospitalize","report","hydroxychloroquine","symptom","lung","find","researcher","people","datum","patient","among","virus","infection","immune","breakthrough","antibody","virus","suggest","antibiotic","public","vaccine","national","pick","point"
"9","market","visitor","global","neighborhood","hit","due","airline","suspend","schedule","committee","club","cut","plane","cancel","canada","montreal","gym","canada","sit","march","will","semester","university","university","district","august","league","fall","player","class","class","learn","faculty","football","class","mauri","notre","florida","league","county","danish","saturday","fan","cancel","nba","statement","contact","staff","staff","facility","test","due","fog","behravesh","animal","result","may","cause","infection","test","treatment","immune","england","symptom","researcher","identify","response","case","first","report","infection","coronavirus","immune","prescription","chief","among","social","husband","louisiana"
"10","country","fear","oil","china","global","company","april","april","cancel","disney","attendant","flight","french","july","german","resume","theater","game","play","event","nfl","team","statement","statement","team","learn","team","class","season","game","staff","class","campus","sept","conference","campus","nfl","oct","facility","positive","since","fan","player","play","quarantine","game","attend","ten","result","team","january","ongoing","positive","symptom","experience","family","researcher","covid","publish","covid","antibody","people","survey","app","fully","transmission","first","coronavirus","find","research","low","response","blood","sample","cnn","control","case","away","life"
"11","virus","bad","full","australia","already","fee","season","organizer","abe","cancel","plant","plant","furlough","season","meat","agreement","canadian","sport","consider","date","test","staff","game","season","will","allow","marlin","season","parent","university","team","person","sept","campus","game","positive","dame","league","play","world","member","activity","schedule","statement","play","collection","spokesperson","room","postpone","closure","player","tokyo","navis","ii","tiger","ardern","initiative","infection","research","find","among","level","researcher","publish","infect","vaccinate","ihme","evidence","incidence","likely","covid","among","two","study","department","find","good","collect","bad"
"12","across","hit","outbreak","billion","billion","month","sport","tokyo","summer","international","production","pay","production","process","play","baseball","protect","nba","restart","game","staff","league","play","announce","competition","sport","district","schedule","will","test","north","staff","college","county","staff","player","game","staff","schedule","tuesday","vote","star","office","team","isolation","hear","member","governor","quarantine","brisbane","contact","symptom","among","birthday","together","eye","smell","control","positive","child","clinical","look","use","sample","mutation","develop","find","effectiveness","response","identify","old","infect","system","report","eight","symptom","walensky","bad","mild"
"13","last","macao","visitor","chinese","revenue","demand","parade","will","international","abe","event","tour","comment","meat","grocery","mlb","sport","return","nba","athletic","studentathletes","college","class","online","orlando","stadium","sport","remote","plan","person","football","quarantine","class","announce","sport","team","league","school","oct","operation","cancel","stay","ncaa","dog","early","sample","cnn","four","club","coach","outbreak","taste","long","depression","infection","authority","taste","conduct","find","journal","rapid","infection","study","increase","identify","cause","estimate","unite","booster","infection","report","hospital","little","little","positive","age","regardless","try","newly"
"14","million","shanghai","chinese","casino","survey","organizer","team","park","airline","schedule","schedule","disney","festival","hold","employee","football","professional","restart","registration","suspend","campus","event","baseball","staff","program","open","university","team","county","remote","quarantine","sept","quarantine","league","team","learn","newsom","field","county","soccer","practice","design","texas","republican","fan","attend","physician","symptom","head","club","video","smell","people","problem","away","bloomfield","negative","compare","experience","publish","evaluate","like","variant","covid","publish","march","protection","mild","johnson","concern","october","team","astrazeneca","month","researcher","study","find","scott","many"
"15","chinese","open","industry","growth","cancel","change","suspend","due","ioc","suspend","pay","sport","stadium","player","southwest","quebec","june","play","olympic","announce","august","cancel","semester","school","fall","game","plan","league","positive","county","fall","athletic","district","district","fall","titan","chief","attend","confirm","quarantine","schedule","forward","college","sen","without","freezer","secretary","contact","manchester","play","raise","pcr","infect","treat","lilly","damage","long","study","child","brain","saliva","can","find","positive","suggest","suggest","identify","dose","infection","test","coronavirus","account","symptom","case","sequence","two","though","offit","now"
"16","people","stock","lunar","recession","trade","annual","basketball","international","japanese","will","operation","due","club","epidemic","khan","spectator","union","club","governor","hold","student","announce","school","schedule","return","date","nba","will","college","quarantine","league","game","aug","return","return","virtual","postpone","reschedule","school","win","facility","antibody","colorado","friday","return","georgetown","infect","isolation","dec","premier","schedule","olympic","condition","walk","death","three","resident","national","reduction","protection","remdesivir","volunteer","journal","sequence","pfizer","include","cell","concern","among","people","hospitalize","april","finding","rate","sarscov","researcher","add","may","see"
"17","full","chinese","disruption","many","million","april","flight","cut","shinzo","olympic","season","hold","wang","employee","hundred","sumo","rule","specific","test","fair","plan","baseball","club","course","protocol","will","announce","sport","team","will","person","dashboard","football","begin","player","person","titan","student","player","player","tuesday","real","play","gimenez","list","home","antonio","carolina","late","prisoner","riot","michigan","child","mink","help","find","reduction","may","death","perform","finding","infect","attendee","lancet","dose","secondary","infect","increase","team","response","write","two","pfizerbiontech","affect","necessary","follow","unvaccinated","commissioner","hit"
"18","asia","industry","damage","investor","grow","ticket","fan","reduce","japan","league","postpone","suspend","lee","next","bangladesh","fan","season","basketball","event","cnn","statement","tennis","staff","will","campus","decision","decision","game","high","reopen","member","letter","among","fall","person","education","university","university","exposure","home","quarantine","come","university","staff","negative","quarantine","lady","attorney","due","member","ons","statement","doctor","hannah","diagnose","sunday","sense","focus","among","symptom","identify","also","convalescent","new","vaccinate","agency","antibody","find","university","immune","suggest","immunize","test","flu","sample","add","infection","re","day"
"19","us","million","account","quarter","annual","conference","organizer","march","world","japans","play","court","postpone","tuesday","facility","manfred","annual","staff","four","olympic","july","fan","orlando","fall","nba","berkeley","learn","year","conference","aug","dashboard","aug","case","quarantine","district","gun","learn","department","washington","test","october","league","nevada","negative","mental","personal","island","mcmaster","english","city","sun","minister","cdc","raise","image","write","five","remote","covid","hospitalization","result","condition","lose","severe","among","research","disease","cdc","asymptomatic","may","associate","disease","report","medicine","write","facility","may","drug","gov"
