"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","airline","airline","airline","flight","iran","iran","iran","minister","sanchez","curfew","iran","african","muslim","tedros","region","wuhan","spanish","phase","phase","city","city","blasio","city","hospital","hospital","florida","hospital","hospital","mayor","mayor","mayor","mayor","teacher","blasio","de","year","sisolak","test","test","overwhelm","test","test","test","vaccination","vaccination","vaccination","dos","dos","dos","dos","dos","dos","dos","dos","dos","dos","dos","dos","dos","state","april","old","adult","offer","department","vial","school","school","school","school","city","city","thank","zone","swaminathan","school","global","dose","booster"
"2","flight","flight","flight","airline","kuwait","irans","ministry","prime","iran","iran","grisham","mexico","ramadan","hubei","island","spanish","spain","spains","blasio","blasio","mayor","city","mayor","bed","mayor","bed","county","mayor","city","city","danbury","bill","bannister","mayor","year","hotel","senate","trump","isolate","test","fda","passenger","meet","phase","facility","defense","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","vaccine","million","teacher","dose","old","april","eligibility","target","governor","movement","fire","fund","student","student","blasio","york","lose","region","conference","age","dos","receive","shot"
"3","suspend","suspend","march","hawaii","flight","ministry","saudi","iranian","curfew","measure","lujan","guangzhou","mosque","world","wave","spain","madrid","simón","dc","de","de","de","hospital","capacity","capacity","icu","florida","care","inmate","chicago","bed","city","school","de","fagan","quarantine","district","conley","return","patient","false","ship","travel","romero","care","vaccine","shipment","receive","administer","million","administer","receive","administer","administer","administer","supply","million","vaccine","vaccine","receive","state","open","april","appointment","vaccination","fund","business","student","teacher","district","de","cdc","friday","white","encourage","develop","concern","six","september"
"4","china","march","suspension","mongolia","iranian","iranian","arabia","iran","prime","mexican","yemen","chinese","iran","region","spanish","spains","spains","washington","spain","mayor","blasio","system","york","city","city","hospital","cain","chicago","lopez","blasio","zoom","fame","mayor","teacher","release","victoria","say","negative","patient","place","provider","result","eu","strategy","longterm","care","receive","worker","distribute","administer","million","administer","million","pharmacy","million","administer","pharmacy","receive","vaccination","old","eligibility","march","open","adult","result","department","restaurant","cardona","test","will","mayor","mayor","across","unemployment","international","everyone","vaccine","month","world"
"5","house","february","azar","february","iraq","agency","news","sanchez","minister","saudi","curfew","extension","iranian","outbreak","advance","risk","deescalation","decline","de","phase","bill","mayor","de","york","test","county","ahca","florida","blasio","de","barda","moria","teach","school","celebration","blasio","note","long","symptom","way","accurate","traveler","member","personnel","resident","receive","first","care","vaccination","distribute","pharmacy","million","dose","supply","supply","million","administer","state","plan","eligible","open","eligibility","eligible","gov","alarm","may","firm","high","person","incentive","york","show","social","start","respondent","pandemic","remain","dos","dos"
"6","us","shanghai","suspend","temporarily","irans","qom","irans","saudi","spanish","ministry","scotlands","tyson","holy","adhanom","madrid","population","city","dc","city","threshold","phase","york","blasio","available","say","desantis","care","city","victim","citys","de","seaver","die","austrian","mayor","victorias","british","criterion","still","childrens","rapid","seadream","result","european","worker","personnel","facility","frontline","million","vaccination","distribute","facility","supply","dose","vaccination","receive","supply","health","condition","vaccinate","vaccination","anyone","plan","now","free","state","statement","person","department","offer","new","get","life","maryland","still","community","embassy","pfizer","country"
"7","air","china","cut","secretary","ministry","minister","dorries","government","pedro","televise","refugee","contact","naseerudin","ghebreyesus","health","health","phase","population","mayor","bill","citys","bill","bill","de","bottom","available","miamidade","icu","de","reeve","case","de","elementary","city","event","girl","resolution","pcr","able","giroir","overwhelm","cruise","provider","care","dos","will","state","vaccination","receive","receive","operation","lot","state","state","site","first","receive","vaccination","eligible","community","march","eligible","old","arkansas","conference","governor","two","return","instruction","de","school","little","work","bar","since","need","haiti","vaccine","vaccine"
"8","administration","reduce","april","delta","middle","news","minister","spanish","irans","minister","road","census","fast","destination","continent","simón","barcelona","spain","spains","york","hospital","jackson","say","patient","de","mayor","mayor","jail","garcetti","threshold","part","hall","florida","learn","will","mikakos","commitment","isolation","reimpose","american","infection","screen","offer","conte","administer","military","pfizer","administer","vaccinate","dose","receive","shipment","day","million","first","vaccinate","vaccination","program","million","anyone","age","state","state","eligibility","release","student","state","reopen","ventilation","blasio","will","blasio","return","ministry","claim","covid","end","south","germany"
"9","trump","air","reduce","positive","qom","ali","agency","ministry","ministry","mexico","ministry","home","measure","level","spain","tedros","shulan","one","two","citys","york","hospital","cuomo","ahca","york","intensive","icu","ahca","walsh","completely","blasio","blasio","de","delay","city","mayor","parliament","president","lópez","family","can","rapid","list","prioritize","first","senior","vaccination","desantis","state","vaccinate","warp","vaccination","vial","vaccination","dose","care","shipment","federal","state","appointment","carolina","vaccination","hawaii","vaccination","operate","tope","fund","department","program","virtual","bill","firework","rate","claim","community","able","country","ministry","age"
"10","will","announce","china","reduce","suspend","arab","ban","refugee","spain","camp","government","saudi","prayer","end","africa","madrid","carry","spanish","beijing","one","hernández","run","threshold","mayor","cuomo","miamidade","desantis","county","obrador","percent","resident","baseball","complication","system","organizer","say","fail","advance","obrador","fast","kind","airport","johnson","allocation","immunization","phase","arrive","pfizer","care","deliver","vaccinate","delivery","per","receive","receive","vaccination","appointment","expect","receive","supply","anyone","expand","resident","statement","start","current","family","site","two","person","positivity","unvaccinated","campus","department","expect","define","improve","africa","call"
"11","announce","company","service","singapore","agency","country","border","arabia","iranian","jahanpoor","calderwood","iowa","community","normal","phase","shulan","wuhan","reopen","deescalation","nyc","threshold","threshold","system","jones","blasio","capacity","bed","longterm","prison","hospital","new","bed","windsor","la","countdown","minnesota","drive","day","staterun","west","lab","crow","floor","meet","cv","staff","longterm","million","worker","distribution","speed","azar","vaccination","federal","state","federal","program","nigeria","march","condition","expand","resident","announce","open","reach","concern","remote","business","beshear","cash","offer","de","ministry","labor","face","home","approach","efficacy","dose"
"12","azar","airway","beijing","service","east","irna","isna","russia","government","mexicos","jahanpoor","curfew","home","target","spains","city","chinese","small","confinement","hospital","indicator","almojera","level","admit","new","gov","longterm","blasio","palace","bill","gov","camp","year","parade","march","de","resign","diagnostic","instruct","el","occur","ensemble","tweet","first","prioritize","dos","worker","state","resident","speed","pfizer","state","facility","site","shipment","worker","state","part","get","age","plan","gov","vaccination","april","vaccinate","certain","inquiry","restaurant","mask","campus","statistic","become","practice","allow","february","isolation","communication","patient","tedros"
"13","service","house","unite","border","minister","tehran","montsame","russian","saudi","spokesman","excuse","grisham","distance","city","criterion","wave","province","day","restriction","admit","two","ridership","bynum","icu","atlanta","ahca","datum","available","honor","inspection","department","family","accord","hand","part","risk","will","cdc","eye","paul","day","cdc","quarantine","vaccinate","vaccine","nurse","expect","distribution","dose","site","first","ship","senior","provider","federal","shipment","astrazeneca","supply","supply","dewine","may","wisconsin","deadline","expand","old","right","provide","service","site","remote","get","border","socialize","early","index","next","distribution","datum","end"
"14","white","trump","route","april","country","prisoner","cyprus","pedro","khamenei","body","rouhani","plant","bernama","different","city","ghebreyesus","population","department","island","positive","conference","mta","alert","system","father","ron","patient","capacity","citys","victim","year","tom","district","release","bill","responsible","year","whether","cdcs","provide","molecular","use","available","plan","moore","administer","vial","health","facility","pfizerbiontech","azar","vaccinate","distribution","vaccinate","program","state","make","age","first","eligibility","south","site","bidens","make","inslee","restaurant","note","district","class","learn","rate","worker","lópez","pandemic","threat","pay","medicine","safety","receive"
