"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hong","strike","hong","resident","lombardy","italy","italy","order","order","order","order","school","will","allow","will","will","will","will","reopen","will","will","will","will","student","school","school","school","school","school","student","student","student","school","student","school","student","school","school","school","candy","county","gathering","school","test","test","test","test","city","league","city","child","player","cuomo","game","york","site","appointment","mask","mask","open","old","old","eligible","vaccination","white","student","biden","school","school","school","american","firework","harris","american","american","symptomatic","misinformation","vaccine","fauci"
"2","kong","hong","kong","hong","region","italian","will","will","will","essential","school","order","allow","will","reopen","allow","reopen","allow","will","reopen","student","student","eu","school","student","student","student","student","student","school","school","school","student","school","student","school","student","qingdao","murphy","business","asymptomatic","taiwan","test","campaign","de","giuliani","quarantine","de","test","positive","mayor","quarantine","child","york","city","york","crowd","mandate","teacher","city","april","april","vaccination","target","vaccinate","will","american","house","hate","biden","biden","de","president","make","house","republican","murthy","facebook","get"
"3","hospital","kong","resident","kong","italy","northern","lockdown","close","home","lockdown","easter","lockdown","lockdown","reopen","allow","travel","allow","reopen","allow","allow","reopen","school","travel","will","district","person","travel","district","district","learn","campus","campus","teacher","mayor","staff","ka","jenkins","student","student","de","office","county","city","positive","school","jones","penny","blasio","positive","cuomo","site","australian","york","site","game","new","site","lift","city","police","eligibility","open","biden","site","american","announce","goal","white","student","district","city","american","vice","get","take","group","house","misinformation","trump"
"4","mask","union","student","quarantine","italian","minister","region","restriction","essential","home","extend","will","school","restriction","restriction","reopen","june","june","phase","border","allow","july","list","campus","marine","education","uk","learn","learn","district","class","reopen","beach","university","mayor","campus","dame","city","york","official","test","positivity","student","mayor","blasio","york","french","european","player","test","york","flight","de","stadium","site","vaccination","supply","abbott","business","miami","state","eligibility","adult","appointment","vaccination","game","administration","fund","biden","student","president","blasio","park","july","white","government","white","biden","former"
"5","face","border","worker","ukrainian","northern","lombardy","apply","ban","stay","will","beach","shop","beach","restaurant","school","border","restriction","phase","june","restriction","class","campus","school","online","will","gate","spain","teacher","teacher","campus","reopen","university","dine","county","class","teacher","york","de","de","statement","governor","school","york","city","cuomo","positive","macron","office","game","prisoner","game","open","blasio","city","new","capacity","city","gov","mandate","mask","open","march","eligibility","community","shot","fund","house","student","bill","president","job","back","american","th","point","astrazeneca","biden","help","daughter"
"6","medical","worker","wan","toilet","veneto","milan","ban","border","lockdown","resident","close","gathering","restriction","lockdown","restaurant","ease","school","ease","resume","lift","restriction","reopen","student","marine","us","district","district","child","parent","class","education","person","university","positive","de","york","de","test","church","halloween","york","mayor","mayor","tweet","quarantine","cuomo","cuomo","quarantine","premier","york","test","tennis","city","tokyo","court","fenton","due","texas","mayor","savannah","carolina","site","announce","california","get","atlanta","vaccine","biden","crime","community","de","start","tour","white","rise","use","share","like","anthony"
"7","supply","hospital","hospital","roll","milan","region","minister","travel","effect","measure","announce","mayor","may","salon","student","distance","lockdown","restriction","restriction","open","border","park","allow","learn","summer","instruction","learn","remote","person","teacher","university","college","campus","class","year","mauri","person","cruise","cuomo","angeles","xinjiang","de","bill","loeffler","mayor","house","house","york","city","mayor","year","de","mayor","park","cuomo","angeles","vaccination","city","gov","april","anyone","expand","state","slavitt","business","enrollment","effort","get","president","option","childcare","get","host","build","datum","care","important","de","national"
"8","worker","lam","block","build","patient","statement","italian","restaurant","service","close","home","wear","student","shop","shop","restriction","phase","league","restaurant","capacity","travel","disney","country","semester","international","will","government","class","reopen","reopen","letter","class","teach","person","model","education","nonessential","mayor","positivity","soccer","blasio","test","de","sen","person","trump","european","student","team","gov","expectancy","melbourne","event","moore","capacity","supply","slavitt","governor","wear","state","age","anyone","get","adult","administer","tokyo","president","president","white","progress","july","city","visitor","nation","office","give","advisory","booster","booster"
"9","lam","staff","build","hospital","civil","civil","spain","bar","people","stay","lockdown","measure","reopen","ease","park","lockdown","distance","school","open","june","zealand","allow","border","border","class","learn","child","person","county","remote","will","theater","mayor","de","statement","city","city","york","rate","asymptomatic","quarantine","island","blasio","blasio","governor","mayor","york","test","york","site","cuomo","york","olympic","prefecture","county","staff","weather","staff","lift","mayor","plan","eligible","vaccinate","gov","biden","organizer","get","american","tokyo","virginia","offer","employee","house","progress","stop","presidential","spread","information","individual"
"10","city","vote","border","russian","test","european","germany","midnight","close","government","will","police","ban","ban","close","minister","train","lift","government","resume","indoor","class","traveler","monument","provide","transmission","will","online","will","person","universitys","teacher","college","campus","learn","cusimano","spot","citys","new","chicago","official","blasio","close","de","say","sample","receive","statement","pharmacy","game","league","positive","game","appointment","governor","county","pharmacy","business","texas","johnson","north","vaccination","community","vaccinate","employee","college","appointment","game","house","offer","site","seattle","white","recover","survey","trust","vivek","program","west"
