"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","year","li","li","xi","chinese","government","blood","mask","ventilator","hospital","ventilator","cuomo","cuomo","test","cuomo","cuomo","cuomo","cuomo","cuomo","york","cuomo","county","county","county","mayor","city","mask","mask","zealand","church","south","border","restriction","restriction","restriction","restriction","restaurant","government","restriction","victoria","restriction","will","australia","will","county","california","county","uk","test","uk","uk","uk","travel","uk","uk","lockdown","lockdown","netherlands","quarantine","indoor","minister","lockdown","infection","capacity","oxygen","oxygen","oxygen","lockdown","fungus","fungus","variant","variant","delay","child","risk","risk","symptom","test","festival"
"2","epidemic","medium","xi","jinping","xi","chinese","government","supply","mask","ventilator","patient","ventilator","nurse","cuomo","mask","york","county","gov","york","county","mayor","gov","beach","mayor","york","mask","bar","de","restaurant","zealand","korea","restriction","south","will","minister","restaurant","will","uk","lockdown","restriction","will","bar","will","lockdown","will","region","california","variant","uk","minister","measure","minister","country","restriction","variant","restriction","restriction","remain","outdoor","region","lockdown","restriction","olympic","lockdown","india","hospital","case","wave","black","black","uk","april","uk","restriction","child","child","test","positive","case"
"3","million","xi","chinese","china","medium","moon","china","hospital","supply","patient","hospital","york","swab","mask","york","hospital","gov","york","blasio","city","gov","mayor","mayor","gov","state","restaurant","cain","rio","restriction","seoul","order","ban","travel","victoria","restaurant","bar","restriction","restriction","will","andrews","victoria","restriction","travel","restriction","restriction","restriction","travel","restriction","variant","england","minister","restriction","minister","lockdown","restriction","uk","travel","enter","reopen","restriction","measure","airline","osaka","restriction","minister","india","hospital","indian","taipei","case","label","uk","minister","black","report","people","athlete","outbreak","tedros"
"4","lockdown","year","wenliang","chinese","china","kim","mask","store","hospital","equipment","equipment","gov","test","york","equipment","fire","york","andrew","dc","de","county","mask","gov","beach","order","indoor","restaurant","mandate","new","south","travel","travel","allow","lockdown","city","gathering","police","local","government","lockdown","lockdown","tier","restriction","tier","order","san","restriction","flight","traveler","variant","passenger","lockdown","uk","hotel","quarantine","auckland","minister","inspection","standard","foreign","french","france","lockdown","curfew","hospital","supply","delhi","minister","indian","minister","phe","hospital","delta","white","social","prevention","travel","jackson","quarantine"
"5","city","chinese","chen","epidemic","wuhan","uk","collapse","help","york","york","medical","mask","york","mayor","personal","say","ventilator","decline","app","blasio","york","governor","order","order","cuomo","cover","indoor","social","city","korea","seoul","government","daily","police","pm","rule","close","rule","impose","will","zone","restaurant","outdoor","indoor","los","capacity","san","travel","ban","prime","travel","england","hotel","survey","canada","government","government","reopen","yacht","restaurant","easter","measure","restriction","will","delhi","indian","wave","oxygen","state","detect","birth","delta","restriction","hour","poll","respiratory","measure","player","williams"
"6","lunar","market","global","praise","response","battle","trudeau","defense","equipment","need","york","say","say","lab","city","ventilator","attorney","dc","worker","mayor","phase","city","bar","state","gov","face","mayor","wear","ardern","indigenous","restriction","outdoor","area","food","will","police","gathering","will","rule","hawaii","measure","allow","south","outdoor","business","order","northern","france","travel","french","country","close","restriction","travel","border","curfew","england","restriction","limit","korean","restriction","april","measure","hour","indian","case","lockdown","patient","india","maharashtra","detect","hancock","think","go","go","strategy","woman","game","kelly"
"7","new","holiday","police","president","north","africa","hank","company","bed","supply","say","hospital","state","state","protective","gov","blasio","say","andrew","cuomo","say","york","reopen","miamidade","county","york","face","restaurant","auckland","authority","area","police","measure","gathering","canadian","pm","pm","manchester","manchester","flight","melbourne","open","restaurant","allow","capacity","county","hospital","quarantine","passenger","whitty","negative","school","lockdown","quarantine","minister","zealand","will","allow","home","reopen","will","will","hospital","venue","ministry","election","patient","india","patient","order","name","emergent","april","compare","june","include","tokyo","national","attend"
"8","people","wenliang","medium","street","beijing","li","hotel","medical","defense","nurse","need","new","supply","andrew","ppe","andrew","jersey","state","say","say","andrew","state","indoor","city","city","wear","wear","janeiro","mayor","ardern","police","rule","airport","outdoor","hospitality","limit","man","face","tier","space","minister","travel","bar","shop","region","southern","capacity","kingdom","quarantine","will","lockdown","secretary","quarantine","south","hotel","pm","uk","lockdown","uk","capacity","close","allow","france","indoor","government","rally","indias","modi","taiwan","india","government","four","prime","italian","point","staff","prevent","team","uk"
"9","xi","lis","party","medium","city","mask","wuhan","million","need","mask","comfort","blasio","lab","kit","gov","state","de","order","employee","reopen","positive","phase","city","reopen","mandate","mandate","gathering","bar","distance","restriction","link","greece","korea","south","johnson","will","wall","pm","prime","australias","pm","melbourne","measure","store","local","will","health","kent","negative","flight","will","lift","government","minister","province","quarantine","reopen","government","visitor","venue","region","easter","rise","measure","shortage","delhi","death","pradesh","minister","state","delta","card","case","race","quarter","age","ice","close","list"
"10","spread","whistleblower","online","hubei","robot","korea","tom","will","cuomo","blasio","supply","equipment","andrew","gov","say","nurse","andrew","department","contact","phase","blasio","covering","will","cuomo","restaurant","mayor","governor","governor","mask","religious","mask","tourist","bubble","case","expect","must","jury","england","minister","allow","prime","orange","county","business","gathering","joaquin","beach","port","country","country","france","travel","ban","germany","passenger","england","return","measure","indoor","county","france","french","prefecture","water","indias","wave","minister","record","hospital","kemp","outline","make","government","outcome","somewhat","distance","happen","mass","district"
