"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","travel","flight","flight","lor","iran","iran","travel","border","minister","minister","minister","minister","minister","lockdown","uk","johnson","minister","cummings","uk","uk","app","system","eu","prime","okinawa","military","uk","tedros","uk","indigenous","government","border","screening","world","china","airline","industry","trump","airline","researcher","woman","researcher","researcher","mask","mask","mask","world","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","study","trial","study","test","variant","study","study","variant","variant","variant","variant","variant","variant","variant","variant","variant","variant","murthy","facebook","trump"
"2","traveler","airline","airline","airport","travel","irans","iran","country","foreign","prime","prime","lockdown","prime","uk","johnson","uk","uk","johnson","england","minister","uk","uk","uk","minister","china","okinawa","spain","job","travel","government","region","nasdaq","passenger","airport","flight","furlough","china","symptom","study","study","likely","cdc","study","antibody","cdc","study","access","uk","uk","mutation","virus","study","africa","sequence","south","researcher","study","south","study","variant","efficacy","trial","antibody","study","variant","datum","study","researcher","researcher","researcher","uk","uk","delta","rate","delta","delta","misinformation","james","psaki"
"3","flight","suspend","canadian","hotel","irans","ministry","will","travel","citizen","measure","johnson","prime","uk","minister","government","minister","government","boris","johnson","government","man","prison","country","pub","air","crisis","government","government","border","uk","uk","travel","traveler","country","unite","loss","job","test","symptom","find","pregnant","mask","remdesivir","study","redfield","disease","billion","virus","strain","scientist","uk","find","south","antibody","africa","africa","antibody","study","booster","researcher","disease","vaccine","child","symptom","infection","test","immune","breakthrough","study","antibody","contact","study","uk","delta","concern","group","white","lucas","house"
"4","airport","airport","suspend","travel","south","iranian","airport","restriction","travel","lockdown","boris","johnson","government","johnson","lockdown","prime","prime","prime","lockdown","prime","woman","prisoner","list","border","marine","uk","travel","economy","rise","demand","germany","country","uk","sale","assembly","congress","airport","conley","patient","patient","among","guidance","symptom","gottlieb","quarantine","cdc","global","england","appear","sequence","find","researcher","identify","strain","study","identify","infection","uk","identify","dose","datum","county","infect","patient","find","among","team","identify","antibody","study","positive","infection","protection","researcher","first","study","important","misinformation","goal"
"5","airline","travel","travel","advise","iranian","citizen","country","ban","country","flight","intensive","india","lockdown","prime","british","lockdown","will","durham","minister","secretary","quarantine","tracer","border","restriction","amnesty","letter","europe","germany","restriction","highway","country","government","hancock","uk","tedros","test","oil","isolation","cathay","heart","study","crowd","cdc","child","control","team","mental","world","scientist","virus","sample","virus","uk","infect","oxfordastrazeneca","south","positive","identify","researcher","find","patient","protection","symptom","researcher","test","pregnant","researcher","study","breakthrough","patient","study","infect","concern","vaccination","spread","first","house","pass","eviction"
"6","us","china","foreign","citizen","iraq","minister","minister","will","flight","migrant","street","nhs","will","government","minister","boris","johnson","minister","government","lockdown","countrys","government","leicester","police","shop","china","traveler","sector","prime","travel","return","flight","airport","woman","global","deal","price","year","risk","stock","symptom","study","diaphragm","desantis","risk","man","country","scientist","virus","identify","africa","africa","strain","researcher","vaccine","study","dose","africa","uk","infect","dsmb","dose","positive","child","surface","develop","ihme","evidence","test","identify","researcher","researcher","study","low","county","dominant","psaki","something","see"
"7","international","canadian","azar","enter","ban","travel","restriction","flight","prime","modi","uk","uk","india","india","boris","government","trace","lockdown","london","british","ceremony","pride","travel","marine","international","us","minister","travel","country","restriction","high","job","screen","economic","airline","rapid","cut","woman","blood","research","risk","wear","risk","write","ambulance","reduce","half","strain","england","south","child","antibody","case","mutation","severe","strain","researcher","coronavirus","woman","patient","study","long","trial","app","pregnant","zealand","nsaids","concern","hancock","ice","name","first","alpha","unite","coronavirus","vaccine","rodrigo","share","set"
"8","uk","us","ban","flight","flight","country","ban","foreign","will","country","government","measure","muslim","indian","prime","border","spanish","dominic","secretary","support","zealand","prime","european","melbourne","base","economy","tedros","spain","europe","economy","regional","international","country","rise","trump","lose","lose","long","journal","severe","age","mental","illness","wash","symptom","researcher","canada","child","transmissible","find","study","identify","virus","sample","protection","find","find","child","patient","transplant","test","researcher","find","find","breakthrough","find","protection","classify","suggest","research","test","become","antibody","county","vaccine","level","share","private","williams"
"9","cdc","air","citizen","screen","ministry","india","india","enter","ban","foreign","raab","indian","johnson","will","india","railway","british","london","shield","travel","government","minister","minister","england","uk","nurse","lockdown","england","economy","flight","spain","world","economic","sustain","test","smell","airline","negative","find","passenger","illness","learn","patient","prevalence","child","metal","researcher","new","know","study","mutation","south","study","study","sequence","sequence","result","likely","glenn","lung","astrazeneca","antibody","serum","positive","infect","vaccinate","infection","increase","identify","journal","phe","april","hospitalization","fast","us","israel","vivek","missouri","general"
"10","statement","entry","us","qom","kuwait","foreign","suspend","minister","cuban","government","india","modi","police","hancock","home","will","lockdown","uk","home","quarantine","member","quarantine","prime","uk","mandatory","announcement","germany","saudi","government","protest","france","hit","international","atla","ambassador","taste","year","memo","open","drop","prevention","likely","breathe","researcher","recommend","control","young","mutation","new","uk","know","mutation","detect","spread","strain","virus","south","find","antibody","donor","symptom","rate","protection","test","positive","variant","death","unite","uk","cell","antibody","hancock","people","transmissible","india","two","administration","province","infectious"
