"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","hong","strike","hong","hong","lombardy","school","school","school","cuomo","cuomo","cuomo","cuomo","york","cuomo","cuomo","cuomo","get","cuomo","protest","blasio","cuomo","wear","mask","school","school","school","school","school","school","school","school","biden","trump","trump","trump","trump","trump","trump","pelosi","trump","white","trump","trump","trump","mcconnell","fund","leader","bill","trump","stock","relief","oxygen","vial","relief","committee","bill","bill","biden","house","biden","school","school","person","marine","indoor","student","business","school","school","school","will","will","state","allow","world","department","way","approval","daughter"
"2","kong","kong","kong","kong","italy","employee","league","cuomo","york","york","york","york","cuomo","kid","york","york","can","watch","cuomo","city","say","mask","wear","mask","get","republican","republican","house","student","student","republican","loan","president","president","birx","house","house","house","stimulus","house","house","election","white","summit","relief","stimulus","package","relief","bill","house","biden","guard","symptom","republican","relief","house","relief","president","bill","american","fund","student","school","student","campus","school","will","reopen","will","will","de","school","gov","win","everyone","physical","want","fda","approval"
"3","mask","hong","pipe","resident","region","cuomo","player","player","andrew","hospital","ventilator","ventilator","nurse","child","flu","baseball","cuomo","hall","blasio","de","york","say","say","wear","say","senate","unemployment","student","trump","fund","reopen","billion","woodward","woodward","white","pelosi","white","white","trump","white","trump","biden","task","president","billion","republican","deal","package","relief","trump","guard","amazonas","guard","democrat","family","democrat","democrat","business","biden","billion","student","extend","student","bolsonaro","student","gov","school","governor","gov","student","blasio","department","governor","tweet","los","test","highly","food","immune"
"4","face","border","build","quarantine","drug","student","district","york","new","new","hospital","new","new","mask","mask","game","town","town","cyclone","cuomo","mask","really","face","go","community","billion","senate","teacher","learn","teacher","education","fund","harris","comment","atla","white","president","president","election","meadow","fauci","task","force","white","house","relief","stimulus","billion","payment","economic","package","federal","extract","budget","bill","senate","biden","invoke","payment","house","learn","business","learn","school","university","event","student","gov","governor","district","city","york","mask","end","city","daily","happen","probably","need"
"5","hospital","lam","resident","officer","italian","district","game","postpone","gov","gov","gov","gov","gov","york","new","new","hall","family","george","york","people","mayor","think","mandate","go","proposal","house","stimulus","executive","learn","bill","trump","vote","want","house","mnuchin","stimulus","ad","house","campaign","prince","house","house","vaccine","republican","bill","relief","congress","stimulus","fight","fund","manaus","patient","bill","wait","pass","wage","enough","stimulus","help","relief","leader","cruise","russian","say","start","york","lift","cuomo","order","governor","gov","news","begin","public","health","choice","drug","process"
"6","school","hospital","worker","ukrainian","civil","italy","tournament","court","bed","ventilator","new","andrew","say","town","de","de","york","quammen","york","protest","mayor","face","people","say","wear","mnuchin","stimulus","district","benefit","reopen","employee","democratic","republican","senate","think","president","package","campaign","mnuchin","pelosi","william","white","biden","speak","senate","bipartisan","aid","stimulus","check","economy","expectancy","court","illness","pass","republican","relief","minimum","everything","check","trump","billion","treaty","instruction","inquiry","outdoor","will","capacity","student","restriction","de","program","city","require","register","health","california","know","vaccine","jones"
"7","government","union","border","roll","veneto","close","student","gov","hospital","blasio","andrew","blasio","andrew","breen","say","nurse","student","american","protester","mayor","andrew","hand","mandate","safely","transmission","gop","mcconnell","pelosi","district","remote","pelosi","ballot","bill","white","claim","task","donald","donald","deal","president","comment","taiwan","speak","penny","proposal","liability","democrat","trump","senate","vote","amazonas","government","kdca","senate","poll","biden","vote","bidens","earn","relief","reopen","small","staff","college","island","outdoor","restriction","announce","student","offer","release","require","announce","scholarship","event","contact","dr","possible","die"
"8","lam","mainland","lam","border","milan","york","university","close","ventilator","andrew","state","election","blasio","sesame","hospital","league","kid","gov","indias","threshold","gov","get","mayor","hand","child","white","bill","side","action","postal","trump","package","deadly","mask","force","claim","administration","debate","president","election","voter","transition","transition","donald","stimulus","billion","bill","payment","pass","theory","economic","coari","brain","resolution","democrat","package","house","moment","president","law","education","fund","fulltime","andrew","tourism","restaurant","negative","york","lift","june","school","delhi","emergency","announce","state","monitor","symptom","re","almost"
"9","will","employee","kongs","build","northern","university","will","student","city","say","patient","de","hospital","gupta","blasio","person","think","york","floyd","say","kid","people","distance","open","people","fund","proposal","leader","teacher","senate","meadow","house","bob","house","president","democrat","american","pelosi","senate","technology","claim","administration","president","global","leader","congress","senate","president","president","president","national","dc","fog","vote","package","committee","package","american","will","psaki","person","letter","open","proof","individual","state","quarantine","will","lottery","blasio","offer","order","will","work","large","stay","ask","really","former"
"10","border","kongs","check","facility","fda","seattle","cancel","event","mayor","de","vote","say","city","street","city","mask","way","pandemic","de","bill","blasio","distance","go","want","miami","child","benefit","senate","democrat","democrat","talk","senate","stimulus","think","task","stimulus","money","trillion","speaker","donald","break","plan","birx","future","democrat","senate","biden","pass","mcconnell","march","brazilian","deploy","pfizers","house","wage","commitment","senate","defense","relief","promote","address","billion","campus","puerto","uc","lift","order","person","announce","capacity","free","state","restriction","release","begin","twice","cnns","think","today"
"11","city","worker","apartment","toilet","italys","statement","york","andrew","inmate","nurse","inmate","hospital","de","anzac","day","season","gupta","ceremony","spread","people","keep","wen","cover","get","gelber","reopen","build","democrat","unemployment","house","democrat","election","reporter","democrat","fagan","administration","harris","republican","democrat","american","election","bidens","grassley","tedros","bill","agreement","mcconnell","house","package","employee","life","send","doctor","package","biden","next","president","relief","psaki","bill","kremlin","available","republican","putin","rhode","see","gov","order","state","reopen","shop","release","order","lift","fully","teacher","chest","now","official"
"12","mainland","demand","facility","police","man","italian","class","will","de","need","say","voter","desantis","daughter","beshear","gov","race","front","say","foot","wear","social","kemp","think","reopen","mcconnell","leader","negotiation","mnuchin","union","student","republican","democrat","stimulus","benefit","election","pelosi","senate","nancy","administration","message","president","fauci","world","democratic","sen","house","benefit","congress","put","carolina","member","navis","biden","minimum","congress","pass","democrat","vote","cardona","putin","person","teacher","record","lamont","proposal","service","district","mccloud","restaurant","mayor","de","lift","subject","week","climb","hotez","commissioner","food"
"13","student","carrie","evacuation","mongolia","ingredient","lombardy","march","team","blasio","patient","bed","vote","raimondo","family","nurse","andrew","feel","hutchinson","andrew","across","street","like","get","mayor","mask","stimulus","meadow","meadow","person","re","fund","school","democratic","benefit","comment","trillion","talk","kudlow","negotiation","deal","sequence","presidentelect","american","leader","package","democrat","congress","deal","sign","trade","bolsonaro","shortage","experience","respondent","legislation","week","white","brown","white","president","department","eviction","attend","restaurant","answer","dine","may","public","prize","gov","site","kejriwal","now","vulnerable","will","mask","tedros","infection","mild"
"14","store","government","emergency","citys","protection","home","cuomo","nba","state","city","island","newsom","mayor","father","andrew","hospital","cnns","andrew","people","protester","friend","gate","want","reopen","way","learn","pelosi","unemployment","leader","bill","white","joe","election","election","tell","atla","trillion","immune","claim","mnuchin","fire","joe","senate","virtual","bipartisan","mcconnell","republican","money","republican","amount","collapse","capital","expand","survey","pass","president","psaki","joe","package","administration","russian","moratorium","vaccinate","decline","connecticut","measure","cuomo","mayor","june","campus","gov","july","indoor","hogan","since","continue","prevent","can","morning"
"15","university","close","toilet","chief","island","work","gathering","cancel","need","bed","city","state","gown","say","need","town","mental","page","demonstration","watch","together","think","hand","covering","think","money","negotiation","trump","federal","instruction","house","proposal","senate","tell","interview","donald","major","context","still","pandemic","video","donald","presidentelect","community","pass","pass","congressional","aid","money","floor","manaus","temperature","covid","amendment","american","vote","manchin","psaki","household","loan","safely","effort","respondent","vaccination","facility","capacity","governor","broadway","york","learn","vaccinate","restriction","student","award","international","important","crisis","cnn","concern"
"16","resident","vote","close","say","hotel","clean","season","schedule","say","jersey","jersey","governor","zoo","new","wear","hall","wash","like","modi","admit","go","want","social","people","mayor","house","white","talk","will","stimulus","child","ppp","mask","play","administration","speaker","penny","claim","pass","meet","florida","team","native","note","mnuchin","lawmaker","billion","white","vote","conspiracy","billion","elderly","mild","bipartisan","president","bipartisan","republican","woman","expect","official","peskov","psaki","education","handle","vaccinate","france","lift","cardona","require","win","education","governor","vaccination","erdogan","protect","remove","resume","manufacture","yet"
"17","holiday","medical","house","arrangement","agency","protection","play","season","federal","state","wisconsin","bill","home","dr","symptom","city","school","memorial","gov","risk","watch","keep","school","can","bottom","tax","district","mcconnell","parent","pelosi","relief","pay","interview","trillion","familiar","rally","presidential","mnuchin","bill","speaker","crowd","force","tedros","saudi","mitch","group","gop","rend","american","election","away","upon","package","check","credit","republican","ceremony","morning","american","press","cardona","watch","grade","semester","may","order","incentive","university","draw","virtual","access","mask","release","state","de","covid","say","say","want"
"18","february","protest","live","semiautonomous","pharmaceutical","sport","employee","justice","school","equipment","election","jersey","state","hall","kentucky","say","go","cnns","governor","nyc","want","thing","ask","face","mandate","plan","student","learn","reopen","person","speaker","democrat","mason","pelosi","much","hick","negotiation","joe","white","joe","read","adviser","black","european","joe","spend","talk","sign","direct","thank","business","crisis","fatigue","trillion","tax","legislation","bidens","harris","little","former","biden","hh","hybrid","examine","plan","require","operate","back","city","program","office","less","end","public","now","student","make","lot","reflect"
"19","build","alliance","financial","learn","shortage","milan","nba","city","player","inmate","nurse","mayor","ventilator","andrew","life","sport","watch","know","familiar","encourage","parent","go","dr","indigenous","look","adams","child","white","kudlow","white","convention","presidential","mcconnell","proposal","hand","deal","sen","interview","campaign","vice","campaign","source","among","cost","biden","talk","source","unemployment","house","republican","senate","disable","million","senator","billion","minimum","budget","read","rule","republican","plan","race","available","venue","still","may","france","live","open","limit","get","blasio","july","will","mask","wear","mask","yet","go"
"20","supply","member","evacuate","supermarket","canary","positive","team","test","team","supply","prison","patient","patient","parent","help","seat","parent","henson","adams","sleep","low","school","adams","learn","thing","kid","person","benefit","money","benefit","legislation","federal","leader","bob","want","proposal","claim","night","source","chief","donald","pandemic","bidens","say","majority","proposal","local","american","legislation","market","kemp","spokesperson","dos","reconciliation","child","little","support","small","trillion","will","help","reopen","norwegian","service","foot","restriction","employee","local","test","cash","law","firework","office","gov","covid","announce","encourage","former","hospital"
"21","kongs","store","block","regulation","head","region","campus","announce","prison","mayor","morgue","watch","run","screen","go","blasio","stay","governor","life","get","sesame","blasio","can","safe","know","payroll","democrat","agreement","schumer","billion","democratic","voter","deal","donald","know","money","vice","christie","treasury","know","president","american","dr","coverage","work","package","joe","check","unemployment","end","pazuello","patient","harris","billion","fund","aide","increase","message","per","assistance","inequity","america","return","global","gov","bar","passenger","city","capacity","require","incentive","monday","new","june","open","everyone","right","gottlieb","able"
"22","park","will","residential","public","patient","gov","parade","blasio","icu","facility","equipment","musk","supply","gov","gov","mlb","physical","can","crisis","andrew","de","de","help","know","something","open","learn","child","virtual","district","pass","letter","book","vote","political","secretary","benefit","effort","talk","stimulus","dr","member","leadership","house","framework","white","bipartisan","pay","benefit","top","effort","national","republican","unemployment","stimulus","stimulus","democratic","support","senate","harris","effort","will","require","learn","person","household","curfew","restriction","mask","city","york","county","site","campaign","protection","cnn","lot","tell","far"
"23","public","chief","professor","staff","borrelli","contact","gov","mayor","center","convention","newsom","city","need","app","father","watch","like","hertz","city","think","dr","city","re","risk","local","student","expire","democratic","aid","democratic","return","assistance","know","economy","donald","vote","business","relief","steven","policy","april","voter","want","redfield","president","give","liability","assistance","amount","pandemic","vaccination","inauguration","troop","bidens","work","leader","provision","arm","money","today","state","fall","community","take","school","expand","traveler","capacity","maryland","announce","bill","lift","service","age","can","will","life","booster","vaccine"
"24","run","citys","sevens","protest","test","westchester","postpone","de","capacity","center","blasio","add","help","morning","shulepov","live","hand","reed","pandemic","levine","get","bill","covering","district","tedros","next","will","nancy","negotiation","kid","county","schumer","biden","interview","believe","conversation","secretary","reed","gop","claim","sun","important","clear","mike","offer","deal","money","lawmaker","income","die","presidentelect","population","nih","support","payment","together","joe","partnership","dependent","vice","president","program","collect","offer","california","present","weekend","state","staff","option","allow","government","cuomo","since","august","week","officer","biden","re"
"25","shop","service","yuen","implement","say","say","club","state","convert","prison","voter","mask","park","help","number","manfred","abuse","spillover","discussion","test","ryan","important","public","social","face","key","gop","want","re","republican","furlough","negotiation","pelosi","redfield","didnt","force","worker","fauci","agreement","press","worry","campaign","say","preparedness","white","senator","protection","schumer","fund","back","incoming","state","gen","gop","job","money","hold","house","income","white","card","bill","sail","president","study","cuomo","sunday","test","order","person","service","cuomo","wear","news","rise","state","test","go","year"
"26","week","quarter","government","pipe","fashion","office","sport","inmate","court","player","facility","connecticut","care","eye","get","conduct","keep","long","floyds","mask","town","besser","really","thing","help","cut","parent","mnuchin","remote","employee","pub","eviction","unemployment","reporter","question","treasury","pass","offer","benefit","tedros","british","murthy","mask","event","economic","negotiation","majority","legislation","floor","dow","bidens","check","support","president","make","ceo","hour","old","pass","reopen","support","need","underserved","outdoor","space","music","require","reason","program","allow","state","allow","immediately","accord","like","death","end","need","get"
"27","due","mask","mongolia","violate","codogno","andrew","jazz","league","conference","icu","need","school","mask","zealand","mayor","thunberg","safe","just","mumbai","urge","song","wash","open","really","mean","community","american","schumer","house","standalone","will","nominee","want","mandate","response","democratic","relief","biden","secretary","science","palace","vaccine","team","italian","get","benefit","get","spend","individual","focus","majority","ill","general","job","friend","democratic","moment","supply","press","mexico","need","unite","plan","rate","thousand","macron","bar","crowd","reopen","incentive","launch","district","allow","can","wear","mitigation","school","production","body"
"28","citys","authority","protect","block","device","company","statement","newsom","season","connecticut","de","nurse","governor","njoroge","hand","online","class","class","coronavirus","know","thing","osterholm","spread","gallego","virus","district","speaker","tax","senate","class","teacher","request","speech","bill","battle","agreement","speaker","talk","get","staff","williams","clear","brief","outbreak","member","trump","pelosi","republican","increase","mother","law","anderson","syringe","stimulus","house","will","go","white","couple","trust","back","provide","man","just","operate","able","subject","library","allow","remote","provide","event","public","monday","south","community","louisiana","term","couple"
"29","measure","limit","nurse","district","die","czech","close","new","postpone","will","stockpile","gown","ready","can","old","air","hold","student","storm","resident","see","gupta","beach","spread","deal","education","administration","parent","say","family","class","president","proposal","know","dr","mask","pandemic","proposal","trillion","rally","birx","fauci","alaska","economy","just","unemployment","check","fund","help","spend","dollar","palestinian","town","forward","get","proposal","legislation","administration","family","tax","bill","campus","just","say","require","governor","policy","open","festival","ohio","mask","open","health","less","must","fully","challenge","wen","baby"
"30","carrie","company","via","hub","town","accord","basketball","hold","league","murphy","use","coordinate","facility","get","back","worker","gov","abe","police","go","school","covering","turner","community","hand","know","majority","deal","tax","executive","lawmaker","euro","gop","journalist","handle","talk","political","fox","mcconnell","side","call","former","donald","survey","trump","round","negotiation","point","billion","composite","unemployment","cuba","husband","morning","address","personnel","plan","encourage","direct","canada","part","law","fully","person","news","indoor","university","mandate","implement","lottery","resident","poll","still","return","country","vaccinate","see","johnson","jerome"
"31","macao","staff","hospital","stop","hospital","washington","closure","statement","football","capacity","center","yorker","nyc","phase","save","father","stake","good","india","spread","learn","disease","sick","stay","suarez","parent","capitol","plan","bill","plan","senate","hill","speak","gate","story","campaign","despite","risk","vote","talk","rally","right","democrat","universal","leadership","get","democratic","small","make","financial","utilize","order","people","agree","see","trillion","rule","mat","democrat","grant","get","shelterplace","poll","camp","pandemic","subject","korean","statewide","disney","prize","announce","office","requirement","health","delta","able","regardless","plant","think"
