"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","million","year","plant","business","drop","airline","market","airline","olympic","airline","company","billion","billion","airline","million","billion","tourism","economic","labor","economy","airline","billion","unemployment","airline","pelosi","passenger","north","korea","election","church","korea","korea","beach","south","capacity","risk","police","travel","travel","flight","korea","tier","australia","airline","cuomo","jones","shipment","desantis","pharmacy","vaccination","dos","dos","cuomo","pharmacy","york","state","supply","federal","teacher","open","old","old","biden","vaccination","american","york","biden","house","hate","intelligence","biden","american","harris","american","get","guidance","johnson","employee","school"
"2","city","lunar","impact","economy","point","point","stock","olympic","game","stock","economy","airline","million","quarter","pledge","tourism","job","billion","european","economic","economy","airline","million","company","bill","airline","korean","year","postal","seoul","seoul","rule","weekend","police","estate","hotel","quarantine","cancel","murphy","hawaii","south","travel","south","passenger","job","airline","vaccine","vaccine","vaccination","letter","reserve","york","dos","site","site","site","pharmacy","city","eligible","york","april","april","state","site","vaccinate","blasio","adult","american","biden","biden","american","get","president","july","swaminathan","school","syndrome","wear","mandate"
"3","year","holiday","auto","million","dow","market","airline","flight","stock","business","airline","company","trade","billion","unemployment","unemployment","economic","company","million","price","billion","fund","job","program","marathon","fan","korea","passenger","ballot","south","south","kcdc","gather","rally","umrah","year","chief","cruise","border","travel","rt","chicago","travel","travel","school","flight","state","dos","administer","york","pharmacy","blasio","vaccine","state","administer","federal","resident","state","worker","community","eligibility","site","adult","target","biden","administration","job","white","american","origin","president","investigation","white","goal","celebration","person","fda","require","require"
"4","lockdown","gamble","economy","year","index","cut","race","billion","tokyo","employee","cut","million","pay","demand","billion","airline","economy","million","claim","billion","economic","forecast","airline","million","year","require","will","police","mail","korea","police","tweet","party","gathering","grant","girl","wall","australia","quarantine","japan","lebanon","county","australian","flight","airline","passenger","arrive","administer","resident","nurse","biden","azar","york","administer","dos","supply","appointment","york","walgreens","state","state","open","eligible","adult","get","de","get","president","crime","american","job","support","vice","president","still","cdc","janssen","school","worker"
"5","lunar","million","game","impact","market","tokyo","disney","stock","airline","unemployment","economic","claim","read","company","airline","job","billion","tourism","billion","stock","tourism","million","billion","job","airport","airport","kcna","south","absentee","mail","party","church","labor","facility","canadian","police","gen","korea","australia","visitor","israel","state","stevens","airport","low","kong","first","vaccination","vaccine","school","old","vaccine","state","vaccine","cuomo","pharmacy","vaccination","eligible","care","city","carolina","eligibility","eligibility","community","white","mayor","american","county","federal","president","july","adult","tour","psaki","white","need","risk","biden","mask"
"6","province","city","company","company","stock","stock","future","cut","committee","bank","employee","employee","pandemic","year","economic","fund","macron","hassett","lockdowns","airline","passenger","passenger","economy","suit","race","mask","year","philippines","november","election","kcdc","south","south","social","city","mikakos","south","event","space","arrive","cambodia","island","county","tsa","benefit","fly","pfizer","will","access","site","speed","reserve","administer","federal","state","governor","site","nigeria","prioritize","eligible","vaccination","vaccine","announce","slavitt","president","today","goal","poll","cruise","poll","get","keep","kamala","vaccinate","around","vaccinate","gbs","worker","city"
"7","cancel","billion","week","bank","fall","cancel","drop","market","market","salary","will","pandemic","help","economic","year","economic","merkel","economy","economy","fall","european","economic","passenger","flight","father","requirement","hotel","clearly","invite","korean","link","vote","saturday","korea","costume","victorias","korea","crowd","jersey","quarantine","korean","south","police","traveler","keep","hong","dos","first","cuomo","mayor","vaccine","de","vaccination","york","vaccine","dos","state","staff","next","administer","age","state","vaccination","state","business","city","president","respondent","bill","community","benefit","hard","house","make","house","implement","vaccine","mask","wear"
"8","station","visitor","year","many","business","dow","trade","trade","athlete","company","market","bank","ma","job","refugee","loss","emission","unemployment","job","million","flight","eu","flight","file","mcconnell","cut","kim","will","service","vote","ban","tom","seoul","party","crown","ship","son","november","economic","traveler","thailand","move","authority","transportation","million","emirate","hospital","senior","care","receive","warp","lot","mayor","dos","county","vaccination","access","eligibility","vaccine","goal","march","gov","deadline","california","eligible","vaccinate","vaccinate","vaccinate","vote","claim","national","enough","get","biden","vaccine","strategy","guillainbarré","mandate","district"
"9","restriction","macao","outbreak","limit","trade","flight","cancel","loss","postpone","billion","bank","postpone","airline","oil","norwegian","plan","bill","sanchez","global","point","stock","recovery","dow","market","policy","unite","south","korean","dejoy","sarangjeil","abe","milwaukee","korea","ban","allow","quarantine","cruise","bubble","year","guideline","travel","restrictive","angeles","victoria","recovery","open","receive","care","health","city","vaccination","city","senior","vaccination","vaccination","resident","vaccine","announce","federal","biden","open","vaccination","open","disparity","slavitt","bill","effort","biden","color","virginia","childcare","information","administration","th","time","update","rare","city","de"
"10","will","economy","industry","outbreak","company","olympic","dow","air","dow","cut","business","sp","market","passenger","european","economy","year","plan","cost","flight","merkel","flight","labor","loan","protect","job","convention","north","vote","religious","church","fame","rally","court","social","office","ship","statement","amazon","negative","green","orange","adelaide","checkpoint","lopez","agent","facility","state","worker","gov","will","say","say","appointment","pharmacy","vaccine","distribution","johnson","site","shot","expand","announce","resident","senior","house","house","vaccine","vaccination","unemployment","trust","action","re","american","get","vaccinate","distance","adverse","district","policy"
"11","beijing","impact","business","restriction","sp","economy","flight","cancel","postponement","dow","unemployment","store","food","million","loan","european","million","will","unemployment","policy","china","cost","market","business","seat","race","industry","group","fair","jun","mail","seaver","social","justice","holiday","next","thomas","quarantine","victoria","korea","hungarian","korea","cluster","claim","castex","state","delivery","florida","plan","vaccinate","operation","worker","de","provider","appointment","county","demand","site","vaccination","blasio","anyone","march","slavitt","department","employee","college","house","administration","slavitt","effort","unemployment","job","vaccination","policy","encourage","wear","event","requirement","mayor"
"12","train","market","million","lose","year","game","index","industry","amazon","furlough","billion","month","wang","flight","economy","financial","french","woman","travel","global","euro","economy","crisis","brother","fund","cloth","event","flight","hidalgo","postal","metropolitan","hall","link","indoor","pilgrim","responsible","man","man","worker","space","december","positivity","international","schedule","york","operate","expect","cv","will","cuomo","vaccinate","department","facility","supply","governor","area","federal","dos","march","dos","south","anyone","site","administer","vaccination","white","administration","adult","house","animal","administration","behavior","pop","still","office","get","update","will","public"
"13","travel","casino","production","china","lose","rate","fall","financial","summer","small","stock","stock","air","profit","cruise","million","business","tobacco","lockdown","year","industry","american","economic","eviction","capacity","budget","tourism","service","oct","churchs","attend","stem","kcdc","pneumonia","phase","hogan","march","metro","will","south","post","rate","quarantine","delta","access","respond","will","receive","general","veran","mayor","shipment","blasio","stadium","blasio","york","white","educator","staff","vaccination","plan","adult","plan","fully","shot","reopen","million","college","asian","top","help","security","encourage","help","part","outbreak","school","federal","will"
