"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","case","test","patient","case","daegu","case","case","case","case","case","case","case","case","death","case","death","death","case","case","case","case","case","case","case","case","death","death","case","case","death","state","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","case","death","patient","death","case","case","death","case","case","case","dos","death","dos","death","death","death","case","case","death","death","case","report","report","case","population","new","new","vaccinate","vaccinate","fully","transmission","walensky"
"2","patient","patient","test","test","case","county","county","state","state","death","death","johns","hopkins","case","hopkins","case","case","death","johns","state","state","state","state","report","report","case","case","death","death","case","death","state","state","state","state","death","less","johns","report","hopkins","hopkins","state","state","report","hopkins","report","hospitalization","hospitalization","record","county","case","death","death","report","death","report","us","death","case","case","case","since","case","report","death","report","case","report","death","case","administer","report","resident","million","new","new","average","cdc","breakthrough"
"3","health","case","case","confirm","group","positive","presumptive","die","death","state","report","hopkins","death","hopkins","johns","johns","hopkins","hopkins","death","death","florida","new","new","state","johns","state","total","state","report","state","case","report","johns","hopkins","death","state","hopkins","us","state","johns","state","new","new","state","johns","death","new","death","hospitalization","los","johns","johns","total","case","total","state","death","case","report","datum","ministry","dos","dos","million","new","record","report","death","case","dos","report","datum","death","fully","state","fully","vaccinate","high","people"
"4","confirm","health","confirm","patient","shincheonji","presumptive","state","death","less","less","less","death","johns","johns","death","hopkins","johns","less","hopkins","johns","county","county","death","positivity","hopkins","total","department","report","hopkins","hopkins","johns","death","hopkins","child","hopkins","rate","state","hopkins","new","report","johns","report","report","new","death","total","report","johns","hopkins","case","us","hopkins","hopkins","university","state","dos","total","datum","dos","total","total","report","ministry","india","million","brazil","average","total","total","total","datum","administer","case","vaccinate","day","million","resident","mask","fauci"
"5","test","cdc","california","yearold","patient","confirm","health","health","die","us","hopkins","less","less","nypd","less","us","total","johns","report","hopkins","report","report","johns","rate","state","johns","state","hopkins","johns","total","total","johns","district","death","johns","hopkins","johns","death","johns","new","track","hopkins","death","hopkins","report","new","record","hopkins","johns","death","county","total","johns","total","report","death","million","state","datum","report","record","total","record","total","report","ministry","dos","million","dos","million","dos","dos","datum","day","washington","state","age","substantial","official"
"6","ministry","confirm","state","daegu","south","woman","positive","accord","test","coronavirus","state","tally","state","tally","us","total","less","state","less","texas","new","death","hopkins","hopkins","florida","hopkins","johns","department","total","report","hopkins","total","gov","johns","total","report","report","university","hopkins","total","new","us","johns","johns","new","hospitalization","datum","us","total","hospitalization","hopkins","us","report","hopkins","hopkins","total","state","brazil","brazil","brazil","report","ministry","total","accord","less","million","total","dos","new","publish","million","nearly","vaccinate","resident","us","american","los","wear","transmission"
"7","yearold","yearold","lab","positive","religious","daegu","patient","man","positive","tally","johns","report","tally","state","repatriate","state","territory","district","us","forecast","death","total","report","florida","new","less","hopkins","johns","number","johns","florida","university","track","report","report","johns","death","state","total","state","project","total","hopkins","death","total","johns","death","report","case","california","die","datum","university","state","johns","us","johns","total","administer","state","since","case","report","death","ministry","total","million","ministry","toll","population","day","less","million","york","less","us","past","disease","variant"
"8","man","man","cdc","south","confirm","state","total","total","coronavirus","report","tally","state","report","total","state","care","unite","total","state","us","average","increase","county","johns","sunday","department","report","total","state","covid","report","hopkins","governor","total","project","new","total","report","less","university","average","record","total","us","high","record","johns","datum","datum","angeles","less","less","us","datum","datum","hopkins","datum","million","million","daily","daily","record","administer","dos","per","case","since","administer","numb","death","accord","fully","washington","rate","reach","week","week","people","disease"
"9","contact","illinois","illinois","korean","test","cdc","confirm","county","tally","accord","accord","territory","die","us","tally","less","columbia","new","forecast","new","johns","florida","less","county","patient","report","covid","florida","florida","database","department","county","florida","less","forecast","less","county","total","death","record","statewide","covid","hospitalization","total","university","hopkins","hospitalize","accord","number","report","datum","report","less","johns","million","johns","cdc","publish","ministry","federal","dos","publish","brazil","city","dos","average","day","since","million","less","average","dose","jersey","one","pace","less","new","walensky","prevention"
"10","january","ministry","one","one","total","patient","accord","repatriate","report","total","total","columbia","inmate","less","territory","accord","repatriate","us","territory","datum","see","hopkins","total","total","total","hospitalization","new","datum","datum","hospitalization","project","territory","report","new","less","positivity","us","new","track","daily","hospitalization","hospitalization","covid","university","hospitalization","project","hopkins","state","report","johns","report","accord","state","less","antigen","datum","dos","us","state","record","million","million","high","new","administer","administer","record","less","since","day","dose","publish","fully","nearly","dos","statement","day","tuesday","get"
"11","hospital","lab","th","link","yearold","shincheonji","woman","tally","healths","die","us","us","accord","prison","columbia","columbia","us","repatriate","columbia","report","total","johns","florida","bed","rate","new","database","database","department","draw","covid","columbia","county","york","us","york","new","accord","wisconsin","high","us","accord","rate","hit","track","state","project","high","accord","total","hospitalization","covid","accord","cdc","fatality","accord","hopkins","hopkins","less","high","high","accord","million","increase","total","datum","accord","daily","daily","us","covid","adult","total","state","little","washington","pace","update","cdc"
"12","dr","woman","center","total","center","man","bring","us","accord","health","coronavirus","repatriate","territory","district","district","inmate","state","tally","die","model","hopkins","less","california","new","county","project","track","project","positivity","exactly","university","florida","new","us","child","brooklyn","track","less","university","death","hospitalize","death","project","covid","hospitalize","day","covid","project","less","state","angeles","county","datum","average","unite","cdc","less","johns","total","icu","brazil","datum","since","nearly","accord","figure","daily","population","record","covid","nearly","day","massachusetts","case","adult","datum","state","county","spread"
"13","symptom","say","yearold","center","hospital","washington","cdc","coronavirus","total","wyoming","territory","universitys","universitys","accord","university","ventilator","die","jersey","repatriate","die","arizona","arizona","increase","datum","death","florida","project","track","new","datum","real","new","columbia","columbia","unite","county","accord","brazil","project","average","covid","johns","track","number","project","number","ctp","university","us","hopkins","state","university","county","us","california","less","unite","average","since","cqc","new","cause","accord","festival","average","accord","toll","datum","prison","administer","total","million","surpass","vaccination","week","virginia","per","area","infection"
"14","positive","california","woman","woman","woman","total","man","detect","repatriate","test","wyoming","district","us","member","total","repatriate","tally","columbia","total","less","model","coronavirus","gov","record","contact","bed","florida","university","database","rate","exactly","iowa","death","track","university","university","high","daily","daily","number","death","high","positivity","record","state","us","high","less","hospitalize","hospital","icu","record","california","accord","less","decline","decline","less","countrys","death","pandemic","cdc","bring","publish","day","day","per","figure","region","ministry","since","cdc","rhode","death","one","population","county","fully","vaccinate"
"15","department","hospital","messonnier","ministry","california","accord","new","test","unite","positive","die","coronavirus","columbia","report","accord","fire","district","territory","tally","territory","increase","record","texas","increase","care","track","less","accord","less","number","database","accord","department","florida","million","city","wisconsin","record","accord","sevenday","dashboard","day","york","project","numb","track","total","track","project","intensive","los","high","project","administer","covid","average","prevention","project","hopkins","population","country","bring","india","datum","datum","brazils","country","numb","thailand","datum","cdc","delay","per","since","dose","biden","become","rochelle","wear"
"16","isolation","prevention","positive","kcdc","kcdc","king","death","positive","health","repatriate","universitys","accord","university","territory","include","district","accord","york","district","project","accord","hospitalization","hospitalization","accord","mayor","covid","draw","draw","draw","department","number","rate","child","university","model","covid","daily","track","positivity","july","high","track","blasio","positivity","covid","accord","accord","record","patient","less","accord","state","forecast","million","test","administer","report","whitmer","johns","million","begin","less","datum","since","april","tally","ministry","accord","india","cdc","less","accord","dose","washington","fully","day","washington","vaccinate","hospitalization"
